1695177795# #看到有网友说，五百年后，放张伍佰的照片，这演唱会还能开允悲
1695888549# #举手
1689816530# #？？？
1703735378# #多大的矛盾，在地铁里竟上演互扇耳光！。。近日，北京地铁早高峰。。。两女子因为下地铁时人多拥挤发生冲突，在站台上竟上演全武行。互扇对方耳光，抡包打头，打得不分高下、难舍难分。。。最后还是工作人员上前，这才把两人分开。。。虽然不打了，但互相指着对方鼻子骂了起来。。。最后的结局是，两人都进去了。
1698028384# #笑cry
1700624623# #男子多次将车停人店门口，怀孕女老板上前劝阻却遭男子一把推倒在地！。。事情发生于河南许昌，据怀孕女老板称，男子多次将车停在她门外，而且正好挡住她的大门。。。每次一停都是从早上8点多一直到10点多，非常影响她店铺生意。。。女老板想过很多办法，给车上放纸条、发到小区群内、联系小区物业等，可惜男
1690256089# #允悲
1687837839# #希望平安
1692341485# #小狗好惨
1698226417# #发布了头条文章：《胡锡进点赞春节休假，年三十不放假是亮点，大众应鼓励支持》国家发改委回应2024年放假安排2024春节放8天假
1687672786# #哈哈哈哈哈哈哈哈哈哈
1698656913# #发布了头条文章：《7岁女童霸凌后续，通报“短暂拍打”引争议，有人怒批母亲小作文》教育局回应7岁女孩在校被多人霸凌
1690855955# #好可爱哦，哈哈哈哈哈哈哈
1688349299# #早餐是一天中最为重要的一餐，它能为我们提供身体所需的能量和养分。据研究表明，早餐可以激活我们的新陈代谢。。如果我们不吃早餐，身体会进入节食模式，导致代谢变慢。同时吃早餐可以提高我们的注意力和集中力，有助于在学校或工作中更好地表现。。如果没时间享受早餐，该如何保障自己身体一上午的能量
1695694572# #监视我是不微笑
1695273005# #发布了头条文章：《青岛伴娘被喷灭火器后续，路人曾制止遭新郎呵斥，警方介入或拘留》山东青岛新人结婚多名男子拿灭火器喷伴娘警方回应多名男子拿灭火器狂喷伴娘
1687672317# #好可怕
1703055406# #转发微博
1702956401# #转发微博
1699584619# #真正做到了皮薄馅大
1691717475# #现在诈骗手段都这么高级了吗，大家千万注意，连接不要随便点啊哆啦A梦害怕
1692151276# #允悲
1697708611# #发布了头条文章：《官方通报广州出租未开斗气车，村里人称宝马车主行事蛮横》广州交警回应宝马与出租车碰撞宝马与出租车碰撞侧翻起火司机身亡宝马与出租碰撞暂未发现开斗气车广州交警通报宝马与出租碰撞起火司机身亡
1699324671# #12岁，谋划一年后杀四岁儿童。
1696753386# #这个可以嘻嘻
1701769846# #因觉得甘蔗不甜，女子怒骂卖甘蔗老人！。。12月4日，天津。。。一女子在路边买了点甘蔗，回家吃了后觉得不甜。第二天找到卖甘蔗老人处，大闹摊位。。。老人正在跟别人削甘蔗，女子在一旁不停吵闹。。。“你倒是削呀，你快削呀，你自己尝尝这什么味。”。。怒吼间，还伸脚踹了老人手里的甘蔗一脚，导致老人没办法
1697523460# #好赞
1690175780# #网曝大爷大妈跑到水库放生矿泉水西安。。把矿泉水拉到水库放生的意义在哪里呀？。。放生小鱼、乌龟好歹因为他们是条生命，放它们重回大自然，不被人类圈养、杀害也是一件善事。。。可放生矿泉水干嘛？这真的不是在浪费吗。。。真想做善事，把矿泉水发给户外工作者，也比费劲拉到水库边上倒了强，实在没办法
1688008168# #来个山西人说说这是不是真的，也太爽了泪
1695609593# #老师还把家长踢出群，哪来的脸
1691547932# #偷拍人家还有理啦
1696995462# #这个真漂亮呀
1688698167# #这个大妈怎么回事呀？人家穿个小裙子招你惹你了，地铁上冲人破口大骂！。。辽宁沈阳地铁内，一女子穿了条裙子，被大妈嫌弃穿着暴露，在地铁上对女子疯狂输出。。。“下一代我让你露大腿吗？”。。“下一代我跟你说叫你没衣服穿，都给我惦着好啊。”。。大妈一个人自顾自骂了半天，小姑娘搭都没搭理她，淡定地在
1702001961# #诶嘛，这味
1689047818# #老板和小朋友都好可爱
1697592067# #这是人说出来的话吗怒
1696672091# #哈哈哈哈哈哈哈
1703574649# #……光看着就头大了………
1703151551# #这次甘肃地震，农夫山泉和华为火了！。。农夫山泉为甘肃灾区捐献了24000多瓶矿泉水，被网友群嘲小气。。。农夫山泉作为我国知名企业，同时老板还登顶了我国首富，没想到这次甘肃地震竟然就捐了2万多瓶矿泉水。。。有网友算了一笔账，这2万多瓶矿泉水，按市价也就不到5万块钱。。。这下农夫山泉被骂惨了，全网在
1701851860# #发布了头条文章：《嫌老人声音大，男子当街骑老人身上逼其下跪，老人嘴角流血引众怒》广东广州
1688693234# #这货还是个科长？？？
1699255428# #小美：这下你满意了吧，你这个冷漠无情的人
1702026750# #我的天
1689133970# #喵喵
1699435493# #安徽蚌埠7岁小女孩被狗咬伤的事情不知道大家关注到没有，小女孩真的好惨。。。。据孩子父亲称，事情发生于11月4日。女孩独自在自家门口玩耍，却意外遭到恶狗扑咬。。。女孩额头被咬出一条长达30厘米的伤口，整个上头皮撕开。眼角处被恶狗咬骨折，后脑也有伤口。。。为了给孩子治病，女孩父亲已花光所有积蓄，
1703216362# #裂开
1701057646# #兵马俑不是不让带打火机吗，这个老太太是咋混进去的？。。陕西西安，一网友在兵马俑游玩时拍到。一老太太趴在兵马俑栏杆上抽烟，抽完还把烟头扔进俑坑内，并朝里面吐了口浓痰。。。看得人恶心就不说了，这不就是在破坏文物吗！。。众所周知，兵马俑博物馆内是禁止抽烟的。保安每天都会在馆外查处大量打火机，
1698117148# #总结，沃尔沃车主逆行停车，保安制止后开车离开时刮蹭到保安，两人由此发生争执。保安并非自己坐在车头，是车主将其撞倒坐下，随后二次开车撞击。保安已送医治疗，暂无生命危险；车主被带回审查！
1692956364# #带孩子在高铁上吵吵闹闹还有理了？人家好心提醒一句，让母子俩那个收拾。。。近日，一段高铁内拍摄的视频在网上流传，视频中两位女子不顾众人惊讶的目光扭打在一起。一旁座椅上还站着个小女孩，也是满脸愤怒地对着一女子挥舞着自己的小拳头。。。到底发生了啥事，能让两人能如此不顾体面，在车厢众人的面前
1697696024# #酒：挺难杀呀
1694425500# #发布了头条文章：《临沂亮证门后续，理发店老板疑遭报复，凌晨发文有家不敢回》山东临沂官方通报女子亮证威胁理发店郯城县
1701608642# #又一起车停路边，司机车内死亡却无人发现的新闻！。。11月29日，四川成都。。。有路人偶然发现路边停着一辆白色小车，司机坐在车内，无论是姿势还是状态，看着都十分不对。。。路人赶忙上前敲车窗呼唤，可无论他怎么叫喊，司机都毫无反应。。。路人察觉不对，赶忙拨打了报警电话。。。可惜经医务人员到来诊断，车
1692088915# #哆啦A梦害怕
1692342157# #允悲
1691568068# #哈哈哈哈哈和
1702284951# #发布了头条文章：《山东女孩认亲被拒后续，发文怒斥营销号扭曲事实，自己因此被约谈》
1689388100# #对方使用了一个闪现……
1688088742# #哈哈哈哈哈哈哈，为了不让别人说自己裸着出门吗偷笑
1688969538# #MD，什么畜生啊，去袭击幼儿园……
1692584818# #副局长家属连泼景区工作人员3杯热水。这就有意思了，双方对泼热水事件完全就是两种不同的说法。。。据景区工作人员称，女子是因为在玩漂流过程中意外翻船，导致物品丢失，嫌弃景区未给她及时处理，于是大闹景区，连泼工作人员3杯热水。。。但记者联系了临猗费县综合行政执法局的工作人员，其与景区工作人
1694411952# #查税，我没开玩笑微笑
1691387908# #啊哆啦A梦害怕
1701748229# #3000多给人塞草垫确实太说不过去了
1692238648# #真的要被这个妈妈蠢哭了，给孩子花3万块钱买的公立幼儿园名额，竟然还发朋友圈炫耀。。。还把聊天记录都发出来，生怕被人查不到是吧。。。现在好了，让人朋友圈截图，直接曝光网络。。。目前，江西南昌教育局已经关注到此事，表示幼儿园招生要求以各园公告为准，不存在花钱买入园指标这一说。。。红谷滩区教体
1689311355# #哈哈哈哈哈哈哈哈哈
1691388344# #哈哈哈哈哈哈哈
1690013118# #发布了头条文章：《西安奔驰女司机逆行后续，女司机被处理，当事人却被骂爱较真》西安西安交警回应奔驰女司机逆行下车理论
1692326329# #泪
1687684912# #发布了头条文章：《大妈飞机强行换座遭拒，疯狂辱骂威胁女子，竟得航空公司升舱处理》青岛胶东国际机场江西航空回应老太换座不成辱骂女生
1699428249# #发布了头条文章：《成都地铁3号线打人事件，男的被行拘，女子身份曝光舞蹈老师知三当三》成都地铁3号线打人男子被行拘成都警方通报地铁3号线打人事件
1699867805# #还有比这更倒霉的事吗，好好逛个商场，竟被天降老鼠砸头。。。近日，陕西西安，一女子前往西安阳光天地购物广场游玩。走到四楼一DQ门店附近时，被从天而降的一只老鼠砸到了脑袋。。。女子被砸后觉得头皮痒痒的，但砸她的老鼠却好好的。。。掉在她脑袋上后，还活蹦乱跳的一路窜到扶梯旁的玻璃护栏上，与女子四
1691040275# #哆啦A梦害怕
1691461870# #博主为涿州捐献的物资被当地一所超市中途拦截？。。经常关注涿州情况的人应该看到了这则新闻，一位网红博主拉着一车物资亲自送往涿州。这本是一件好事，但在行驶至涿州涞水县东河山村时，有位村民上前，让博主把物资卸到这里就可以了。。。博主抬头一看，见是一家超市，于是心生不满。。。认为超市莫不是想中
1688806415# #发布了头条文章：《大妈动车要让座遭拒，整个身子靠压女孩身上，乘务员举动令人心塞》
1701913750# #小姑姑只是退休工人
1693365300# #希望这两位政客说到做到，毕竟在如今这种情况下，还坚持赴日的是什么成分不用多说了。请立刻落实，全世界直播，我们也想看那些人的谄媚样。最好让他们多吃些，10个哪够，按斤上吧。也不能让他们免费吃占日本便宜，高价出售。毕竟福岛海鲜也不是谁想吃就能吃的，我们在国内都吃不到这种新鲜玩意。
1696370413# #发布了头条文章：《260斤偏瘦小娇妻引热议，网传老公为其买巨额保险》
1687853698# #心太狠了，他不会老吗？
1700793238# #湖南浏阳，执法人员跑人家中扣押电动车？。。近日，一网传视频显示，几名身穿制服的执法人员，竟跑到居民家长，推出来一辆电动车，要拉走扣押。。。车主人追出去试图阻拦，一执法人员立即停下车，指着车主人怒骂起来，可谓凶得不行。。。这视频可把众网友看得是又惊又怒，这执法人员的执法权限何时如此大了，
1703237431# #哈哈哈哈哈哈哈哈哈
1693207172# #人家是志愿者，不是志愿军呀笑cry
1699413236# #我的梦想生活，快让我坐上去苦涩
1701240988# #回应来了，亮亮丽君夫妇好像还注册了油管账号
1691661598# #学习了
1701768092# #发布了头条文章：《高价养生茶竟有化学药物，长期服用肾衰竭，太空早餐坚守食品安全》
1691402371# #还挺会玩
1694345605# #都2023年了，怎么还有人跪着呢？。。有博主爆料，自己前往湖北襄阳唐城景区观看表演时遭到了区别对待。被要求向外国人让座，并且不允许站在外国人前面。。。事情发生于看演出时，博主花费了126元购买了景区一场大型演出的门票。。。在全场观众基本到位，已全部落座时，景区工作人员突然出现要求全场1000多名
1688011013# #天呐，这吉普车咋回事呀，摩托车手真是无妄之灾，希望人没事
1692004001# #发布了头条文章：《高铁站按摩椅事件升级！央视点名报道，高铁站回应含糊其辞》山东泰安网传泰安高铁站近9成是按摩椅工作人员回应泰安高铁站9成是按摩椅
1687834615# #天呐，这是亲妈吗？。。安徽长丰县，一男孩站在空调外机上哭嚎，他身后伸出来一截长长的细棍，正不断地击打男孩的背部。。。男孩哭着大喊她打我，随后在楼下众人的惊呼声中，毫不犹豫地从楼上跳了下来。。。据当地妇联称，打男孩的是他妈妈，也没真打，就是小男孩调皮，拿棍子吓唬吓唬他。。。小男孩自己不小心
1691055056# #发布了头条文章：《救援人员独自拉几名青壮年艰难前行引热议，更多照片曝光，心寒》涿州河北河北涿州急需大量船只转移群众涿州泄洪抗洪救灾
1692322509# #允悲
1698734584# #发布了头条文章：《神十六航天员成功返回，网友：论文写完了吗？能量早餐也得备着》杨利伟对战友们顺利完成任务表示祝贺神十六航天员回地球
1689301362# #这么小的孩子尿床不是很正常嘛，这父亲变态吧。这样倒挂，得给女孩留下多大的心理阴影怒
1693469462# #武汉的单身狗还好吗允悲
1701164283# #如今联名已经被各大品牌玩出了花，按理讲已经无法再吸引消费者的注意。。但这次喜茶却剑走偏锋，放弃了知名动画和卡通人物等大IP，将目光投向了景德镇中国陶瓷博物馆。与爆火网络的无语菩萨大搞联名，推出了一款“佛喜茶拿铁”，瞬间受到众多消费者的追捧。
1688637122# #希望平安
1692254156# #熊孩子背后都有熊家长
1701236860# #……
1700644479# #哎
1691301009# #救援队下高速竟被多收费？。。近日，山西阳泉蓝天救援队的成员在完成涿州救援任务后返回家乡，却没想到在经过山西阳泉东收费站时竟被多收费。。。救援队驾驶的是客二车辆，本来应该收取200多元。。。但收费站的工作人员偏说救援队的车辆是客三，坚持要救援队按客三缴费，大概四百五元。。。两个价钱差了将近一
1689326364# #发布了头条文章：《登上战略新兴重点产品的生物食品是什么？太空方便餐为何首当其冲》转基因食品食品安全
1691635094# #女子地铁强行要人给女儿让座被拒大骂。有网友爆料，事情起因是女子的孩子抄着要个座位。刚好女子对面坐着几个年轻人，女子便询问他们可不可以给孩子挤个座位，当时问话时语气还是很礼貌的。。。但年轻人不知是不是在气头上，一直在说不要道德绑架，把女子说毛了，这才发生了后面的争吵。。。还有位目击者
1693817113# #啊，评论区还分男女哆啦A梦害怕
1699507972# #哆啦A梦害怕
1699596603# #这都什么事呀
1700706265# #河南周口地下车库。周口地下车库小三事件不知道大家看到没？这男的太不是东西了！。。河南周口，一男子出轨带小三和其父母外出庆生，在地下车库碰见自己妻子和一双儿女。。。妻子看到丈夫出轨当场崩溃，带着孩子上前怒问丈夫为何这样对她。。。谁知丈夫根本不愿解释，开着车就想走。。。女子见此赶忙跟儿子双
1703829764# #笑cry
1689733249# #真的有人喝吗，这得是个啥味呀黑线
1689225168# #精炼植物油允悲
1693134194# #就一件印有“日本投降”的T恤究竟惹了谁了，怎么就成了极端民族主义分子了？。。近日，一男子穿了一件后背印有“日本投降”字样的T恤前往车展看车，遭到一中年男子的指责与辱骂。。。中年男人一脸怒气，指着看车男子。。。“中国就是你们这种极端主义分子太多了。”。。“极端民族主义分子，就是你这种人。”。。
1700102155# #允悲
1688522040# #哈哈哈哈哈哈哈哈哈哈
1692596749# #好像猥亵的还是中央挂职女干部
1698643381# #阿姨，能把我存款改成3000万吗苦涩
1689428524# #哈哈哈哈哈
1700791740# #希望是编的，不然太让人难受了
1693877323# #有点太没良心喽
1699410604# #气死了怒
1703842661# #厉害呢
1692530490# #这条新闻看得人心里太难受了！。。广东一外卖员，在送餐时得知老家的孩子跳楼了。。。据目击者称，外卖员是个中年男人，大概40多岁。。。晚上10点多，刚在商家处取完餐，突然在门口嚎啕大哭起来，边哭嘴里边断断续续说着。。。“他跳楼啦……”。。晚上10点多，多少人都已经在家准备休息的时候，这位外卖员还在外
1693709161# #重庆母子3人家中死亡的事情不知道大家看到没！。。8月31日，重庆一女子与自己一儿一女在家中去世。。。据警方通报，女子年仅35岁，跟丈夫和公婆长期在广东东莞打工。收入稳定，生活富足。。。暑假期间，女子还带着俩孩子回了趟老家。。。前不久才返回东莞，还帮孩子咨询、联系了上学事宜，本来9月1号孩子就能去
1689756901# #转发微博
1690190356# #发布了头条文章：《《长安三万里》在洛阳遭举牌怒斥，不尊重历史！网友：大可不必》长安三万里洛阳超话西安
1696904614# #湖北当街锤人致死的事情原由曝光了！。。凶手姓袁，死者姓张，两人之前是同事，但是是上下级关系。。。死者是公司部门经理，而凶手只是他下面一个小小的员工。。。说到这大家可能都能猜出来凶杀的原由了，无非就是工作上的纠纷。。。其实说是也不是，因为凶手早在2021年就离职了。。。可惜离职后一直没找到工作，
1692452511# #……
1697695722# #这样看着还挺好吃
1688113394# #发布了头条文章：《国外恶心食物博物馆惊现三鹿奶粉，航天员能量餐捍卫食品安全》最恶心食物博物馆三鹿奶粉
1694763408# #哥们你这文胸啊不对文身也太性感啊不对也太帅气了吧
1702809503# #火锅内吃出小刀，真够可怕的。12月16，江苏常州。。一网友发视频称，自己与朋友外出吃火锅，竟在火锅内吃出一把小刀。。刀片锈迹斑斑，看着像是很久未使用了。而刀柄则已被滚烫的锅底煮得弯曲变形。。发现这把小刀后，网友后背被吓出一身冷汗。。虽然刀片已经生锈了，但若是不慎吃进嘴，肯定还是会将口腔割
1701681734# #发布了头条文章：《解清帅哥哥更厉害，7家公司资产上亿，却穿百元地摊货》解清帅
1702952946# #我的天
1692346384# #发布了头条文章：《经常疲倦、昏昏欲睡，你可能缺乏能量了！快来块航天员能量餐》
1697512993# #现在年轻人有多爱拜财神，看这个小伙子就知道了！。。10月16日，浙江杭州。一小伙子爬山因体力不支晕倒摔伤，醒来后的第一句话竟是“先让我拜个财神，再去医院。”。。据媒体报道，小伙子因为加班熬夜，加上爬山前没吃饭，这才导致体力不支突然昏厥的。。。小伙子受伤后，景区立马安排医生和民警坐缆车前去救
1698983446# #这也太恐怖了吧，大马路上，就敢拿榔头砸人，还专砸头部。。。浙江桐乡，一男子手持小榔头，猛砸一女子头部。。。据路人拍摄的视频能看到，女子正好好地走在街上，后方突然快步走来一男子，手持榔头意欲行凶。。。女子注意到后本想绕到一旁小汽车后躲避，但还没来得及，男子就冲了上来。。。一手抓着女子，一手
1692324867# #现在这小孩都咋了，不讲理还满口脏话，要不是视频我还以为耍无赖的是个老太太呢！。。近日，湖北武汉，一小男孩跟爷爷坐公交，想跟一老奶奶换个座位。。。老人拒绝了，小男孩一下受不了，张嘴就骂人，声嘶力竭的。。“你这个家伙，祝你们一事无成、二佛升天、三魂出窍、四肢全断、五官开化、六神无主。”。。这
1691719128# #笑不出来苦涩
1698736693# #这是人干出来的事吗？。。甘肃兰州，一大爷在学校门外隔着栏杆卖红薯，学校工作人员不允许，食堂的工作人员竟拿着灭火器喷射大爷。。。喷完还嚣张放话，“你来一次我喷一次！”。。看得人气死了，这男也太缺德了吧。。。大爷就卖个烤红薯，赚点辛苦钱，学校门口不让卖，驱赶不就行了，非得朝大爷喷灭火器吗。。。
1690334074# #……
1703990333# #这人也太狠了，必须严惩！。广东深圳，一男子在排队时与后方男子产生矛盾，随后竟将男子放倒，用脚踩买猛踩男子的头部。。最后在旁人的劝说下，男子才将脚从后方男子的头上移开。。对此，深圳站工作人员回应，已关注到此事，正在调查当中，但具体情况并不方便透露。。多大的矛盾呀，打成这样，这人也太嚣张
1694660808# #上海一家幼儿园被爆虐待儿童！。。近日，有上海的家长爆料，自家孩子在幼儿园遭到了虐待。。。家长在孩子身上发现多处淤青，还有许多针尖扎的小孔。。。而且出现此情况的不止一个孩子，许多孩子身上都有类似的伤痕。。。几个家长一合计，带孩子去医院验了毛发。结果在两个孩子身上检测出麻黄碱，还有两个孩子含
1696841261# #好家伙
1691027256# #咋了这是哆啦A梦害怕
1693814183# #发布了头条文章：《残疾军人被女乘务员赶下车后续，结局令人舒爽，乘务员被扒早有前科》拒绝退伍军人买优惠票客车停运7天官方通报退伍军人买优惠票乘车被拒
1688355268# #哈哈哈哈哈哈哈
1700816510# #24日，有媒体报道，马云成立了杭州马家厨房食品有限公司。。据天眼查显示，该公司就创立于两天前，注册资本高达1000万元。。公司主要经营范围为食品销售（仅销售预包装食品）、货物进出口、食用农产品批发和日用品批发，酒店管理等。
1689821245# #允悲
1691550250# #谁那么缺德呀，把涿州救援队船上价值三万元的发动机偷了！！！。。近日，有位在涿州的救援人员发视频，控诉自己救人船只上价值上万元的发动机被人偷走了。。。该救援人员称，自己的船8月1号就来到涿州参与救援，帮忙运送物资。参与救援过后，拖船的拖车却不慎被洪水冲走。。。救援人员无奈下，只好用两根粗麻
1700013707# #允悲
1688007592# #哈哈哈哈，好离谱
1694056411# #哆啦A梦害怕
1688019551# #到底是谁在造这种谣呀怒
1701248597# #发布了头条文章：《大妈军事区拍照两小时后续，身份惹怀疑，网友疯狂喊话当地警方》
1699349525# #自我国宣布将在2030年登月开始，广寒宫就成为了网友们热议的话题。。毕竟嫦娥五号都已成功完成无人月面采样返回，嫦娥六号将在2024年发射，但嫦娥所住的广寒宫却遥遥无期。。但最近，总算有好消息传来，广寒宫将于2035年实现。
1688441720# #额
1692759233# #哈哈哈哈哈哈哈和
1700461899# #转发微博
1701148698# #这也太便宜了吧，老人想赚点钱真不容易
1696651045# #上海失踪女童的事大家应该都看到了。。。对于爸爸独自将女孩留在沙滩上，自己回去拿手机的行为众多网友都表示无法理解。。。认为怎么会有如此心大的父母，将一个年仅4岁的孩童独自留在海边。还是在天色渐晚的时候，难道不知道夜晚的海边有多危险吗。。。爸爸称自己只离开了12分钟，但有当时在现场的网友拍到
1690334704# #允悲
1699938964# #一个成年人，抱摔一个7岁的孩子，还有没有人性呀！。。近日，知名主持人白燕升爆料。自己7岁的儿子遭一名成年人抱摔，还是两次，导致孩子头部外伤、头皮血肿。。。事情发生于10月24日，孩子在姑姑的陪伴下在小区游乐场内游玩，期间与一同龄小女孩闹了些不愉快。。。小女孩父亲看到后大怒，直接上前从孩子姑姑
1689231964# #超过15元的奶茶滚出china
1693192605# #哈哈哈哈哈哈哈哈哈哈哈
1701411059# #苦涩
1690441752# #怒
1698118371# #女子举报嫂子身为公职人员婚内出轨生子。貌似有结果了！有记者联系到当地街道办的工作人员，其表示女子反映的情况与事实情况不符，还称女子是为了遗产继承。。。街道办工作人员称，女子是取样了自己父亲的头发和侄子的头发做的亲子鉴定，但取证时没有经过其父亲，也就是孩子爷爷的同意，所以这份证据没
1698648418# #哈哈哈哈哈哈哈哈哈
1700456961# #这老太太自己缺德就算了，咋还带坏孩子呢。。。河南周口，一老太太带一女娃在镇上餐馆吃饭。就几块钱一碗的面条，老太太都不想付钱。吃完了从女娃头上揪了一根头发丢进饭碗，随后把老板娘叫来，企图免单。。。可惜老太太没仔细看，人家老板娘是短头发，她家孩子是长头发。。。老板娘一眼就瞅出不对劲，况且这
1700471059# #发布了头条文章：《外籍男子开车逆行还竖中指，身份被扒滑雪冠军，已被公司停职》
1689924360# #什么素质呀，真是气死人了。。。一对母女，在路上骑电动车骑得好好的，迎面骑过来一个男子，二话不说给母女俩来了一脚，导致电动车失控侧翻，母女俩都摔倒了地上。。。简直了，什么人呀，是不精神有问题。。。大马路那么宽，个骑个的不行嘛。。。人家一没挡着你的道，二没惹你，平白无故给人来一脚是不贱得慌。
1688693930# #我喝了三年的蜜雪冰城了，他好不好我能不知道吗泪
1701758668# #那姐衣服上的格子还是自己用马克笔画的，里面的衬衣是她妈用月饼礼盒内衬给她缝的允悲
1697087218# #哈哈哈哈哈哈哈哈
1695872943# #这男的这么嚣张的吗，人家找你好好谈话，上去就给人一巴掌。。。江西南昌，一小区为将小区内的写字楼与住宅区隔开，弄了个铁栅栏。。。谁知写字楼的员工不遵守物业规定，擅自拿着剪刀去剪铁栅栏，想把写字楼和住宅区打通。。。被业主发现后，一女业主便前往写字楼与男员工沟通此事。。。两人正聊着呢，也没产生
1692755792# #该
1692165449# #好家伙，比韩国都能偷
1700240405# #发布了头条文章：《东莞一中学老师跳楼自尽，疑因在校遭不公，家长发声曝更多细节》教育局回应东莞一教师在校身亡广东东华中学
1690444020# #这人也太狠了，就是一点小刮蹭，敢拿铁棍朝人脑袋打！。。前几天，吉林发生了一起让人不寒而栗的事情。。。两辆小轿车，一辆白车一辆奔驰意外发生刮蹭，两个车主为此吵了起来。。。奔驰车主越吵越激动，直接从车里掏出一根长铁棍，棍棍下了狠劲，不停朝白色车主身上招呼。。。白色车主躲避不及，只能生生用胳膊
1690437857# #微笑
1698398343# #发布了头条文章：《贵阳男子打狗后续，爱狗人士身份被扒，所开火锅店被骂到关店》警方通报打死柯基男子被5人滋扰5网民到打死狗男子家门口滋扰被传唤
1697514033# #特斯拉车主都这么厉害的嘛？？？
1696750566# #发布了头条文章：《老乡鸡开启免费午餐，遭吐槽像打发乞丐，航天员能量餐带你窥内幕》老乡鸡
1703470854# #哆啦A梦害怕
1693213580# #发布了头条文章：《两大妈囤积食盐街边高价售卖，谁料无人问津，网友：该！》日本核污染水排海最新情况东电承认超6成储存核污水放射物超标日本海产品出口转攻东南亚市场
1701424481# #这男的也太凶了，必须严惩！。。广西南宁，一摊贩在倒车时不慎碰到后方摊主的凳子。。。这本来就是一件小事，毕竟摊贩倒车的速度并不快，椅子应当也没什么大碍，不会给摊主造成多大的损失。。。谁知那小摊主脾气还挺爆，甩着胳膊嘴上骂骂咧咧地冲到摊贩面前，上去就是一拳猛击。。。这拳打得多厉害，直接给摊贩
1689816992# #允悲
1691730194# #哈哈哈哈哈
1700840335# #好你小子允悲
1690351348# #hhhhhh
1700631106# #拜拜
1703038991# #哈哈哈哈哈哈哈哈哈哈哈哈
1694139441# #哈哈哈哈哈哈哈哈哈哈哈哈
1703757551# #最近石家庄这是咋了，这么多奇葩规定！。。前几天石家庄白佛菜市场才被曝不准商户制作面条、煎饼和饼丝，因为会造成大气污染。。。被网友狠狠嘲讽、指责了一通后，菜市场立马连夜撤回，称通知搞错了，没这回事，菜市场已经正常运转了。。。现在石家庄长安区青园街道一社区再搞奇葩事，在业主群内发通知。。。称
1702877081# #老人厕所摔倒求助4次，男子都不敢上前帮忙！。。广西钦州，一老人在厕所不慎摔倒，自己无法独立起身，4次向一旁男子求助，但男子最终都没上前帮助。。。大家先别着急骂，男子并非冷血无情，漠视老人的求助和痛苦。。。他是想扶又不敢扶，生怕做好事没好报回头被老人讹上。而且厕所可没有监控，到时候老人说是
1696993030# #好家伙，现在揣个10万块钱都不敢进一汽丰田了是吗？。。前不久，一网友带着自己父亲前往南昌一汽丰田4S店买车。。。很快看好了车型，就准备付款提车了。可就在网友提出自己全款买车时，销售一下变了脸色，直言店内不提供全款买车。。。网友就很纳闷，为啥不提供，没听说这规矩。。。谁知销售一听，立马脸一掉，
1694661463# #允悲
1695263537# #怎么把老员工给端走了
1703061698# #发布了头条文章：《哈尔滨退票姐遭网暴，冰雪大世界从早玩到晚，质疑园区雇水军攻击》哈尔滨冰雪大世界致歉哈尔滨退票事件
1702951981# #学校宿管太不负责了
1693042713# #发布了头条文章：《高铁打人母女后续，两人身份被扒不简单，白衣女子先吐口水挑衅？》
1699925154# #麋鹿居然这么大！！！
1689214325# #热到融化了
1694679344# #转发微博
1690882707# #哈哈哈哈哈哈哈哈哈哈哈哈哈
1691397217# #砍掉，强奸犯
1696755118# #看得太爽了，要是每个乘警都这样，那些老头老太太哪敢霸座
1703557435# #哈哈哈哈哈和
1701662716# #丐帮开会怎么没人通知我
1690877478# #发布了头条文章：《辛吉飞：有3样小吃，再馋也不能吃！太空方便餐为你揭露真相》辛吉飞路边摊
1698039471# #这个真的苦涩
1700907179# #发布了头条文章：《“白嫖我14年”后续，女子再发百页ppt曝更多内幕，曾遭多次殴打》
1701672171# #哆啦A梦害怕
1689932692# #发布了头条文章：《被忽略的食品杀手“沙门氏菌”，航天员能量餐向食品安全问题说不》
1692006318# #哆啦A梦害怕
1699335001# #学信息安全专业也不需要买8000多的电脑吧，上大学配置ipad也属实没啥必要允悲
1694747977# #这女的未免也太嚣张了吧！。。贵州六盘水，一女子因为与环卫工人发生了些争执，便伸脚狂踹环卫工人，还连踹4次。。。看路人拍摄的视频，女子简直不要太嚣张。老人已经在尽力躲避了，旁边还有个劝架的都拉不住她，一路追着老人踹。。。哪怕老人都躲到车后面了，女子还不罢休，挣脱开拉她的手，在两车的夹缝中
1702101506# #刚吃了份炒米粉22微笑
1699334295# #专业对口了
1689133579# #欺负老人真够不要脸了怒
1698815755# #玉米花生抢完了，现在开始抢药材了是吧！。。10月31日，河南周口一主人家种植的药材大丰收，她还没来得及高兴呢，就被附近抢药材的包围了。。。将近上百号人，拎着麻袋，毫不客气地冲进地里大包大揽起来。。。这么多人，主人家根本拦不住。看着自己辛辛苦苦种植的药材被别人一采而空，主人家瞬间崩溃，坐地嚎
1697281667# #发布了头条文章：《中以混血女孩妈妈黑历史曝光，公派留学拒绝回国，再发声态度傲慢》中以混血女孩中国妈妈再发声
1696993104# #哆啦A梦害怕
