1697015644# #真的假的？？？？？
1697362396# #杨利伟：登月航天员将从前期执行过飞行任务航天员中选拔
1700234032# #14年来中国持有的美债首次跌破8000亿美元，这意味着什么？。据观察者网消息，当地时间11月16日，根据美国财政部公布的2023年9月的国际资本流动报告(TIC)，中国持有的美国国债余额降至7781亿美元，创2009年中以来新低。根据美国财政部数据，中国9月持有的美国国债规模减少了273亿美元，为连续第六个月减
1689773350# #转发微博
1697284230# #亩产1251.5公斤！袁隆平“超级稻”创世界新纪录
1700577519# #还看不还看不还看不还看不……。国足遭遇点球误判！世预赛0-3不敌韩国，孙兴慜两射一传
1694863468# #四川一医院原院长落马，自曝受贿买8车7房
1692347728# #四大文明古国居然没有中国，北师大出版社出版的图书里就是这么干的！该出版社出版的由娄阁编著的《世界上下五千年》一书中就有这样的表述：没有根基，何来广厦，我们不应该忘记我们的起点，即那些初始文明的源头——古埃及、古巴比伦、古印度、古希腊。而这跟我们受过的教育，甚至跟国际共识都有很大的
1698293719# #美国缅因州发生枪击事件：已致22死，枪手在逃
1698893274# #手术六周后，美国第二例接受转基因猪心脏移植的患者去世
1702720530# #转发微博
1699446852# #证监会、交易所集体发声，事关资本市场监管及再融资安排
1694055513# #深夜，纪委工作人员从办案点出来，发现车顶上被人放了一只掰断翅膀的鸽子
1701505354# #美国竟又推出新规，使用中国电池的美国电动汽车将不享受免税
1691734981# #让大学生让座的女教师急得喊出五四三，到底羞辱了谁？。。昨天刷抖音看到有一位女教师带着孩子在高铁上让男大学生让座，面对对方拒绝并用手机拍摄，急得喊出了五！四！三！……。。很显然，这种五四三的警告行为很符合教师的行为模式，因为当他们面对难以管教的学生时，他们就只能用这种虚张声势的方法让学
1692629875# #印度在鼓励全世界用卢比购买桶装恒河水。去美元？印度企业被要求用卢比或迪拉姆结算与阿联酋贸易
1690789022# #桃源县委书记坠江身亡？当地殡仪馆：将于明日上午尸检，牌子的死因是“病逝”；警方：在江内找到的
1703312174# #国家大模型标准符合性测试结果首批名单公布，360、百度、腾讯、阿里通过
1694223467# #网民反映污水排入黄河，兰州：确有其事，溯源排查工作仍在进行中
1695567324# #日本第二轮核污染水排海将于本月底至10月上旬启动
1695542056# #落马副区长曾在歌舞厅打架子鼓补贴家用，经营权力后受贿超千万
1703852730# #原银监会副主席蔡鄂生一审被判死缓
1699806693# #空军飞行员：我们与外机在空中缠斗了5分钟
1700122834# #国家开发银行原党委委员、副行长周清玉严重违纪违法被开除党籍
1692197564# #决不允许劣币驱逐良币，希望他重回三院。比李文亮都冤枉！北医三院张煜发文求助，曾因揭露医疗黑幕被辞退
1703386041# #转发微博
1701505107# #澳大利亚是改变不了立场的。美英澳三国将测试全新人工智能算法，并于2024年举行联合海上无人机演习
1691843723# #邓亚萍发律师声明辟谣：有关“涉贪腐被带走调查”等消息纯属造谣污蔑
1697090416# #公安机关公开通缉陈岩板（鲍岩板）、肖岩块（何春田）2名电信网络诈骗犯罪集团头目
1691653454# #无文字
1700922779# #“鼠头鸭脖”涉事学校校长书记被撤职，指鹿为马者滚。。该来的总会来！我们再次相信，任何损害公信力的行为都将遭到严惩。。11月25日，“鼠头鸭脖”事件发生后的5个月，涉事的江西工业职业技术学院领导层最近已经进行了调整，姚小英校党委书记和刘华校长等校领导已被撤职。更新后的江西工职院网站“现任领
1698723406# #据红星新闻报道，10月30日恒大歌舞团团长白珊珊发布视频表示，遭遇无数网络谣言攻击，已向公安机关报案。。。视频中，白珊珊表示，各项矛头都在指向自己，无数的骚扰信息和电话铺天盖地地袭来。。。白珊珊称，自己只是一个普通的舞蹈从业者，并未做过跟工作无关的事情。至于网友议论的房、车、工资，都是有
1697620853# #贪官曾想跳江自杀，后选择主动投案
1693191654# #“最高外交官时隔5年访华，英国对华政策将接受考验”
1691904018# #这个德国记者居然如此傲慢和无知，他问：是否可以理解为，如果没有德国，中国无法实现8亿人口脱贫？中国的脱贫可以离开德国，但德国的发展完全离不开中国，去看看德国默克尔时期的经济发展成就，就是在与中国的贸易合作中取得的！。德国“恐华”毫无道理吗？对德中关系是否保持乐观？我驻德大使回应
1693103208# #国庆出游日本热度第一？旅企：日本游已开始退团，国庆旅游市场生变
1698287216# #美媒质疑以色列指控巴方的“关键证据”，称加沙医院爆炸“很可能不是”故障火箭弹
1698213219# #古特雷斯有多难，就连以色列都敢对他颐指气使！。因一句“哈马斯袭击并非凭空发生”，以色列要求联合国秘书长辞职或道歉
1691511892# #所以，老师是多么的重要
1701661815# #新疆生产建设兵团原副司令员焦小平被提起公诉
1701014517# #韩国报告：今年访韩的中国游客，比萨德风波发酵时期还少
1700624594# #美菲在南海海域举行七年来首次联合巡逻
1698636834# #张又侠：无论谁想把台湾以任何形式从中国分裂出去，中国军队都绝不答应，绝不手软
1697546332# #宋希斌一审获刑14年
1689912606# #苏纳克支持率跌至谷底保守党下台风险增加|联合早报网Weibo
1691498270# #你们的压力有民工的压力大吗？。王石：民营企业家现在压力非常大，姚振华至少没有躺平
1693361522# #中超公司董事长刘军被带走调查，历任董事长已全部落马
1689248802# #罗翔主张废除煽动颠覆国家政权罪
1702039296# #国家开发银行贵州省分行原党委书记、行长李刚接受审查调查
1698076244# #韩国决定：发白菜
1703993691# #印度就是牛，想干就干
1698548928# #转发微博
1702969586# #任正非早期名片上，华为公司在8-9楼，有人来面试，数半天只有8层
1696906446# #功勋外教猝然离世，他刚率中国队亚运摘银
1692710295# #受贿1.25亿，江西省政协原副主席肖毅一审被判无期
1695615629# #美军参联会主席换将或将深入对中国军事布局|联合早报网Weibo
1700311444# #人民币汇率创近3个月新高，主要指数连涨4周
1691662112# #镇干部与女子水库夜泳，女子溺亡后制造假象驾车逃离
1700811558# #香港小学人文科课程框架公布，包含国家安全教育内容
1703075282# #高院应当向大家解释清楚裁判文书的公开与否的利与弊。裁判文书上网公开“命运待定”，专家疾呼避免“因噎废食”
1703821720# #全国人大常委会法工委：废止地方涉罪人员近亲“连坐”规定
1691123890# #犯罪手段不断翻新、国企“塌方式”腐败尤为突出……广东职务犯罪案件有这些特点
1699859226# #以色列安全内阁通过新规，允许以危害国家安全为由关闭外国广播公司
1693720933# #网暴案二审维持原判江歌母亲：会继续向其他网暴者维权。一审法院认为，被告林某通过多次发布微博的方式对他人进行侮辱、诽谤，公然贬损他人人格，破坏他人名誉，情节严重，其行为已构成侮辱罪、诽谤罪，应予以并罚。法院以林某犯侮辱罪、诽谤罪，数罪并罚，判处有期徒刑两年三个月。
1692183126# #菲军称做好开战准备，山东号就开到南海，关键时刻，美国航母跑了
1702220046# #首次披露！已婚国企原副总与他人以夫妻名义共同生活、育子，共涉3宗罪
1695346354# #现在农村没有那么多苦难了因为人都跑光了，就剩老人在家，只要身体好，不存在什么苦难。农民日报头版评论：消费“伪苦难”，是对农民的多重伤害
1700806137# #“蓝白合”破局后，侯友宜宣布竞选副手是他
1698996254# #这是要反了！。我国科学家研制出首个全模拟光电智能计算芯片
1690376109# #保守估计，1788年，当英国人首次登陆澳大利亚的时候，这里总共有100万土著居民。但是到了20世纪初，土著人口一度下降到不足两万人。现在虽有所回升，人口勉强接近20万。从最初的澳大利亚的主体民族，到如今不足澳大利亚人口的1%，消失的土著居民哪去了？答案不言自明！。。澳大利亚前总理唱衰原住民权利
1699621947# #死缓！中信银行原行长孙德顺受贿案一审宣判
1697362330# #中国中免发布讣告：董事长李刚逝世
1701232358# #贵州大学原党委副书记（正厅级）任钢建被开除党籍————要闻——中央纪委国家监委网站
1694869324# #美国失去霸权，中国沿海被重伤，划算吗。。无论什么原因，台海也罢，南海也罢，朝鲜半岛也罢，中美短期内不会有大战。这是双方在认清彼此实力的情况下得出的理性结论。。。但是，如果一旦一方认为，不通过一战就不能拥有主权完整和民族尊严，那向对方开火就很有可能。。。如果是这样的话，国内有人提出，这一
1700137058# #四川省政协原党组成员、副主席杨克宁接受纪律审查和监察调查
1692503663# #卢卡申科接受乌克兰美女记者专访，指着地图质问！
1703075727# #韩财长人选解释其涉华言论：无“脱华”之意
1698893940# #中美欧等与会国在AI峰会签署宣言，同意合作建立AI监管方法
1698556929# #转发微博
1703386383# #转发微博
1691918293# #巴基斯坦瓜达尔港中方车队遇袭：防弹车受枪击，中方人员安全
1698324152# #神舟十七号三名航天员顺利进驻中国空间站
1699855391# #领导怒砸水瓶，村民就该回怼？
1695566316# #还是人命贱，他们都赔得起，要是来个一条人命500万，看看这些企业还敢轻视安全生产吗？国家啊，好好想想吧，把命价提上去，是减少甚至杜绝类似事件的唯一途径！。贵州六盘水发生煤矿着火事故致16人遇难
1693634827# #重庆市民政局原局长刘涛被开除党籍：把惠民工程异化为谋私利工具
1703044744# #美国科罗拉多州取消特朗普竞选资格。。据环球网、观察者网等消息，综合美国《纽约时报》等多家媒体报道，美国科罗拉多州最高法院今年12月19日裁定，美国宪法第十四修正案中关于取消竞选资格的条款适用于特朗普，他在该州不具备2024年总统选举党内初选资格。同时特朗普被认定“曾经参与叛乱”。。。对此，特
1698921392# #加拿大大使馆又做妖，被网友骂到赶紧删帖！。先来看看它们在11月1日到底发了个什么贴吧。全文如下：。一个多世纪以来，加拿大的原住民儿童被从家中带走，送入寄宿学校。今天，我们认识到这种同化政策是错误的，造成了巨大伤害，在社会中没有立足之地。。本着鼓励他人不要重蹈加拿大覆辙的精神，我们呼吁中
1698154738# #李尚福被免去国务委员、国防部部长职务，秦刚被免去国务委员职务
1700363431# #还是人命太贱，所以他们不放在心上。这些企业之所以存在侥幸心理，还是因为风险低，不足以让他们倾家荡产，牢底坐穿，甚至跟遇难者一样丢掉性命。。。国家矿山安监局：反复部署反复强调，至今自救器使用仍形同虚设
1696827888# #我刚刚在“10月会员抽抽乐”活动中抽中了【45天微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1690947219# #嘻嘻
1699283128# #黑龙江桦南一体育馆发生坍塌，初步确认3人被困
1695115623# #日媒：越南工厂低迷凸显从中国迁出的局限性
1692675539# #央媒发声，剑指“抹黑小作文”
1692696059# #闯了闯了人道人道
1697808298# #转发微博
1691808812# #真棒！全红婵2分钟叠出豆腐块被子，央视全程拍摄，不愧是亲闺女
1699534970# #商务部：将长期经营不善的55个品牌，移出中华老字号名录
1697688677# #南部也遭以色列空袭，驻加沙记者称数百个家庭正返回北部：死也要有尊严地死在家里
1701616490# #转发微博
1704205328# #腐败不除，国将不国这是网友一留言评论：。23年中去安徽某市应收购方要求调查一铜矿。明面的证上铜矿储量2000吨。实际从两千年初每年就出铜精粉2000吨左右....。真的是仨瓜俩枣就卖了啊。。中国地质调查局原党组书记、局长钟自然接受审查调查
1698300936# #近日，光伏产业内有传言称，印度所得税部门正在对中国主流40家光伏企业进行调查，调查理由为涉嫌逃税，调查范围涵盖公司及其印度的经销商。。。　　一位国内一线光伏企业知情人士第一财经记者称：“确有此事，实际已经持续将近一个月的时间。国内相关光伏企业以协助调查和接受问询为主，没有涉及抓人
1701174673# #原中国保险监督管理委员会深圳监管局党委书记、局长张辉烨接受纪律审查和监察调查————要闻——中央纪委国家监委网站
1696906862# #外媒：美国将无限期延长对两家韩企在华工厂进口美芯片设备豁免期
1694439113# #美国“功勋”间谍在华落网！国安部披露详情
1696838797# #苏大维格涉信披违规被调查，曾因“光刻机概念”股价大涨
1692613122# #转发微博
1697190008# #犹太人爱因斯坦曾给以色列第一任总统哈依姆·威兹曼写过信：。。我最大悲伤是看到犹太复国主义者对巴勒斯坦的阿拉伯人所做的事和纳粹对犹太人所做的事一样…。。如果我们无法找到与阿拉伯人正当合作、真诚对话的途径，那么我们就没有从过去两千年痛苦中学到任何东西，而我们所经历的一切痛苦也是咎由自取。
1693401105# #别吓着宝宝了！！！！。卢拉：金砖国家已经比G7强了，明年将讨论创建出口结算货币
1694845632# #黑龙江省政协党组成员、副主席李海涛接受审查调查
1702527504# #全球首个5G费率判决案结果出炉：手机5G标准全球累积费率上限5.273%
1697212558# #以色列造假儿童死亡视频被正义之士曝光出来，真会演
1692950310# #独家报导：爱国台商会长林怀被民进党判刑坐冤狱前的真心告白
1695102451# #违规泄露案件查办有关信息，中化泉州石化原纪委书记刘其峙被双开
1698420201# #遭拜登质疑夸大伤亡，加沙卫生部门拿出212页遇难名单：每个数字背后都是具体的人
1695001835# #规模小、投资效率低，日本半导体材料厂商面临被收购风险
1689222251# #一切皆有可能，一切都可以交易。唯有壮大自己，才有稳定的友谊。俄情报局长证实：美CIA局长确实给我打了电话，借“瓦格纳事件”讨论乌克兰问题
1692113937# #中印第十九轮军长级会谈：双方围绕解决中印边界西段剩余问题展开沟通
1691499078# #判五年都轻，他自己那么骗人家说他早就想死了，那就直接判死得了。冯某对被害人实施的“隔空助力”基本等同于“面面相授”，产生了实质帮助，反映出其明显具有积极追求他人死亡结果的发生而予以帮助的主观故意，且其帮助行为与被害人的死亡结果之间具有物理和心理上的因果关系，其行为符合故意杀人罪的
1700531376# #随着华为高端手机的归来，苹果的产业链外迁将加快，苹果离中国也越来越远了。印媒：中企在印扩张受阻后将3.3亿美元转投越南，这是“印度损失”
1691478735# #转发微博
1701784215# #财政部：全国政府法定负债率为50.4%，低于国际通行的60%警戒线
1693193233# #千万不能资敌。澳菲首次在南海海域举行联合军演
1698546800# #内塔尼亚胡28日的发言称“任何胆敢指控以军犯下战争罪的人都是没有道德的伪君子，以军是全世界最正直的军队”。。内塔尼亚胡：战争进入“第二阶段”，目标是摧毁哈马斯作战能力并接回人质
1695449227# #据媒体消息，网传恒大老板许家印在河南被公安带走，又传引起激烈反抗而被带上手铐脚镣。。至于许家印为何被抓，也许跟很大资不抵债有关，此前就有许家印的多名亲信被带走调查，也有人认为许的被带走可能与恒大足球俱乐部有关，因为最近体育界反腐严重，也许会殃及恒大。从中国足协主席陈戌源、体育总局
1699068466# #黄智贤老师说，有人告诉她，中国的教授60岁以上的都亲美。这个论断是否准确呢，估计有相当一部分是这样啊。从年龄看，60岁以上的，至少都是1960年之前出生的，从1940年出生到1960年出生，其受教育，特别是高等教育的时候，分别是1960-1980开始的，那时候，前者挨饿不能好好上大学，后者正赶上思潮泛滥
1690204088# #国家烟草专卖局原副局长何泽华被逮捕
1701847509# #英国塞拉菲尔德核设施被曝出现核泄漏，“官方已掩盖至少三年”
1695954943# #对华征税有必要吗？朔尔茨：我不确信，欧盟经济不应依赖保护主义
1693287852# #日本政府制定应对紧急事态的掩体建造草案
1696217544# #冬天用苹果，一机多用，你们居然不解风情。iPhone15热到不能碰？苹果回应
1700234154# #无论什么性质的企业，是不是都应该以人民为中心？。今天看见一对网红夫妻“亮亮丽君夫妇”因为讨要2万来元的宣传佣金而在郑州RONGCHUANG售楼部被人殴打。据有该网红透露，售楼部的先是关了监控，然后就说可不可以打他们，然后就打了！不仅打了，还夺了手机，扎破了车胎。而更让人心酸的是，这对夫妻还贷
1699939506# #300个上榜！工信部公示《2023年5G工厂名录》
1698294030# #古特雷斯还在社交媒体X上发文，表示“巴勒斯坦民众的不满不能成为哈马斯发动可怕袭击的理由。这些可怕的袭击也不能成为对巴勒斯坦民众进行集体惩罚的理由”。《以色列时报》对此评价，在以方压力下，古特雷斯疑似“收回”争议言论。。。不过古特雷斯的反复解释，并未获得以色列方面的认可。以色列常驻联
1696824641# #劳模变捞模这个评论绝
1702023471# #“10亿副省长”被捕！长期偷看违禁书
1694535286# #足够大也足够慢
1689386229# #据中央纪委国家监委网站7月15日消息，中国光大集团股份公司原党委书记、董事长唐双宁涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。。2003年，中国银行业监督管理委员会组建成立，唐双宁任银监会副主席、党委委员，并兼任银行监管一部主任至2004年8月。。2007年6月，唐双宁离开银监
1697897276# #中国的援巴物资到了
1704035033# #公历2023年的最后一天，说点什么好呢？。自个的事情不说了，没啥意思。。1、这一年，最开心的，应当是华为的突破了。。关键是他们选在雷蒙多来访的时候让新机上市。雷蒙多有点懵，整个软件界都懵，不过作为普通中国人，我们很开心。真的。任老板，很受人尊敬，表现得很坚毅，很宽容。即使是个成功的大老板
1692798260# #数据披露是否也要讲大局？。今天看新闻说中国的单身人口有2.3亿强，但仔细一看，含15岁以上人口。真是笑喷了。你家孩子16岁上高一，算是单身啊！那你让他们在学校恋爱呗，让他们课堂亲嘴呗。。我就觉得这个数据统计很有问题。不要说遵循什么国际惯例。国际惯例也不是什么金科玉律，也得讲究服不服水土。
1695566526# #中国恒大：目前的情况无法满足新票据的发行资格
1696827918# #我刚刚在“10月会员抽抽乐”活动中抽中了【15天微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1693879503# #福建中医药大学附属人民医院原院长刘建忠被调查，已退休3年
1691834584# #转发微博
1701959624# #黑龙江省政协原副主席曲敏被双开：违规选拔任用干部并收受财物
1698557270# #做一个负责任的大国，是多么地累
1696827878# #我刚刚在“10月会员抽抽乐”活动中抽中了【3个月微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1702527780# #人体器官捐献和移植条例（全文）
1697555497# #“很漂亮！”哈萨克斯坦总统托卡耶夫返回母校
1692678315# #仍有850人失联，拜登“姗姗来迟”访问毛伊岛
1692710565# #人家不是真爱大熊猫，只是把他的基因留下做研究。外交部：3只旅美大熊猫将于今年年底按期回国
1703140431# #中国暂停与阿根廷465亿元货币互换协议？阿根廷专家提醒：对华关系不可取代
1692891852# #普里戈任坠机事件的第一嫌疑人出来了？。普里戈任坠机，让全世界都大吃一惊。那么到底谁是凶手呢？俄罗斯一位自媒体账号爆料称，普利戈任所坐飞机的所有人，也即普里戈任私人飞行员阿特姆·斯捷潘诺夫却没在这架飞机上。据该自媒体账号透露，在飞机起飞前，这个飞行员去了勘察加半岛，等到飞机出事的时候
1690783184# #海口通报“逾百亿外资项目落地受阻”：公司注册资本仅为1万元港币
1701071473# #捷克官员：一些捷克公司恢复购买俄天然气
1693117320# #川投集团纪委副书记杨超自杀？公司回应
1697202564# #北京警方：一以色列外交人员家属被一外籍人员扎伤，嫌疑人已被抓获
1690721707# #有网友评论说“要下大决心关闭私人经营的矿山或私人承包的矿山企业，这些私营矿山大肆剥削矿工甚至不惜灭绝矿工生命、掠夺国家资源，严重破坏环境生态，并腐蚀干部破坏政治生态，问题极其严重，而且屡禁不止，这是资本剥削本性所致，靠一般法律及行政手段难以解决，必须下最大决心。具体到本案，性质极
1702971660# #感谢香港！。香港将启动赈灾基金援助甘肃
1693368188# #一连数起高死亡数事件让我们蒙羞！这绝不应当是中国的风景线！。。加上失联的，又有52人离开了这个世界。四川凉山金阳“8·21”山洪灾害：5人涉嫌“不报、谎报安全事故罪”被刑事拘留。。。经排查梳理，灾害发生时项目工地内有201人，其中149人脱险，4人遇难、48人失联。调查取证已发现，沿江高速JN1（金宁
1699928193# #中方呼吁国际社会支持建立中东无核及其他大规模杀伤性武器区
1695381286# #日本排放核污水，中国进行了反制，媒体进行了报道，在国际上也造成了影响。但目前看，日本排放核污水是长期的分阶段进行的，其对人类特别是近邻的影响也将是长期的。那对其这种极端不负责任的行为，我们中国人，凡是能说话会打字的，就要想办法进行无情揭露和无情打击，绝不能让其成为热点新闻，热点一
1695439922# #河北一民办初中向家长收6万多元“捐赠费”还只要现金？当地教体局回应
1697724203# #没按时给钱，“广东第一民企”创始人被限制高消费，公司年营收超7000亿元
1699243554# #把下属当“家臣”、将父母骗去捡废品种菜，影帝贪官李朝伟案更多细节披露
1692498186# #几千具遗体，简直不敢想象！夏威夷，下一步应当成为夏威夷国，才能真正自救。
1696256381# #偌大的集团要垮了，那么风光的许老板。可能面临牢狱之灾，思思想想，真的令人叹息。。当然走到这一步，关键是他自己，同时，也有许多推波助澜的，在该提醒的时候没有提醒，该拒绝的时候没有拒绝，该吓阻的时候没有吓阻。这里想特别问下那位经济学家，每月拿着恒大100多万元薪资，在恒大一步步走向深渊，
1692032266# #刘强东夫妇“移民美国”？京东：造谣抹黑，已报案
1695350000# #被曝在华大规模裁员、关闭办公室？高通回应
1697774799# #2022年中国创新指数比上年增长5.9%
1696904619# #人民网北京10月10日电（记者李楠楠、马昌）记者从最高人民检察院获悉，国家体育总局原党组成员、副局长杜兆才涉嫌受贿一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪对杜兆才作出逮捕决定。该案正在进一步办理中。
1693139989# #财政部、税务总局：8月28日起减半征收证券交易印花税
1700483942# #中沙（特）两国央行签署双边本币互换协议
1689589546# #这很美国啊。已经不能说人话了？美国9岁男孩体检被医生问性别,爸爸气炸怒斥
1693192079# #澳菲首次在南海海域举行联合军演
1690123047# #城区人口1094万武汉晋级为全国超大城市
1695525661# #这才是说真话。国家统计局原副局长贺铿：现在房地产供应过剩，14亿人可能住不完
1689772330# #让二货们都看看
1697705452# #菲律宾投资署：马科斯总统出访带动大量欧洲对菲投资
1695357098# #山姆超市未标明商品“日本产”被质疑隐藏产地信息，市监局:尚无明确规定
1692873247# #转发微博
1701004648# #抗美援朝战争到底给美国带来了什么？。。今天是毛岸英在朝鲜战场牺牲的日子。73年前，那么多勇敢的年轻人响应祖国的号召参加了抗美援朝的伟大战争。许多人倒下了，许多人永远地留在朝鲜半岛的土地上。毛岸英只是其中之一。正是由于他们的无畏牺牲，换来了今天祖国的繁荣昌盛。也许许多人不能理解这场战争
1691479943# #西工大研发武装“魔鬼鱼”，四面八方发起攻击，航母也不堪一击
1690897835# #河南审计厅：41家银行违规处置百亿不良，灾后重建资金被截留
1703073141# #以色列连举着白旗的人质都杀，真是疯了！他们的军队是要向邪恶看齐吗？。马来西亚禁止以色列船只停靠该国港口：是对以色列持续暴行的回应
1691918453# #美国网络安全竞赛让黑客攻击美卫星，结果美媒又炒作“为应对中国”
1692940402# #北京取消二环主路公交专用道，三环外专用道将在公休日节假日放开
1696780223# #没有无缘无故的的仇恨，弱者按照强者的方式反抗一次就受不了了
1692873236# #我们为什么不拍一部关于印第安人的电影或电视剧呢
1689312007# #！！！。富士康败走印度：两个诈骗犯的棋逢对手
1699929150# #最高人民检察院依法对浙江省政协原党组成员、副主席朱从玖决定逮捕
1692760233# #漳州片仔癀董事长刘建顺严重违纪违法被开除党籍
1690122023# #希望他永远是个自信自强的中国人！！！。“敬礼娃娃”郎铮被北京大学国关学院录取
1696912146# #这样的干部值得提拔
1692688422# #国际劳工组织：高收入国家的3000万个工作岗位可能被AI取代
1693754310# #哦，灯塔阿美莉卡
1698735237# #山西易联支付被罚115万违反交易信息处理管理规定等
1697708075# #一日籍药企员工涉间谍罪被逮捕，我外交部回应
1692759164# #不必暴风骤雨适合温水煮青蛙。俄总统普京：“去美元化”进程已经不可逆转
1698987507# #美国以涉俄为由宣布新制裁，包括三家中企
1698916746# #浙江省委书记与阿里巴巴集团新任班子座谈
1692065729# #拜登邀请岸田文雄和尹锡悦前往戴维营会晤，被曝将启动三国相互防御新措施
1690781729# #亲一个！！！。双喜临门！跆拳道品势金牌得主梁婕颁奖现场被队友求婚
1697183251# #造谣流量千千万，辟谣帖子无人看…摊手
1693463133# #你们怎么评价普京普京是一个有决断的人。他在面临困境时敢于面对问题并敢于采取决然的手段并且不怕他人的议论。。比如他敢在自己地位不太稳固的时候对俄罗斯的寡头们下手，收回了国家重要资产的掌控权。他敢于在讨好西方而不得利益时及时止损，收回克里米亚。他敢于在西方大力制裁时同乌克兰动手，占
1690725256# #电梯突然停运乘客原地停留20分钟，为何停运的扶梯不能走？
1697633552# #坐等。象棋泰斗柳大华实名举报国家体育总局领导，官方回应
1701433174# #李东被公诉，曾任国家能源投资集团副总经理
1692177978# #转发微博
1695036096# #现在为什么骑墙派到处挨打。最近，苹果因为其官网一张亚洲脸型的辫子男照片引起广泛争议，有论者指出其具有强烈的种族歧视，也有论者指出该照片不是特意只面对中国消费者，也有洗地者说是苹果公司印第安人员工，到目前为止，苹果官方还没有给出具体说法。。但资深媒体人胡先生就站出来要求大家不要太敏感
1698032431# #据中央纪委国家监委网站23日消息，国家烟草专卖局原党组书记、局长凌成兴涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。
1692873008# #这个问得有点扎心啊
1693401850# #我发现许多人都小看赖清德的灵活，如果他当选，他绝不会急独，因为不统不独对他最有利，可以确保再干四年，干嘛惹大陆打他。现在就看大陆的了，台湾不论谁上台，都是不统不独，就看大陆怎么办了，继续拖着给后代解决，还是一鼓作气，提出和统方案，接受最好，不接受，就设定统一最后时间，干！
1700113194# #山西吕梁永聚煤矿联建楼火灾事故已致19人遇难
1692348299# #被曝要求日方提早排“核”入海，韩政府紧急否认
1692063341# #刘强东夫妇“移民美国”？京东：造谣抹黑，已报案
1697796066# #上交所原副总经理刘逖被开除公职：以资本市场“专家学者”自居忽视政治要求
1697680617# #张又侠会见塞尔维亚副总理兼国防部长
1692873841# #老胡这是怎么了不知道信息战的敌人给我们送来了炮弹吗
1701238469# #王毅会见联合国秘书长：决不能让战火重燃
1693371271# #华为以这样的方式欢迎雷蒙多访华，超赞。。就喜欢看到他们很失望的样子。那个他们极限打压置之死地而后快的华为，就在美国商务部长雷蒙多访华的时刻，居然发布了一款很牛的手机。。这个不是广告，但这个手机的亮点还必须说出来，以免闪瞎他们的双眼——这是全球首款支持卫星通话的大众智能手机，即使在没
1695374841# #中央纪委国家监委第十三审查调查室二级巡视员汪幼勇接受审查调查
1691121478# #转发微博
1703769047# #广东省人大常委会原党组成员、副主任陈如桂一审被控受贿超1.08亿
1702461651# #美国智库报告：中国在70%战略产业中处于全球领先，美国和G7市场份额迅速下降
1697012854# #国家安全部：澳大利亚籍人员成蕾被国家安全机关依法执行驱逐出境
1695731701# #济南长清多位农民工工资被欠10年，劳动监察部门：历史遗留问题，管不了
1697546612# #中国石化入股哈萨克斯坦最大聚乙烯项目，将获30%股权
1695451211# #美对华芯片限制“护栏”最终规则公布
1689773149# #那个出卖萨达姆的人怎么想
1696578356# #普京谈普里戈任坠机：飞机未受外部冲击，尸体中发现手榴弹碎片
1702366193# #河内：各界人士夹道欢迎习近平到访
1690807910# #别瞎猜！。四部门：为维护国家安全和利益，对部分无人机实施临时出口管制
1697556487# #联合国：以色列对加沙地带的围困及其撤离令可能违反国际法
1690956748# #中医对老外影响有多大？中国女婿实拍：外国小舅子诊所爆满！
1690879920# #国家安全部：反间防谍需要全社会动员
1699535553# #路透社报道，法国总统马克龙11月9日宣布，法国今年将把对巴勒斯坦人的援助资金从2000万欧元提高到1亿欧元。。据英国《金融时报》8日报道，由于德国加强了对以色列打击哈马斯的支持力度，德国今年的对以国防出口额已达到3亿欧元，较2022年增长了10倍。
1700358942# #马尔代夫政府正式要求印度从马尔代夫撤军
1698046569# #汪峰章子怡被曝离婚！女儿跟爸爸儿子跟妈妈
1694160521# #最近对东盟峰会上，大韩民国对大统领尹锡芮同学非常飘。。他在跟我们会面时说，如果朝鲜继续加强核操作，美日韩的合作就会更加紧密，听了这话，就觉得里面有威胁的成分，似乎在威胁中国赶快对朝鲜施加影响以促其放弃核努力。。其实，他完全本末倒置，正是美国在韩国加强军事活动，时常在朝鲜的旁边搞军演
1697785372# #卢晓中被查，去年刚退休
1690620602# #印派藏南运动员参加大运会，中方发放特殊签证，印方紧急叫停登机
1692182931# #韩国总统光复节惊人表态！韩国网友历史上从未有过像他这样的总统
1689475349# #问题很严重，居然有人举报刮刮乐销售老板作假！。原来，有人去彩票点买刮刮乐彩票，但发现销售老板正在往已经刮过的彩票上贴涂层。于是该网友将其拍下的视频反馈给中国福彩中心，但该中心的却是带有威胁性，说什么拍视频投诉有风险，不建议网友这么做。。可以说，如果上述情况属实，那不仅作假的老板
1697096091# #外交部：已确认有3名中国公民在巴以冲突中不幸遇难，2人失联
1699934120# #企业没搞好都怪政府企业搞好了是企业家牛逼各种检查来了你烦心哪天企业爆了怪检查不给力
1692511009# #阿尔及利亚发生一起针对华侨企业的恶性抢劫事件，中方：已向阿方提出严正交涉
