1698642878# #美国是资本主义国家，是有钱人的天堂！我们是人民当家作主人，人民是江山。
1689584004# #带着微博去旅行实地考察法门寺的传说，舍利腾辉耀法门。记录旅行
1699098742# #那么到底谁在破坏中美关系？都有谁被绳之以法了？
1691844558# #倒查20年，有74岁落网的，要是倒查30年，就有84岁落网的，你信不信吧？
1690877492# #辟谣帖！关于清华大学的，一个调侃的段子，被说成是研究成果，明白就好了。
1693179259# #每次巡视的性质和任务都有不同，但是，听到巡视两字，还是让腐败分子瑟瑟发抖。
1694255462# #这就是楼市的现状，看清楚了吧！买方市场大局已定，已经无力逆转。
1693123461# #服气了！不但前腐后继，还都是一把手，还窝了一大窝。咋搞得啊？太典型了！
1695913048# #还没放假呢，高速也没免费呢，就开始堵车了？打开视频，全是爆堵啊！
1689606001# #清除腐败，唯一办法，当然也是最好办法，就是见光死！围绕这个方向进行改革一定能行。
1697445424# #建筑行业影响大，但是央企建筑以大基建工程为主，总体来说，还算平稳。民企盖房子的公司，是真不好干了，跟着建筑租赁业也不行了。
1696078964# #记录旅行大漠敦煌，国家宝藏。丝路游记骆驼背上开party十一种草大会
1692355404# #这种在一个系统，集中处理的方式，比较好，震撼力大，两个原党委书记，说明已经被免职，或处分过了。既往再咎，让很多退脏不干净的人们瑟瑟发抖，最近反腐力度明显增强。
1689549898# #两个办法，一个是把他们的思想挖出来，烧了，另一个是，把贪官们揪出来毙了！没有其他办法！
1696469451# #这样的明白人，极其罕见！
1699313624# #把国家关系，还寄托在什么血缘关系上，是十分可笑的事情，寄托在这种姻亲上，更是荒唐，你以为这是昭君出塞呢？
1689979213# #记录旅行台北市区里的森林公园，看看和你家乡的城市公园一样吗？带着微博去旅行
1691763100# #辟谣帖！针对传言，深圳金融监管部门回应：视频内容严重失实，纯属谣言。中国日报记者从深圳金融监管部门获悉，目前，深圳市房地产贷款按揭不良率为0.23%，那么0.23%是多少套？深圳市有多少套房贷？
1702422863# #洗涤灵没有这么大毒性，长期使用，对身体有伤害，但不是剧毒。确实，食堂不会像家里那样冲洗，原来看过一个报道说，日本是要求冲洗7遍，当时有中国留学生过去打工，为了省事，就冲洗5遍，后来被老板发现了。日本人做事认真，政府规定多少遍，就必须多少遍。我见过食堂洗碗，是怎么洗碗的，就不描述了。
1702721141# #同样的血型！
1698373002# #抗疫英雄们，有什么困难没有？补贴拿到了没有？
1703549888# #民族自信、文化自信，就从过好中国节日开始，有钱没钱，回家过年，杀猪宰羊，喜气洋洋，过年三大任务，相亲买房看春晚，一个都不能少。
1690275711# #今天，人们都在关注齐齐哈尔体育馆垮塌，造成的学生伤亡事故，谁家的孩子都一样！感同身受！
1692228658# #提高警惕，间谍可能就是你的老师，你的同事，你的朋友，太危险了！
1690245529# #不是专业，没有干过路桥工程，只是一般了解。
1696152378# #记录旅行河北农村中秋庙会，套圈套出了套新玩法，第一次看到活物的。带着微博去旅行十一种草大会
1696380977# #把大奖给了抗疫失败大国，跟谁说理去！
1696670174# #不要错误理解，更不要胡乱解读对台大政方针，首先先要学习好，领会好。我们的基本方针是在“一个中国”的原则下，在坚持“九二共识”的基础上，什么都可以谈，中国人自己的事情，中国人自己做主。我们的承诺，掷地有声，中国人说话是算数的。大家应该多做争取台湾民心的工作，不要起反作用。让越来越
1699459514# #逻辑和辩证法（一分为二）应该不矛盾，不能把逻辑和辩证法对立起来。网上的杠精们，哪里懂什么辩证法，回答杠精们最好的一句话，就是，你说的对！你说的全对！然后，就走了！
1690195790# #司马南和何院士两个人说不到一块了，原来两个人关系挺好的。
1694098665# #李亿龙案很有说服力，他是怎么把财产移到美国的？一下子买了20套小房子。
1698905776# #没有说解放啊？打仗是说，消灭分裂势力。
1698758342# #你把哈马斯当成国军了？最后结果，你也就知道了。
1697444787# #这个说的胆子真大！
1689715825# #带着微博去旅行流浪地球到台湾，台中的早晨静悄悄记录旅行
1696564214# #一个日本人，把中国的事情，看的这么透，这么深刻，细想极恐，我开始以为把李铁抓起来，就好了，换个主帅，中国队就出线了，后来又出了一个，又出一个，我就又想，把足球班子都换了，就好了。你看人家说的，不是几个人的事情，咱们玩的根本就不是足球，这个话也是一句惊醒梦中人啊，这个日本鬼子，日本
1703683852# #平安夜这事算是讲清楚了，不能造谣啊！也不应该移花接木。
1690863583# #向遇难同胞表示哀悼，向牺牲的救援队员表示崇高敬意！祈祷失联人员平安无事！这次暴雨比十年前的721大雨造成的损失大多了，历史罕见！这次台风造成灾害的，还有河北、天津，以及南方一些省市。挺住！加油！
1688656764# #被美国脱钩断链，也就这样了！就看美国急不急？急成什么程度？你敢开第一枪，我就消灭你！
1694679770# #任上被查，办公室带走的，还是比较少的，这个力度是不一样的。
1698709161# #如果按照他说的这个，只有一个声音，都是唱强中国，唱衰美国的声音，项立刚们就一统天下了，任正非们就没有生存空间了。差不多就到了北洋水师、义和拳那个时代了，你说现代社会，怎么还有这种人？他们没有上过学吗？她们没有学过政治课吗？不懂辩证法吗？没有学过党史吗？不知道我们是怎么走出来的吗？
1702475198# #这个人是谁？张嘴就来，你说得对不对，到时候就知道了，那时也不知道你在哪里呢。
1696433556# #俄乌战争或就要结束了，但是谁赢得战争？信息有点乱，俄乌谈判又要登场了，你看看，这是谁赢了？
1691717295# #&nbsp;谷爱凌雕像近日在北京南山雪场落成，这是单板还是双板？今年雪季去看看。
1698230412# #如果说是贸易战打了几个战役了？胜负如何？下一个高地在哪里？怎么拿下来？等几个阶段打完？我们能不能取得全胜？取得全胜到标准是什么？如果没有这些要素，何谈战争？
1688338824# #柯文哲的统一论，先不评论，“没有共识的共识”这句话都流传，至少十年了，如果刨根问底，更早了！
1693182862# #党校学历确实不是国民教育序列，属于再教育性质。
1694243542# #接管？从何谈起？他从谁手里接管？这不是无稽之谈吗！
1693955443# #警惕有的有人利用对2758号决议的错误“解释”，制造两个中国、分裂中国、公然支持“台独”的行径。2758号决议清楚表明，中华人民共和国政府是中国唯一合法政府，是中国的唯一合法代表。
1691739437# #红十字会应该改制了，不能机关化了，更不能享受超公务员待遇了，改成民间组织，民政部监管，让民营企业家当会长，当理事，也是零工资，零待遇，这样，可以让红十字会重换新生。中国人，一定比日本人干的好。
1691620983# #一天就能得一个冠军？都是什么项目的比赛啊？太厉害了！去国际奥委会！
1689472260# #去年出版社界有多位老总被查，今年转移到报业集团行业里来了，这都是舆论高地，高地不胜寒，各家单位的问题。都差不多，一个一个挨着查吧！
1702594611# #别怕，不是鬼故事，七年退不了，至少八年半！
1691909679# #记录旅行带着微博去旅行去大草原撒个野草原风光，西乌旗大草原！
1703050417# #早知鳌鱼沟，何必要往东北跑，通过北京雪乡的断崖记录旅行微博旅行100计划100张年度旅行照片
1693313534# #这个好物闭眼入好喝不胖的养生奶茶原叶红茶/茉香绿茶/玫瑰红茶浓郁顺滑不寡淡。【推荐理由】这款好喝不胖的养生奶茶以原叶红茶为基底，融合了茉香绿茶和玫瑰红茶的香气，口感浓郁顺滑不寡淡。无论是沏茶还是泡奶，都能带来细腻的口感和丰富的层次感，让你在品茗的同时享受到养生的好处。。【现价】
1693786752# #改名字了？要去“司马南”这个标签了？
1696493032# #厉害了！丢了手机急死人，捡到手机，请尽快联系失主，感同身受，谁都有可能丢这个，丢那个的。
1698273990# #美军参与围剿哈马斯只有两个结果，一个是彻底消灭哈纳斯成员，但是，这个也难，谁是哈马斯？多少哈纳斯也不知道？死亡的贫民里面，也可能有哈马斯成员，也有的哈马斯成员可能平时就是老百姓。所以说，哈纳斯是消灭不了的，也有道理。如果能把哈马斯的中高层官员清除，已经不易。另一种结果就是，像在阿
1696861996# #哈马斯是巴勒斯坦的代表吗？哈马斯代表巴勒斯坦解放事业吗？
1695136825# #白衣天使！
1694008372# #看来缅北的事情，真是不简单，根子不在缅甸，在国内，诈骗头子原来是中国人。
1688433169# #大众这么大厂都关门了，并且还是在上海，是被国产车打败的吗？
1698048216# #健康快乐！
1688254301# #C919像出生的婴儿，需要特别爱护，有点情况，就要问问医生，还不是经风雨的时候。
1702399100# #100张年度旅行照片微博旅行100计划记录旅行台湾的马路与民居，感觉亭温馨自然。
1696469667# #三桶油被乌克兰制裁了，原因是三桶油和俄罗斯有合作项目，这年头，乌克兰也敢出来伸手制裁，任他去吧！不理他就是了。
1702361787# #香港街头的竞选广告，2号两个人一组？
1689610252# #最近两个月，已经发生好几起，由于煤气爆炸造成的重大事故和特大事故，应该全国联动了坚决杜绝类似事故再次发生。赶快进行全面排查吧！
1694344751# #机组人员，都是有功之臣！
1691500760# #走大广高速路过饶阳，饶阳距离涿州、涞水、高碑店不是一个方向啊，饶阳北距离肃宁、沧州较近，南距离深州、衡水不远，距离雄安新区也不远，怎么饶阳的水这么大？饶阳是一个平原县。
1692276268# #司马南最好的选择，应该是功成名就、急流勇退，闷声发大财，偷着乐就行了。继续疯狂下去，很危险，他自己应该知道自己是个什么人。
1702246579# #下雪了！2023年冬天里的第一场雪，预报还挺准的。只看到一串脚印，走了，赶地铁的上班人！100张年度旅行照片记录旅行100个旅行必备指南
1692501073# #处理南海有关问题，有个原则就是排除域外势力干预。
1698286225# #这个好物闭眼入山东烟薯25号3斤5斤9斤装烤薯专用流糖地瓜。【推荐理由】山东烟薯25号是一种优质的地瓜品种，表皮光滑，内部纤维细腻。3斤装的山东烟薯25号，适量分食，新鲜味道更佳。。【现价】18.9元。
1703600203# #清迈的小河纵横交错，这段小河与众不同，这个就是他们的生活常态记录旅行微博旅行100计划100张年度旅行照片
1690407196# #辟谣！假消息，其实，更像是一个调侃点帖子，也提示人们多关心身边事，多关心身边人，多做好事，温暖社会。我们生活的就会更幸福。
1692920000# #早就脱贫了！这是就业务工安置。
1693130826# #应该是谁唱衰了中国经济，嘴炮！长期不干正事，天天放嘴炮，中国经济需要实干家，不需要嘴炮！
1690531232# #同意绍伊古同志的判断！
1699147443# #2000年后的现在又有发展，就是不学给人看，买个文凭给人看，甚至不是给人看，而是用于晋升买官之用。
1696849636# #开始是打击纳粹，后来改成吞并领土了，历史上没有乌克兰，都是俄罗斯。
1693490504# #我们是个法治国家，从法制到法治，这么细微的事情，都有明确规定，以后还真不能坐别人的下铺了。这样，如果说小桌子也应该明确属于下铺所有，因为上铺的人想用，没地方坐啊！中铺和上铺四个人共用过道的两个小凳子和一个小方桌。以前我也坐别人的下铺，别人也坐我的下铺，没觉得不应该，现在看来还违反
1699411244# #中国人，有天然的“路见不平一声吼，该出手时就出手”的优良传统，切记！看见不平事，拔刀相助，保护别人，就是保护自己，就是保护自己的家人！
1690153195# #你的未来，就是飞得更高，走的更远！像个自由的小鸟。
1699489382# #新闻的要点，或者说是命根子，一是快！谁快谁得先机，二是准，就是真实，要让人有亲临其境的感受。形式不是最重要的。央视资源无与伦比，希望重振雄风，再创辉煌。
1693870112# #汽车以前是生产工具，后来成了生活用品，现在起码有一大半的车是大人的脸面，一年跑不到一万公里，浪费巨大，很多人花几万块、十几万块钱买个车，舍不得跑，舍不得加油，舍不得保养，舍不得买保险，很多人就是为了一个面子，不能没有，有了又舍不得用，跑的越少，相对使用成本越高。人们实际的富裕程度
1691536683# #要不要买房，看需要不是看别的！和五年前的认识相比，应该这样认识了。
1692663542# #浙江电视台的声明，比节目组的声明态度好多了，答应对节目组进行调查！继续关注！
1696669148# #不要宣扬大陆军事威胁论，要给台湾同胞讲清楚，大陆发展军事力量，目的是反击外国侵略，不针对我国台湾，更不是针对台湾同胞，两岸都是中国人。我们只反对和打击“台独分子”，消灭任何企图分裂国家的势力。
1703497136# #泰国清迈的一条小河，旅游休闲好去处。记录旅行微博旅行100计划100张年度旅行照片
1690799845# #万万没有想到，北京的雨水这么大！太大了！下了差不多三天了！门头沟、房山地区受灾严重。祈祷平安！祈祷平安！
1693448166# #突破！壮观！买一个用用，多少钱呢？
1692856153# #据报道，日本排放核污水的时间，要延续几十年，日本周边海水长期被污染，日本的海产品是不能吃了。
1692762454# #这个好物闭眼入【寻味云南】云南澜沧江原生茶饮料0糖0脂0添加冷萃...。【推荐理由】【寻味云南】云南澜沧江原生茶饮料是一款健康的选择。它不含糖、脂肪和任何添加剂，非常适合注重健康的人群。采用冷萃取工艺，保留了茶叶的原汁原味，喝起来回味无穷。整箱发货，一箱共有12瓶，方便携带和保存。
1697445651# #该清算的一定要清算，让那些窃国大盗们瑟瑟发抖吧！
1702889085# #都赔光了，老胡也不会跳楼，他有的是理由反转，亏就是赢！亏的越多，赢得越多，应为他不是开来炒股的，他是来炒作的。
1697843268# #这个好物闭眼入山东哈密冰糖薯白心蜜薯白心地瓜3斤5斤装新鲜地瓜。【推荐理由】山东哈密冰糖薯，独特的口感和甜度，成为秋冬时节必备的水果之一。外观皮薄、纹理清晰，口感香甜多汁，给人一种美好的食欲享受。。【现价】15.9元。
1699184625# #该说还是要说，说着玩也要说，谁让我们是国家的主人呢！
1690525943# #希望缅甸军方和昂山素季一方和解，给缅甸带来和平安宁。特别是把缅北得问题解决好，各民族大团结。
1688765931# #应缅甸政府邀请，进行一次缅北平乱、剿匪、反恐如何？
1691675285# #是不是关于售台武器的协议违宪了？拜振华真生气了，下一个关于2758号的法案，绝对不能让他过了。
1697112263# #为什么要轰炸叙利亚？欺负人吗？叙利亚已经饱经战火摧残了，还要被轰炸？
1702644949# #中国努力了，但没有成功阻止联合国决议，中国主张在联合国框架下解决问题，希望普京同志理解，也希望司机谅解，劝和促谈，是解决俄乌冲突的根本办法，任何加剧矛盾的行为，都对解决问题无益。
1692616492# #最近反腐力度明显加大，效果也可以，人们的满意感增强，对腐败分子起到了一定的震慑作用，医疗教育系统走的更快一些，并不是说其他领域、其他系统、其他部门就可以高枕无忧了，每个地方都一样，早晚的事！加油
1703804899# #去年初和几位老大姐老大哥聊天，还有几个是司马南的铁粉，他们说就相信司马南是爱国者，为老百姓说话代言，今年再见他们，不这么说了。
1689663855# #带着微博去旅行问水都江堰，巧夺天工的鱼嘴，把岷江分成了内江和外江，一条灌溉，一条泄洪，太神奇了！记录旅行
1703775891# #清迈茵她侬山里的双塔寺，释迦牟尼佛舍利子供奉处。记录旅行微博旅行100计划100张年度旅行照片
1698646400# #扣押外国人当人质，这个行为就决定了哈马斯的性质。
1688931750# #司马南有意受邀到美国办节目，其实，司马南早就在美国办过节目了。自己里外通吃，在美是生活，反美是工作，还批别人是二极管。美国为什么邀请司马南，又是吃饭，又是去美国考察？因为，司马南具有指标意义，如果司马南都能无意识地接受美方摆布，还有谁摆不平？这个看起来的硬骨头。不就是中国人得象征
1694415108# #记录旅行走进千年古城汉中，滚滚长江东逝水，浪花淘尽英雄，古今多少事，都付笑谈中。带着微博去旅行
1689781002# #这哥俩都够悲催的，头天还口若悬河的大展宏图，第二天落马了。那哥们刚当副省长，还没太习惯呢，这么大的官，该摆多大的官架子呢？突然，就被抓起来了。你说说，其他人该怎么想？
1693229347# #中国公民名单里面没有这个司马南，
1703189437# #难以被摧毁，那就没有办法了，说明哈马斯就是小强，那也就不用摧毁了，继续在火药桶上跳舞吧。
1689002987# #追逐马栏美丽风景，相随永不别离，这个好地方，一定要来啊！带着微博去旅行就爱旅行
1699498331# #教授说，对美国这样的国家，只有通过交锋才能交流，美国说中美之间是竞争关系，官方说法是，中美之间不存在竞争关系，只有合作共赢。
1695214072# #记录旅行秦岭是塔山探秘，爬山上雪山，穿过白桦林，远处望见风动石。带着微博去旅行
1697326931# #中国不会请，他们也不回来，原因不是别的，是因为和他们没有关系，东亚国家都没有来。
1697728558# #这几天，没有狗屎运了，狗不懂人事，他们根本想不到，此生有去无回了。我看了江苏射洪县的视频，他们解决狗绳问题，是执法人员上街检查，然后给大家发一根皮套狗链子，劝大家以后遛狗务必栓绳。都是中国人，处理问题的能力和手段，差距怎么这么大呢？
1696998316# #哈马斯要求谈判，以色列要求投降，看来，这次的巴（哈马斯）以战争，很快就要结束了！
1689572330# #阳康，回府上班了，所有谣言不攻自破，清热传播都是中暑惹的祸。
1703810797# #应该是把“台独”砸的粉碎，让台湾与大陆共享繁荣发展。
1697029043# #这个好物闭眼入新疆尉犁县真正无核化克伦生葡萄干。【推荐理由】新疆尉犁县真正无核化克伦生葡萄干，口感香甜饱满。这种葡萄干经过精细挑选，去除了所有的葡萄干核，让您在享受美味的同时不用担心咬到果核。它富含丰富的维生素和矿物质，是健康零食的不二选择。新疆葡萄干助农特卖。【现价】28元。
1693151143# #日本核污水排海，中国水产业意外遭重创，看来韩国受损更大。
1697119689# #延安洛河川口袋鸡整鸡手撕椒麻鸡飘香鸡开袋即食陕北特产四川非遗美食地图这个好物闭眼入。【推荐理由】【延安洛河川口袋鸡整鸡】：口袋鸡整鸡是延安洛河川餐饮特产，采用优质鸡肉制作而成，口感鲜嫩多汁。鸡肉细腻，含有丰富的蛋白质和营养成分，营养丰富。无需额外处理，开袋即食，方便快捷
1695046739# #胡锡进这么说话，怎么看，都不合适！
1687990283# #老胡找到了一个切入点，直播中国经济衰退的艰难状况，未来还会有很长的路要走，我们必须做好准备。
1698542101# #信心不是喊出来的，对不对？
1703144170# #这个悲剧，让人心酸落泪！不应该啊！没有被发现？没有求助？
1702734886# #一晚上4元，这个价格可以哈！社会收费停车场的价格。
1699410589# #你说的没错，现在的干部财产申报，其实就是财产公开的模拟运行模式，实际模拟中，确实发现一些问题，大多数是不规范的问题，比如，子女的工作问题，现在流动性很大，买房卖房也是，有个时间差，申报的情况可以纠正，如果公开，就不好纠正，容易造成误解，这类问题怎么解决？但肯定公开。
1703393018# #探访邓丽君住的酒店上，旅居清迈小城故事多，寻找最好的生活记录旅行微博旅行100计划100张年度旅行照片
1698842946# #到底跑了没有啊？按说一出汗，就没尿了，他们怎么还这么多尿？北京红墙根还好吗？现在马拉松都搞到县一级了，怎么都这么大劲？
1694086526# #不一样！你说的太对了！津巴布韦的纸币用麻袋装。
1690240059# #真真假假，假假真真，这种事情，不能全当真，又不能不当真。每个人都要提高警惕，特别是重要部门、重要岗位的同志，千万小心！
1691119402# #涞水的灾情也这么严重了，转发，救援！
1698793627# #叫啥劲啊？两败俱伤！企业要遵纪守法，政府要创造环境，做好服务。
1693583854# #你这一排就是30年，我什么时候能撤？你们自己吃吧！日本的海鲜，不稀罕了！我们这边海鲜，以前是吃不起，现在是没人吃了。
1693890201# #记录旅行探路千灵山，高瞻远瞩极乐峰，祝福快乐每一天，幸福到永远！带着微博去旅行
1695098824# #这个时候，中美之间谈什么？谈到什么程度？结果怎么样？每个人应该都有个数，这么样的标题，没事有啥意思。
1688768110# #中俄合作无禁区、无上限、无止境，才退出一个月，就后悔了？后悔什么了？你也没说啊？后悔了，接着来不就行了吗？大飞机这个东西的确需要国际合作，这个基本情况，都不承认，对大飞机事业，危害很大！不实事求是，什么都干不成，知道不知道？
1689517621# #邱毅也受到质疑了，不意外。邱毅教授的观点，在大陆还是很受欢迎的。希望邱教授能识大体顾大局，作为国民党员，积极投入到为国民党胜选的斗争中去。作为国民党资深党员，把国民党骂的狗血喷头，民进党肯定高兴。同时，把国民党的候选人揭露的一塌糊涂，他还怎么胜选？
1694394700# #新警察法不用开枪示警？是真的吗？不是战争时期，不是激烈枪战，如果是追逃犯，追犯罪嫌疑人，还是应该鸣枪示警比较好，避免误伤。你说呢？
1697207542# #这个好物闭眼入黄金葡萄柚爆汁葡萄柚西柚柚整箱新鲜时令水果。【推荐理由】这款黄金葡萄柚是一种爆汁的葡萄柚，在吃下去的瞬间，汁水会迸溅在口腔，让人感受到一股清爽的果汁爆发。每颗柚子都是新鲜时令水果，保持了水果的原汁原味，为您带来无法抗拒的口感体验。。【现价】11.8元。
1694014464# #20分钟内，给他灌5升水！试试？
1699125802# #俄罗斯的立场是，以色列可以打击恐怖分子，但绝不能伤害平民。
1702539998# #广电局不会审查香港的电影吧？香港有自己的最高立法机构，电影怎么发展，香港人自己说了算。不要甩锅，电影也有自己的发展规律，有时候好一点，有时候慢一点。
1694216724# #这个人提出的关于进京证的建议，还是挺实在的，应该按天算，每年限制进京86天，或者是多少天，有人来一天就走了，可是必须办7的进京证，浪费了6天的机会。
1688221066# #如果说中国的问题，是腐败问题，这个还不好反驳，因为我们现在处理的问题，出现的问题，主要就是腐败。大老虎每个月都有，小老虎每周都有。事实上，所有问题的根源也是腐败问题，如果没有腐败中国该是多么美好！我估计拜登，不会提出这个问题拜登对中国社会得观察没有这么准确。
1691059722# #门头沟丁家滩村还在，低洼处被水淹，高处房屋没进水，丁家滩是个小山村，位于潭王路的南段。
1698795074# #每天都有无辜平民死亡，看样子需要派维和部队了，呼吁，大声呼吁，他们都不听了！
1688088483# #一个拼爹的时代，说实话不好使。
1688556652# #司马南能把这几个大将斩于马下？谁信啊！
1690985160# #涿州遭水灾最严重，目前还没有伤亡报告，祈祷平安！昨天晚上，白沟也开始撤离，安全第一！生命第一！
1693524434# #对蒋万安如此不了解，对台湾政治社会如此不了解，都不知道蒋万安是姓蒋还是姓汪，就别评论了！蒋万安是台北市长，不是省委书记。他说错的，直接批判，没事！他没说的，也不要意淫他是怎么想的。做人要厚道！不能随便给人扣上一个大帽子。蒋万安不姓汪，他姓蒋，蒋介石的蒋。
1689690559# #真的假不了，假的真不了！
1691461129# #柬埔寨好像变化很大，又好像没有改变。中柬友好关系，牢不可破！
1692860117# #内部腐败，外部间谍，已经成为中国最大隐患，外除间谍，内除腐败，我们的祖国才能有未来。
1691765884# #不用瞎猜，主要还是所谓的台湾有事就是日本有事，也没有什么别的话题。
1689903051# #不值得一驳，要是豆腐渣，还能跑那么快吗？这就过分了，荒唐了，没有底线了！批评可以，指责也挡不住，但是胡说八道，必须反击！让事实说话！
1697976547# #以色列这样清除哈马斯高层，有用吗？高层没了，中层就成了高层，不就是这个意思吗？关键是要和平，让老百姓见到实惠，老百姓的日子好了，加沙的矛盾才能缓和。
1698624261# #虽然傅莹说，不同意，但是，要说服他们，要让他们改变观点，还挺难的！而会议的目的，就是要改变他们的看法，让他们认同我们，取得一致的看法，这个世界就和平了，我们不断表明我们的立场，只是方法，是手段。对外宣传也要让他们入脑、入心，理解我们，最后支持我们。
1697719979# #这个好物闭眼入天目山小香薯红薯辅食农产品香甜。【推荐理由】天目山小香薯红薯辅食是一款优质的农产品，以香甜的口感而闻名。它采用天目山地区种植的小香薯红薯为原料，经过精心挑选和加工而成。这款辅食富含丰富的营养成分，如膳食纤维、维生素和矿物质等，对宝宝的生长发育有着积极的影响。不仅可
1698655198# #记录旅行又见百里青纱帐，当年华北平原主战场，埋伏雄兵千百万微博旅行100计划100种祖国的美
1698746295# #本来是小杨，年纪轻轻就叫老杨，这不看起来，真像老杨了。房地产由一个轮回，回到20多年前了，我是说政策，又有点不知道往哪走了，这人却不能轮回。
1692772799# #【斑马优选】大闸蟹礼券蟹卡提货卡礼品卡阳澄湖镇螃蟹提货券中秋礼盒这个好物闭眼入。【推荐理由】斑马优选"大闸蟹礼券,阳澄湖镇螃蟹提货券,礼盒装。【现价】99元。
1697719415# #这个好物闭眼入山东烟薯25号3斤5斤9斤装烤薯专用流糖地瓜。【推荐理由】山东烟薯25号是一种优质的地瓜品种，表皮光滑，内部纤维细腻。3斤装的山东烟薯25号，适量分食，新鲜味道更佳。。【现价】18.9元。
1698449868# #美国禁止李家超参会，肯定影响中国代表团的组团规模和参会活动，让我心情不好，我就热情不起来，对吧？
1691289767# #看了一下视频，震了四次！幅度挺大的，都是上下震，所以还好，房子挺住了，要是左右晃一下，破坏性就大了。
1694128843# #都是没有发生的事情，不可能给你结果，这是基本的新闻常识。
1703147127# #台湾从来不是一个国家，台湾自古就是中国的神圣领土，这就是台湾问题的现状。明确了！
1688943438# #刚发了这么一个评论，一下子来了好几个跟帖的，都是反对意见。再解释一下！一，这个规定的思路的前提就是，怀疑所有人都是坏人，把带小孩的都怀疑成是人贩子。这是，极其荒谬的，会造成，人与人之间的不信任，形成整了社会的信任危机，危害极大，影响整个民族的未来。二，火车站的责任是让乘客快速顺利
1703314570# #宝岛花莲，有一个美丽的传说！记录旅行微博旅行100计划100张年度旅行照片
1702540193# #宁肯累死自己，也要卷死别人，没有仇恨，也要制造仇恨，为什么非要治别人于死地？还有这么坏的学校？
1699355769# #辟谣了！有关中日友好医院的事情，看了有关资料，准确的说，应该是日本援华项目，也就是说，是使用了日本资金，但是不能说是日本人建的医院，也没有什么其他的事情。他还是我国政府建设的医院，是著名的公立三甲医院。不要对中日友好医院的性质和作用进行质疑，她是中日友好的象征和标志！中日两国人民
1688297759# #美国的布林肯又胡说八道什么了？刚从北京走，不是说的还可以吗？回去就变了！坚决反对，坚决回击，对等反制！
1691447654# #台湾地区信奉关公的群体不小，也有很多的关公庙，其实，在大陆也一样，关公的形象深入人心。想起了陆树铭老师，咳！
1703148265# #金灿荣的话，我是信了，不管你是不是信了。
1702759533# #文中不是这么说的。
1689674525# #带着微博去旅行流浪台湾，在台北的街头走一走，看看这里的景象是不是很熟悉。记录旅行
1694139183# #投资回报率这么好，还撤走？太可惜了！
1691368028# #以前的科普书上，都讲大量的鸟异常低飞，青蛙成群过马路，大量的蛇出洞，井水翻腾等等，都是可能地震的前兆，包括地震云，也是一种可能的震前异象，现在说，都是不科学的了，不知道怎么回事，现代人比古人更懂科学，这是肯定的。现在的解释都是，近期发生大地震的可能性不大，虽然这是一句废话，但是
1694061441# #如果你能轻易到像李莉说的这么简单，就能干掉谁的时候，就不用干掉谁了，他就是你的小兄弟，你就是大哥了，就是这个意思。
1698580743# #加州自古就不是美国的神圣领土，因为自古就没有美国。那么我们能支持加州独立吗？不能！因为我们还有一个台湾问题？那么加州能不能独立呢？关键看加州投票，看美国国会的态度。但是，从往年的情况看，几乎没有可能性，他是不是独立，也与我们关系不大，不干涉美国内政，是我们的基本原则。
1692832729# #和去年8月2日的台海危机一样，那几个喊着叫着要打起来了，要拖走了，要如何如何了的平台军事大V们，又失算了，他们只是在骗取流量，假装自己是民粹，他们不懂政治，更不懂国际政治和国际关系。
1699157523# #挣钱的时候，都是民族企业，赔钱了，成外资企业了，啥意思啊？
1693349258# #全世界人民团结起来，坚决粉碎美日勾结，毒害世界的阴谋，一个美国支持，日本就敢为所欲为，狗仗人势，人借狗势，狼狈为奸。这次日本在西方阵营也被孤立，欧盟和欧洲国家应该对日本进行制裁。
1698550095# #抱憾而终？未竟事业，还看后来人！
1694680233# #我不理解，为什么人们非要抢着买首发的手机？等几天不行吗？凑这个热闹干啥？又不是刚需，没他不行！群里有人告诉我说，都是抢来送礼的！不会吧？你为什么对新款手机这么大兴趣？是为了显摆？还是为了实用？还是为了送领导？
1690727195# #一种能榨出油的山葡萄，助农扶贫绿化环境，一举多得。
1691498670# #体育战线，医疗领域最近动静很大，我好像看到了希望，我觉得不会至于这两部分，其他行业，也会逐步动作起来，不整不行了！你说呢？
1697348625# #司马南一直在发表类似视频，公开直接反对以色列的报复行动，公然坚决支持哈马斯对以色列娱乐大厅的突然袭击，这就是司马南的观点，在社会上已经产生更很大影响，但是，这个绝不是中国官方的立场，发言人从来没有这么说过，也不会这么说。
1692835662# #梅德韦杰夫净说实话，俄罗斯没有边界。不过，俄罗斯这么干下去的话，俄罗斯周边国家都可能要申请加入北约，北约东扩到中亚的可能性都有。
1692791978# #回乡养老，把自己的生活安排好，安心养老，颐养天年，能多活几年就算胜利了。如果能为家乡出点钱出点力，就更好了，别的村里和乡里都有安排，别反客为主，别指手画脚，别不把村长当干部，发挥点余热，量力而行。
1697170051# #别人不知道，司马南肯定是站起来说，我就是哈马斯，我们今天都是哈马斯，他的铁粉们，也就呼啦啦地向哈马斯靠拢了。他们也不敢去以色列那边，不安全啊！胡锡进肯定拿不准主意，看看那边能保命吧？那边都行！
