1699178680# #阿拉伯联盟国家，原来的老大是埃及，现在是沙特
1695698132# #转发微博
1696463629# #字越少越好
1689815607# #转发微博
1701832529# #转发微博
1703125468# #各省拥有过的最好足球队
1693649439# #二战以来，两国参与的战争
1692830941# #说中国好高骛远，不切实际的，基本都是1450和恨国党，中国重大计划几乎全部提前完成，用事实证明了什么叫实事求是。
1701573741# #你认为哪个城市才是真正的兵家必争之地？我认为是襄阳
1701067077# #转发微博
1691044754# #转发微博
1697274846# #这是伊朗驻华使馆转发的视频，每当这个时候，我就想到了龙应台的“不要大国崛起，只要小民尊严”，还有那一堆群吠之犬。这样的惨剧，86年前在中国的土地上反复上演，自强不息的中国人再也不会允许这种事情发生，那些每天企图通过狗屁自由、民主、文明、人权的假概念忽悠我们的敌人，你们永远都不可能得
1697338247# #转发微博
1703342787# #诸葛亮骂死王朗
1701914790# #这题到底选啥？
1695193551# #转发微博
1691300710# #行，可以的
1692969578# #2023全球最具价值乳品品牌10强，第一名和第三名是伊利和蒙牛。。近日，国际权威品牌价值评估机构Brand&nbsp;Finance&nbsp;发布了“2023全球最具价值乳品品牌10强”榜。。第一名：伊利。第二名：达能。第三名：蒙牛。第四名：阿尔马莱。第五名：阿尔乐。第六名：越南乳制品。第七名：阿牟儿。第八名：总统。第九名：养乐
1693006642# #如果是你，怎么选？
1695193546# #转发微博
1688508772# #日系车在他美爹那里也不行了
1696463268# #这种傻叉懒得反驳他，我就没丢过手机，我的国籍被你开除了？
1692684292# #这逻辑，真特么的清晰，把我都整不会了
1702984516# #人类历史十大绞肉机战争
1692055002# #19世纪西方人的认知，今天仍然高高在上，自以为是。话语权掌握在他们手里，把颠倒黑白演绎的淋漓尽致。
1699175414# #中国高职100强院校
1701573465# #一张图看懂中国古代头盔。
1695874983# #转发微博
1703207813# #转发微博
1703988791# #星巴克全国各地门店分布图。。难道西部真的没有消费能力吗？
1692892201# #小日子核污水排海，你以后还会吃海鲜吗？日本核污染水排海正式开始
1692970471# #转发微博
1692749130# #唯有致敬！
1691118770# #白天阿富汗，夜晚大巴黎！大家知道这是哪儿吗
1702731706# #北国风光，何其雄哉！
1695976885# #江苏都发黑了
1688974307# #转发微博
1689566618# #这是越南某工地上拍的照片。。我只想说一句：。这位大哥的腰板真硬啊。。他走在街上，井盖都要慌得一比。
1702774501# #深蓝：已婚妇女大多数保留自己姓氏的地区。浅蓝：已婚妇女大多数冠夫姓的地区。哪些地区让你意外
1692776928# #真的这么严重吗？
1694402217# #转发微博
1693436190# #比亚迪九大基地分布图
1692400025# #绝对的寸土寸金
1694302300# #照片极具喜感，忍不住发了出来，跟闹着玩似的
1691808053# #为了美国，战斗到最后一个乌克兰人
1698907368# #世界7大禁书
1701396898# #转发微博
1702598298# #何其雄壮！
1694741461# #无论后世文人如何放大他的缺点，都不能抹杀他一代雄主的功绩，他为整个中华民族甚至中华文明奠定了重要的物质和文化基础，雄哉，祖龙！
1702855136# #转发微博
1698707942# #如果你羡慕皇帝的锦衣玉食，为所欲为，那你就真的错了
1689815100# #转发微博
1689476177# #转发微博
1699230623# #这三个地方有没有可能连起来
1694996874# #历代甲胄简图
1690248242# #安全是一切的前提，马虎不得，大意不得啊
1697078665# #转发微博
1700461198# #转发微博
1702860264# #转发微博
1695035322# #转发微博
1701310906# #咱也不懂设计，这样好不好不知道，总之买卖挺好
1701586442# #转发微博
1699317210# #全球富豪都往哪里润
1695184612# #转发微博
1693391053# #长沙夜市，神一般的存在
1703642577# #山西的母亲河汾河在运城万荣的荣河镇汇入了中华民族的母亲河——黄河
1694472251# #各国第一大姓，佐藤麻衣是谁？
1696290616# #转发微博
1697241302# #SVIP免费领SVIP体验卡免费领送你一张SVIP体验卡，点击免费领取，即刻获得去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益。快快点击链接领取，和我一起畅享SVIP尊贵权益吧！『SVIP体验卡』
1696601396# #国际田联40年纪念海报
1698061847# #大学生主要就业地域，川渝地区(成渝)遥遥领先于中西部地区
1690597772# #转发微博
1698723034# #有些人了信了鬼鬼神神的宗教，没几天就会产生出一种莫名的优越感，称自己是“我们有信仰的人”，然后觉得其他所谓“没信仰”的人低人一等。。。殊不知，中国人的家国信仰，才是真正而伟大的信仰。
1698712635# #以色列驻联合国大使在安理会发言时佩戴纳粹时代的黄星标志，他说：“当犹太婴儿在奥斯维辛被烧死时，世界保持沉默，今天，犹太婴儿在定居点被纳粹哈马斯烧死时世界再次寂静……”。。此时此刻，大家都把舆论武器玩到极致。
1694941257# #分享图片
1699583251# #转发微博
1695366389# #咸鱼黑话大全
1694507899# #看图识三国
1701495622# #转发微博
1703902729# #你留下了哪些后遗症
1691643169# #转发微博
1700960747# #从巴以战争中，我们观察到了几个重要的方面：一、犹太人苦心经营的2000年的受害者形象一去不复返，让全世界的人看到了他们的真实面貌；二、他们以为自己聪明，实际上是一种自毁式的聪明，聪明到与全世界为敌；三、再一次敲响了中国人的警钟，让中国人回想起日本对中国14年的侵华战争，失去3500万同胞生
1698393388# #各省市清华北大录取率。
1699260067# #人权灯塔，呵呵
1690086232# #转发微博
1693654335# #芯片届上甘岭（转自网络）
1700298535# #转发微博
1696462407# #清朝灭亡后，八旗子弟纷纷改姓。一图告诉你：他们都改成了什么姓？
1693967826# #哈哈
1691547580# #老板咋上去？
1703585510# #转发微博
1689723036# #有些证书，考它就是找坑跳
1695775512# #小时候什么好吃的都吃不上，吃不起，心想着长大了一定要吃遍所有的美食，如今却总考虑卫生不卫生，健康不健康，那个贫困饥饿的年代一去不复返了
1698450034# #10月26日傍晚，黎巴嫩和哈马斯组织同时向以色列首都特拉维夫城区发射了近300枚大口径炮弹和导弹，冰雹般的炸弹让以色列的“天穹＂防空导弹接应不暇，不仅炸毁了数套“天穹＂反导系统，而且还炸毁了以军武器储备库，引起这个军火库殉爆，并造成附近居民伤亡…
1692749148# #厉害厉害
1689498974# #太原地理位置确实好
1692838378# #近视是遗传的
1697681073# #转发微博
1691472479# #平均寿命和识字率。。中国，78.2岁和97%。。美国，76.4岁和79%
1694134446# #98年全国高考基本情况
1691458686# #香港中文大学有人在墙上写：“大麻不是毐品，支持大麻合法化”，西方传过来的这种摆烂思想，我们一定要警惕
1693377164# #转发微博
1692762215# #看上去乱成一团的中东，GDP这么高？
1695099054# #侮辱性极强dogedogedoge
1689144777# #古代犯人流放地
1699662733# #转发微博
1698793893# #古代城池关隘
1696251128# #这是1938年10月22日，侵华日军占领广州市政府大楼。。这栋大楼，现在（2023年）仍然是广州市政府的办公大楼。
1690866102# #中国四大无人区！进入请谨慎
1699495377# #任逍遥
1698216733# #全球10大交易所
1690423527# #中国性生活调查报告
1697677552# #突发消息：一架俄罗斯援助巴勒斯坦的直升机在加沙上空遭到击落！据报道，这架直升机当时正在执行救援任务，但在返回途中被以色列军队发射的“箭”2地空导弹击落。随后，以色列军方发言人表示，任何未经允许擅闯加沙领空的飞机都将面临无情打击。这一事件表明以色列不打算在国际社会的压力下退缩，并在
1701934829# #这个怎么对？
1702217240# #夜半白如昼，大雪满弓刀。
1694061166# #说的非常理性客观，支持水果机dogedogedogedogedogedogedogedogedogedogedogedogedogedogedoge
1692074475# #允悲允悲允悲
1702998563# #这两货怎么想的——甘肃临夏两网民在网络传播不实消息，称临夏有8.2级剧烈余震。
1695368163# #很值得一读。卢克文工作室发帖被黄智贤中国质疑，卢克文道歉。称自己不严谨，向大家道歉。
1689687152# #怎么感觉像假新闻，湖北老铁出来说两句
1693616451# #淞沪会战期间，数名向日寇传递情报的汉奸被处决，尸体被摆放在上海街头示众。
1691631457# #转发微博
1697108046# #“郑强教授出轨”一度让1450和250高潮迭起
1700967662# #转发微博
1698641939# #转发微博
1689412412# #各省已开通地铁城市数量。省会城市基本都开通了
1695447072# #实事求是，能买什么？
1694648605# #转发微博
1701869140# #涨姿势：身份证18位数字分别代表什么
1689680495# #转发微博
1689066270# #看见所谓的管辖范围，就说明老美真的爱好和平，而且平等互惠doge
1694732010# #台湾省华为铁粉在台积电“张忠谋大楼”前晒华为Mate60Pro，并致敬中芯梁孟松博士！
1694397794# #离市区最远的十大国际机场，兰州这么任性吗？
1690554228# #教员对宋庆龄多么亲切的称呼，好好吃饭，好好睡觉！搞好身体比什么都重要。
1693633193# #转发微博
1703844379# #东亚各国及地区年度汉字公布：缺、诈、贵、税、振。你的年度汉字是什么？
1695125070# #形胜山西
1690504607# #转发微博
1698303686# #这是你心目中的21世纪足坛最佳阵容吗？
1699663237# #中国的经济是真的不行了，这么多人没有班上，无家可归，唉dogedoge
1693964553# #贝加尔湖不是一个弧形的深坑，而是一个垂直的深坑，跟一个采矿矿井一样。
1696600840# #你还知道哪些
1701389033# #允悲允悲允悲酷
1693741110# #全国省会级城市常年入秋时间表内蒙古自治区首府呼和浩特最早（8.12）海南省海口市最迟（11.28），相隔3个多月。
1695121257# #转发微博
1699159218# #转发微博
1695690054# #这就是国家为什么要坚持自主创新的原因。
1692922664# #
1692088271# #有很多老旧院落，没物业只有守门大爷。。半夜需要收取开门费，一般是1块钱每人每次。。其实这个开门费也是默认了的，还有外来停车费。。因为固定工资也就给个1000多。毕竟要24小时守着……。你认为这个钱该不该给？
1696317095# #这是美国商场的行为艺术，请大家给起个名字
1703815638# #转发微博
1695550829# #中医所谓不通则痛
1697411460# #汉中才是川陕锁钥
1693111595# #转发微博
1693879156# #拿破仑帝国强盛时期直接统治的领土范围。
1690526439# #总有人说中国癌症多，看看统计数据457W
1695020315# #杭州亚运会，42国参赛，6国缺席。杭州亚运会
1692328522# #一次搞清楚中国所有建筑称谓
1689589649# #转发微博
1693447370# #所以，mate60芯片是自己产的？。如果是真的，我踏马今晚必须好好喝一顿，让那帮冷嘲热讽崇洋媚外的牧羊犬好好看看什么叫中国人的志气！。不要问“这和我月薪3000有关系吗”，因为老子愿意！
1703341529# #转发微博
1698554217# #转发微博
1696655150# #做人，还是要洁身自好
1700544733# #转发微博
1688516659# #世界最强特肿部队
1694411516# #宋江最不配
1691482079# #转发微博
1688882877# #转发微博
1692176781# #其实女足也是很精彩的
1699511646# #转发微博
1699057028# #伊斯兰学者整理的伊斯兰世界拓展图，东亚文明才是人类希望
1694654650# #国庆旅游防堵提醒
1691289541# #师傅，你是何方人氏？
1703116653# #一看就是西方话术，我就一个问题：以色列会这么关心巴勒斯坦女子的上学问题吗？原因是什么，道义？以色列还有道义？那是什么原因？
1703755070# #一段老三国和老水浒的武打对比，水浒很明显优于三国，就是因为聘请了香港的武术顾问
1700745847# #小日本这么强吗？
1694126707# #中国经济十强镇，第一名却来自欠发达省份
1692058653# #中国有这么多种茶啊
1693965104# #转发微博
1694048385# #1992年，广州医学院迎来了新任院长，虽然行政事务繁忙，但是这位新任院长依然坚守课堂，充分说明了他对医学事业的热爱
1698890421# #民国时的人口分布图
1702450587# #愿驾长车，踏破贺兰山缺
1699828588# #是的，美国是个言论自由的国家doge
1692829941# #不用抢盐，看看你家吃的盐是哪里来的日本核污染水排海正式开始
1701655328# #兄弟，你这是杀敌一千，自损一万啊
1691939601# #转发微博
1702450335# #这是世界上最大城市纽约的地铁地图，运营里程394公里，在国内能排第十，位于南京之后。看这布局和规划，那是杠杠的合理，杠杠的科学啊doge
1694666545# #转发微博
1697848358# #《辛德勒的名单》从9.5分骤降到4.2分，这才是民众真正的觉醒以色列巴勒斯坦冲突
1699661958# #河南人都去了哪里？
1697873982# #关于以色列的11则冷笑话
1696997129# #每天一神评
1692415742# #1991年，中国。坐上火车去旅行。回顾当年的苦，才能珍惜现在的甜。
1690240335# #转发微博
1689388767# #各省会城市人口（台湾暂无数据）
1696372197# #各省连锁奶茶门店最多的是哪个？。蜜雪冰城赢麻了了！！
1699401214# #这消息要是真的，恐怕不单是巴勒斯坦和以色列迎来了历史转折，世界也将迎来历史转折
1688981952# #转发微博
1694585504# #转发微博
1693111578# #各省壮族人口
1703339750# #如果让你选3个讨厌的朝代，你选哪3个？
1691499709# #转发微博
1692433092# #恒大集团负债2.4万亿！这是个什么概念呢？
1700298582# #中日韩三国年人均消费量
1688881941# #转发微博
1693637774# #幸福是什么？。1982年第10期的某本杂志，封二图片选自《中国青年》，这张图片，给了我们最好的答案。。劳累了一天的男人回到家中，小女儿跑来撒娇，男人抱起小女儿亲吻着。尽管家很简陋，身边有操持家务、忙着洗衣做饭的妻子，怀里抱着自己亲爱的女儿，有这样的家就足够幸福了！
1692662322# #中国这个假期明显不对啊，国庆7天，春节7天，劳动节5天，清明端午中秋共3天，怎么加起来就11天了？
1698657292# #意大利的地形图很好的解释了为何欧洲最早两个海洋帝国威尼斯共和国和热那亚共和国都在北部，为何北意比南意富裕，为何米兰是全球设计之都，为何热那亚是意大利最大的商港
1698826461# #加拿大大使馆自己作死，中国网友当然不会惯着它
1699421274# #年龄越大，越感觉当年羡慕西方人的那套所谓自由、独立就是伪命题，本质上就是自私、目光短浅、不思进取甚至毫无人性。
1699340086# #九位“共和国勋章”的获得者，真正的民族脊梁
1702611557# #史学大家班固也是个“地域黑”啊。。。此图为后汉班固在《汉书·地理志》中对各地民风的描述总结。班固是关中扶风人，在他的描述中给人的总体感觉是：他对西北、河东地区的人评价比较高，比如少盗、吏民相亲、民俗质木、多出名将、民有先王之教等等。但是对其他地区人的评价，不是蛮夷、好勇，就是鲁莽
1690158667# #图片来自网络，无法考证来源，只是提醒部分人士洁身自好
1703314269# #那些百看不厌的影视片段——电梯战神丁青名场面
1691938317# #继续战斗
1700194349# #转发微博
1697635132# #高德地图可以啊，这次直接把一带一路国家和城市都标注了出来，暴赞👍🏻👍🏻👍🏻👍🏻一带一路国际合作高峰论坛
1693836790# #转发微博
1695604365# #据说这是联合国认证的中国发达地区
1701507895# #各省人口出生率在世界排名，东三省太吓人了
1697380757# #哈尔滨当年聚集了大量犹太人，可是为什么是伊斯兰建筑
1700105847# #转发微博
1696297719# #大家猜猜这是那个地方提示北方
1700887912# #该怎么怼？
1702167145# #白鹿原在这里
1703989388# #年薪100万以上大多数都分布在哪些行业？
1696120195# #全球能造大飞机的只有6个国家
1689687501# #有人吹常凯申，真是莫名其妙
1699332880# #这是1996年5月在安徽省舒城县举行的″舒化杯″全国青年篮球锦标赛，这三位捧杯的人都有认识的吗？
1690712481# #前面是巴黎2024年奥运会，后面的墙上写着“伟大的俄罗斯”。。没读懂这幅图，大家给说说啥意思
1700825824# #转发微博
1698029578# #转发微博
1690799779# #我国当兵的工资待遇，有军人同志吗，这个列表靠谱吗？
1702175516# #一到人均，就发现南方其实也就那样
1703297517# #转发微博
1688626069# #转发微博
1697612623# #这种狗养在城市里合不合适？
1700483214# #全国百岁老人分布数量图。是不是很意外？百岁老人数量最多的居然是中原大地的河南
1690630654# #台湾军力部署
1700701034# #高考的拐点在哪里？
1694397387# #笑死
1703331106# #转发微博
1696903562# #中国饼类大全，你吃过几种？超过10种感觉就很厉害了呢
1689924077# #转发微博
1691292588# #转发微博
1703480143# #这是文心一言画出的水浒人物，猜猜是谁？
1696750859# #到底美国人登上月球没？
1696210375# #转发微博
1692751474# #转发微博
1691829488# #转发微博
1701064836# #一张图，民国的关系捋得也就差不多了
1692350825# #欢迎来自全国各地的周董粉丝来到草原青城呼和浩特，祝你们玩的开心，玩的愉快。周杰伦呼和浩特演唱会
1697873834# #转发微博
1696468221# #500年前全球十大城市有哪些？
1701130958# #真的假的？瑞典禁止新建清真寺？
1690368081# #老美这九段线真霸道，异想天开了
1702167645# #马英九和蔡英文的题字
1689822027# #山河四省亮了
1689144168# #转发微博
1698214669# #转发微博
1690598414# #各省在广东分别有多少外来人口
1689316738# #今日贫困区，未来富贵人！。如果以面积计算，全国这11个连片特困地区占到了国土总面积的15%。从分布图来看，大多集中在全国著名的山区地带。也就是说全国3000多万贫困人口大约85％！。但是我预计：这十一个片区将成为大富大贵之人的栖息地！
1702708024# #转发微博
1693797779# #转发微博
1694648618# #转发微博
1697251457# #吃在中国·山西篇——山西人来认证补充一下，晋城人回避吧doge
1692226756# #原来如此
1702374991# #头像都一样？
1698450886# #朝鲜：要不咱俩磕一下思密达？
1694568283# #这是目前为止看到的买华为手机最好的理由，话糙理不糙，简单粗暴有内涵！
1697078799# #转发微博
1695128214# #那时的他们，会想到今天中国的样子吗？（1980年代，上海公园里打太极拳的老人）
1693285472# #被美国驻军的国家一览表！怪不得本子和棒子那么“文明”……dogedogedoge
1702800915# #全国各省粉丝数量最多的网红
1697340008# #六大门派围攻光明顶要走多久？
1694395235# #蓝柱是中国进口国外芯片的数量，红柱是中国国产芯片的数量。
1696807644# #转发微博
1698304037# #青岛啤酒全球能排第几？地球人每天喝下的啤酒能灌满200多个奥运泳池……
1696808864# #这么猛吗？
1690240347# #转发微博
1697064189# #帝王之地
1689808842# #据说这是武汉，这是啥情况？
1694998378# #转发微博
1693471232# #有没有漏的？
1694648638# #转发微博
1689905463# #【2023年世界蒙商大会】海内外蒙商回家！这个口号不错！
1703642602# #转发微博
1690427934# #中国大地域划分允悲
1693182569# #2022年全球50大港口吞吐量排名！不仅仅是数量上占一大半，在吞吐量上更是首屈一指。特别是宁波舟山港已经达到了12亿吨，真的可以傲视群雄！
1692344076# #独立思考人士的话太有道理了，我竟无言以对。
1700557722# #棒子的韩式炸鸡制作全过程
1689513987# #中美GDP十五强城市对比
1689720358# #人口结构将重塑世界
1697890523# #每一个号码对应一位明星球员
1696142005# #如何在保证人质安全的情况下，救出人质
1689942656# #吊州，四川市，地铁考古队都懂，其他的是什么意思？
1694825594# #1910年代，北京
1695079337# #不要抱怨人生，因为该努力的时候你选择了安逸
1701689021# #无论那些阴险小人如何污蔑伟人，都掩盖不了教员做出的伟大贡献
1698814085# #这是一张非常有名的照片，是55军163师的新闻干事李永安冒着生命危险拍摄，它的名字叫做《攻克谅山》，这张照片拍摄后，迅速被传回后方，新华社向全球发布通稿，照片成为铁一般的证据，证明解放军已经占领了谅山。。而李永安他因为这张照片不仅受到了许世友将军的接见，还荣立一等功，成为了中国军队胜
1698130805# #恨国党又失一喷点
1692626016# #转发微博
1700315627# #所以，棒子还是那个棒子吗？
1697432118# #你最想去哪个城市？
1691069453# #转发微博
1689720213# #1909年，在日本留学的中国留学生，此时的他走在日本的田间小路上，穿着一身和服，看起来十分显老，根本不像22岁应有的样子。
1699762672# #转发微博
1688809450# #怪不得中国的吃瓜群众那么多，原来如此……允悲
1696209986# #全国仅有十个野生动物园，山东占了2个
1703937807# #呵呵，大家来破一破，我先来：作为世界最发达的国家，为什么有那么多人没有棉衣穿？
1701993070# #七普显示北京流出47万人，主要流向这二十个城市。
1690949483# #转发微博
1701822995# #转发微博
1690087272# #有些人说自己买个菜买个水果都交消费税，你恐怕是领了补贴吧
1690540563# #到杭州西湖了，杭州的朋友给点建议
1695173275# #世界各国王冠👑汇总-威尼斯公爵这个有点眼熟
1699230782# #硕士最多的十家上市公司
1691977368# #常见APP用户学历
1700558471# #取钱就取钱，我又不是不给你
1700183193# #看图猜城市
1700101122# #最近香港取缔霓虹灯招牌的事件持续发酵，其实是张ps造谣的假图，始作俑者香港大V“surrealhk”为博流量专门把idp在了车轮上方，1450趁机拿来阴阳怪气的说事。
1694790687# #绝大多数人都是这种情况
1696465141# #大东北
1703548192# #明代东亚各国官方服饰一览图
1689299120# #我国哪个省份的篮球运动员（人才）最多？真想不到贵州吹牛红红火火的村BA，能打上高水平联赛的仅仅只有一人。
1694862675# #安装工人：管你是孔子还是老夫子，装完老子能收到钱就行！
1703035897# #转发微博
1696805453# #记者向反堕胎者发问：您为什么站出来抗议？。反堕胎者：上帝知道这些未出世的孩子，他给这些孩子安排了各自的命运与目标，所以孩子们不应该被杀死。。记者反问：上帝不是在埃及把所有长子都杀死了吗？。反堕胎者：……。记者再问：上帝不是把地球上所有人都杀死了吗，只留下了诺亚一家和方舟上的动物们？。
1695087221# #我小时候家里穷，上完体育课不和好朋友一起晾汗，因为他们会喝冰镇饮料，而我买不起
1690604342# #中国分省份癌症分布图
1703855973# #“半年没还月供了”，网友发帖求助：花600万在东莞买入96平米房子，现挂280万没人要。。愿赌服输吧
1701589691# #转发微博
1701348579# #亨利·基辛格，美国最后一个战略外交大师离去，耶稣也来了也没治了
1693967468# #转发微博
1695128601# #近八成投票网友认为花西子道歉不真诚
1702961127# #你认为未来哪些中国车企会发展壮大成为世界品牌，哪些会没落甚至消亡呢？
1700269371# #额，难到我了
1700720163# #转发微博
1695080561# #这个甲骨文是什么字？
1700280619# #这个好对
1690711199# #虽然是合成的，但现实中不乏这类中年男人，理解吧
1695898268# #国庆微博旅游节开始了，你开始出发了吗，路上堵车吗？欢迎评论区晒出你此时的情况
1693301877# #各省平均寿命
1701436742# #各省清真寺数量
1694411484# #伟大的导师
1698057313# #章子怡和汪峰的历任伴侣
1699399793# #十年磨一贱——印度人集会声援以色列
1699231540# #各省产量第一的产品，山东这个生动啊，天津居然不是煎饼
1690266505# #各省独生子女率，东三省工业化程度早且高，可以理解，重庆怎么回事？
1696054532# #转发微博
1703560086# #转发微博
1693740133# #腰疼
1689761437# #转发微博
1700555737# #读起来让人头皮发麻！
1692009350# #根据美国以往的所作所为，我非常相信美国网络的传言
1698626299# #我们看看是不是“众望所归”
1693539326# #转发微博
1692934167# #我正在使用“夏日荷塘”微博评论气泡，你也快设置上吧~
1693035159# #哈哈
1703565001# #台湾版《三国演义》片段:三顾茅庐、张飞疯狂演绎“科目三”
1692069962# #转发微博
1691546523# #感觉有难度
1698120489# #转发微博
1698120613# #转发微博
1702782034# #转发微博
1695895394# #首批允许进入中国空间站的18个国家名单，五眼联盟均因科技原因不在其列酷酷酷
1698308042# #转发微博
1695444467# #转发微博
1688808119# #消毒液到底有多少种？doge
1692833088# #圆明园十二生肖兽首铜像如今都在何处？
1699080360# #转发微博
1689898949# #公知和1450说美帝是个文明的国家
1695272522# #转发微博
1691482735# #转发微博
1693633177# #朋友在加拿大，刚好华为mate60开售了，他就在推特上试着搜索了一下。。。然后，账号被冻结了。
1689986719# #中国143家世界500强分省分布图
1697125925# #山西这个地方越看越喜欢，就是排兵布阵的天然战场
1698798572# #说中国新疆搞种族灭绝的基本是美国、以色列这几个国家，真正把巴勒斯坦加沙搞成今天这个模样的也是这几个国家，还有一帮孙子一口一个文明国家地舔，文明马上和自由一样，都被这帮孙子舔成贬义词了
1688859724# #大数据揭示全国离婚率，准吗？
1693787789# #左公千古
1693471076# #转发微博
1694757976# #转发微博
1689687469# #这样的蛀虫，确实要清理
1690089301# #转发微博
1698557902# #请教一下德国驻华使馆，我们到底有没有把喜欢的图片设置成头像和把喜欢的文字设置成id的自由，有还是没有？
1692234264# #道教十大派别及创始人，目前影响最大的是正一派和全真派
1696509973# #分享图片
1703043836# #电动车有三种，特斯拉、比亚迪和其它
1697243608# #求下联
1698039850# #为何扫码支付在中国流行，在发达国家被排斥?doge
1703593639# #猜猜这是哪
1699923585# #不得不说，日本人的素质就是高，我们一辈子也达不到，开始反思
1696828286# #深切缅怀杜兆宇烈士
1690248198# #全国公路隧道分布热力图，华北、东北一片坦途，福建整个省几乎被热力图覆盖。
1703803554# #小米汽车产业链
1689050194# #继剪发户外化之后，按摩也地摊化了
1691829706# #内蒙的天真的太美了
1699840710# #转发微博
1697445499# #中美什么时候可以掀桌子——好文啊！
1698120571# #转发微博
1694667948# #转发微博
1699414783# #转发微博
1692922434# #全国影院通用980元电影卡。限时抢购仅需9.9元。亲测有效！。下图是我花9.9买的卡。账户余额显示980元。买了3张孤注一掷的电影票，立省22.4元，一次回本！用这个小🍊序去买电影票🎬，KFC🍿🍔，☕星爸爸，美食餐饮、休闲娱乐、丽人美发、酒店住宿等等，都比独立的app便宜呐！！全国影院不限时间、不限
1693377977# #欧洲国家同性婚姻法律地位分布图，东欧放不开啊doge
1699680483# #相对于收入，消费明显偏高的十座城市
1693193197# #对你来说最难喝的饮料是——
1694585496# #转发微博
1696314529# #转发微博
1702450688# #看图猜城（华北某城市）
1702024222# #足球界的最高荣誉，你觉得哪个设计更有美感。
1690865455# #转发微博
1690879885# #福建地区人民心中的中国地图！。V5。那个别吃我直接让人笑喷
1702691504# #这里面的好多条我都没明白什么意思
1692141675# #人家6万驻岛美军纹丝不动，这几个货是殖人想象出来的？话说重庆的朋友们有没有话说？
1696117341# #汉语最能言简意赅
1697091685# #转发微博
1700025611# #文案我就不写了，只有哈哈哈……
1697275525# #今日方知先辈之恩！以色列巴勒斯坦冲突
1689928960# #转发微博
1692713323# #转发微博
1696654291# #转发微博
1691982519# #转发微博
1691047192# #所以，无论你干什么，反贼、汉奸、公知都会冷嘲热讽
1699065283# #转发微博
1700097134# #转发微博
1694421591# #中国车企海外工厂分布
1695990176# #看图识三国，这是哪一章节？
1699401576# #转发微博
1692506456# #转发微博
1703925127# #又倒下一个——原央视体育频道主持人段暄行贿内幕曝光
1701930534# #转发微博
1701603915# #转发微博
1689591430# #内蒙古对上海的大学有啥偏见吗
1703035917# #转发微博
1700097125# #转发微博
1703053621# #成昆铁路走向示意图：穿山越岭。--来自地理公社
1696253227# #还在旅游的宝子们注意了
1693011052# #宋朝实际疆域
1703237479# #今日数九，盘点一下各地的数九歌，你们那里的数九歌是哪一版今天进入数九寒天了
1691383452# #转发微博
1700314364# #一图读懂缅北家族（选自：澎湃新闻）
1697873154# #转发微博
1701693719# #1937年淞沪会战中，日军乘小船沿着苏州河偷偷潜入上海城内，准备对城内守军进行包抄。镜头下，日军正卖力地登陆苏州河岸，爬着大堤，船中有几个带着袖箍的汉奸，他们正殷勤的替鬼子测试绳子结不结实，何其可悲。。战场上，人人争相报国，浴血杀敌，豪情壮志满怀。而这群汉奸为谋取私利，居然助纣为
1697419243# #谁才是这片土地的主人，以色列还是巴勒斯坦？。1、以色列人：3000年前（相当于中国的商朝），我们是这片土地的主人，我们在这里生活了400多年。。2、巴勒斯坦人说：1400年前（相当于中国的唐朝），我们是这片土地的主人，我们在这里生活了一千多年。
1702681887# #论一个演员的自我修养，你心目中最佳女演员是什么，不谈漂亮，只谈演技，郝蕾能排第几？对了，她为什么要发飙。郝蕾发飙
1699017729# #确实需要反思一下了，怎么总出这样的新闻
1697769124# #吃在中国——中国各省最具代表面食一览图，北京炸酱面名气最大，但我认为最难吃日常
1698214658# #转发微博
1696464613# #我国对南海诸岛实际控制状况概况
1703647318# #有个好的家庭氛围是最主要的。其他都好说，那如果碰到辅导作业不知又该如何面对酷酷
1700557797# #摩托罗拉还没死透？
1701483531# #以军开始网格化清剿加沙，一次清除一格，提前通知老百姓，效果未知，反正我不看好。
1700801465# #转发微博
1694245832# #“战狼”真的去缅北了！恨国党又少了一个喷点
1693967449# #恨国党的喷点越来越少了，真为它们感到可怜
1701678504# #这张照片是1976年拍的，有人知道照片中的人是谁吗？
1702343420# #中医在日本的真实面目，药店货架满是中药……
1694439961# #除了自强不息，我们无路可走
1692751207# #哈哈，日月几何而时事异变
1690597766# #转发微博
1701311523# #拍的挺好的，下次还这么拍doge
1690194488# #你这黑厮，好生无礼
1697597163# #有这么多存款，还有一套房（有贷款，但公积金就可以应付），住在一个平均房价一万的城市可以躺平吗？
1699844116# #转发微博
1695908265# #1915年，欧洲一战时期的士兵野外拉粑粑画面
1694101564# #伟大的导师
1691548256# #这是杨靖宇将军牺牲时的照片，日寇已经开始剖开将军的胸膛，致敬，伟大的民族英雄！
1703507822# #所以还是不要抢盐了
1700573555# #果然上水了，还是贴心服务，37.5℃的。
1694608566# #晚上随便吃点
1690347942# #转发微博
1695773887# #这么庄重的单位和场合，还是再细心点
1695901899# #中国历史风流人物，你能认出多少？
1697100977# #转发微博
1691030322# #白俄罗斯正在用这些横幅向欧洲人传授人生教训：。"我们的孩子可以区分母亲和父亲。"。"我们的'独裁'比你们的'民主'更能为人民做事。"
1700355496# #你想象中的养老院是什么样的？
1691225504# #我就看看，啥也不说
