1698541152# #有梦想的人了不起
1699443138# #【陕西咸阳：烂尾的“南海家缘”为何难解套？记者采访遭到谩骂话筒】“南海家缘”是咸阳市一个烂尾多年的楼盘，为了给这个烂尾楼解套，咸阳市政府在三年前引进一家企业承诺在不要政府一分钱、不让购房者多交一分钱的前提下，投资建设这个烂尾项目。现在，这个烂尾楼眼看就要完工，可是，投资商却又
1694014238# #一万块感觉一会就完了
1692602122# #师傅，这里有好多妖怪允悲
1696592419# #大爷这一路吃的没停点，看着挺香的，有人知道这是啥？穷游
1699630358# #这年轻人眼神真好，开车不开灯就能开车呢～
1702525570# #董宇辉改签名董宇辉真是我们陕西安康人的骄傲，希望你做好自己，不要被网上的喷子们扰乱心智。拳头拳头拳头
1695804692# #西安巨响社会上的事少打听，反正不是打雷！看图说话西安超话
1701175864# #网传西安比亚迪要求员工上厕所、喝水报备？比亚迪回应：文件系个别部门草拟，未施行。
1701930224# #网友：这不是现代版的王婆吗？事发地：云南红河，媒婆带女生到宾馆与男方相亲，称女孩的家在另外一个县城，小伙子在宾馆住着，二人就随便聊一聊。
1693208805# #江苏南京宝妈摆摊10元为外地民工理发，7岁女儿陪伴左右忙前忙后，网友：看着好温暖🌹
1698500011# #医生抢救新生婴儿的一瞬间！看哭了医生的不放弃，宝贝的坚强泪目了……婴儿医生
1697423674# #孩子回到家里就拿起工具干农活，光脚在烈日下穿着吊带背麻利的干活，女子：长大了，知道父母的辛苦，自己能帮一点，父母就少干一点。
1698564033# #塔斯汀被曝吃出生鸡肉有没有人和我一样一次没去吃过的
1692714872# #国内某景区的轿夫抬着游客上山，瘦小的身躯下扛的是家庭的责任和担当。网友：现在人真冷漠，也不知道坐坐轿子……
1699245756# #转发微博
1700897864# #转发微博
1699368896# #11月4日，山东青岛。女大学生勤工俭学深夜回校坐反车，公交司机往返20公里打车护送：看到她就想起了我的女儿。
1692513115# #娶媳妇还不如娶丈母娘允悲
1699889485# #老人生病怕连累孩子。喝了农药后捂着肚子独自离开。再也没有回来
1694354684# #【24公里“四好农村路”改造开工一年还是坑，临潼四个镇十多万村民出行难话筒】按照合同要求2023年7月份就应该交工的陕西西安临潼区“四好农村路”改造项目，目前仍到处是坑，施工单位称，系甲方工程款不到位所致。。。村民称围挡施工一年多门口的公路依旧是个坑。。“修路本身是好事，但临潼区的这种挖
1687679308# #【总会有人在缝补这个世界！】6月24日，黑龙江省。陌生人喝“药💊急救上120，因当时没钱支付费用，一旁的女子直接转5000元给120嘱咐先救人。
1695826573# #【商住楼一公司拆围挡业主理论时被扇耳光】9月27日，江西南昌。业主和一名公司员工理论时，突然被猛扇耳光。其他业主表示：“该公司在小区写字楼里面办公，写字楼与住宅是隔开的，公司的人就想把住宅区与商用的写字楼打通，拿着高压剪刀去剪栅栏，业主知道后去阻止，正理论时突然就动手打人。”高新
1696595040# #上海警方通报4岁女童在海边走失祈祷平安！
1694063706# #网友在福利院看到两个孩子，自己住院没人陪护在床上自己输液哭闹没人搭理，幸亏这边的护士比较热心时不时的过来照看一下
1698636230# #39岁大龄剩女情绪崩溃大哭，后悔没早点嫁人，感觉生活没希望
1700929382# #我说怎么好像在哪见过这家有事跪了
1697181070# #中国量子计算又刷新世界纪录【独家解码！九章三号有多强】目前，世界上最快的超级计算机求解特定数学问题约需200亿年，由中国科学家最新研制成功的“九章三号”量子计算原型机，只需要百万分之一秒比超算快一亿亿倍……为何如此天壤之别？量子计算机是啥？“九章三号”强在哪？戳视频↓
1687697881# #高考公榜，大家欣喜若狂。究竟该如何从小培养孩子的健康积极向上心能、智能、体能？
1693208052# #华人拍摄在日本超市现状，写有福岛标签的商品全部滞销，海鲜全部打折也没有人购买！
1698503829# #这么美腻的小姐姐会是多少人青春的遗憾啊！一女生运动会开幕式快迟到了，在操场上奔跑时被网友抓拍！运动会
1699889399# #女子父母要求彩礼八万，男方三万立马结，八万免谈，女子：那么多年感情比不过几万彩礼，给的彩礼也是我们的啊生活
1698457676# #【夫妻存款3500元发现多一个0秒退还：柜员入职没多久，非要请吃饭】你一月能存多少钱？10月26日，内蒙古呼伦贝尔，袁女士发视频称，丈夫去银行存款3500元，到家发现柜员操作失误，存成了35000元。夫妇俩立即赶到银行，将多存的钱取出交给柜员。袁女士称，柜员刚毕业，入职才3个月，事后他非要请丈
1688804817# #【旧闻新说｜北京曾经的四大菜市场您去过几家】老北京都知道，京城从前有四大菜市场——东单、西单、崇文门、朝内菜市场，形成于上世纪60年代末。计划经济年代，市民逢年过节要想改善生活，买点鲜活鱼肉和新鲜蔬菜，必得奔菜市场。那您知道这其中有家京城最老的菜市场是哪家吗？
1698676597# #女友妈妈嫌男子没钱没工作买不起房子劝其分手分手女友妈妈嫌男子没有工作没有钱买房子结婚
1703919805# #国内最孤独的派出所，甘肃敦煌雅丹派出所，无人区罗布泊就在他的旁边。航拍记录中国旅行
1693211101# #别说还挺好看
1699597212# #银灯百盏，温暖夜归人！亮啦！近100盏爱心路灯，照亮了33个孩子的求学路，更安全、更明亮的求学之路，温馨，暖心！
1699597628# #西安1998年，钟楼附近街景。二十多年过去随着周围的改造钟楼商圈虽然屡次换新，但曾经那种人流如潮摩肩接踵，到处都是人间烟火的气息却仿佛淡了很多90年代
1687349568# #转发微博
1687060875# #鼠头变鸭脖事件校方市场监管方将被追责广东江门。王女士称，昨晚去买宵夜，在绝味鸭脖门店买了点鸭肠鸭脖，刚准备吃，感觉不太对劲，摸起来像是棉一样的东西，仔细看才发现是手套，当时觉得好恶心，剩下的也没有再吃。
1692682742# #河南矿老板20年发放3300万元，资助4300名贫困大学生，“不需要他们来感激我”，希望这个社会多一些这样的善人。网友：这个社会总有一些人在缝缝补补。
1698677093# #青岛小伙坐公交乘地铁去杭州，用时三天半路费花了180元：想感受到一个城市的人文底蕴，欣赏路上的风景
1699689691# #网友拍到洛阳出租车电子屏刷屏道歉“梦迪我错了”！网友：我说今天怎么那么冷，原来是霸总的心感冻了洛阳城……
1700632999# #大街上男子不慎碰到女子臀部，被误以为故意双方发生争执，男子怒称：我要是摸你了我跳江死！
1699889633# #转发微博
1696681960# #【一言难尽！裂开裂开裂开租客跑路扔下1猫1狗饿得骨瘦如柴】近日，广西南宁，租客一个多月不交租，中介上门时才发现竟已跑路。房间内还扔下一猫一狗，早已饿得骨瘦如柴……
1697506931# #10月16日，据成都商报报道：广西一名代驾小哥熬夜接7单不幸猝死，家人索赔282万元，法院二审公开审计此案，目前尚未宣判。
1687154965# #汗这？
1694012327# #浙江杭州跳江救人快递小哥彭清林成为杭州亚运会火炬手！goodgoodgood
1693803099# #网友拍下我们国粹川剧—变脸，小男孩撕下的不是面具而是我们5000年历史。
1701325797# #妈妈正在和女儿视频，上一秒还在笑嘻嘻，下一秒镜头照向男友，笑容瞬间凝固...
1699632504# #中国女生穿汉服在外国街头，遭遇种族歧视，“说我眼睛小，衣服丑陋”汉服
1702177349# #希望该巡视组能重视并认真核实在朱婷告照镜子、正衣冠、洗洗澡、治治病
1702363246# #商圈广场上多为残疾人卖艺演出，物业人员来驱赶被拿拐杖锤子追砸：那不让演出，多次劝阻无果
1699601688# #就这样牵着爷爷的手像小时候一样
1694357658# #转发微博
1700201688# #【河北宝马车主事故后与人争执现场称“回局里说话”？交警：事发后赶来的，需有关部门调查】
1697190697# #致敬
1702822952# #著名画家林峰先生应邀代表南昌本土画家讲话。盛赞金陵四大才女书画作品很棒鲜花
1699929298# #女友：好，我走！
1700897883# #转发微博
1698216918# #转发微博
1696595294# #刚买的鞋子大家看看怎么样？
1687313750# #张圣洁老先生名气大，算是大师级人物，现在网上教人认易错字词，难得难得！为张老先生点赞good
1700377186# #转发微博
1696592654# #两干部流出不雅视频被停职不得不说真辛苦，别人在放假庆国庆，你们还在加班，尤其是说干就干的工作作风要是用到工作中肯定能提拔。
1688804773# #【12岁女孩搬啤酒炸裂一地后大家的反应好暖心】近日，宁波，12岁女孩帮客人搬啤酒，不料箱底突然漏了，啤酒炸裂一地，母亲赶忙跑过来，把箱子扔到一边，把女儿抱到一旁。顾客们纷纷出来关心，还搬椅子让女孩坐下，帮忙查看伤势。
1701678843# #歌颂苦难已经PUA不了年轻人了，他们现在都清醒得很。
1686895197# #男子拍下室友梦游一幕，一个“鲤鱼打挺”起身，拍摄者：太吓人，平常他都做不了这动作。
1698562022# #女生在宿舍展示新衣服，室友把女生夸到害羞，“太美了果然紫色很有韵味”
1696593235# #周润发回应死后裸捐56亿港币家产，“不是我要捐的，是我老婆要捐的”我赚钱也是很辛苦的。
1687074806# #6月17日湖南，女孩麻辣烫店玩耍，扭头撞上了一碗热汤，家长要求端汤男子负全责………
1694156963# #【家长称小学强制订牛奶3箱330元，校长：自愿订购，老师讲话方式不当】据9月7日，河南驻马店。一家长称小学老师在班级群强制学生订牛奶，每人3箱共330元，让有条件积极订购，没条件创造条件订购。对此，该校校长称，牛奶都是自愿订购，有牛奶和酸奶混合发放，3箱一共100盒奶，一盒3.3元，
1692683066# #突然想起了自己小时候！男孩要去县城上学，因不舍与奶奶分离，泣不成声，网友：男生蹲下去那一刻泪目了。
1694162608# #转发微博
1690100175# #【净月潭景区一女子突遇喜鹊飞落头顶！】青草LIVE7月22日消息，吉林长春。净月潭景区。一女子突遇喜鹊飞落头顶，网友：这是“抬头见喜”。
1697513148# #20岁女孩裸辞花光存款穷游惹争议，当事人：先享受，还有几十年时间奋斗。
1697175690# #【官方回应郑强事件】当事人回应举报郑强近日，一网友举报太原理工大学党委书记郑强与其前女友有染，引发广泛关注。10月11日，举报人对称，2015年7月的一天凌晨，郑强给其女友打电话被他发现，几个月后双方分手。举报人称，今年3月他和郑强见过一次面，对方劝其慎重，今年向有关校
1699669803# #爸爸用女儿擦车扫雪，孩子妈“提刀”来了！网友：养儿千日用儿一时
1693801698# #今年买卖太难做了，实体店门口都不让贴广告了哼哼
1701852434# #女子刚刚拿证后第一次开车。在副驾的不断鼓励下开进家。网友：开车注意安全安全驾驶
1692888048# #这薅羊毛的速度不进厂打螺丝可惜了污污污
1700476495# #吃的这是🔨
1699930808# #宿管阿姨永远是男寝的“妈妈”！男大学生用魔术花给宿管阿姨惊喜结果评论区炸锅了！宿管阿姨
1693903692# #为热爱上场助力贵州乡村小学足球梦为热爱上场，营养孩子，助力贵州乡村小学。贵州乡村小学开学满满仪式感贵州超话
1700326197# #人这一辈子到底是为了什么，为了生活为了活着，谁能说的清楚……乡愁记忆
1692889588# #韩国多个海鲜市场几乎空无一人听到这句话就放心了goodgoodgood
1699602138# #在妹妹婚礼上摔倒是什么体验只要捂住脸你们就不知道我是谁得亏有这个头套呀！
1695184215# #江苏9月18日，江苏。爸爸骑着电动车来接女儿，“爸爸，你说公主请上车！”结果爸爸听完骑车扬长而去，网评:让女儿哭笑不得哈哈哈。
1698636586# #女子后悔当初让婆家彩礼68万彩礼，今晚老公说漏嘴了才知道当初父母没有回礼，结婚后才知道全是借的，婚后老公一家人一直在打工还债，彩礼害的家里人极度奔溃，老婆：明天就要回娘家要钱彩礼
1698110502# #老师曝光教室无窗帘被学校层层约谈，要求下架视频并和领导道歉！。。10月22日山东聊城。女教师中请教室安装窗帘，反光对学生造成影响，反应一个月仍未安装，反被区别对待各种"穿小鞋"。长春哥有话说本博诺诺的问一句，如果这件事情属实，你们就那么听不进去真话实话吗？你们也不是个别人，相信还有其
1695909759# #白天上班打瞌睡，下班广场舞，以前是生怕别人看到，现在是生怕别人看不到，这样穿运动真的舒适吗？允悲广场舞
1703251772# #goodgoodgood
1686973338# #青岛大学毕业典礼再现神级演唱，小伙一身军装《我的祖国》一身正气，慷锵有力！青岛大学超话
1693035079# #转发微博
1686908910# #转发微博
1696589910# #两干部流出不雅视频被停职不得不说真辛苦，别人在放假庆国庆，你们还在加班，尤其是说干就干的工作作风要是用到工作中肯定能提拔。
1695531976# #转发微博
1700202907# #网传深圳一大学男生宿舍内，有学生将成人用品放公共洗衣机内清洗：太恶心！
1702348472# #文化渗透才是最可怕的
1699890661# #飞机上有乘客脱鞋，周围人都捂住口鼻，男子忍不住化身“飞机判官”。（来源：一个蟀人）
1698642877# #娶这么漂亮的女人，不知道以后需要多少彩礼？街拍
1687310033# #转发微博
1694170913# #【大学生贷款参加就业培训后自缢身亡当地警方介入调查】9月7日，陕西西安。网友张先生爆料，在陕西安康市安康学院读大四的弟弟，参加学校组织到西安某培训机构的就业前培训，因学费1万多元，家里拮据没同意，弟弟在培训机构推荐的小额贷款机构贷款参加培训后，于9月6日凌晨在西安雁塔区唐延路遗址公
1698579490# #【宅基地“变”基本农田兴平市赵村镇桑园村一户村民建房犯了难话筒】近日，兴平市赵村镇桑园村村民葛振宇盯着多处裂缝的屋顶满面愁容，更让他闹心的是，前不久在自家已审批的宅基地上盖新房时，却被国土和城管执法部门叫停，相关部门给出的答复是：这片宅基地已经划为基本农田了。。。村民：文件批的
1694232287# #大兴安岭商贩们都开始卖冻货9月8日，黑龙江省大兴安岭地区，白露节气迎“冰花”，商贩们都开始卖冻货了。
1699929953# #西安一商场回应老鼠掉顾客头上：已接到反馈会消杀处理
1699628832# #11月10日，天津。小伙凌晨被吵醒满脸不耐烦，但瞬间满是惊喜和感动。网友：这样的舍友值得珍惜。
1700370962# #网红夫妇回应售楼处维权被抢手机这件事情截至目前已经在网上发酵，能得到解决是大概率的，但也只仅限于之前的返款，而烂尾楼不是那么容易解决的，这条维权路他们希望依然渺茫。。。且，还有更多非他们这样的网红夫妇，面对烂尾楼和黑恶地产商，连个屁都不是，唯一的正面作用，就是告诫年轻人，“不要结
1692512530# #【妈妈想女儿进厂女儿称不想拿死工资女儿：不喜欢朝九晚五，想进私企】近日，重庆的李大姐求助，称自己和正在读大学的女儿产生矛盾。李大姐希望女儿将来像自己一样进厂上班，工作稳定。但女儿表示，不喜欢朝九晚五、拿死工资的工作，以后想考研，做英语相关的工作，进私企锻炼自己。你怎么看？
1700377144# #没毛病笑cry
1687310189# #转发微博
1698764497# #老人摆摊卖菜被人喷水驱赶，附近酒店回应：客人车出不来，报警、城管、物业都找过了摆摊老人
1698481334# #陕西省icon在2023年的GDP排名，让人看着有点无语，第一名的西安icon，只能用华为icon的宣传语来形容：遥遥领先，遥遥领先！第二名的榆林市icon是怎么回事，竟然可以发展的这么好，以前都没注意到这个城市，竟然这么犀利，紧跟西安脚步，那也是相当不容易，为了找到榆林市的位置，还专门去找地图，原来
1698538027# #外卖小哥送餐突然被交警拦下，交警：我取外卖，你别害怕，网友：那一瞬间小哥CPU差点烧了
1699668393# #医护关系和谐网友在医院护士台看到暖心一幕，爷爷坐在护士台帮忙做点力所能及的事，这位爷爷肯定为自己能够帮上忙而感到骄傲吧朋友圈
1692514040# #模特在大厅集体穿同款服饰等待面试，网友：一时间心动了无数次。
1697517283# #转发微博
1700325368# #国之重器
1698760937# #自闭症女童在地铁上吃早餐遭旁边老人谩骂推搡，引起周围乘客公愤纷纷站出来指责
1687310094# #转发微博
1687678786# #女子在座椅上展示高难度瑜伽动作，臂力惊人，这不是一般人能做到的
1693805258# #【女子称景区拍照被僧人持棍追打辱骂：已报警投诉话筒】9月3日，山西忻州。赵女士和父亲在景区寺院拍照被一位僧人误认为是偷拍，解释后对方不依不饶，持着棍子追打辱骂。赵女士称，自己跟父亲是在拍树，并不是偷拍僧人。已经报警了，也拨打了景区的投诉电话。
1687448621# #西安一轿车在行驶中，车内打火机爆炸，天窗被炸飞…
1701157278# #孩子扯住妈妈头发不放，路人看不下去将其拉开批评教育“算了算了给他一次机会”教育
1693799776# #瑞幸回应喝茅台联名咖啡能否开车话说咖啡酒精含量低于5％，喝后不建议开车，有人喝过吗？
1693211145# #转发微博
1700633188# #中国女球迷在中国球迷看台，穿热刺孙兴慜球衣遭怒骂网友：她可能第一次看球，不太懂
1693805551# #央视主持人做饭好像过大年你好生活场内主厨：，满场跑小助理
1690770915# #转发微博
1699889628# #转发微博
1692602290# #临沂身边事【临沂一女子连泼景区经理三杯热水】据芒果都市视频显示！8月19日，山东临沂。一网曝女子连泼景区经理三杯热水，在场一男子疑为执法局副局长。执法局:确实是我们局里的人。
1699601719# #贵阳市华希医药健康职业学校无烟校园校园时光创建无烟校园，学校用没收的香烟组织“操场销烟”……学生：现场全是鼓掌欢呼声！
1699890130# #某剧组在上海一高校内拍摄，工作人员用激光笔扫射驱赶，从图书馆学习出来的学生引发不满“大学生的命不是命，学校卖给你们了？”
1687308819# #转发微博
1696155180# #西安为游客发2亿像素旅游攻略9月30日，陕西西安。外地游客来西安游玩，首先领到了旅游攻略，上面细致标好景点，酒店，地铁，卫生间，休息充电区等位置，游客表示很贴心。曲江文旅称，这样做是希望游客国庆假期有更丰富的玩法，希望大家留下一个美好的长安之旅。
1692681356# #【陕西安康关于网络反映“古稀老人被烈犬咬伤多方维权被踢皮球”情况核查的通报】古稀老人被烈犬咬伤多方维权被踢皮球详情戳图
1687680883# #啥都不说了，祝日后幸福吧！
1692512569# #转发微博
1699677445# #11月6日，黑龙江哈尔滨。大学生雪中玩“滑梯”，不料下一秒变“翻车现场”。屁股着地平沙落雁式滑滑梯。（来源：小圆-）高校
1687087089# #网友爆料：延安大学咸阳医院心血管病院步梯4层，第一次在医院见到这么脏的地方。
1698158304# #印尼封杀TikTok电商一个月后，结果让人大跌眼镜：线下销售非但没有繁荣，反而越加萧条。不禁让人感慨，拍脑门的决定要不得，直播电商完全可以与实体店相互依存。
1702433241# #西安一醉酒男子当街非礼女孩，在等待警方到来时，男朋友被其挥拳殴打怒怒
1699889501# #转发微博
1687240689# #抓鸭子了……
1699631305# #监控拍下店员偷拿收银机里的钱，一抓一大把，都是大面额。发布者：一下偷了九百！
1701675603# #男子车站未扫码坐火车站按摩椅被驱赶，车站、12306及按摩椅方回应：不付钱不可以坐
1698571648# #两个爷爷互相抢着买单，结果第三个爷爷早已看穿了一切，默默付了钱。
1700326123# #妥妥血脉压制！爸爸连哄带骗给小女儿喂药，大女儿一旁看戏忍不住上手了，我连哭都不敢掉眼泪……
1693805448# #南京大学博士向胡锡进“开炮”：世界大事没有他不懂的，这样的人。
1700959204# #有此儿女，还不如不要
1694012363# #【男子驾车撞丈母娘店铺致1岁儿子死亡】警方通报男子驾车撞人致2死1伤据纵览新闻报道：9月6日，有网友发布视频称，6日上午，山西晋中市太谷区一名男子驾车撞向丈母娘家的殡葬店，导致男子的孩子和一名顾客死亡。6日，晋中市太谷区振兴社区居委会向纵览新闻记者表示，驾车男子所撞的店的确是其丈母
1697176901# #女顾客在店内试衣不购买，老板发现其拍图上网对价后将其赶出，随后双方发生争执…
1695961270# #看了杨华兄所叙莘松所民警寻找他父亲的故事，真的感人肺腑！人民警察，和平年代牺牲最大流血最多的职业群体。他们并非天生英雄，只不过选择了无悔付出。他们大案小案同样办！没有跌宕起伏的特写镜头，他们一样可敬！用博友莘松民警，救命之恩！鲜花good给力
1693211130# #太可爱了
1687485270# #台上一分钟，台下十年功。
1687654507# #优秀她7岁开始学习川剧，18岁开始独自闯荡，从绵阳到成都，从成都到上海，从上海再到成都，然后走向世界，现在又从川剧艺术家到网络主播，挑起了非遗传承的大梁。为吴菁菁点赞good
1700384532# #一点也不影响以后的彩礼汗汗汗这就是好女孩
1700358980# #“找到你把头给你打烂！”顾客投诉外卖发现蟑螂遭商家电话威胁
1687653590# #瓦格纳从俄南部军区司令部撤离哈哈，胡锡进icon果然没让大家失望，隔了一晚上，第二天的胡锡进又打败了昨天的胡锡进。。。这段时间老胡在国内热点事件的评论上屡屡翻车，昨天俄罗斯出了件大事，老胡立马精神起来，指点国际风云那可是俺老胡的强项。老胡马上抛出了结局走向的三个可能，坐等第二天剧本朝
1688517610# #转发微博
1687447488# #端午节来了女子挎着行囊去集市买粽子，这场景似曾相识，《西游记》里面的蟒蛇精
1699770079# #恶作剧？女子乘坐电梯，一中学生头戴面具拿刀在背后做捅人动作，吓得女子急忙离开电梯
1698563873# #你支持禁止老头乐吗2万网购“保时捷”老头乐，交警看到都忍不住笑！
1698500773# #熊孩子高铁上有孩子一路吵闹，“满嘴脏话、生殖器官”，乘务员多次提醒无效，乘客挺身而出。
1695786924# #叙利亚总统夫妇用中文道别巴沙尔icon这个钢铁汉子，面对美帝时眉头都不皱一下，但听到央视icon记者给他念中国网友的评论时也动容了，铁汉也有柔情情的一面。。。面对强权的美国icon绝不低头，这一点足够中国人民尊敬。
1694515696# #9月8日，发生地江西南昌，男子半夜出来买药，路遇7旬老人带收养孩子捡瓶子：看着心里挺难受，转了50块钱帮助。南昌（来源:大象新闻）
1702629105# #碌碌无为，有滋有味！西安一老师寄语高考学生：希望大家活得粗糙一些。（来源：西部网）
1697505575# #偶遇大叔清理许愿池，这一铲子下去是啥感觉！简直是梦想中的工作！这不就是我梦想中的工作吗
1687308899# #转发微博
1700897808# #这让家长怎么活，孩子你真是太傻了，什么事都没有比生命更重要！
1700928783# #冤有头、债有主……吃瓜
1699929139# #11月13日消息，明学昌被温州公安公开通缉后，此前缅北果敢当地“官媒”一则“明学昌为孙子举办北大录取升学宴”的报道引发关注。对此，北大回应：明光忠非北大学生
1693397047# #学生马上开学了，刚拍在亲水广场鸽子激烈抢食场面，不安分的广场鸽抢食吃，同类竞争也可以十分出色，热闹嘻嘻我要上同城精选
1693035411# #河南郑州。学生开学前男生做跑腿赚钱，偶遇同学被调侃。网友：比只会啃老的强太多。
1700633740# #男子婚礼现场致辞，一句话爆笑全场：“该来的没来，不该来的都来了。”
1698580930# #武汉武汉最豪华公交车，全身透明！造价160万一辆全线往返约4万人乘坐！车内有专门“保镖”
1687097312# #女子花52元两分钟取出鱼刺，事后发文称：“医院赚大钱”遭网友怒怼，看到评论我就放心了笑cry笑cry笑cry
1694231794# #【折断兵马俑手指的美国男子向中国道歉】2017年12月21日，美国男子迈克尔·罗哈纳（MichaelRohana）潜入费城富兰克林博物馆，折断并盗走一尊正在展出的中国兵马俑的拇指。当地时间2023年9月6日，美国费城联邦法院地区法官肯尼（ChadF.Kenney）判处罗哈纳五年缓刑。据报道，罗哈纳在听证中向家人和
1699607657# #近日，江西一名网友分享了夫妻两人用七年时间攒下100万元，如今仅靠利息就能覆盖每月生活成本。她表示：自己多年坚持在家做饭，不在外喝咖啡，只买打折衣服，带孩子晒太阳代替兴趣班......一样可以生活的很好。网友表示：年轻人有自己的抠门经济学！
1697548960# #转发微博
1693211149# #转发微博
1695893951# #长春身边事【东北普通小城公主岭！】近日，网友来在东北环边自驾旅行3百天，昨日来到一个普通的北方小城，那就是公主故里公主岭，据说还有一个美丽的传说。它归属吉林省长春市，看上去很普通，当我走进城里走走，不由的我腿迈不开步，每到一处都会有让我心动的事情发生，感觉这次环边游没有白游
1687062314# #现在不好好读书，以后可能当服务员都不够资格。高考
1697177499# #【动科院学生校园内赶猪回头率拉满，女生尴尬地全程低头捂着脸走笑cry】10月12日，四川凉山。西昌学院校园内，几位穿白大褂的学生手拿树棍、铁锹赶着一头大胖猪“遛弯”引关注。拍摄者刘同学称，刚从食堂出来就看到这一幕，猜测这几位学生是动物科学学院的学长学姐，正把猪“师兄”赶往其他地方。
1699670424# #大学生花60元请保洁阿姨打扫寝室：专业的事交给专业的人
1692514199# #韩红在义诊现场与高中女孩暖心对话，劝导女孩父亲不要把成绩看得太重，“每一个生命都值得被尊重”。
1696501204# #女孩子喝多了真的和猪一样，网友：这不影响以后彩礼吧！彩礼
1700965195# #东北一男子和陌生女子赤裸在床，被抓后向妻子狡辩称是朋友，“只是好朋友，非常好。”
1700965515# #上海男子街头偶遇乞讨者被盆里的景象惊呆网友：你起来，让我蹲会
1695647026# #【学生刺杀操失误给领导吓一身汗】9月24日，陕西。学生在军训汇报表演中失误，右边同学也被“虚晃一枪”，但是场下的学生和领导依旧为其鼓掌。
1696601591# #十月一国庆假期网友来河南的感受，很中肯！。。从河南旅游回来后，说说我对河南的感受。。1、河南人对饮食感觉不讲究，不复杂，吃饭不太讲究，中午面条子不用菜就可以。。2、中华五千年，有一大半时间建都在河南，豫菜是百菜之祖。宫廷皇家吃了几千年。3、河南的所有主食里只要带汤的都加点淀粉，这正
1702466638# #给手艺人good
1696562739# #西安外国语大学没想到吃瓜吃到我母校，不得不说真精彩！西安
1700929355# #的确有的备案是等于审批变成了行政许可，但业委会的这种备案并不是行政许可。
1700380599# #公共安全要强制，个人安全须提醒。不要为了不死人的安全指标，做出了“尿床的孩子不让睡觉”愚蠢管理办法！
1702607337# #在西藏日喀则的柏油路上，一群小可爱坐着不一样的校车，蓝天白云下踏着柏油马路去上学，长大以后，这就是属于他们独有的美好回忆。
1694017179# #【幼童4根手指被绞断交警狂飙送医】近日，山东济南，两岁孩子4根手指被绞断，急需乘机转院手术，济南交警“狂飙”送医。网友：危急时刻可以永远相信人民警察！（闪电新闻）
1692526807# #太强悍了！小美女吵架一言不合，就扔手机，然后就脱裤子…
1702379748# #重庆人坐在板凳上吃火锅近日，有网友在解放碑看到了在板凳上吃火锅的场面，直接坐在板凳上开涮，有网友表示这样会存在安全隐患，你怎么看呢？思考我要上热搜
1697512566# #各地乱七八糟的城市地铁，为什么不能全国统一？看来看去还是西安的最有创意！创意城市
1698592355# #引汉济渭大坝黄金峡水库蓄水快一个月了，坝上坝下对比，看完有啥想法？汉江其实本来水流不多泪泪泪
1701000640# #士别三日，刮目相看！杨意根观念转变，赛道转换，立足农业振兴乡村话筒
1701918221# #我身边为啥没中大奖的人
1699601987# #女孩子难哄是不分年龄的萌娃
1698764155# #10月31日（报道），浙江杭州。外卖漏送2份米饭，顾客要求191元整单退款，店老板无奈很难受：全款退单等于请客吃饭（新闻来源：红星新闻）
1701070328# #这是有多大仇汗
1686913720# #洗碗工收到工资给老板500元感谢:大妈懂得感恩，老板知道员工不容易，双向奔赴的美好，除了感动就是暖心泪泪
1698492627# #你有多久没吃到过甘蔗了…
1703329212# #陈光标标哥的江苏黄埔,向甘肃青海文区捐赠价值1300万的物资，和20多辆大型机械设备帮助救灾,这些物资从北京发车，预计十八个小时后会抵达灾区。为啥物资要从北京发车?因为当地的棉被棉衣已经不多了,陈光标的团队直接跑到北京、廊坊的各大市场购买物资、联系车....甘肃加油！青海加油！中国加油！
1697178807# #巴勒斯坦老人看到自己家被以色列空袭摧毁，面对一片狼藉，掩面哭啼从废墟中捡出两袋自己物品。
1690770892# #湖南90后乡村女教师有个“摄影团”，她带着学生发现美，找到美，留下美、传播美，在孩子们镜头里，这个世界美醉了
1698714948# #南昌追寻超级雷暴的“追风少年”，00后小伙驱车8万公里追逐风暴，拍下近5万张大片轰动全网：堪比好莱坞特效！
1695650217# #【大学生发现食堂窗口用鬼秤取证举报：后续打算向学校后勤部门举报裂开】9月16日，陕西西安。俞同学发现学校一楼食堂麻辣烫的秤是9两秤，当场揭穿并向食堂经理举报。俞同学表示，自己是大二的，当时室友怀疑学校一楼麻辣烫的秤有问题，自己就拿了一瓶水先在学校的公平秤测验，再拿到麻辣烫窗口的秤
1688266549# #转发微博
1694956663# #徐州【女儿得知父亲受伤瞬间变成了惊讶！】9月16日，江苏徐州：女儿放学回家看到爸爸受伤，得知少了一根脚指头，灿烂的脸上瞬间变成惊讶，待向妈妈确认后趴在妈妈的怀里哭泣。都说女孩子是爸爸的小棉袄，一点都不假。
1699602271# #从开头笑到结尾～斗地主扑克大爷打牌气势不能输
1688304277# #赞
1693933723# #【壮观！壶口瀑布现彩虹通天浊浪翻滚景象】正值夏秋更迭，位于秦晋峡谷中段的黄河壶口瀑布出现彩虹通天美景。此时的壶口瀑布水流量在1000立方米左右，主、副瀑布连成一片。当壶口瀑布与彩虹同框，呈现出一副黄河之水天上来的壮美画卷。（人民日报）
1688298093# #转发微博
1692603181# #台湾当归！在有生之年希望这三块牌子早日挂在台湾省的土地上。
1697423052# #不经意却很不卫生的行为能不用手机的就是狠人哈哈
