1695353395# #这是哪个白痴拍的？
1700482779# #越来越多的弯弯学聪明了
1688475099# #【豹2爆了】。7月3日，俄罗斯国防部长谢尔盖·绍伊古表示，俄罗斯联邦武装部队几乎摧毁了波兰和葡萄牙向乌克兰武装部队提供的几乎所有豹式坦克。。6月21日，乌克兰总统泽连斯基接受英国媒体采访时曾表示，乌军的进展要比预期更慢，乌军甚至还没有突破俄罗斯多层防线中的第一条。
1697799601# #【辛德勒的打分】。电影《辛德勒的名单》在B站从9分狂降到4.2分。辛德勒仗义疏财冒险救助犹太人，晚景凄凉却没有犹太人愿意帮助他。犹太资本倒是通过拍这部电影赚了不知多少亿美元。。很显然，充满正义感的B站网友想为辛德勒讨个公道。
1695258642# #西安交大吹响了中国高校回归正常化的号角。
1689910988# #不要拿美国的刀，来砍中国的人。
1688694688# #浙江大学毕业季，酋长夫人跪不起。。随夫西去风光好，阿非利加期待你。
1693733321# #【如何报复加拿大？】。加拿大真不地道，故意在中国大使馆经商处的办公楼旁搞了个毒品安全注射中心，导致我方办公楼经常被吸毒者和流浪汉骚扰。。关键这个很难对等报复。本狼思得一计，不如在加拿大驻中国使馆旁边设一个广场舞中心？
1703204464# #著名润物甜甜圈，发现美国警察比中国城管凶太多。。发现什么您都留在美国，千万别回来。
1693447223# #近日，武汉一酒店，两名留学生退房时未支付全部住宿费就试图离开，被酒店保安拦住。两名留学生满口脏话，称中国人素质低下，还殴打保安。警方到场后，两名留学生却反咬一口，说保安殴打他们，并要求赔偿！。警方通过监控视频揭穿了谎言，两人转而声称中国的法律不适用于他们，要求无罪释放。他们甚至还
1688619790# #7月2号，四川成都。。有些人不配做父母。
1692940905# #福建永春的标志性城市雕塑，如果你以为这是火星人入侵就彻底错了，这其实是蘑菇🍄。
1694072896# #xxn们喜欢说：“一个女孩子怎么会拿自己的清白开玩笑？”。感谢监控。
1696262356# #国庆发布新作《我们终将遥遥领先》。新能源汽车战场，中国必胜！
1694791763# #越南加油，祝你们能赶在南北再次分裂前建好这条铁路。
1696933903# #【打香篆】。综艺小课上的才艺展示☁️
1703040569# #此乃一条色浪舔屏
1694948305# #水獭：你抓你的拍📸我抓我的鱼🐟
1701924471# #永不自满，永不自大，。中国航天，未来可期！
1696143554# #我爱你，中国🇨🇳
1691819610# #不可能不可能，这一定是假新闻！。美国退伍老兵居然因为在网上威胁了拜登两句，就被FBI登门查水表，直接毙掉了！。不是说美国总统随便骂的吗？不是说风能进雨能进国王不能进吗？莫非还有一句：CIAFBINYPDSHIELD各路大神随便进！
1688614524# #汉服走向世界各国的毕业典礼。。那么当然也应该走向咱们自己的毕业典礼。
1692684947# #不如我们退一步，摸着鹰酱过河呢？
1699504160# #以色列的犹太复国主义者进行示威游行。其中一名犹太复国女做出手势，威胁要把巴勒斯坦人“抹脖子”。。她真的很有奥斯维辛集中营女看守的神韵。
1697792077# #罚款50，这下那张脸更像是被欺负过的了。
1696407583# #杭州亚运会男子4X100米接力决赛，日本队第三棒笑早了。中国队的第四棒陈佳鹏接过接力棒后，像踩上了风火轮给力
1691113814# #事实证明，善待伴侣、常备不懈，十分重要。。平时不充气，临时抱佛脚的，肯定来不及。
1697703954# #著名徐姓润物发声力挺以色列人，怒斥中国人缺乏敬畏。。可是你会不会是英文不灵，why脱离不了中文？
1689241794# #中国使领馆当然只帮中国人，有什么问题？。你一个美国人，去美国大使馆找人性呗，跟我们中国碰什么瓷摊手
1702797877# #无病国外医疗好，有病国内医院跑。
1700819625# #《底层为何厌恶那些表现底层苦难的影视作品？》
1691986393# #为什么国外的自来水可以直接喝?。民智已开，公知路窄。
1687765305# #【中国好汉】。6月25日下午，日本JR新宿站的电车车厢里出现持刀男子，引发现场混乱。乘客争相逃命，却有人用中文大声喝到：“你们先出去，我挡着！先走，先走！”
1694345350# #我们要保持战略定力，我们要保持头脑冷静，所以我们一定要继续刷微博！允悲
1701695089# #【以色列式父爱】。以军士兵：“今天她两岁了，我想她，我把这次爆破大楼献给我女儿艾拉公主过生日。”。说完，他和他的同伙就炸毁了加沙的一座巴勒斯坦公寓楼。
1700487409# #本狼也曾遇到过，你真心帮助的人有可能会反过来对你恶言相向。。然而本狼会机(jiao)智(hua)地让过拳风，继续行善。
1691452268# #8月7日，英国《金融时报》发文，认为接纳波兰和匈牙利是一个“可怕的实验”，而乌克兰将被证明是一个难以承受的负担。该文表示：“乌克兰尚未加入欧盟，但已经对共同市场造成损害。很难想象一旦进入会发生什么。欧盟七年预算的近62%用于农业部门和地方预算的补偿，而拥有大量农村土地的乌克兰的加入将
1697021323# #以色列的变脸术奥特曼
1688475332# #7月3日，俄罗斯瓦格纳雇佣兵集团表示将继续为对乌特别军事行动招募新兵，并且新兵的合同仍是与瓦格纳签订。负责人普里戈任也通过电报频道再次发声，呼吁俄罗斯民众继续支持瓦格纳集团。。所以这是双簧吗？
1702120482# #这位老胡在说什么胡话？
1688786813# #在一所法国学校里，法国黑人男生正在与乌克兰白人女生进行一场以“抚慰受伤心灵”为主题的联谊。。本狼一直以为黑人男生只能被抚慰被伴读呢。
1699354086# #山东大学教授张平表示：以色列将引进5~10万印度劳工解决以色列国内劳工不足问题，这种情况以前都是先考虑中国劳工的。。张教授您先上呗。兴建定居点霸占巴勒斯坦土地这种事，我们中国劳工做不来。
1691642468# #司马三之心，路人皆知。
1692692658# #偶尔会有几个清醒的台湾人。
1698754558# #韩国艺人到沙特录节目，沙特人误以为是中国人，笑脸相迎：“你好！”。韩国艺人：“阿尼哈赛哟！”。沙特人脸上的笑容消失了……
1692882140# #新仇旧恨
1697278466# #10月8日，以色列驻华使馆说哈马斯掳走了一名出生在北京、中以混血、名叫Noa的女孩。顿时在中国的网络上激起渲染大波，不少善良的朋友觉得那咱们中国可不能不管，有些浑水摸鱼的公知已经开始编纂战狼不救女孩的小作文了，而类似本狼等许多博主质疑这以色列的锅为何要咱们中国背？。10月13日，凤凰网连线
1698972777# #中传播音主持进修班。23秋季班读书周秋游活动，一路秋游一路歌音乐
1691368024# #【抗洪英烈，永垂不朽】。据“吉林市发布”微信公号消息，此前赴舒兰市开原镇、金马镇抗洪抢险过程中遇险失联的舒兰市委常委、常务副市长骆旭东和舒兰市人民武装部政委周昆训、吉林市水利水电规划院高级工程师倪峰，于8月6日分别被找到，已无生命体征，因公牺牲。另外1名失联人员——舒兰市人民政府办公
1692167804# #眼前一黑允悲
1692145934# #额，才反应过来，因为本狼在安徽，所以被你当安徽人骂是吧。行啊，我此刻就是安徽狼。你个住棺材房的香港小号，给老子滚出来！
1687325317# #【法式智慧】。法国《世界报》爆料：培训乌军的法国教官奉命尽量不要与受训的乌克兰人建立私交。该报称：“几个月前在波罗的海国家接受培训的一个乌克兰营，40%的人已经在战斗中战死，不要和那些可能会死去的人建立私交，否则可能导致创伤后应激症。”
1691366686# #TFBOYS演唱会，粉丝热度非凡，堪比安史之乱允悲。本狼有一个大胆的想法：要是让他们三位参军入伍会怎么样？
1692846262# #七夕之后垃圾桶，多少舔狗烟尘中。
1688613493# #xxn们坚决反对韩女向往国男
1703120643# #新冠已到新加坡
1691375439# #哈哈，一剑封喉
1693732273# #为什么我们要赞美华为mate60的横空出世！
1699589931# #自动化、智能化，将会彻底封闭印度、越南等国通过夺取劳动密集型低端产业，实现工业化的美梦。
1700201289# #原本计划带回2公斤土壤，为什么中国嫦娥5登月只带回了1.7公斤？……
1697853116# #为什么现在公知都不提美国空气甜了？
1702800053# #罪在当代，功在千秋！
1702563415# #小仙女准则：见到老外么么哒，国男统统去死啦！
1689147811# #高盛预测，印度将在2075年超越美国，成为全球第二大经济体，GDP将达到52.5万亿美元。。所以第一大经济体毫无疑问必将是——大寒冥国！
1687569771# #法国跑酷团队在香港楼顶跑酷，下次欢迎他们来重庆笑而不语。与其给留学生辣么多奖学金，不如多赞助老外搞一搞此类有利于人口控制的运动。
1690763531# #7月30日，2023世界游泳锦标赛在日本福冈落下帷幕，中国队共获得20金8银12铜，名列金牌榜第一、奖牌榜第二。。美国队名列金牌榜第三，奖牌榜第一。他们还赢得了银牌榜第一。
1699771127# #【面子工程】。为了迎接外宾，不惜清理底层人口，粉饰太平！。我不要大国崛起，我要小民尊严！
1698364776# #不许发声，否则灭门衰
1691491640# #留学的理想与现实。
1690361967# #识时务者为俊杰。
1693052558# #小日子の未来……
1693262106# #当心日本借道台湾把海鲜卖进来。
1696403909# #【南阳零元购】。10月3日，南阳迷笛音乐节结束后，被来自附近的大批村民偷了个七荤八素衰
1694222154# #当场摔杯，取消婚礼，你支持这个新郎的做法吗？
1693404628# #1450冒充四川人，当场穿帮。
1699356435# #以色列漫画家关于巴以冲突全球不同阵营的作品。。哼，我们中国要是站队了，美国儿子也救不了爹。。还有，BBC和我们一边很不适应。
1696738853# #本狼猜你一定是要好好劝诫这位朋友注意护眼保视力，对吧？
1688011065# #当地时间6月28日，拜登接受记者采访时表示，很难说普京是否因最近瓦格纳叛乱事件而受到削弱，但他显然正在输掉伊拉克战争。。伊拉克打了个寒噤。
1692617138# #日本地铁即景：巧了，无论是黑人还是白人，都看不懂英文。
1689753329# #印度老哥拆烟囱，人口再多不够用。
1689989367# #在美华人会成为美中两国都想打击的对象
1692415641# #【百闻不如一见】。香港网友发文感慨深圳的治安，说他去吃肯德基，见到有人把手机放在那里10多分钟都没人理会……
1689148566# #富人已经拥有了财富，他们还要占据道德高地。
1695874115# #恭喜司机，生在中国。
1692414915# #美国下月禁售白炽灯了。为防止各路大小公知跪舔打脸，本狼友情提示一下：我们中国早在2011年就发文淘汰白炽灯了。。另外美加澳这几年放纵野火，产生的碳排放够全世界背很久咯。
1690614476# #总觉得有些不对劲……
1694963860# #这……
1696307370# #我们为什么应该感谢明朝。
1697966375# #忘记切换账号，1450大型翻车现场！允悲
1687993130# #纽约时报亚裔女，抹黑中国是主力。
1700561808# #谭嗣同Vs康有为。启蒙者Vs公知
1696854609# #【以色列的报复】。干净利落地用导弹摧毁了大学、居民公寓、清真寺……
1690019995# #国家败了，不怪你们。
1689682319# #这三人的IP也把本狼给看笑了允悲
1696325646# #是时候说一说苹果到底有多黑了衰
1695469411# #居然还有领着中国工资福利偷偷加入哈萨克国籍的哈蛆，拜托有点志气，有多远滚多远。
1693633001# #上海某公园相亲角，一位本地阿姨举牌为女择婿：“女，上海，招有权有势的亲家。”。阿姨的女儿37了，交过几个男朋友都被母亲否掉。阿姨认定，有权有势才能保得女儿，和自己，的美好前程……。有钱有势的人们啊，请你们行行好，救救这个女儿，让她的母亲消失吧！
1700301202# #皇军不是白来了吗摊手
1694785509# #过年的时候还会贴春联呢
1699226947# #广州女生小婷晒出自己宿舍6人的毕业旅行合影，不料被某博主盗图，并配文称，“6姐妹彩礼都是10万，你会选哪个做老婆？”。小婷表示，该博主有30多万粉丝，主页也有其他女生的照片，猜测也是盗图，与博主交流后遭对方拉黑，后来听到自己要报警，博主才不情愿地删除相关内容，并称取材于网络，“他还说我
1694071543# #你封锁，我解锁，遍地燎原星星火🔥
1697893252# #中国女留学生在海外，野马脱钢，严重受伤衰
1701782983# #最多是个厕福晋允悲
1700639427# #一个自以为很聪明的笑话摊手
1702446379# #新疆与加沙。。一场巴以冲突，让世界人民恍然大悟。
1695818123# #美国《大西洋月刊》9月21日发文提到，参谋长联席会议主席马克·米利曾在美国2020年大选前以及国会山骚乱事件后，两次向中国作出保证，美国政府内部稳定并且不会采取任何攻击中国或对抗的行动。报道援引米利自己的话称，他这么做是为了“化解冲突，管控危机并防止拥有世界上最致命武器的大国间爆发战争”
1694134407# #印度India大概率要改名为巴拉特Bharata(婆罗多)。三哥以后会不会变成巴哥？
1700819975# #第一天入籍香港，第二天跑去深圳，然后就想移民内地。这老外绝对是想曲线入华！
1690778577# #良心物业，防汛标杆。
1700303995# #应该为国防七子开绿灯
1693052388# #某润物去年年底大骂核酸不共戴天，今年润美开叉车，这个月自费核酸检测。怎么这么快就变身“核酸爱好者”啦？
1703040298# #地震教育我们：不要裸睡。
1697688353# #数额相当大的一笔奖学金……裂开
1699944714# #【窗台】。21播本林白小课组的课间心
1697013851# #孩子们呈现真实历史、训练紧急避险能力，何错之有？。倒是某网的记者，发个报道提什么日本对山东的投资，一副友邦惊诧论的精日嘴脸。
1692434063# #然而在现实生活中，这样的男孩子往往找不到女朋友摊手
1700202711# #台湾妹子论统一之道心
1697026818# #在公知的嘴里，工业皇冠上的明珠已经从空间站盾构机发动机光刻机圆珠笔芯，降级为地毯了吗？。当年国民党金圆券的贬值速度都没你们快。
1699417029# #外卖小哥眼中的当代大学生心
1697248836# #等一下，不是以色列使馆先抛出并消费混血母女的吗！我们拒绝消费，所以就成我们的锅啦？
1688030323# #八格牙路子
1693966268# #慕尼黑车展上，比亚迪被层层围观。设计总监艾格气定神闲，侃侃而谈。他一定在想，下面有没有坐着四个圈？。奥迪的反应还不知道，不过宝马CEO齐普策表示，欧盟的内燃机禁令正将欧洲车企推向与中国竞争对手的价格战，而德国企业生产的廉价经济型汽车“根本不可能”获胜。。没关系没关系，我们可以卖贵一
1701943519# #12月6日，网曝江苏南京中医药大学老师课堂上讲解“春宫图”。网传课件中有“七伤自愈自除”“百病不生”“百病消灭”等描述。有网友认为课件内容过于露骨，不宜在课堂上出现。7日，南京中医药大学校长办公室表示，目前正在处理此事。。本狼觉得，如果是教学内容，校方和网友都不应过度干涉。
1692149165# #【乌式排雷，值得借鉴】。据说乌克兰工兵想出了一个新的排雷手段——每天日落后，由于地雷在阳光的照射下变得发烫，在配备了热成像仪的无人机屏幕上就会变得清晰可见，从而可以迅速探测到地雷，然后使用专用炸药将其清除。
1700740380# #在推特上发表支持巴勒斯坦言论的加拿大渥太华大学华裔实习医生葛义朋，被校方暂停了实习资格。在网上，呼吁重新授予他实习资格的请愿书，已有近六万人签署。
1698156767# #在加沙，巴勒斯坦父母会提前在孩子们的胳膊、肚子等部位写好他们的姓名。因为一旦遭遇不幸，至少还能通过这些文字，识别出是自家的孩子……
1703672876# #中传的天空
1702722241# #国内发烧，国外降温。
1697292327# #轮回。
1702718634# #角度不同，天差地别。
1699789614# #本狼一定是看错了，对不对思考。他在劝大家……做好绝后的准备？
1697084639# #祝贺以色列，这次你们把加沙变成了集中营。
1703927407# #柬埔寨首相这嘲讽技能，真让人担心印度会受不了裂开
1695016257# #河北某大学女生宿舍，两名女生因琐事打作一团！同宿舍女生吓到考虑退学衰
1702817509# #以军的战斗力……杠杠的🌈
1695530608# #当新兵在车站遇到抗美援朝的老兵心
1697857843# #善待流浪动物，领养流浪动物，不要让一个悲剧导致更多悲剧的发生伤心
1699965827# #“我是大陆人，看不顺眼就过来单挑”——香港网友拍到的很刚的大陆好汉。
1693731367# #这个有趣了，貌似不少海外网友真的认为雷蒙多在为华为代言。不少海外网友纷纷询问，华为究竟给了雷蒙多多少代言费……允悲
1699833460# #《为什么日本总是点错科技树？》——小日子聪明反被聪明误允悲
1698809982# #年度图片：加沙。
1690357102# #【高铁の惩戒】。六位烟鬼被留在了站台上。
1689847399# #芝麻开花节节高，屁股开花……
1703520654# #毕业于河北传媒学院播音专业的杨旭，获得了2023央视主持人大赛总冠军。。可喜可贺！值得思索。
1695294138# #高华回国，原本是奔着享受下优越感的。要是没了优越感，很容易变得酸不溜丢阴阳怪气。。“我要是不能居高临下地说中国几句坏话，那我不是白出国了吗？”摊手
1695477392# #小日子狠起来，连自家孩子都敢坑🕳️
1698971912# #下图：普通人的一生。上图：加沙人的一生
1692776659# #那英国人吃得好像德国打赢了……
1703344052# #回国好似进城
1692782707# #画作《靖康之耻》……那两个废物也配称龙吗？
1692086675# #井底之蛙出来开阔一下眼界挺好的。
1687615458# #重庆夏夜，有爱徒登门拜访。。师娘既不在，师徒各尽觞。。惟愿中传学子，穿越黑暗，得见光芒。
1691575114# #弯弯网友想把大陆女运动员挖来台湾，不来就暗杀衰
1701858647# #阿根廷新总统米莱发图挖苦古巴🇨🇺，格局有点小。。建设资本主义二百年的阿根廷🇦🇷，又如何呢？
1701686984# #加沙，一名8岁的巴勒斯坦小女孩被以军炮火炸裂腹部，导致内脏外流，在镜头前挣扎着死去……
1697944788# #了不起，别看在中国连高考都不参加，哦不中考都不参加，但是在土澳各种商科艺术水硕信手拈来，为国争光就交给你们啦。中考生高考生无能，只能好好建设国家doge
1688181884# #【印度制造】。据《今日印度》网站6月29日报道，印度恰蒂斯加尔邦一座在建桥梁近日在一场大雨中部分坍塌。这座大桥于2020年开工，原计划2022年竣工。这座大桥耗资超过1.6亿卢比（约1414万人民币），于2020年11月11日开工，原定2022年4月11日竣工，但最终的完成时间被推迟到了2024年3月。视频画面显示，
1702723382# #许多出国的年轻人，会用自己的眼睛看，会用自己的脑子想。
1699174694# #巴以冲突，导致一个意外的副产品，西方针对新疆的谎言被戳破了。。图为推特上一则拿新疆与加沙对比的推文。
1691976578# #某些抗日神剧真的让人忍无可忍，黑人打鬼子，撩妹根据地，神马东西！
1694137233# #【高华掉进了自己挖的坑】。美国共和党高层有个华裔叫俞怀松，上世纪80年代移民到美国，成天忙着抹黑中国造谣中国。他甚至怂恿共和党内部抓中国间谍，声称“中国间谍已经渗透到了共和党各个层级，甚至特朗普的团队里也混进了中国间谍。只要是中国人就不能信任，就有可能是间谍！”。然后，现在许多美国人
1695181566# #某博主针对新疆的安检措施吐槽，想带风向蹭流量。然而如今的网友明事理，又擅长独立思考。大家一起把该博主教育了一顿。
1696133200# #还是要看到别人的可取之处：永远在备战，时刻警惕饥荒来袭……
1699965652# #网友解释为什么上海放宽了落户政策——以及对策阴险
1695008140# #说得好，这帮魂淡还不如去做死太监
1702345596# #据美国《国会山报》12月10日报道，美国联邦参议员万斯当天表示，美国方面需要接受的是，乌克兰可能需要向俄罗斯“割让一些领土”才能结束冲突。
1702479214# #《南京城，需要我们再守一次！》
1694179583# #印度的国际环境比中国的要好？未必。
1699870979# #香港拆掉老旧霓虹灯。。挺好的，反正香港人以后都去深圳买东西，要那么多霓虹灯也没啥用。
1689857271# #7月20日上午，孙杨在个人社交媒体晒出结婚照，新娘是前中国艺术体操队员张豆豆。热烈祝贺新郎新娘心心🎉🎉
1692440374# #【飞越小强】。某乘客坐飞机从西双版纳飞宁波。飞机到达平流层时竟然发现一只蟑螂趴在飞机的舷窗外面！。小强为了离缅北远一点也是蛮拼的。不过本狼觉得强背朝内，似乎是夹层专座。
1701171506# #清除1450，任重道远。。打击双标狗，刻不容缓。
1690627766# #希望至少对于进入中国高校的留学生，恢复艾滋病检验。
1698926091# #中传播音主持进修班。锻炼身体，学好播音主持！。23秋季班夜跑小组、篮球小组纷纷开展活动🏀
1694697858# #9月12日，广州街头。一位背包眼镜男独自迎战两个壮汉。一拳就将其中一个壮汉击倒在地，鲜血流淌
1704159846# #纽约跨年，严厉安检，重点要查脚脖子！咦，公知不是带风向嫌北京地铁安检太严吗？
1700268647# #润到美利坚，各种被毒打摊手
1699684734# #据说当年石智勇夺冠后，一句“Wocao”在国外广为流传，其中还是日本人研究得比较到位允悲
1692539890# #大明。
1702638559# #印度网友与韩国网友打嘴仗——都靠呼叫中国军队压倒对方，而且说的都是事实酷
1692507200# #深圳正在逐渐地、全面地超越香港，两地迟早会合并。叫“深港”好呢，还是叫“圳香”？笑而不语
1700911300# #某香港网友晒出了自己恢复通关后在内地的消费金额，已经超过十万。。这算什么，越来越多的港人，会带着他们全部的身家，投向大陆的怀抱……
1688438807# #【解读老照片】。苏联红军攻占德国柏林后，一名红军士兵在街头试图征用一位德国妇女的自行车。此图被无数公知引用，用来攻击苏联红军军纪败坏，不得人心。。且不提德国法西斯在侵略苏联时杀人如麻、坏事做绝，本狼就问一句：在1937年，有哪位南京妇女敢和日本鬼子争抢自行车吗？
1702925382# #这张图，本狼的新媒体课上可以用到。
1691917376# #西安人的至暗时刻
1695384167# #直男也该感谢杨笠酷
1702798395# #【公知失手】。既没讹上医院，也没讹上长城允悲
1702993437# #有人炫耀去纽约感受不夜城，直接被网友转发公知的回旋镖，打了个七荤八素！允悲
1691655017# #人生在世，还是要增强自我保护意识。
1702721221# #最是大学好时光微风
1703047299# #以色列特种部队声称在野外抓到一名巴勒斯坦恐怖分子，我们看到的是一名持枪暴徒在霸凌未成年人。
1701616597# #一个乌粉忍不住说了实话。
1703773281# #据说是网约车现状。。令人惊奇的是为啥还会有三轮车拉人存在？
1688955108# #刚刚出炉的2023“荷兰小姐”，冠军是一名“跨性别女性”，一个男人……
1703672919# #和谐社会，惟有中国心。善哉善哉，阿弥陀佛🙏
1690249484# #7月24日上午，中国篮协通过社交媒体宣布，李凯尔已经获得中国国籍，并与中国篮协主席姚明见面。国际篮联篮球世界杯官方在社交媒体发布消息，正式确认李凯尔将在男篮世界杯中代表中国男篮出战。。而本狼对归化球员这种方式持保留意见。我们在某个运动项目暂时落后，就坦诚地接受这个事实。然后要么优化地
1696253437# #亚运会跳水一米板决赛，韩国选手打算砸晕裁判？
1691905358# #北京，山巅之城。
1689911220# #转发好文，活灵活现。。殖人反贼，迟早清算。
1692253126# #水硕没竞争力，很正常。
1701568945# #有时由衷地觉得：印度人在下一盘大祺。他们似乎在进行全民训练，努力适应未来的末日时代衰
1702561400# #神奇的国度，神秘的大学衰
1689053137# #【棒子の野望】。是不是应该请英勇的人民军出马，让他们冷静一下？
1701252445# #从以色列监狱释放的巴勒斯坦青年，手臂骨折，手指折断。。被哈马斯释放的以色列妇女，完整无损地抱着她的宠物狗……
1693964125# #全面战争。
1690343508# #印度老哥月薪三万卢布，自信询问在中国能不能横着走？。三万卢布等于不到三千人民币，阿三饿肚子的时候都是横着走吗？
1698949087# #印度：中国凭什么不拿我当大国？
1700562182# #精日心中的日本与真实的日本🇯🇵
1697625515# #【麦当劳大分裂】。以色列麦当劳的社交媒体账号上周发文称，它已向以色列国防军人员免费提供了数千份餐食。。在以色列麦当劳宣布向以军提供免费餐食后，麦当劳在沙特阿拉伯、阿曼、科威特、阿拉伯联合酋长国、约旦和土耳其的特许经营商宣布与以色列麦当劳撇清关系，并承诺向加沙提供援助。
1691810006# #傍晚6点，香港上水地铁站，满是等待前往深圳度周末的港人。
1699601764# #韩国第六师团师团长手举写有“鸭绿江水”的水壶高呼：“让我们再饮鸭绿江水！”。所以这个师团在朝鲜战争的时候，当过我军的俘虏对吧？
1690603157# #转发一下，新生力量即将到来，欢迎2023级的小白杨！
1697353081# #北京朝阳警方通报：10月13日14时许，在朝阳区左家庄一超市门前，一名以色列外交人员家属（男，50岁）被一外籍人员扎伤。目前，犯罪嫌疑人已被警方抓获。经初步审查，该外籍犯罪嫌疑人（男，53岁）在京从事小商品经营工作。案件正在进一步调查中。。严惩！胆敢在中国动刀，以为自己是谁？既然不愿意好好
1689902752# #7月18日，《纽约时报》公布了一段视频，美国2024年总统大选候选人、美国第35任总统约翰∙肯尼迪的侄子小罗伯特·肯尼迪在宴会上大谈“新冠病毒针对某些特定种族”的观点。他宣称“新冠病毒的攻击目标是白人和黑人，免疫力最强的人种是犹太人和中国人”。他还抛出一个更为惊人的说法，称“美国正在针对中
1696330379# #这位老公的摄影技术令人叹服，居然把长城拍出了午门的感觉允悲
1692938967# #这不像登陆月表，倒像是高空俯拍。
1701308364# #哈马斯战士利用以色列士兵喜欢射杀巴勒斯坦儿童的癖好，在小巷里放置扬声器，专门播放阿拉伯儿童或青少年的说话声，引诱以色列军队靠近，然后伏击这些刽子手。
1701842622# #印度确实不可小觑呀，这样的繁华程度，绝对力压国内成都这样的城市！笑而不语
1697968175# #黑华为的忘记改自己的美国IP，被揭穿后落荒而逃！
1694775346# #9月12日，上海浦东公安分局接到报警电话，报警人称下南路某中学的多名同学同时身体不适。民警们经过初步调查后，确认投毒者是该校的两名13岁学生，她们是班级里的同学。。由于未满14周岁，无法追究她们的刑事责任。未来会有多少个不幸的朱令呢？
1694138006# #各位有没有见过力量对比一比十，然后吹嘘自己荣获第二的？
1695889799# #伊朗男乒打败日本男乒，中国观众与网友用轻松诙谐的友善方式安慰日本队。
1687503339# #man
1700206303# #如今的坦克，被无人机逼得，都快成麻将桌了。
1691903019# #弯弯小伙本姓赵，键盘摇舌单名括。
1695520219# #江南，雨巷。
1699688531# #善战者无赫赫之功！
1699871381# #夜色中，果敢同盟军的战士向中国边境的方向敬礼，他们坚信自己是汉家子弟。
1702797664# #冰肌雪肤玉颜佳，点睛之笔是头纱。
1702599151# #【当抓不到哈马斯】。加沙，以军将其抓获的数百名巴勒斯坦人驱赶到以军挖掘的大土坑里。。画面左边这个人被确认为巴勒斯坦外科医生哈立德·哈莫达博士，他的妻子和女儿已经死于被以色列军队的炮火……
1692751759# #熊孩子不分男女，此刻就在担心她怎么站起来……
1691987304# #多低都嫌贵，多高都会买。
1702889848# #《现在中国军迷是不是越来越自豪越来越挺的起腰杆了？》
1702346723# #【笑不活了】。外网反H势力因发布内容太过亲H，惨遭西方封号允悲
1692102136# #为什么现在好男生这么少呢？。多年前本狼参加一档节目做嘉宾，同为嘉宾的一位女明星反复感慨：为什么现在好男生这么少！。本狼只好耐心给她解释，好男人好好上班，下班就回家啦，你在夜店KTV是不大可能遇到他们的……女明星好像听明白了，但是貌似并不怎么开心。
1694582118# #近日，美国政府宣布放宽对华为等中国科技公司的芯片出售限制。。您猜怎么着？二鬼子急了！。本狼觉得，我们就是要摒弃台积电，我们一定要解放台湾。
1698971744# #满城尽带黄金甲，满城皆是哈马斯……
1694916502# #【列强怀念我大清】。好一个大辫子专家，看面相是男的。。是来提醒果粉们咖喱有多香的吗？
1693330823# #BBC记者信心十足，准备给日本核污水洗地。
1701472050# #始乱终弃？
1699964100# #11月12日晚，某剧组在上海建桥学院拍摄时，工作人员用激光笔扫射驱赶从图书馆出来的学生，并大喊“快走，快走”，场面一度十分混乱。。当不了剑桥，也没必要让自己的学生被个剧组贱瞧嘛。
1695006370# #今天是九一八，国难日。。令人难以置信的是，居然曾有主播认为918是个好日子，因为数字吉利……
1687344450# #【韦女士の大崩坏】。广西南宁的韦女士找不到停车位，就把车停在了工地门口。有工人提醒施工重地，不能停车。可韦女士不听劝，停车走人。她忙工作时，工地接连打了好几个电话叫她赶紧去挪车的，韦女士不耐烦地挂断电话，甚至直接关机。。第二天，韦女士取车时，发现自己的爱车被涂满水泥，天窗已烂，车内
1703514613# #韩国人绝对不会偷允悲
1700806975# #顾客们都对这么小的孩子如此精通成语感到惊讶……
1698623149# #【加沙的孩子】。巴勒斯坦画家用AI画出在巴以冲突中遇难的2913位儿童伤心
1694219815# #上岸第一剑，先斩意中人！。男生资助女友移民，两年花了几十万。女友移民成功，立刻提分手。
1690110555# #问题是你们拍的电影越来越无聊呀摊手
1703404848# #你朝终将因为失去我这样一个人而后悔允悲
1695259650# #【用魔法打败魔法】。一位中国小哥在国外平台连麦时，两名犹太女孩故意用吊眼角的辱华动作，表示对中国人眯眯眼的歧视。小哥举报，平台却显示“举报不当使用”。。于是小哥用标准的纳粹军礼回击。两个犹太女孩立刻停止了眯眯眼动作，惊恐地捂上了自己的嘴巴……
1700713808# #日前，李登辉家族多名成员被爆出遭金融诈骗，在“澳丰案”中损失了5.5亿元新台币，约合人民币1.24亿元。。台湾《中时电子报》11月22日称，李登辉的女儿李安妮，2006年认识销售澳丰基金的兆富财富管理顾问公司的“业绩女王”梁宝华。一开始粱宝华建议买“兆富”保证获利1成的产品，李安妮考虑后就先投下1
1701078151# #【最佳视角】。中国航天员站在机械臂上，眺望苍穹！
1693261059# #日本东京，新宿一家关东煮兼居酒屋挂出牌子：“致中国人，本店食材均为福岛所产。”。如果在中国，这个老板会被公知指责为极端民族主义。然而真正的极端民族主义其实一直都在日本。
