1691459177# #奇瑞海外出口非常猛
1702113971# #外网都在嘲笑小米。。。。这事儿可以不着急公布，弄利索了再公布多好。。。
1702212570# #对，主配在最里面的正座，主配左右是主宾
1701334980# #在中国，应该算是德国联盟吧
1688214076# #据说华晨宇在大湾区演唱会上翻车了？
1701152064# #万达小王爷王思聪进入接班进行时？
1701912769# #上海浦东机场正在建设第三航站楼，上海东站-东方枢纽建设中，上海大力度建设临港区，超级超级上海正在加速度形成。。。京沪东线，北京副中心-天津-潍坊（烟台青岛）-临沂-宿迁-南通-上海东站。。东部地区的新一轮大发展来了。。。胶东地区潍烟高铁、烟台机场二期、青岛京沪东线的联络线。。。
1697599467# #好玩
1698025058# #郁亮反驳了房地产“过剩论”。。。他认为，主要城市当前的住房条件“被平均”了——城市被小镇平均，大城市被小城市平均。“根据七普数据，全国人均住房面积约36.8平方米，城市居民约36.5平方米，城镇居民约42.3平方米，所以城市居民的居住面积被城镇居民平均了。一二线城市的人均住房面积约34.3平方米，
1695126411# #荣耀VPurse最美折叠屏的时尚大趴，开场很炫，荣耀历史上最激进的时尚探索
1701266093# #阿里公务员原来是西藏阿里，我以为阿里巴巴
1702224924# #现在的办法就是不要瞻前顾后，还是要基建拉动，把未来的项目提前，一边拉基建，一边搞科技，科技立住，金融体系梳理好，再放缓基建
1693189479# #俺也这么认为喵喵喵喵喵喵
1691937279# #有点吓人
1691569019# #实干笃行
1694231847# #照片都是模糊的是，重传一下吧
1697292672# #问界新M7上市首月大定60000台，电动汽车行业要进入新竞争阶段了
1693298932# #神奇的一天！余承东、何刚一条相关微博都没有发，华为Mate60居然先锋开售了，还直接冲到了热搜第一。抠鼻。。今天是OPPO小折叠发布会，产品很时尚拉风，当然也肯定上了热搜。。。但是，刘作虎回去后，估计会骂人。。。。。
1693713298# #罗永浩吐槽苹果：iPhone15跟iPhone14不会有区别，除了序列号变了-
1703570155# #问界M9来了，高级感满满，屁股很性感
1697458123# #是的，第一个100万是很难
1687795204# #如何看待男孩躲窗外被打跳下5楼没点正形儿，教育孩子又不在一时，需要智慧，而不是恐吓
1697609283# #中国好，我才能活的更好，国运兴隆才是最大的福报
1692536517# #北京在疏解之类上从来比较强硬，在拆迁上弱势一些doge
1700555664# #你数百员工闲着不用，非要自己上手
1692583003# #深度合作，涉及到灵魂和肉体：根据协议，长安汽车与华为将在数字化转型（人才训战、咨询服务、研发数字化等）、算力中心、云业务、工业软件、软件工具链、海外业务、光储充领域等方面合作，共同完善合作推进机制。
1693741190# #国际版门户应该弄在Twitter
1694154291# #1207名缅北电诈嫌疑人移交我方我的天啊，1000多嫌疑人。。。。这得祸害多少人啊。。。。。必须深究到根源，让诈骗分子彻底垮掉
1701137684# #笑cry笑cry笑cry
1688008680# #当大规模的中产阶层失去消费动能，我们也可能像日本那样走向低欲望社会。中国人多是不假，但商业体系的成本逻辑没有多么特别
1697419314# #高铁上最烦想换座位的情侣主要是12306不能像飞机订票一样选座
1693964009# #活牛2分钟被强行灌水近50升实话实说，中国的奸商太多了，中国工商部门应该加强全链条的数字化管理，并加强检验执法，进行链条式严惩机制，并纳入公民诚信档案。
1699628009# #但是，东方雨虹还有钱买地盖楼啊，他们刚在北京南苑的不错地段买了一块地
1695829027# #你能买到也是本事允悲允悲允悲赞赞赞
1701240311# #向上生长，向下扎根，这是我对拼多多的一个评价，他们能够看到更真实的基层生活，能够看到最末端生产者的不易。拼多多根植于大众需求，不忘记普通老百姓，用技术创新、模式创新改变了电商世界，重构了电商逻辑，也改变了人们的生活方式。
1688308201# #AITO问界M5标准版正式亮相。7月2日，在AITO问界M5智驾版用户体验日上，AITO问界M5标准版正式亮相。问界M5系列的超可靠智慧性能SUV再升级，给消费者带来更优化的设计、更持久的续航、更智能的体验和更强劲的性能。活动现场，华为终端BG智选车业务部总裁汪严旻表示：“在智能增程技术的加持下，问界M5
1700989938# #一起品味生活
1687352749# #哈哈，有模有样
1687775512# #想让自私的年轻一代生娃是很难的，看看遍地的独立女性。。。。所以，祖国的未来还是靠80后，国家需要抓紧重视一下育龄的80后，不然，人口战略难以推动
1697515586# #雷军称小米澎湃OS将逐步接替MIUI不如叫黑土OS
1694491616# #华为争气三件套学习一下，华为Mate60之后是平板、PC？问界要努力一下doge。俺现在有多部华为手机、华为MateBookXPro笔记本，还有MateView显示器，还有平板、手表。。。
1700153000# #大众对消费的新鲜感和兴致已经消退比较厉害了
1694338344# #华为已启动全面回归全球手机市场的通盘计划重大利好啊，中国半导体产业链这一次要集体崛起了。
1692159053# #这是大动作荣耀重返印度市场
1699842179# #周鸿祎：任何情况我都支持华为，只要老余说了肯定没错。老周是真心爱老余
1693300330# #华为Mate60的出场方式，有点像悬疑剧，刚出了第一集，就收视率炸裂
1702867338# #昨晚，梦见世界幼儿园大会在上海召开，玩了一圈，找不到孩子了，着急的满城找。。。。
1697086340# #doge
1696471705# #国家队的选材允悲
1693796768# #小红书关闭小绿洲，这是对的，这体现了小红书的觉悟。微博的大绿洲在这摆着，你搞叫小绿洲多不好，一点不尊重微博大哥。江湖不是打打杀杀，是人情世故-。-
1702456499# #微博弄的微任务生态不太行啊
1690711304# #村超比中超真实，这是一个多么悲凉的事实
1692159596# #喜出望外，这样的配置，更有竞争力了
1699497202# #自从在淘宝戴森旗舰店买吹风机到货是假的退货回去就说是我调包这件事，跟官方多次协商无果，淘宝客服也倾向于商家，我就再也不相信淘宝了，真是花钱买教训，以前真的对淘宝对淘宝上的旗舰店都非常信任不会出问题的，。。一辈子记得你们给劳资上的一课
1700741606# #荣耀100荣耀100的前后镜头均为单反级写真镜头，肤质细腻，红润自然，前后置均支持自动抓拍
1687837446# #国家发改委可以激进一些，比如把2035轨道交通、城市地铁审批的项目，提前审批，诸如北京南城的31号线、烟台地铁等等嘻嘻
1697794641# #不是，他老婆可能是，王帅大学和我一所的。
1688893259# #中国老百姓的信仰就是好好活着doge
1693185803# #会的，现在出生人口的断崖似的下降，某些幼儿园已经开始招不上生来了，下一个五年计划，中学到大学都将会遇到招生难的问题，到那时，市场的买卖双方就会发生巨大的转换，教师与学挍将不可避免地发生内卷，新的招生和教学问题将会更加江湖了。
1693895762# #厉害了，小伙子，其实年纪小的好处是专注
1688636685# #蚊子真多
1694499314# #华为发布全新25万级问界M7问界新M7享六座大五座感受一下，智能汽车新标杆。这一代产品硬件软件更新不少，价格据说非常能打
1695532608# #女子就医发现五脏六腑全长反还真有这样的人啊允悲允悲允悲允悲
1703120915# #来自栖霞老家的雪况，至少30-40cm，院子里的雪，都来不及清理出去，清理出去估计也没地方堆。大家都要感谢这场雪，把流感支原体感染等消灭了，净化了城市的空气
1697346002# #重新拿出华为Mate30Pro，登陆一下微信小号，这款手机的手感真是太棒了，没有之一。。。。。
1699275670# #厦门大湾区笑cry
1691055831# #救命贴
1698806268# #PC是华为终端的第二大产品线，仅次于手机
1701169037# #发布了头条文章：《余承东发出“英雄帖”，希望一汽加入智车新公司；途灵智能底盘、Driv》
1703434906# #愿加沙人民、乌克兰人民早日脱离苦海。。平安很难，感谢中国人民解放军，感谢党
1696256013# #中国首台出口智利土压平衡盾构机下线智利不是经常地震么，也敢修地铁？
1687765361# #好事儿，不过，大部分乡村没有基础的体育场所和设施
1694445492# #李佳琦净收入超过逾90%A股公司赞赞赞赞赞赞赞赞赞赞赞
1695861143# #房子14亿人住不完不简单等于房产过剩。。1、农村住宅大量破旧或闲置。。2、城市里大量预制板老破旧。。3、富人阶层大量持有房子。。4、学区房和常住房的分离现象。。所以，我建议老城区好学校应该向外搬迁或建分校，稀释和平衡教育资源，把老破旧价值稀释掉，才有助于老城改造
1701756391# #中国电建官方消息，近日，由中国能建江苏电建一公司、中国电建承建的全国单体规模最大的光伏治沙项目——蒙西基地库布其200万千瓦光伏治沙项目成功并网。。。蒙西基地库布其200万千瓦光伏治沙项目是“十四五”时期国家第一批开工建设的大型风电光伏基地项目之一，也是国内一次并网的最大单体光伏项
1703483353# #这是什么样的家庭教育，这么狠
1693650486# #秀才被封中老年妇女的收割机，该封
1700279279# #要是来总找我做微博首席研究员，我也不挑
1691759142# #张雨绮的身材还是很不错的doge
1698900587# #佳能发布RF24-105mmF2.8LISUSMZ全画幅变焦镜头，2999美元-科技先生
1696403820# #乱拿走东西，肯定是不好的行为。迷笛音乐节，到处办，其实没太多IP价值，烟台也办过，据说挺火，我没去看允悲允悲允悲
1700620338# #微博大V普遍有个毛病，觉得自己有几个粉丝，觉得自己比别人高明，喜欢说教别人，其实大多数也是平民，却摆出一副很高傲的样子。所以，当年腾讯微博的口号是与其仰望，不如XX。
1698836425# #京东百亿补贴把价格打下来了还没想好买什么。。。。。。。。
1690633521# #从长线看，丽泽的未来不可限量，快速轨道交通连接金融街、雄安、大兴机场，未来的繁荣程度不亚于东三环
1689473611# #有点狠，八角笼似的
1697016603# #小艺输入法牛逼了，用起来很简单
1690709406# #很好啊，从村BA到淄博烧烤，说明群众参与才是王道，让群众开心才是王道，地方政府应该克制形象工程，多做有价值的事儿
1695974115# #孟晓苏：A股是“狗市”没有楼市复苏就谈启动股市是笑话。。在此次论坛“涅盘重生：中国房地产新时代”环节，原国家房改课题组组长、中房集团原董事长、汇力基金董事长孟晓苏谈到了对于当前股市的看法，“股市是牛市还是熊市？我的观点是狗市。”。。晓苏解释称，“狗市”一词来自国外，股市就像狗，狗总是
1700212262# #【重大利好】华为申请的“一种用于确定人的脑卒中风险的系统和方法”专利公布。。。该系统包括多个可由人佩戴的传感器和处理器，传感器用于执行无创测量，以获得血压的第一参数、脑血氧合的第二参数，以及脑电活动参数，处理器用于根据传感器执行的测量的结果，获得第一参数、第二参数和脑电活动参数，确
1702701596# #对头，这样可以减轻群众压力不小
1688523767# #飞盘大师胡锡进，武术大师马保国
1691596974# #比亚迪的口号，听起来很high，但是，有点不对劲。。。1、纵向生态链在一起是对的，横向竞品在一起怎么能持续共赢呢？。。2、比亚迪少卖点，分摊点销量给友商？。。3、为什么要强调“中国汽车”，国产对抗外国品牌？。。4、手机市场高度竞争，国产手机也没法联合对抗苹果。高端市场，现在还是华为对抗苹果，
1696407567# #额。。。我都没见过中学的录取通知书。。。。
1695875135# #乐播是乐视旗下的么？
1701221951# #大熊原来是想做淄博巴菲特
1694659005# #华为MateX5全面开售要买的朋友，去线下门店看看，华为商城已经秒光了允悲允悲允悲允悲允悲
1697255261# #美国女权主义哪里去了
1687602798# #世袭王国
1701937090# #中国精英阶层都把孩子往外送，不接受中国应试教育的残酷压榨。。。。。。
1701403905# #还是增程好一些，充电加油都能开，支撑体系的成本更低
1701946918# #有这种可能性
1702539162# #是。大额消费
1702259220# #余承东怒怼懂车帝懂车帝应该严肃回答一个问题：是否同一条件下测试，是否存在问界M7上测试前长时间空调取暖的情况。这是大事儿
1692770260# #iPhone15Pro被曝的21项变化厚度居然增加了，比国内的折叠屏手机合起来还要厚很多。。。
1692266241# #怪不得我一直不瘦
1702028251# #没有高层授权，做品牌的人不敢乱数自己是第一，所以，这是一把手工程，怪不到品牌部
1701572353# #兄弟互吹
1687938209# #设立那么多日干嘛，都记不住，天天过节似的，形式主义啊
1691130358# #华为开发者大会&lt;HDC.Together&gt;来了，2023BetterTogether。鸿蒙系统HarmonyOS本是备胎，在美国打压下，鸿蒙出世，枝繁叶茂。华为没有被压垮，反而激发出更强的创新力，解决了操作系统层面的根技术问题，这只是刚刚开始，更多破局就在不远处。
1696564264# #预售制都没钱，。。。。。
1701676944# #企业赞助足球，不能变成公益
1698065608# #管培生本身是一个很扯淡的策略，真正的优秀人才可以在体系内野生成长起来，这才是企业健康生态
1692791748# #这种情况，一般是女的小时候缺父爱
1703554489# #一天说系统，一天发产品？有可能
1688787586# #现在到处是法国梧桐，中国梧桐几乎绝迹了
1689168494# #一表双待，续航十天，荣耀手表4有点狠强
1694961677# #截至当地时间9月17日，韩国最大在野党“共同民主党”党首李在明已经连续第18天绝食，以此抗议尹锡悦政府
1693899677# #62岁北京女粉丝打赏秀才52万只追回数万卧槽，北京大妈真有钱。。。。。。
1696819928# #拍照场景有用，看视频这样看很别扭
1687850255# #现在，中国足球已经找不出王永珀这种天赋级别的球员了，王永珀年轻时候是真厉害的，孔卡之后的中超第二中场
1696171810# #很多人去长城玩，不是因为长城雄伟壮观，而是因为毛主席那句“不到长城非好汉”，大家是去当好汉去了嘻嘻嘻嘻嘻嘻嘻嘻
1687853212# #谁说东北没有创新
1697965344# #女生被男同学推倒摔断门牙居然这么狠地打女生，真是有出息。。。。。。
1700837524# #用百度文心一言4.0一个功能-孔夫子评图，点评了一下荣耀CEO赵明，自动试图看出是赵明了呲牙
1698821041# #洋河大曲，蓝色经典，梦之蓝
1699581348# #王小川被曝抄袭不是科技圈搜狗前CEO王小川笑cry笑cry笑cry
1698127453# #应该是那个新闻。。。
1694422432# #新版小艺输入法我在用华为MateX5来发微博，我在用语音输入，试一下小艺输入法的新版怎么样.我的普通话总体来说还算是标准，所以说小艺输入法识别的是非常准确的，基本上不怎么用修改。。。我为什么支持大家用华为手机啊？包括其实大家也可以用其他国产手机也可以，我不推荐，大家一直在过度的崇拜这个
1701225097# #一直都是高灰度的发展模式
1687670497# #今年出生人数减半
1691292159# #华为地震预警这个功能很重要，北斗卫星通信也很重要
1690104687# #可惜，我可卖的东西不多
1692871626# #还不错的分组，山东队不怕日本球队，怕韩国球队，现在自己也换成韩国教练了，应该什么都不怕了
1688209617# #这是要世界大战的节奏
1700490402# #黑龙江一平房突发火灾7人遇难房子主要是用来存储祭祀用的黄纸。。。。。农村祭祀、上坟已经不提倡烧纸了，上坟管的很严格，到处都是易燃的干草地，应该改变这个祭祀风俗了
1690128896# #罗刹海市那英哈哈哈，这会儿那英跑不了了。。。。
1698407335# #邀请高大姐来点评一下新房改
1693414130# #广州认房不认贷最快今天可执行还是广东省的执行力强
1689838204# #良心菊花
1698547333# #雾霾天，都在马拉松，真是厉害捂脸捂脸
1703556848# #李大霄老师想的很周道
1691747859# #恒温恒湿也需要类空调设备，不是靠砖头就行了，设备维护运行成本很高
1703393711# #中国社会还是有点撕裂，什么公知，什么五毛，互相贴把么多标签，老吾老以及人之老吧，每一代人都是建设者
1690895477# #对付门头沟和房山的水患，最好的办法是像挖地铁一样，在河道下面再挖一条地下河，主流疏导的河流或道路，都进行地下空间再利用，在中下游建设抽水站，加速流动，加速泄洪
1698410479# #2023东京车展中，丰田推出了一款高性能纯电跑车FT-Se，该车型将在2026年发布。官方宣称FT-Se的座舱全面用“屏幕”取代实体按键，轭式方向盘上方拥有一款小屏幕用于显示速度，方向盘左右也拥有触控屏幕，主要用于控制车辆运动模式viaIT之家
1695956818# #【全球首台肺部气体磁共振成像系统获批上市，中国科学院旗下机构研发】这是当前全球首台获批的可用于气体成像的临床多核磁共振成像系统，解决了临床无创无辐射精准检测肺部疾病的难题。。。此次获批的多核磁共振成像系统和2020年获批的医用氙气体发生器联用解决了上述难题，实现了肺部结构和功能的无侵
1688011907# #嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻
1700473853# #哈哈哈哈，韩国足球队还是太强了，和英雄联盟冠军赛差不多
1693669537# #作为篮协主席，姚明理应引咎辞职
1689989171# #西安对造假中考生取消录取中考都这么搞。。。。。自己不好好学习，就认命得了
1694734576# #dogedogedoge漠河开始供暖了，在大东北生活真不容易，更别说西伯利亚了
1688438619# #华晨宇在大湾区演唱会上真是高水平，华晨宇的火，是内地娱乐界的耻辱和悲哀
1699024430# #【国家安全部：一些居心叵测者妄图兴风作浪警惕“看空者”“做空者”“唱空者”“掏空者”】国家安全部官微昨日发文指出，在看到金融工作来之不易实践成果、理论成果的同时，要清醒看到金融安全面临不少风险和挑战，金融领域各种矛盾和问题相互交织、相互影响，经济金融风险隐患仍然较多。个别国家把
1687176678# #把存量房贷利率和新房房贷的利率都降一半，把银行的利挖出来给社会消费，经济就活了
1701645034# #奇瑞吉利比亚迪11月销量不错
1687778058# #法律政策制定精神以责任为导向，人民才能承担责任，因为以责任为导向的政策和法规是保护承担责任的人。现在被新自由主义荼毒的法律是保护人渣的权利，而不是保护老实人的责任。比如女人和别人生孩子是她的权利，离婚了她老公必赔偿一大笔钱给她养孩子，她说记不清孩子亲生父亲了，允悲
1700203703# #使用司美格鲁肽能轻松减肥是谣言肯定不轻松，据说一针挺贵的，普通人也打不起
1694693068# #深圳人已经开始喝上冰中式了冰中式，加冰糖，不是冰块，是这样理解么
1697858242# #文班亚马真是恐怖啊，前锋版的姚明，马刺这下子又牛逼了
1700445348# #哈哈哈，苹果是担心陈冠希事件再演，三方电池就怕质量不过关。不过，一般电池不行了，电脑也该换了
1696921364# #北极鲶鱼爷爷违法违纪所得被收缴违法收入那么多，还能享受科员待遇退休，不简单啊。
1697351094# #中东再这么下去，下一次911估计不远了
1695998748# #是这么回事赞
1699162464# #国家标准自动驾驶系统设计运行标准，华为参与设计doge
1687683834# #这是被京东带进沟里了，京东搞无界零售，阿里要碾压京东
1702349095# #能解决20％就可以啊
1693650640# #你现在收入存够1千万要多久要1000年吧哈哈哈哈大负翁
1689676902# #美男子家藏40颗头骨称都是我朋友美国变态真是多。。。。
1698588748# #跳大神倒不至于，就是年度话题总结吧，也没啥门道，也不能指望他们多么出彩，毕竟不是做产品，只是总结输出一些各家观点
1696982696# #六个省债务再延期融资3200亿，那全国的话应该轻松破万亿，这也算放水吧
1697596552# #未来几年，可能不错的生意是开发鸿蒙应用
1698389900# #头条新闻的微博都发了，微博不会刻意保护理想的
1701754099# #以前的区划很合理啊，应该四环以内设为首都，外边设为新北京，三河香河蓟州也都应该划进新北京，这样减少区域割裂，对京津冀一体化更有利
1701656262# #长期缺觉容易诱发这5种疾病长期缺觉容易得精神疾病
1701946891# #哈哈哈哈哈哈笑cry笑cry笑cry曹老师英明
1688979206# #支持esim是卖点
1697460143# #街道办已动员数百人寻找肇事烈犬全城捕杀大型犬，势在必行，应该将违反规定养大型犬的人纳入失信人名单
1701047253# #这玩意对比不公平啊，自媒体在每个平台的粉丝量活跃度不同。比如今日头条就不怎么给我流量，那些造谣华为的小号却动辄几百上千的评论
1689036973# #5女子以女厕难等为由进餐厅男厕哈哈哈哈，建议国家住建部对建筑设计要求预留出更多女厕所空间
1697381122# #杨利伟出征太空整整20年了用不了几年，中国宇航员就可以登陆月球了dogedogedogedoge
1693143610# #没坑没拐骗，吃相怎么就难看了
1700442974# #前三季度我国569万对新人登记结婚2018年中国结婚对数。1013.94万对
1691584832# #“外国人不来了，成中国新问题”，何小鹏的这个微博内容很有启发。我们中国的消费支付几乎全是微信支付、支付宝等移动支付，外国人习惯是现金或刷卡，当然，在国外消费，现金可能更安全一些。这一点是个问题，不过，不是主要问题，主要还是全球比较乱，人心不稳，减少流动风险。
1698547932# #北京的老旧小区改造，小区里趁机一起搞一遍装修的业主很多，我们这个楼就有好几家。我们单元一层带院的业主非常猛，已经施工三四个月了，硬装还没搞完。。。。。
1702696610# #存款利率也可以降啊
1696417760# #据山东省烟台市房地产业协会10月4日消息，10月3日下午，2023烟台秋季房交会正式落下帷幕。为期3天的房交会，商品房总成交620套，成交金额6.37亿元；家装配套产品现场成交及意向1.2亿元。
1698542127# #要是上海没那么夸张封城，经济压力小多了，封城的结果是，解封后，一堆有钱人移民了。张文宏没什么错，最后还是共存了，我们并没有打败病毒，当然，也许有些人百毒不侵、阳了也不算共存。。。。
1703120298# #眼珠子快瞪出来了
1700192684# #阿里巴巴集团CEO吴泳铭表示，淘宝要坚定地做综合性平台，满足最大消费者群体的多层次需求以提高购买频次，淘宝将坚持互联网消费平台的定位，“并不将自己定位成零售公司”，将用户购买频次而不是GMV作为平台经营的最关键目标。
1697254882# #联合国无能
1688899801# #国务院总理李强日前签署国务院令，公布《私募投资基金监督管理条例》（以下简称《条例》），自2023年9月1日起施行
1691981716# #以前是太穷，没油水
1702437111# #2024年，中国经济走向，取决于国家对中产阶级的理解和减压力度，不是就房产，而是救中产。。。中产无力，则消费无力；消费无力，则预期无力；预期无力，则复苏无力。。。存贷款利率还需要大幅度地降低，为中产家庭大幅减压，哪怕是只有三两年，都会让中国经济重焕生机。
1701010480# #我爹在农村老家，我问他取暖问题怎么样，他说一直烧着暖气，还行，13度笑cry笑cry笑cry。。老房子石头墙保温性能差，卫生间冲水马桶怕冻坏，也通着暖气
1696559593# #哎，各路大V讨论房地产，总是不把三四线当回事，三四线人民不生活么，不是一二线一样的中国人么？三四线城市才是正常的人类生活，一二线城市多扭曲
1692291319# #朝日退出了烟台啤酒，那么，烟台啤酒作为品牌，还会再出现在市场上么？我感觉已经20年没喝过烟台啤酒了
1703590978# #华为耳夹耳机这个耳机很赞，搞一个
1700559653# #龙字辈股票涨停
1695824961# #沈梦辰我不行我婚嫁了这姐妹不是嫁给了另一个主持人了么，胖乎乎的
1694504543# #余承东宣布：。问界AITO将在12月全国开放华为高阶无图智能驾驶，果然遥遥领先！。。问界新M7秒变多功能办公室，这个好，尤其对自媒体朋友们
1700153732# #放大镜下看小米也挺好的，我个人觉得，小米开源还不至于假开源，可能只是工作时间安排的问题。现在只是说开源vela，hyperos没说开源。其实，可以选择不开源的，看自己能力和精力，没有必要什么都跟着华为的路子走，华为开源鸿蒙是布局中国信息化产业的系统基础，小米则没必要这么大布局
1689259065# #哈哈，这个是金币，我在独家授权单位拍摄的
1697087821# #挺好，北京好像小学中午不休息
1694669612# #以前，台湾有个手机品牌，做的不错，后来没影了HTC。大家还记得么
1697340036# #让小艺输入法AI大模型来评价一下，发现小艺很严谨国美app抽奖弹窗辱骂黄光裕兄妹评价国美黄光裕欠薪事件。。欠薪事件，谁来买单？国美黄光裕的风波再次升级，员工讨薪的问题牵动人心。。。黄光裕欠薪事件国美员工讨薪
1699497909# #电信内部人士：华为未独占卫星通信功能，将与更多手机商合作。。南方都市报。。11月8日上午消息，在2023乌镇世界互联网大会期间，中国电信内部人士透露，华为并未独占卫星通信技术，中国电信正计划与更多手机厂商合作，推进该技术的普及。中国电信内部人士表示，华为并没有独占该技术，但要在手机上实现卫
1691670527# #小黄人微笑
1702110135# #专家的意见还是要听的，不一定都要采纳，但是，要听科技互联网专家，比如我这样的，而不是管清友这样的经济学家酷酷
1703576301# #【丹霞橙，这是华为Mate经典色得意】问界M9以壮美山河之色，致敬奔腾不息的力量，共带来5种外观颜色，分别为“牧野青”、“鎏金黑”两种纯色车漆，以及“丹霞橙”、“雅丹黑”和“星河蓝”3种双拼色。
1695261172# #西安交大取消四六级学位证挂钩西安交大这个级别的搞笑，四六级考试应该轻而易举才对啊，我记得当年我们四级考试是大一，大部分都过了，我们学校比西安交大差好几个层次
1694682524# #吉利智驾什么水准？有体验过的没？doge
1692940183# #台风来的真快
1695625185# #卧槽，华为发布会有点伍佰演唱会的感觉了，余承东几乎一个遥遥领先没说，观众遥遥领先绵绵不绝嘻嘻华为发布会
1702094198# #传说中的nova12，长这个样子？
1701235464# #这真是马云的发言么？要不，马云王帅们再回来，别退休了
1695177860# #荣耀CEO赵明称荣耀回归华为绝无可能是的，昨天媒体群访，赵明亲口说的。媒体和外部舆论也没必要老讨论这个问题，毕竟好不容易才度过难关、走向进攻态势。认祖归宗，符合中国传统文化的叙事体，不过，作为对手也挺好，万紫千红总是春。
1693620642# #天津这是彻底放开，城六区之外，随便买，不需要天津户口，爱买几套买几套允悲笑cry笑cry笑cry笑cry笑cry
1693664489# #中国男篮崩盘想念丁彦雨航
1693061273# #烟台今年这是猛修路冲万亿，过了万亿，能奖励个地铁？
1694570182# #绝了，网友厉害
1696732639# #专家建议增加学生春假家长肯定不希望孩子太多假期。假期太多，学校时间被压缩，又什么素质教育、减负，最后学生的课后作业一大把，连基本的休闲社交时间都没有了。。。最新文化和旅游部数据显示，今年中秋国庆假期出游人数8.26亿人次，按可比口径较2019年增长4.1%。。对此，携程集团董事局主席
1699931593# #可以班级人数少一些，没必要合并
1692537621# #没啥用，离开灿星，浙江卫视立马泯然众人矣
1693968026# #女主播户外涉黄直播当场被抓干脆开放一个成人内容特区吧，要不然下一代两性还是要靠日本女演员普及，应该适当进行国产化替代。
1697505895# #绿联也出NAS了，有人说比极空间的好，华为家庭存储NAS产品推出了无盘版，NAS领域还有很大的创新空间。
1701070100# #余承东力挺问界赛力斯投资者不用紧张，问界新M7发布仅两个半月，大定已突破十万台。余承东表示，鸿蒙智行是目前华为与车企合作最全面、最紧密以及最深入的模式，有最先进的华为智能汽车创新技术加持，智能体验最优。余承东宣布问界新M7大定10万台
1702294578# #笑喷笑cry笑cry笑cry笑cry
1701774865# #整顿车圈媒体，就要靠科技数码媒体了
1698939597# #以前，大家都说中国操作系统落后，最近一段时间，手机厂商纷纷推出自研操作系统。在华为鸿蒙系统的引领下，国产手机厂商的自研系统大潮越来越猛，安卓突然变成非主流产品。。。HarmonyOSNext不再兼容安卓，可能通过花瓣应用会给应用开发者更多一些过渡期。。。VIVO公布BlueOS，尚未商用铺开，也不再兼
1702530001# #俞敏洪称小编做法严重缺乏职业精神小编果然是用来背锅的哈哈哈
1690085631# #Mate40确实很好
1688973590# #曝李玟老公找律师推翻遗嘱自己找的老公，没办法
1703675523# #台积电着急了，看来国产芯片制造真的破局了dogedogedogedoge
1697596675# #有道理
1702036949# #据外媒报道，霍尼韦尔将以约50亿美元收购Carrier（开利）的安全运维部门。（财联社）
1698218625# #好事儿啊，我们大陆也应该这么干
1694072037# #高中同学在北京，博士，最后夫妻俩选择了丁克模式。我为国生娃，一个之后，准备再要一个，但是，没有北京户口。笑cry笑cry笑cry笑cry笑cry
1694333988# #儒家讲修身齐家平天下，没教怨天怨地怨父母
1687161693# #允悲允悲允悲允悲
1693493845# #华为Mate60Pro+我了天，华为连续第三天登陆微博热搜榜单第一
1687751296# #也是一种成功学，大学生这么过剩，未来就业谁也不敢打包票，穷人孩子富人孩子的差别不在学校，而在于视野
1703492867# #性别反转一下，这就是对未成年人的性骚扰了
1697592342# #理想跳楼款炒作大师李想，比小米还厉害，雷军太实在了
1704171733# #荣耀智能家居生态和华为也开始分开了，这款荣耀亲选摄像头在华为智慧生活里找不到也加不上，装个荣耀智慧空间APP一键配对安装成功了吃瓜
1693583758# #进入Mate60时间
1700309756# #就这个搞法，哈马斯永远不会消失
1688309062# #允悲允悲允悲
1694006656# #前京华时报要闻部副主任资深媒体人孔令娟女士去世蜡烛蜡烛，年仅43岁，胃癌，80后，不立墓碑，骨灰撒向大海。媒体人的生活太不规律，工作压力大，加班多，很容易得胃病，希望每个朋友都好好的，别给自己太大压力。
1699235135# #生孩子是爱国行为，龙年可能是未来十年出生人数最多的一年。
1700742245# #荣耀100荣耀100支持66W无线快充，比IPhone有线快充还要快一倍
1700998890# #理想MEGA车身比高铁车身设计还要难？这是吹牛逼，还是碰瓷。。。。中车集团要不要出来PK一下
1692800440# #现在城镇化率太高了，和当年已经不可同日而语了。低线城市其实基本没啥限购，就是个限制杠杆率
1703551354# #纪念毛泽东同志诞辰130周年。。七律：人民解放军占领南京。。(1949年4月，56岁)。。钟山风雨起苍黄，百万雄师过大江。。。虎踞龙盘今胜昔，天翻地覆慨而慷。。。宜将剩勇追穷寇，不可沽名学霸王。。。天若有情天亦老，人间正道是沧桑。
1701089433# #是的，学院派距离产业比较远
1694048228# #目前没有做到，连我们胶东地区都做不到。村里人少，快递公司愿意承担进村人力成本和时间成本。京东相对来说自营订单多一些，进村的成本摊销会好一些。当然，本质是企业责任感和成本体系
1695396229# #说了这么多，都没说到重点，重点是：印度没做好无尘车间，主要原因是没采购项老师的720净化器酷酷
1691595988# #罩杯效应
1694097783# #允悲深圳人民也被淹了
1703380781# #清华大学博士找不到工作？还说山东大学是末流985，哈哈哈哈，这个姐姐。。。。其实，文科也可以做很多工作，实在不行去当老师也可以啊，或者走董宇辉路线
