1702782518# #董宇辉若想创业俞敏洪愿意投资董宇辉单干会成为类似李佳琦一样的带货主播？
1689902608# #雨哥看盘超话大A千万别高开，不然又是完蛋的玩意。。~都有A股高开恐惧症了。
1702868284# #建行好冷的周一。建行系统崩了，大厅人坐满了，崩了让大家摸摸鱼。。。。苏州下雪，上海下雪，大家还是在休息厅了看看。《大自然界的智能马桶》大自然的奥秘！！。视频来自网络，若有侵权，请联系删除。
1701409055# #小喇叭吹起来！国有资本运营公司进场买入ETF有国有资本运营公司于今日进场买入多家公募基金公司旗下ETF产品。
1701649689# #你还在估值炒股吗？
1692783593# #雨哥看盘超话日媒称24号核污染水排海可能取消感觉日本用这个消息一直在“耍”全世界。。今天游资追涨A股渔业股，内心现在已经拔凉拔凉的。
1703668314# #马斯克在社交媒体X上发表评论称：“AI电影明年就会出现。”
1688879604# #女孩中考742分报考师范专科引争议绝大部分学生毕业的终点，不都是拿工资，过生活吗？。人家直接有编制为何不可。。老百姓的日子不就这样，平平凡凡的过一生吗？
1702541406# #【上交所及深交所分别成为今年新股市场的冠、亚军】。希望A股来年再接再厉，戒骄戒躁！。来自德勤最新的统计数据预测，截至2023年12月31日，A股将有约310只新股融资约3551亿元。。2024年A股IPO市场将会录得260只至330只新股融资大约2670亿元至3170亿元。。A股
1696817995# #A股华为板块从开盘资金流出到截止发稿转为买入。。那么证明主力资金在高低切换。
1701046771# #A股主板前半个小时，看看内资主力是否流出100亿！如果是，那么今天A股主板继续面向3000点突破。
1700141237# #国足vs泰国目前1：1
1688429739# #雨哥看盘超话对镓锗相关物项出口管制。美国对中国搞芯片断供，搞产业脱钩，结果却是把自己的根给刨掉了。。镓、锗相关物项，卖给谁，不卖给谁？就要看进口商所在国跟中国的关系了。。比如日本那三家跟镓加工有关的株式会社（同和矿业、拉莎工业、住友化工），还有美国的AXT、世界镓公司、加拿大的
1700011154# #【美国所有的网络监听手段将全部失效】在近日举行的2023数字科技生态大会上，中国电信推出了一款量子安全领域的最新产品——华为Mate60Pro量子密话定制终端。。这款终端采用国产芯片、国密算法和量子安全SIM卡的“三重保护”，用户可以通过手机直接拨打量子加密电话，并在量子密信App内使用加密文
1702022301# #电影拿破仑评论笑死人了。。。
1696399426# #许家印领导下的恒大超过2万亿的窟窿是怎么形成的，公司的审计和监管在哪里？！。恒大完全利用了国际金融跟经济的漏洞，已经不是简单的房产问题了，貌似“经济骗局”。。有些人，有些企业，觉得自己做大了，就没人敢惹，于是更加无法无天，肆意妄为。。个人的钱敢坑，合作单位的钱敢坑，国家的钱敢坑。
1690440027# #A股官宣的一天一次的下午跳水又来了。
1700956169# #停止焦虑的办法是停止刷手机未必，焦虑不安在内心，在环境。。人这一生，每天都会遭遇无数难题。事事烦恼，既解决不了任何问题，甚至会让自己陷入自我怀疑。过度焦虑，真的会拖垮你的人生。。真正困住你的不是困难本身，而是臆想中对自己一遍遍的负面暗示。
1687271034# #【龙虎榜】。巨轮智能(002031)(+9.91%)/机器人；。。深股通7020万买入,2693万卖出；。。华鑫证券成都交子大道4976万买入；。。华鑫证券上海陆家嘴3119万买入；。。一家机构1214万卖出；。。午后异动涨停，游资打板炒作。。。资金流向
1699051740# #中国驻菲使馆回应6中国公民马尼拉被绑这个世界并不太平，只是我们生活在和平的国家。
1692001597# #医药反腐坚决支持，。还医院一个健康环境！。还百姓一个能看得起病的地方！
1689207798# #【目前A股现状】对A股来说，利空就是砸盘，利好便是出逃，这是一道无解的难题。尽管宏观方面出现积极信号，本周A股最后两天主力资金不敢做多的原因之一就是：中报预告的密集披露期。大家都怕踩雷，例如周三的浪潮信息、赛腾股份。。今日看盘
1703230142# #金融委：凡是对资本市场产生重大影响的政策，应事先与金融管理部门协调。
1689897714# #一毕业感觉失去所有的人际交往在校大学生毕业后要走向社会,必然会经过一段社会适应的心理过渡期,可能会出现一些社会适应的心理问题。。适度宣泄法。。因挫折造成焦虑和紧张时,向老师、朋友倾诉,一吐为快,求得自慰、疏导、同情，切忌把不良心情埋于心底。忧虑藏得越久,受到的伤害就越大。
1686869818# #每天早起打卡愿你心静如水，愿你心怀暖阳。。无论走多远，都不要忘了当初为了什么出发。。早安！。点赞富三代。
1693893240# #日本6分钟两次4级以上地震一定是在召唤富士山！。朋友们一起帮忙点赞，召唤富士山觉醒！
1693964898# #【利好兑现，又没增量资金，只会跌跌不休】数据要素概念股继续下挫，先进数通跌超7%，浩瀚深度、天阳科技、三维通信、海量数据、久远银海等跟跌。今日看盘
1696843071# #【这年头你还会买理财产品吗？】。A股跌跌不休，黄金大涨暴跌，百亿基金经理集体瘦身基金亏多少也不影响手续费，管理费，最后基金经理拍拍屁股走人。葛兰躺着数钱，你还会买她的基金？
1687960694# #京东方A(sz000725)超话我们的股市总是从一个极端走向另一个极端。。食品工业化圆桌论坛，只有一个反向指标。
1695401478# #iPhone15渠道价格已开始下跌是阿三产的流入中国市场吗？
1703641463# #【资金面分析A股】明显今天主力资金减速了。前几天都每分钟十几亿的出货。
1702621361# #A股会迎来神奇的两点半吗？
1699270940# #坐标厦门开着电风扇，看东北暴雪
1695110387# #金帝股份上市首日战略投资者出借证券符合当前监管规定
1687504406# #当你瞒着朋友们偷偷生了个娃为何取这个标题，让人感觉是你跟朋友生的一样。
1694158163# #【为何再多的利好，A股都不反转】截至8月底，今年以来收益前十的百亿私募多数为量化私募。。量化融券限售股做空割韭菜，限售股可以融券卖出。这是A股这波无止境下跌根节点。限制规则再多，处罚太低，等于没有规定。。特别是在行情不好的时候，在趋势性方向向下的时候，中小散户，要想拿到相应的融券，就
1693810728# #个股还得买辨识度高的个股，不然买对了板块，人家涨停了，你才喝汤。
1700530172# #现在的车是越做越花哨了，都可以当床用了。
1697001791# #今日看盘。各位老友注意控制仓位。。A股最近大盘还得跌。。破3000概率大
1697235349# #SVIP免费领SVIP体验卡免费领送你一张SVIP体验卡，点击免费领取，即刻获得去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益。快快点击链接领取，和我一起畅享SVIP尊贵权益吧！『SVIP体验卡』
1703145936# #降息重磅！【存款又降息了】新一轮存款降息即将落地，20万元存三年利息将少1800元。。三年期挂牌利率将跌破2%。。“定期存款、大额存单利率即将下调，现在购买还能锁定现在的较高利率。”12月21日，广州某国有银行理财经理如此提醒。
1702447710# #A股12月5日上证指数要重现了吗？
1689461355# #等风来，不如追风去——一禅小和尚
1696669488# #仅0.4%主播月收入超10万1000个才4个，大部分人还是会锁定主播这个职业的。。毕竟跳起来可能够得着，还是存在希望的。。认为自己能成为哪四个里面的一个。
1695192893# #这个算文物了吧！！
1687907549# #雨哥看盘超话【房地产小作文】。降LPR只是开胃菜而已。。这次LPR下调后，常规城市的首套房贷利率下限，将从4.1%降到4.0%；二套房贷利率下限将由4.9%降到4.8%。。降10个BP，影响有多大？——对购房者来说，那毫无疑问是纯利好，能省一块钱都是省。。现在楼市的困境，根本不是房贷利率的问题，也必然不是
1691568740# #每日学习打卡外国友人穿的“民族服装”好看吗？
1695809140# #中秋国庆长假来临，是重仓持股还是持币过节？。。A股迎来长达10天休市。。。超过一半的私募认为，A股市场已逼近底部，在可能的政策面利好下市场随时可能开启反弹，因此选择重仓或满仓持股过节。。。市场传闻转融券即将暂停，量化基金监管也将迎来新规，还有平准基金国庆后将入场干预。。任何一条消息兑现，都
1689650378# #鼓励金融机构加强对家居消费的信贷支持继续贷款消费吧
1703203144# #厦门超话2024年度个人所得税专项附加扣除信息确认截止日期为2023年12月31日。个税专项附加扣除信息确认即将截止
1696899957# #A股减肥药抄过头了吧！可以轮动到抗衰老药上了。
1691886317# #雨哥看盘超话医疗腐败抓差不多的时候，可以抓金融腐败，不然A股怎么可能这样。医药腐败，真的比金融腐败差远了。医院副院长被抓痛哭自己没法养老
1691717376# #证券板块，低开，地产城中村高开！！！。这就是A股！！！
1690239900# #守护花蕾计划赠人玫瑰，手有余香。我在“关爱女童守护花蕾”项目捐款成功！
1701038860# #光是遇见，就已经很美好了🌻
1692671979# #房地产板块又异动了。天房发展涨停。。。
1698031373# #A股如此下跌，公募基金已经被逼成空头主力。
1696819447# #香港天文台上午10时30分改发红色暴雨信号。。北向资金下午要入场了，是来抬轿呢？还是来抬轿呢？。今日看盘
1691015042# #雨哥看盘超话【国家数据局新官上任三把火】数据资产运营、要素入表等将在数据局正式运行后加速（预期在第四季度）。。A股相关概念中兴通讯、中科睹光、人民网、新华网，中国软件、中国长城、太极股份、深桑达、易华录、久远、云赛智联、浙数文化等等。。今日看盘
1701758374# #A股不是说好国家队来了吗？沪指再失守3000点。A股炒出麻将牌东安动力、南京商旅、西陇科学、北巴传媒、中广天择、惠发食品、白云电器持续大涨，而“东南西北中发白”这串神秘代码也被有些投资者“破译”。
1696810599# #【华为全液冷超充站上线】号称“一杯咖啡，满电出发”的极速充电体验。。华为遥遥领先。。。A股相关个股。华为。积成电子的子公司山东积成智通新能源，专业从事智能充电设备，是华为认证的合作伙伴。。易事特与华为在包括储能、充电桩等在内的多个业务领域保持了良好的交流与合作。。双杰电气在互动平台表
1690441512# #今日的地产股，是不是按照这个剧本走的。盘中拉高的都是为了出货。尾盘基本收了一个最低价。
1691279711# #喜欢花喜欢海喜欢日出日落浪漫的年纪别活的太无趣
1690376855# #【龙虎榜解析】机构买入偏多。。。国华网安(000004)(+9.98%)/网络安全,游戏。。三家机构合计买入2341万,合计卖出1589万。。华鑫证券上海分公司901万买入。。华泰证券上海武定路939万卖出。。资金流向
1697159414# #【关于锂电板块】踏空者，是否可以介入？。对于昨日A股锂电大反弹，主因是碳酸锂期货涨停。主力资金流入A股锂电板块13亿不到。。其实锂电池还没从几年的下跌中走出来。我们还是需要“需求的故事”。。重点说一下：。锂电中游，不仅“全军覆没”，也不要幻想……。三季度业绩预计非常差，不要有任何念想了。
1694424492# #华为明天开发布会吗，明天是AITO问界新M7大五座汽车上市发布会？。手机发布会恐怕14日吧！。明天就是iPhone15发布会了，果粉热搜赶紧买起来啊！看你们怎么把华为的热搜刷下去。。。。华为遥遥领先！！！
1700975978# #豪绅的钱，如数奉还，百姓的钱，三七分账。。【目前资本市场众生相】
1696465640# #提前返程结果1小时开了10公里假期还有最后2天有人已经堵车在高速上。。有人因堵车正郁闷时，一旁的应急车道上竟有超百辆私家车在疾驰，于是她拍下视频挨个实名举报，结果这一举动引发网友争论。。很多人在堵车的时候也想过走应急车道，但是他们之所以没走，不仅是因为会被罚款扣分，更多的是，他们知
1702971215# #董明珠曾建议立法对员工跳槽收培训费董明珠现在格格不入了。对打工人是各种压榨。员工和你签的不是劳动协议，难道是卖身契吗？。学校给你们格力培养了这么多人才，你们企业给学校多少钱？。董明珠啊你得给年轻人留条活路吧！。
1695171917# #iPhone15可设充电上限为80%在四款iPhone15机型上，在“设置”→“电池”→“电池健康与充电”→“充电优化”下有三个选项：优化电池充电；80%限制；不优化。。华为鸿蒙不是早就这个功能了吗？。华为遥遥领先
1694138421# #【整点播报】A股资金面上，大规模持续卖出，开盘半小时主力资金净卖出99亿。各路资金都在撤，这个3100今天恐怕是守不住。。活跃资本市场
1697968486# #周末$青岛啤酒sh600600$舆论事件的持续发酵。。青岛啤酒风波知情人发声食品安全向来是食品饮料行业的红线，处理不当不仅会引发品牌价值的下滑。。以海天味业的“双标门”为例，负面事件发生后，海天味业的品牌价值大打折扣，海天味业股价已经腰斩了。
1698633615# #华为申请注册“遥遥领先”商标。。　天眼查App显示，近日，华为技术有限公司申请注册“遥遥领先”商标，国际分类为运输工具、科学仪器，当前商标状态为等待实质审查。
1687656426# #新华书店才是隐藏的终极大佬正解：现在，实体店的生意都不好做，何况是新华书店，一个月单靠零售的利润能够支付电费吗？。人家是国企，靠场地出租，物业收入，和中小学课本固定收入。
1691030564# #打工而已我又不是来改造自己的公司的HR跟你讲公司的天条就是让你改造自己啊！好像你不是来打工的，是来改造自己。
1689994746# #人才啊！！！
1694151491# #华为Mate60Pro国产化率超90％！46家中国供应商曝光。明显还有遗漏的欢迎补充！。华为王炸结构件：。。东睦股份、福蓉科技、捷荣技术、兆威机电、金龙机电、长盈精密、电连技术、安利股份、苏大维格、蓝思科技。。显示模组：。。联创光电、合力泰、长信科技、翰博高新、京东方、维信诺、同兴达。。海思处理
1692926763# #大湖股份我格局小了。。。日本核污水的威力真大。
1703946287# #来自光年之外的新年祝福借助“中国天眼”，我们将2023年发现的新脉冲星“信号”转化成声音，邀你一起聆听来自光年之外的新年祝福。。
1689178051# #每日学习打卡“起风了，唯有努力生存。”。人永远不知道，谁哪次不经意的跟你说了再见之后，就真的不会再见。。当你无法再拥有时，你唯一能做的就是不要再忘记～宫崎骏
1689557864# #赛微电子止盈了。。。越来越往下了
1689211545# #A股高开就看沪指3200的得失吧。。毕竟今日周四。
1691769814# #00年带98年的实习生不是很正常吗？00年高等专科生已经工作几年了，98年的硕士研究生才毕业。。。
1688285349# #读书超话【新的天坑专业】比如说，土木工程。房地产市场降温后，多所名校的土木工程专业录取分数线大跌。。高考志愿填报你会去捡漏吗？
1703584245# #红海航道受阻，美国护航效果不佳，幸好中国提前布局中欧班列。
1699922246# #美国10月CPI将出炉或增加美联储不加息概率美元指数下跌金价上涨对A股来说，没增量资金流入，上涨太难了。。能震荡保持不破沪指3000点就，阿弥陀佛了。
1692855171# #核污水排放或对美国影响更大管美国干嘛，海鲜以后都吃哥斯拉海洋肥牛卷。
1697453344# #今天最低点3063点，只有16年前的一半
1691366433# #【房地产板块】A股房地产板块短期内还能有反复的机会。。多地陆续发布楼市优化政策，下半年更加注重差别化和精准化调节。。郑州率先官宣“认房不认贷”，紧接着又发布住房公积新政。。李嘉诚降价30%抛售房产
1689636123# #恒大2021年公司股东应占亏损4760.4亿元两年净亏损8120亿元。截至2022年底，中国恒大持有资产总值1.84万亿元。。A股27家园林上市企业2022年共亏损128.2亿。。A股上市的一个行业，亏的跟恒大比一个零头都没有。
1694153013# #下午主力资金净买入华为板块16亿，难能可贵，今晚看美股苹果继续下跌吧！$苹果AAPL$马斯克称iPhone换代毫无新意
1695511653# #很多人可以走进你的生活，很少人可以走进你的生命
1691712511# #国安机关破获美国中央情报局间谍案可以墙壁几个，严惩间谍罪。
1694664100# #这张图能看懂？
1698195788# #小摩CEO怒批美联储等经济预测错得离谱称财政支出过多将抵消加息成果。。摩根大通CEO称世界可能尚未准备好美联储把利率升至7%
1699582024# #售价方面，智界S7S7预售价格25.8万元起，预售期即刻下订可享受价值40000元的权益。余承东在发布会上表示，经过多次测算，四个版本全部亏损在卖，他称就是想让更多消费者体验华为的产品。
1692945093# #A股又被北向资金37亿砸了个大窟窿。
1687137448# #钟倒计时2天！V+底价8折，现在订阅我的年费，可100%中奖（最高可得6666元）年中福利盛典火热进行中，限时8折，收到点击领取↓↓↓
1700441683# #老人说：2024年是无春年，也是“寡妇年”。那么明年真的不结婚吗？。婚姻，对于不愿付出的人来说是坟墓，对于懂得爱的含义的人来说是爱的乐园。。。前三季度我国569万对新人登记结婚：比去年同期多24.5万对。去年广东省结婚总人数最多。。据统计，今年前三季度，全国办理结婚登记为569.0万对，办理离
1687817948# #雄心壮志是茫茫黑夜中的北斗星✨
1695391906# #月饼这样的月饼谁敢吃？
1700186680# #【美国宣布解除对公安部鉴定中心制裁】美国政府于北京时间11月16日晚发布消息，宣布美方将中国公安部鉴定中心（含国家毒品实验室地址）移出“实体清单”，解除对其制裁，于2023年11月16日生效。2020年5月，美国商务部将公安部鉴定中心（含国家毒品实验室地址）列入“实体清单”。（玉渊谭天）
1687443000# #幸福其实真的很简单：有人爱；有事做；有所期待。晚安！
1692574416# #南京公交车起火事件细节公布大热天，为何要携带锂电池上公共汽车？
1697759034# #标普500指数的11个板块在“鲍威尔讲话日”几乎全线溃败，特斯拉跌超9%跌幅靠前，奈飞16.05%领涨标普500所有成分股。。特斯拉已经被华尔街资本抛弃了。。销售数据一天不如一天，倒是华为汽车遥遥领先。虽然现在还无法撼动特斯拉的销量位置，迟早会消耗特斯拉一定份额的。。特斯拉股价暴跌
1691533566# #财经头条文章超话。美股西药前十VS大A中药前十。。西药（单位人民币）。。1.强生3.18万亿。。2.礼来3.15万亿。。3.默沙东2.01万亿。。4.艾伯维1.82万亿。。5.辉瑞1.52万亿。。6.施贵宝0.97万亿。。7.安进0.9万亿。。8.吉利徳0.7万亿。。9.福泰制药0.67万亿。。10.再生元0.58万亿。。西药前十市值总和15.43万亿（
1691622713# #雨哥看盘超话美股三大指数收跌纳指跌逾1%大型科技股全线下跌，英伟达跌逾4%，特斯拉跌超3%，脸书、奈飞跌超2%。。A股跟不跟跌，已经不需要探讨了。。基金上半年收益基本全军覆没。。。A股已经情绪低落到极点了，才有昨日的n盟固利涨超3670%。属于资本市场的报复。
1689681119# #厦门超话仙岳路高架。。。。是这个位置掉落的吗？
1693103656# #日本国内超市停买水产品让日企心态崩了提前预祝周一A股水产品个股大涨。。。半年后海盐海鲜是肯定不能吃了。
1703203509# #新一轮存款降息即将落地跟大部分老百姓关系不大。我国储户银行存款超过50万元的比重只有1%，可见大部分家庭都难以达到这一平均水平。。倒是好多上市公司融资来的钱存银行的。Wind数据统计显示，2023年以来，截至7月11日，A股上市公司购买理财产品（存款、定期存款、结构性存款、通知存款、银行理财产
1700662703# #雨哥看盘超话荣耀：将通过IPO登录资本市场。。那么A股深圳国资委不是白涨停了吗？
1690334596# #昨日盘面主要是机构在自救而已。
1700199353# #格力就高管遭自媒体侮辱诽谤报案金星那个“进退自如”有没有告啊？
1700824265# #没有消费到底是谁造成的？。月薪2万的年轻人只逛打折区。【Keep代餐检出霉菌】。微生物污染是代餐食品的“重灾区”。微生物指标上，Keep代餐奶昔未检出大肠菌群（＜10CFU/g），Keep检出微量霉菌，有菌落。（消费者报道）
1703149498# #这波寒流。。。来势汹汹！！！。降温，开启冰冻模式。
1694560698# #苹果史上最贵iPhone苹果手机买热搜是认真的。。苹果热搜词条霸屏了。
1695886519# #财经头条文章超话巴产糖第一。印度产第二，。印度糖类消费全球第一。。。中国糖产量是印度三分一，消费量二分之一多一点。
1696602618# #9月份解放军空军在台湾海峡的飞行轨迹！。还是非常理性的！。《阅海峡》
1689331165# #默默的看着你们吃什么大餐！
1691906962# #网红举报补课称会出钱让更多人干果然眼红病起作用了。。内卷还在延续，改天我们一起去吃鱼吧，看你挺会挑刺儿的。。精英们说我挣那么多钱，怎么能和穷人一个待遇？
1687495787# #房价，各位任何一个城市的都有没有看到，在节节败退！。厦门岛内一些小区的二手房价位也已开始松动，学区房3字头冒出。厦门都出现一万五的成交价了。。全国的二手房年初至今依然趴着。。有小作文说救市的大招正在来的路上，雨哥只是告诉你，该出手时就出手，不然等来政策房价只会更低。。楼市
1699235958# #目前典型的机构调仓期冷静期。
1703170625# #红海为何重要？。作为全球最重要的贸易航道之一，红海北端是苏伊士运河，南端是曼德海峡，是连接东西方距离最短的海上路线，扮演着衔接北美洲、欧洲和亚洲的重要角色。。。其贸易量占全球总贸易量的12%至15%，全球约30%的货柜运输途经此处。与此同时，全球有7%至10%左右的石油和8%的液化天然气从红海通过
1703388211# #美别还是厉害，把欧洲搅黄了，跟土别冷战，资金不敢来土别，全跑美别去了。。土别还真没啥好办法
1700187763# #【3000点保卫战又打响了】。自半年前开始救市，利好政策都出一批又一批，为何大A股还是这般模样？。。总要找找问题的嘛！。。为什么散户不进场？。。为什么信心还是不足？。公募年内亏损超2045亿元高端普洱茶价格下跌百分之十二
1697611020# #【可以形容A股？】鲁迅《无花的蔷薇》之二：“墨写的谎言，决掩不住血写的事实。血债必须用同物偿还。拖欠得越久，就要付更大的利息。”
1693547468# #认房不认贷一旦北京出台“认房不认贷”，那么可以宣布！房市见底了！
1697555082# #【日本核污水排海】核辐射检测仪放射性盖革计数器射线电离个人剂量报警仪大理石矿石。【推荐理由】。【现价】249元。【券后价】247元。【优惠券】1元。
1702191195# #【关于A股证券板块】。周末有个消息：浙商证券出手收购国都证券收购比例至少达25%。。浙商证券收购国都证券的股权，这是继国联证券通过竞拍取得民生证券30.30%股权后，成为券商新一单并购业务。。只是这类消息已经炒过很多次了，游资，热钱等资金不一定会认可，下周最多也只是一个高开低走的态势，因为该
1703950505# #2023最后一个人设【2023冲浪人设大赏】我的2023年度微博冲浪人设居然是“创作王牌选手”！冲浪人设千千万，翻空出奇我独显～你也快来揭秘你的2023专属冲浪人设吧！还有酷炫“人设铭牌”等你来领！
1688017882# #中兴通讯A股涨近8%，再创近3年新高。中兴通讯港股涨超9%。。6G威武！！！
1691631257# #渣男来了，证券救市了。。棒棒哒
1701044820# #多伦多市附近交通事故4名中国留学生身亡驻多伦多总领馆紧急处理涉我公民交通事故案。。希望仅仅是单一的交通事故。
1703894003# #我相信自己生来如同璀璨的夏日之花不凋不败妖冶如火承受心跳的负荷和呼吸的累赘乐此不疲
1699509734# #南航称超低机票全部有效国内航线机票低至10元卖了半个小时，南航回应了，全部有效！
1702876805# #预计2024年赛力斯的K线图参照今年的宁德时代。
1689202240# #每天早起打卡梦想很轻，却因此拥有飞向蓝天的力量。早安！
1692757227# #昨日支付宝压A股大盘红积分翻了2.45倍！。今日继续压红如何？
1703213323# #N宏盛大涨超427%，触发二次临停，成交金额超18亿元。。热钱又在玩新股了，这是一个很不好的现象。。说明A股情绪依旧在冰点之下。。今日看盘降息也无法拯救了。
1696812078# #财经头条文章超话一带一路：第三届“一带一路”国际合作高峰论坛将于今年10月在北京举办。
1693624868# #千岛群岛发生6.1级地震距离日本本岛太远了，希望再近点，再大点。。富士山动次打次，动次打次，动次打次，摇摆起来吧！！！。大家一起点赞唤醒富士山！！！
1688311359# #生活不全是利益，更多的还是相互成就和相互温暖。。深沉的夜幕，只因你的到来，瞬间绽放出万千星光。晚安~
1694509439# #华为发布全新25万级问界M7遥遥领先！花5亿成本打造的问界M7，现在25万卖给你，这个不赚钱，就是交个朋友。。。
1696577036# #苹果升级系统后充电温度可降7.4度温度都可以控制，这就是苹果？。靠一个软件包能解决7.4℃降温，那还要散热模块干啥呢？治标不治本的事情。。一局王者荣耀下来，有网友测一下温度依旧大于45°。
1695003058# #主力资金刚才抄底了，但是总额不大，这个A股沪指3100整数关口，其实上面还是需要颜面的。。继续指导量化，少动！！！。量化是否左右了a股市场
1700176791# #男子沉迷刮刮乐日买15张1年花10万换句话就是就算你一天买15张买一年你也没什么机会中大奖doge
1696401974# #台风小犬请掉头，去日本啊！
1694398907# #网红男歌手涉黑涉恶被抓，警方征集犯罪线索。网红歌手野马涉黑涉恶被抓。。曾经还是一名星光大道的选手，没想到竟然是一个黑恶势力头子。
1688351316# #【人脑工程主要技术原理】科普。1、神经科学基础：人脑工程的核心就在于模拟人脑的计算过程和神经网络。。。2、计算机科学：包括计算机编程、算法设计、软件工程等方面，主要用于构建人脑工程系统的软件部分。。。3、机器学习：以数据驱动的方式让计算机学习和推导，提高人脑模型的准确率和预测能力。。。
1702256496# #【2023年A股只剩下最后两周交易日】。未来两周重点关注：。国内11月社融数据、新增人民币贷款，11月社零数据；。海外美国11月CPI，11月核心PPI，12月联邦基金目标利率。。京东股价较年初跌幅超50%唯有拼多多日子比较好过
1693796328# #【炒股科普基础知识】。洗盘量：个股股价高开低走，高开后略微放量拉升，低走时成交量成倍地缩小，盘中可以看到抛盘的成交量大于进盘的成交量，且一波比一波小。主力开盘拉高价格，然后下跌，恐惧的股民在抛出，因此不会出现大的成交量。。量化是否左右了a股市场
1701214738# #芒格去世致敬大师，一路走好蜡烛
1694831769# #这世界只有一种乡愁，是你不在身边的时候
1695446711# #许家印身家缩水90%许家印身家仅剩200亿瘦死的骆驼比马大。。你理解了吗？
1695187664# #花西子公关部或集体离职离职就对了，不然人家说你工作努力吗能挣几个花西币啊
1694824756# #医院院长自曝受贿买8车7房金融系统恐怕更严重。。看看A股就懂了，全球唯一只跌不涨的。
1689388112# #多地烟草局要求直系三代血脉不得应聘哈哈哈，上有什么，下有对策。。中国人就讲人情往来，这个大家懂吧！
1695084899# #我爱中国CHINA反光车贴爱国车贴汽车装饰反光贴摩托车个性贴纸。【推荐理由】这款我爱中国CHINA反光车贴，以其独特的设计和亮眼的颜色，成为汽车装饰的首选。它不仅能让您的车辆瞬间变得个性十足，还能展示您对祖国的深厚情感。与普通贴纸不同，它采用了反光材料，即使在夜晚也能提供良好的可见性，提
1701824056# #掐指一算，感觉今日A股要收红，小反弹。
1693283712# #取消公摊面积合理吗公摊面积本来就不合理，取缔才能让地产尽快健康发展。
1690969184# #台剧纯爱战神。《做工的人》小杰的爱现实中真的有吗？
1703251288# #饺子售罄怎么可能？。南方的汤圆已经大促销，4.4元一包。。北方饺子不是大部分都自己包的吗？
1692694867# #上海暴雨上海在演大片？。8月22日上海暴雨，年轻人七夕都躲酒店消费吧！
1703402514# #照片被男朋友拍成了山顶洞人孙大圣孙悟空看了都得愣半天傻眼
1697611123# #茅台董秘称员工离职率只有万分之三万分之三，估计是被抓走的吧？
1698374059# #国家医保局回应2022年居民医保参保数据下降医保至少说明了两个问题，第一个问题，非职工人群更多的人选择不参保，第二个问题普通职工人群交费能力下降。
1701051913# #抄A股的股民周一的我被确诊为安陵容
1694670903# #茅台：德芙纵向新丝滑；。瑞幸：终究是错付了；。终究是瑞幸错付了
1700622517# #不要轻易辞职，苟活着，不丢人。。很多工作岗位并不需要你有多高的学历，换任何一个人来都能做。并不是你有多稀缺，而是工作岗位要求并没有那么高。。【现今久坐已经成为了“打工人”的日常】被正式确诊为脆皮打工人“脆皮打工人”颈椎病、腱鞘炎、腰间盘突出、久坐浑身疼。
1700296181# #【HBM概念】HBM：多层叠加+光带+凸点技术的综合。。目前有HBM产能的公司是海力士、三星、美光，海力士占大头，供应英伟达，国内暂时没有生产能力。。英伟达发布H200AI芯片，首次搭载HBM3E，与A100相比容量几乎翻倍，带宽增加2.4倍。AkshaySingh引用市场研究机构数据显示，预计2022-2025年，HBM市场年复
1697794084# #雨哥看盘超话我国各省净流入人口排行榜。。房价还会跌多少看下图做参考。。楼市
1701397616# #同样是下暴雨港剧vs内娱内娱的剧就变相催生催婚的，假独立假大女主最后反正都是女人必须有个男的，必须结婚。
1703208077# #A股市场情绪冰点了。。。1、一部分人已经跌麻了。。。2、另一部分人，大盘、蓝筹、上证50、沪深300的下跌跟他们也没啥关系。。今日看盘
1702017635# #汽配+汽车整体今日A股主力资金流出的主要板块。。要不要偷鸡呢？。周一有肉串吗？。玩的就是板块轮动下赌注了。警惕看空者做空者唱空者掏空者
1692930750# #A股的脊梁没有，里脊倒是有，北向资金持续卖出17亿。
1693802498# #酱香拿铁你喝完什么感受？。满杯茅台去咖啡液
1703032442# #京东方A(sz000725)超话2023年500强上榜企业上年度利润总额达到6.6万亿元,增长798%,占沪深北全部上市公司利润总额的95.61%。
1700528158# #【11月券商金股揭晓！贵州茅台竟不是最被看好的白酒股】中金认为，贵州茅台特别分红有望提振市场信心，维持跑赢行业评级，目标价2486元人民币。。花旗：贵州茅台仍是中国白酒板块的首选目标价2272元。。贵州茅台拟派发现金红利约240亿元。截至三季度末，共有1734只基金持有贵州茅台，持股数量合计为82
1688612540# #爱仕达，妥妥的封死涨停！！！
1694756950# #看到这样的A股，是不是心态崩了呢？
1688015563# #软银将开发生成式人工智能。。看来下半年人工智能还是主角！！！
1695044829# #中国台湾东北附近发生6.7级左右地震地震点距离琉球很近了
1697249871# #美帝能动的航母都去以色列了
1695019713# #张江高科居然要跌停了，周五主力机构净买入1.7亿左右，居然都不愿意持股超过24小时吗？
1697678651# #央行公开市场净投放1820亿元又不入A股，地产又不行。。。放到哪里去呢？
1702863203# #不是说现在马上可以买股，可以中线开始关注了
