1688176316# #新能源车电池竟然长这样。
1698649797# #10月28日，福建厦门，妈妈以为孩子要摘花，去阻止时发现他只是闻一下，孩子远比我们想的善良。
1692650013# #女儿想养猫，爸爸亲自示范养猫可能会造成的后果，网友：不能说惟妙惟俏，只能说一模一样！
1690333826# #男孩海边游玩意外飘到海里，漂浮四十分钟奇迹般救回，提醒各位家长：带孩子海边游玩时，一定要提高安全意识，防止意外发生。
1693030774# #8月25日，河南郑州。开学前男生做跑腿赚钱，偶遇同学被调侃。网友：比只会啃老的强太多。
1701916542# #12月4日，山东烟台，大爷喂流浪猫遭业主怒怼半条街。大爷也是出于好心，并无恶意。对于此事你怎么看？
1697880189# #过生日或者生病时，妈妈都会做一锅手擀面。网友：再多的山珍海味不如一碗妈妈的手擀面。
1697614285# #86岁老奶奶每天早早到厂里干零活“勤劳的人是不分年龄的”。
1702960838# #奇怪的玩雪方式又增加了,女子把脸印在积雪里印出3D效果,车主看到怕是要吓一跳。
1699408890# #VPlus双11惠聚周年庆好多朋友跟我说没抢到早鸟优惠券，特向平台申请券数加码，数量不多拼手速！成功订阅年费后还可开现金红包，100%中奖（最高奖1111元），点击下方卡片订阅↓↓苹果ios用户支付方法：
1694780118# #【四川这所学校开了个招新夜市】近日，四川成都。叫卖声此起彼伏！
1686902858# #今日灼见妈妈拍下患有罕见病女儿的生活
1689892209# #为了养家糊口，赵新成一人一车魂断青藏线，留下年迈的父母和14岁的儿子悲痛欲绝……
1697887450# #孩子回家喊爷爷无人应答，直接喊爷爷的小名“小凯”。
1703852652# #【两家单位拒收人民币现金被罚】近日，据央行网站消息，中国人民银行依法对两家拒收人民币现金的单位及相关责任人进行了经济处罚。这一举措旨在维护人民币的法定地位，保障消费者合法权益，进一步规范市场秩序。。。据了解，这两家单位均为企业，其中一家为大型连锁超市，另一家为知名餐饮连锁品牌。在
1698728351# #烟台苹果凭啥享誉全国？大叔“亲手”给你答案。今日灼见的精选好物推荐好物分享
1690796793# #国家发展改革委关于恢复和扩大消费的通知国家发展改革委：确保恢复和扩大消费的20条具体政策举措落地见效。。。国家发展改革委会同有关部门，结合消费市场恢复态势，深入研究谋划制定促进消费恢复的系列政策措施。前期，为促进大宗商品重点领域消费恢复，国家发展改革委联合有关部门，制定出台了促进汽
1702807458# #蓟州有你更温暖近日，蓟州遭遇了一场大雪。这场突如其来的暴雪给人们的出行带来了极大的不便。然而，蓟州人民并没有被困难所吓倒。他们自发组织起来，拿起扫帚和铁锹，走上街头，扫雪除冰。。。在扫雪的过程中，蓟州人民展现出了团结一心、互帮互助的精神。他们互相配合，有的铲雪除冰，有的搬运积雪，
1701324856# #【高中妹妹厌学哥哥带其到大学上课】，体验1周后妹妹已重新投入学习】近日，河南郑州，一个感人的故事在社交媒体上广泛传播。17岁的妹妹因学业压力过大，产生厌学情绪，21岁的哥哥决定采取行动，帮助妹妹重新找回对学习的热情。
1700044362# #【反诈警察报案家属被骗6000元】反诈警察妻子被骗6000元！报案时不敢透露自己的职业：只好说自己是送外卖的。今日灼见送外卖的家属干不出这事。
1688169929# #庆祝中国共产党成立102周年！
1689078781# #好日子非不好好过！宝格丽官网疑将台湾列为国家，网友要求该品牌做出回应！来源：九派新闻
1688139762# #【新华时评：新起点上书写“一国两制”香港新篇】。。新华社香港6月30日电今年7月1日，香港迎来回归祖国26周年纪念日。一年来，牢记习近平主席殷切嘱托和希望，新一届香港特区政府与社会各界砥砺奋进，以昂扬姿态和实干作风推动香港在由治及兴新阶段书写良政善治新篇章。随着中国式现代化建设的不断推进
1689691659# #夫妻接孩子路上突下暴雨。遇到一位奶奶骑车带两个孙子冒雨前行，赶紧停车让他们上车，并将其送回家。女子：“愿你活成一束光，照亮自己，温暖别人”。点赞！goodgoodgood行善积德之人必有福报
1688450347# #上半年A股人均赚3.9万你上半年炒股赚了吗？
1698108191# #女子因家庭矛盾欲轻生，消防员耐心劝导解救。你永远可以相信中国消防
1690195516# #谢谢你，陌生人。
1697605383# #84岁外公因病离世，外孙女因怀孕五个多月，家里人都不让她靠近。外孙女：我不怕，因为那是最爱我的人。
1697725192# #宝宝冰箱找吃的团伙作案，一会卖力的扒一个卖力的推。
1692678936# #男子偷东西被老板教训想复仇再次被扁8月20日，男子偷东西被老板教训，第二天男子不服找上门与老板“切磋”，结果再次被揍……
1698729659# #【今日灼见的精选超级购物节清单满119-10】【2罐组合】宜品慧赋富硒高钙双益生菌中老年奶粉700g。【推荐理由】这款宜品慧赋富硒高钙双益生菌中老年奶粉是一款专为中老年人设计的营养奶粉，每罐700g，本次特惠推出2罐组合。它含有丰富的富硒高钙成分，有助于提高免疫力和骨骼密度。另外，它还添加
1699877083# #11岁男生用编程讲历史获全国一等奖多少家长又开始羡慕别人家的孩子了。
1690204773# #三岁宝宝看到妈妈剖腹产的疤，得知原因后，说“妈妈原谅我”。网友：真是个善良的宝贝啊！被这个宝宝惊艳到了
1702111645# #爷爷用手暖着输液线给小猫输液。12月9日，山东，小猫输液，爷爷怕水凉，还用手暖着，网友：很少有老辈人带宠物来医院，它已经是他很重要的亲人了。（来源：民生频道）
1697864125# #五岁半小孩到中学表演京剧变脸，一点都不胆怯，十分帅气引得全场欢呼。太棒了，中国传统文化有人继承。
1690436893# #女子带语文书爬上黄山，找到了课本里讲的石头。
1687139546# #看，树懒的笑容有多治愈！网友：动画片的慢动作一点都不夸张。今日灼见木欣欣以向荣，泉涓涓而始流！善万物之得时，感吾生之行休！经常欣赏美好的事物，心情都变得好起来。
1688336379# #羡慕没？单个野生菌大到抱回家。
1698738604# #妈妈:真的心都凉半截了。
1699248466# #这就是赶回来的意义吧。妈妈在医院照顾生病外公，外地读书的儿子赶回来给妈妈和姥爷带来惊喜。
1699188901# #女子欲跳桥轻生，消防员耐心安抚。你永远可以相信中国消防
1689493439# #【27岁烈士汪晓龙被追授五四奖章】今天，共青团中央、全国青联发布关于追授汪晓龙同志中国青年五四奖章的决定。汪晓龙生前系广东汕尾海警局执法员。今年3月，他执行海上查缉走私行动时，在与不法分子的斗争中坠海，被走私船发动机螺旋桨打中，壮烈牺牲，年仅27岁。他把青春定格在蔚蓝大海，致敬英
1694080026# #退役战士向执勤武警敬礼。
1696740297# #司机下车忘熄火，车辆滑动，慌乱中被卡住，众人合力帮忙解困。谢谢你们仗义出手！
1700105069# #【小米澎湃OS功能简直太强大了！超9000家品牌已接入小米澎湃OS】据报道，目前已有超过9000家品牌接入小米澎湃OS，包括智能家居、智能穿戴、智能出行等领域。小米澎湃OS是小米公司推出的一款全场景智能操作系统，旨在实现设备之间的互联互通，并提供更加便捷、智能的用户体验。随着越来越多的品牌接入
1699935490# #夫妻被困深坑，本可借助雨水逃生，却被妻子一脚送走
1697525255# #妈妈出门买菜身后跟俩特种兵10月10日，重庆一小区里妈妈出门买菜，父子俩化身“特种兵”暗中护驾，这样的家庭氛围你喜欢吗？真是幸福的一家人。
1690103586# #7月18日，四川攀枝花。53岁攀枝花泳协秘书长程树珲跳江救人不幸遇难：事前告诉妻子“要去救人”，曾热心公益救多人。（来源：红星新闻）
1701511975# #查理·芒格的传奇一生（1）。
1703657786# #淘宝将支持仅退款你经常会去哪个平台购物？
1694326112# #班里面有一位同学转走了，给剩下的同学写的信，老师为同学阅读了信，之后孩子们都哭得泣不成声。网友:虽不知道信的内容是什么，但孩子们的情谊让人感动。
1697368158# #中国特战队员极限虐俘训练，隔着屏幕都感觉到窒息…
1688599132# #【警察查酒驾被闯卡车辆拖行】7月5日，江苏省泰州市警察查酒驾，司机开车逃跑，警察拦截被拖行。今日灼见酒，是把双刃剑，它可以让你放松心情、沟通感情，也可以让你冲动、让你疯狂。喝酒，适量，切记！作为警察执法，也要注意保护好自己的生命安全，酒驾司机冲卡，让他跑，开车从后面跟着就是
1691834708# #网络正能量一江山论坛共富浙里行网聚台州话共富风起大陈岛寻心之旅
1698126667# #浪漫永不过时。
1697543118# #德宏建州70周年庆上的吉祥物小孔雀想贴贴，却得到兵哥哥一个大比兜。
1699672630# #【男子称信用卡欠3.1万13年未还变40万】11月3日，四川自贡人赵先生介绍，10多年前，他先后在当事银行自贡分行、内江分行各办理了一张信用卡用于消费。后因出国留学，他忘了还这两张信用卡合计3.1万余元的欠款，直到2019年才想起来。今年9月，他看到个人征信记录上这两张信用卡欠款金额已增至约40万元
1703169057# #加油！一切都会好起来的。
1693954063# #9月4日，吉林。爷爷辛苦一天回到家，孙子忙活给爷爷拿酒，爷爷瞬间就不累了。
1700109283# #作为女婿能做到这样真是好样的！为你点赞！
1693537605# #小男孩在学校领的牛奶不舍得喝，要装进书包带回家给奶奶喝，老师：别的小朋友都在喝，他就悄悄坐着。
1693648345# #【慈善之灯照亮天津】今年9月5日是我国第八个“中华慈善日”，主题为“携手参与慈善，共创美好生活”。经天津市委、市政府批准的天津慈善领域政府最高奖——首届“天津慈善奖”表彰大会将在9月6日举办。。。8月29日，天津市慈善协会第六次会员大会在天津大礼堂中剧场隆重召开。137个集体及个人受到表
1702611063# #我刚刚上传了动态视频封面，动态视频封面是微博视频号的个性化专属功能，快去我的主页看看吧~更多有趣、精彩的封面，尽在视频号封面大赏
1693099623# #遇见美女
1690612906# #7月29日，福建泉州。受杜苏芮台风影响，小区地下停车场被雨水倒灌，物业人员用身体筑人墙抵挡积水。
1691393873# #安徽一高校录取通知书出现错字，有考生表示不敢轻易去学校，学校回应:正在重新印制，大概一日后寄出。今日灼见丢人丢大了。
1688941472# #女朋友有一个很大的作用，你发现没。
1692841918# #女子父母离世和弟弟相依为命，如今也结婚，家里只剩下生病的弟弟。
1690176542# #退役老兵重现用电报机发报场景，手速快、间隔清、拍发稳。“刻在骨子里的记忆是一辈子的”。
1688787374# #哈工大军训打真人CS，“热血”开战燃爆现场网友：我都不敢想象有多好玩。
1697272548# #10月13日，重庆。当恐高的外地小伙来到山城重庆，主打一个小心翼翼。
1694647821# #回头看，轻舟已过万重山。
1696631978# #超近视角的震撼！全红婵、陈芋汐丝滑入水，看完只想“哇！”看全红婵陈芋汐丝滑入水是种享受
1699869589# #胡润：全国拥有千万元净资产家庭达211万。（第一财经）
1700568801# #【拎着茅台夜店蹦迪周杰伦茅台鸡尾酒】你的第一杯茅台以后可能在夜店喝到了？“贵州味道”系列鸡尾酒-“茅台鸡尾酒”可谓是近期话题度最高的酒类新品，自11月20日在各大夜店上线以来，不少消费者涌入夜场尝鲜，销售反馈良好。这也一定程度打破了不同酒类的适用场景，让专业鸡尾酒走入更多年轻人的
1700369585# #监控下暖心的一幕，幼儿园老师给小朋友喂饭，一个动作温暖了所有人。这样的老师没有之一。
1691033794# #电商平台推出雪糕保险只有想不到，没有做不到，雪糕保险？这会让雪糕身价备增，这个保险消费者收到融化的雪糕，赔付3倍，连我这平时不吃雪糕的人，也想去凑热闹了。雪糕刺客消失了
1687912108# #6月26日，四川宜宾。幼崽不幸离世，狗妈妈不停向主人“作揖拜拜”，主人：可能想让我救小狗，很感人。
1699244491# #爸爸带着女儿去妈妈公司接妈妈下班，正在哭闹的女儿看见妈妈后瞬间露出笑脸。
1693733427# #9月2日，甘孜，游客以为碰见“丁真”，网友：说不好是他表弟。
1691383169# #寻美中国【中央援助天津物资每批不到一天拨完】目前，天津市有6个区受到此次洪水影响。天津累计紧急转移安置8万余人。应急管理部会同国家粮食和储备局向天津调拨两批物资，用于妥善做好转移群众的生活安置工作。这两批物资每一批从准备到调拨完成都只用了不到一天的时间。via:
1697086970# #妈妈长大了一个人走。
1691797695# #温岭好哇塞！一分钟带你了解台州散装的课代表--温岭。goodgoodgood网络正能量一江山论坛共富浙里行一分钟带你解锁最美台州
1688058619# #太暖心了，懂事的孩子们！
1696322975# #一孩子走丢落水一位帅哥奋不顾身跳水救人。（视频来源：）
1700237297# #马云坚定看好阿里从今晚美股的阿里巴巴分时线可以看出，V型反转。马云坚定看好，市场也在看好。马云办公室将长期持有阿里股票
1690965343# #你有没有曾经想过，用另外一种方式让逝去的亲人朋友们，以他们过往的音容笑貌，再度出现在你的生命中呢？。。这一个不可能的事情，如今在人工智能的帮助下也已经成为了可能。在淘宝上你可以去1:1定制自己亲人朋友们的声音、对话、甚至是来电。。。淘宝店家们用这种独一无二的服务方式，给顾客以心灵上的安
1694302162# #老师们拥有的每一种“超能力”，都是为了学生进步而花的心思啊！今天教师节，为老师们点赞，谢谢！
1701140626# #我在2023炒股大赛中，成功以价格57.24委托买入了$上海谊众sh688091$～快来跟我一起参赛吧！更有百万资源奖励等你来瓜分！
1697281255# #“篮球女孩”蜕变成“水中飞鱼”，4岁截肢曾靠半个篮球行走，励志女孩钱红艳出战亚残运会。
1688809385# #有市民拍摄视频吐槽某地铁站装饰风格日系化，6日，大连地铁工作人员回应称，目前不知是第三方还是地铁方所为。立即清除！
1700474467# #【这是什么缘分？哈哈哈哈哈哈30岁董宇辉撞脸2000岁长信宫灯】11月20日，河北石家庄，董宇辉现身河北博物院，撞脸镇馆之宝西汉长信宫灯！一个30岁，一个2000多岁……dogedogedoge网友:最萌年龄差！董宇辉超话
1696750292# #原来专业对口可以这么快乐。
1692425479# #两名男子在店内用餐时议论中国老板，听了忍不住霸气回怼：你可以说我店不行，但不能诋毁我的国家！
1688489693# #人生除了生和死其它都是擦伤，好好生活，别想不开。7月2日，湖北宜昌。一女子疑因被男友拉黑欲轻生，被热心市民合力救起，后来经众人劝说后送往了医院。疑因微信被男友拉黑女孩欲跳江轻生
1701696826# #【儿童医院保安身上挂满玩偶安抚患儿：还会买新玩偶送给哭闹的孩子】12月4日，辽宁大连。多位家长在儿童医院遇到一名身上挂满玩偶的保安，碰到有孩子哭闹就会上前送玩偶哄孩子。这位“玩偶”保安哥哥也曾是推床救人的“漂移侠”。今日灼见这位保安真是个有心人。80后保安玩偶挂满身安抚小孩打针
1702265175# #【小米重回国产品牌第一】小米公司成功重回国产品牌第一的位置，其出色的产品质量和创新的商业模式是赢得市场份额的关键。。。小米的成功得益于其独特的产品策略。首先，小米一直注重产品的研发和创新，不断推出具有创新性和高性价比的产品。其次，小米在智能家居领域取得了显著的成就，通过打造全屋智
1700102443# #【涉事店家回应儿媳为带公婆吃自助撒谎只要10元】儿媳带公婆去吃自助小火锅，怕老人家不舍得，骗他们说10元随便吃，才发现“他们不是不爱吃，只是平时想把好的留给我们。”今日灼见有这样的儿媳真是老人的福分。（经济生活）
1703304510# #浙江省最美退役军人。归零，是重新出发的勇气。。转身，是敢为人先的追寻。。高铁疾驰，神舟飞天，。日行四海五岳，。敢上九重之天。。利刃出鞘，。你们立起国之重器的脊梁。。你永远可以相信中国军人拔剑扬眉，。那是民族制造的亮剑军魂。我是老兵
1701647804# #2614万元拍下手机号未付尾款，买家称：“拍错了”。（来源：极目新闻）
1694088976# #居民出电梯后图方便，用铁架子挡电梯门，下一秒电梯关闭运行发生故障瞬间卡爆变形！今日灼见无知者无畏！希望能警钟长鸣！
1699773570# #【上官正义受邀探讨出生医学证明管理问题】今天上午，上官正义受国家卫健委邀请探讨出生医学证明管理问题，国家卫健委高度重视，这也是国家的态度。网友：打拐英雄的您将载入史册，名留千史，向您致敬！注意安全。（上官正义）
1703565778# #男子坐公交车睡着了，醒来发现已经是晚上，自己被拉到公交车大院里。
1701767563# #两儿子分家，各自赡养一个老人，小儿子要带老奶奶去广州，老俩口眼含热泪，牵着手不愿分开。
1698139101# #小伙娶回村里第一个外国媳妇，美国丈母娘坐上了中国花轿，老丈人和亲家跳起中国舞。
1698916600# #男子相亲资料被发群起诉获赔1500这一事件引起了广泛关注。相亲是一项重要的社交活动，但是在这个活动中，个人的隐私和信息安全却常常被忽视。这个男子的经历提醒我们，在相亲过程中，我们需要对自己的个人信息和隐私保护保持高度的警惕。。。这个男子在相亲过程中，将自己的信息和资料泄露给了对方，
1698893984# #AI动画：大多数普通女孩的一生。
1694241848# #谁懂啊！军训结束，教官人被伞吹走啦，看得出来，他真的很喜欢那把伞，明明丢掉伞可以减少阻力，可是他没有而是回头去追他的伞！
1687957857# #【今日灼见果然叫王俊凯的都很优秀。四川考生王俊凯高考699分，数学满分！good对话本人：多回头，从错题中吸收新知识】四川王俊凯讲述高考数学满分心得近日，红星新闻记者了解到，四川绵阳理科考生王俊凯今年高考总分699分，数学150分满分。6月28日，王俊凯在接受红星新闻记者采访时表示，
1688940410# #这个家我是一天也呆不下去了😭
1697063284# #女子跟老公一起开大车跑长途，每次路过女儿家门口时，女儿都会带着孩子来送吃的。
1686912852# #【老外眼中的中国国菜竟是火锅】老外迷上吃中国火锅，边吃边流泪，直呼：中国火锅闻名世界。如果你问一个老外一天吃三顿火锅是什么体验，他会这么回答：彻底吃疯了！！然而感觉还是没有吃够，没有吃厌，比起西餐来说，简直菜品太丰富了。看来中国火锅绝对排在世界美食榜前列。相信，随着中国现代
1689158608# #女子跳河轻生，民警飞身跳下救援！
1687581821# #看到这么懂事的女儿，爸爸再累也值了。
1691445890# #【孩子的思维该有多可爱】8月6日，河北。地震时妈妈叫醒睡梦中的女儿，孩子迷迷糊糊装上暑假作业，“思维清晰带作业逃难第一孩儿”。今日灼见妈妈想得很全面，孩子想得很集中。孩子的思维什么时候都不要去嘲讽。被这个宝宝惊艳到了
1699868726# #华为新一代碳化硅电机发布：22000转/分、零百加速3.3秒。
1696550452# #相隔千里持续四年的军异地恋，领证那一刻女子号啕大哭。
1696999314# #男子坐地铁睡着后成表情包。
1697615085# #都是善良的人。善良回报善良
1688488228# #朋友说这人跟炒股一样一样的。路过积水路段，不知道情况，贸然淌水，可能掉进深坑。炒股就是炒心态有道理吗其实在股市中看不清方向、不知道深浅的时候，买进还真不如空仓。
1703464279# #能带来平安的不是苹果，是千千万万的人民子弟兵。
1699003591# #今日灼见的精选超级购物节清单好物分享薯片零食一整箱批发好吃不贵解馋小零食大礼包网红零食儿童节礼物。【推荐理由】这款薯片零食一整箱批发，大礼包装，数量足够丰富。口感酥脆，咬下去薯片的香脆声让人欲罢不能。无论是孩子儿童节礼物还是解馋小零食，都是绝佳选择。不仅味道好吃，而且价格
1691402095# #【热射病急救有哪些关键步骤】大家一定要引起重视，在极端高温天气下保护好自己和家人！！！。。步骤一、立即脱离热环境。。热射病应迅速脱离高温高湿环境，参训者立即停止训练，转移至通风阴凉处，尽快除去患者全身衣物以利散热。有条件的可将患者转移至有空调的房间，建议室温调至16-20℃。。。步骤二、
1699412912# #将睡眠时间延长至8小时对身心的变化每天舍得投入8个小时的睡眠的话，7大回报，将会大大提升你的健康和幸福！（吴英绪）
1692933011# #中国好声音暂停播出浙江卫视在对待网友反映的《中国好声音》节目问题上是理智和清醒的，在没有彻底调查清楚之前暂时停播是正确决策。待事实调查清楚复播，也好给一直以来喜欢该栏目的观众一个交待。期待复播，早日跟观众见面。好声音暂停播出
1691983634# #朋友们，周一福利日我来给大家送福利了！今天订阅我的年费Vplus，除专享高价值付费内容和专属权益外，还能参与抽奖，100%中现金！最高6666元！福利仅1天！快来拼手速吧！
1696221316# #病重的妈妈想回家看看，儿女们思量再三决定让母亲遂愿，90岁姥姥也早早在家等着。
1688079343# #不惧风雨，这里是最暖心的避风港。突降暴雨消防岗亭变身避风港
1700633931# #女人愿意为哪个男人生孩子，那才是真爱。
1687598686# #6月22日，浙江嘉兴，小女孩不慎跌入通风井，救援过程中一直道歉，消防员：“叔叔没觉得你给叔叔添麻烦。”（来源：）你永远可以相信中国消防
1690098257# #《长恨歌》演出遇大雨，演员坚持演出，氛围感拉满。网友：雨中这一幕有别样的震撼！没想到暴雨中的长恨歌更震撼
1690195391# #男子勇救落水女子，为她做心肺复苏，人工呼吸后成功救回，网友：救人一命胜造七级浮屠。
1698365473# #别眨眼！这小子十八年后又是一条汉子！
1688338476# #“粗糙的手掌，柔软的心！”工人大哥捡的小猫咪和他深情对望，大哥将它拥在怀里，轻轻地抚摸着。
1692507045# #网友:割舍不断的爷孙情。
1697086870# #孩子们扶起倒在路边的交警雕像并为其插上五星红旗。
1703291027# #“等老百姓吃饱了我们再吃！”子弟兵多么朴实的话语，让人感动。
1694595152# #9月12日（发布）辽宁（发布）网友：一定小心氨气中毒。
1688145193# #世上唯有白发人送黑发人最痛苦无奈。
1698650996# #【中国6岁女孩打破魔方世界纪录妈妈：感觉在梦里一样】日前，在世界魔方协会举办的魔方国际公开赛上，来自江苏海安的6岁女孩曹岂娴以5秒97的成绩夺冠。打破了三阶魔方的女子世界纪录，她也成了世界上唯一一个平均6秒以内的女子选手。曹岂娴妈妈：没有想到会这么快就打破世界纪录，说实话我们回来有
1694573853# #微博电台计划12：30准时开播！9月13日早盘复盘，并一起交流如何应对当前跌跌不休的股市行情。
1690182397# #这招我练了18年都没学会。
1698651016# #【331名中国维和官兵被授予联合国勋章】当地时间10月28日，中国第十三批赴南苏丹（瓦乌）维和部队331名官兵全部被授予联合国“和平荣誉勋章”。自去年部署到任务区以来，这批“中国蓝盔”已累计修复道路220多公里，完成各类工程施工任务160多项，接诊患者1435人次，完成各类检验检查2300多项。
1691316943# #大姐姐看到邻座小朋友玩贴纸，接下来的一幕太可爱了。
1693630301# #国际友人打卡天津6A级景区之毛衣跳水版。
1697607846# #远亲不如近邻。
1700655018# #阿根廷股市暴涨20%汇率却崩了！新任总统曾称要“炸掉”央行，全面美元化。（来源：财经杂志）
1699863329# #【看军队的炊事大比武馋哭了馋嘴】舞刀挥铲、颠锅翻勺……11月8日，北部战区海军举行饮食保障创新技能竞赛，各单位近百支参赛队百余名“大师傅”聚集一堂。一场味蕾之战、保障之战在烈火油烟中激烈打响。你看饿了吗？
1687906919# #女子在学校附近文具店买文具，发现商家售卖“处女证”。这个得警惕了，文化侵蚀，必须严查！
1699868827# #一万变1亿需要多少个板？
1700186523# #抗战期间，飞行员陈怀民和未婚妻王璐璐的一张合影，然而就是这张照片却感动了亿万国人！。。1938年4月，日军36架飞机轰炸武汉，陈怀民和战友们架机迎敌，陈怀民凭借出色的空战技巧，击落了一架敌机。然而5架敌机迅速向他扑去，寡不敌众的他，战机多处中弹，本可以跳伞逃生，但看到疯狂的日军战机肆意轰炸
1700573966# #【斗鱼ceo被逮捕】斗鱼：公司CEO陈少杰于2023年11月16日左右被成都警方逮捕斗鱼证实ceo陈少杰失联斗鱼ceo陈少杰被成都警方逮捕
1696398969# #大一女生坐18个小时硬座回家，帮家里扒苞米。
1696559630# #波士堂：段永平（下）。来源：网易公开课
1699765101# #男子山中喊自己家鸡开饭。
1687425530# #“誓死保卫祖国！”武警山东总队新兵团为1600余名新兵举行授衔暨宣誓仪式！和当年的我一样。
1697551230# #大坝泄洪女子意外卷入江中，大叔奋力跳入水中救人，上岸后累到站不稳。
1699933173# #印度正在拍摄的抗中神剧，不会打着打着就来一段歌舞，跳起来了
1698047914# #章子怡汪峰离婚章子怡汪峰官宣离婚，章子怡汪峰我们决定解除婚姻关系相爱一场就是缘分，好走好散，相互祝福吧。
1703230549# #泪目泪泪12月21日，青海“砂涌”遇难一家五口，3名成人将2名孩子护在中间。
1688143354# #外卖小哥帮顾客给捎上男孩父亲送来捐款，随后他自己又拿出来1000元交给孩子的爸爸，外卖小哥的大爱温暖了整个城市。有的人原本自己活得都挺艰难，却见不得别人的痛处。愿好人一生平安🙏🙏🙏
1692366618# #收到985高校录取通知书时，他正满身泥巴在田间收稻谷。收获的稻谷和通知书，都是努力的证明。少年加油，未来可期！
1699178700# #这一幕看着太心痛…
1694786518# #天津金融消费者权益保护教育宣传月9月15日，根据金融监管总局等四部委统一部署，国家金融监督管理总局天津监管局联合中国人民银行天津市分行、天津证监局、天津市网信办共同启动天津辖区2023年“金融消费者权益保护教育宣传月”活动。。。近年来，金融监管部门高度重视金融消费者权益保护工作，从强化
1703771750# #儿媳行动不便，婆婆就耐心帮儿媳洗头吹头。这样的婆媳关系能处不好吗？
1698382442# #毕业生穿校服回母校悄悄看老师若干年后，再次回到母校看望老师，又将是怎样的一个心情呢！
1701867220# #弟媳因病去世留下3个娃弟弟外出打工，伯娘放弃工作在家全职照顾7个孩子。
1693639797# #自己的儿子自己管。挨辈不亲，隔代亲。
1687941854# #男子拍下朋友聚餐喝酒一幕，挺着超大啤酒肚一口下肚。健康第一，饮酒适量。
1688900993# #7月8日，女子手舞足蹈与海豹对话，给海豹整懵了。
1702085602# #咱们工人有力量！建造巨轮的工人们下班离开厂区，画面十分震撼。你们辛苦了！（光明日报）
1690954931# #危险！小学生开车上高速，爸爸在一旁沾沾自喜，还拍视频炫耀。男孩高速独自开车父亲拍视频炫耀
1702852991# #兰世立：你们觉得这个董宇辉会占到便宜吗？他是不可能在东方甄选干下去的。（凤凰网财经）
1692779319# #日本首相岸田文雄召开内阁会议后宣布，本周四（24日）开始，将福岛第一核电站经处理的核污水排入大海。香港工联会今日（22日）到日本驻港领事馆外请愿，要求日本政府悬崖勒马，停止倾倒核污水。来源：直新闻
1703565126# #吃完饭男孩老远看到一位卖爆米花的老爷爷，赶快买了一份，好让老爷爷赶快回家。
1691218722# #商场遛弯的狗狗突然遇见小时候养过它的主人，场面有点控制不住了。
1699157579# #今日灼见的精选超级购物节清单好物分享云南玫瑰鲜花饼糕点零食办公室充饥小点心。【推荐理由】【云南玫瑰鲜花饼】是一款精致的糕点零食，适合办公室充饥小点心。每片饼干都带有浓郁的玫瑰香气，口感酥脆，入口即化。无论是当做休闲零食，还是送给朋友作为礼物，都非常合适。。【现价】9.9元。
1694079203# #赤膊男子当街骚扰女子，小吃摊老板冲上一把将其推开。
1700964278# #希望这个视频能缓解你一天的烦恼。
1700049052# #导盲犬领着主人去饭馆吃饭，遇到修路的地方不敢往前走了，陌生男子主动上前帮忙。
1692845460# #女子和病友聊她跟她老公是怎么认识的，她老公在一旁宠溺的看着她，网友:有趣的灵魂万里挑一。
1698046191# #套袜子技术杠杠的。
1700474270# #8小时睡眠或许并非人类本能最佳睡眠时长不是8小时困了就睡，别硬撑着，这是科学的睡眠方式。如果困了还不睡，就是身体已经反抗了，你死磕，这样受损的是自己，这不能叫撑强。
1701080025# #新娘在婚礼上忍不住笑场，只因看了自己好朋友一眼。
1687738624# #“这就是咱的职责”！6月25日，山东聊城，线缆垂落路中间，影响正常交通，且存在安全隐患。辅警张阔在40℃高温下，托举线缆近两小时，直至维修人员赶到现场。
1701406422# #美媒：美国或在2024年出现大萧条以来最严重崩盘。（来源：央广网）
1694697985# #网友：感动！好懂事的毛孩子～
1696600290# #真羡慕到了70多岁，还可以找到喝酒的挚友。
1688468939# #【男生被要28万8彩礼写信给县长求整治】男生拿不出28.8万彩礼被迫分手，写信给县长求整治当地高价彩礼。今日灼见彩礼看心意，量力而行，毕竟结婚是人生中的一件大事，谁都想让孩子山山光光地走进婚姻殿堂，什么都不给也不正常，摆喜宴不花钱？房子、车子不花钱？不要彩礼，不摆酒席，那以前父母给
1689550097# #7月13日广西(发布)小女孩和爸爸闹脾气躺下发现地上太烫换个地方继续躺“我只是小又不是傻”。被这个宝宝惊艳到了
1697416024# #致敬先辈的奋斗！我国第一颗原子弹爆炸成功59周年。珍惜如今美好生活，吾辈更要努力！把青春华章写在祖国大地上
1703580793# #寒冬里，武警战士进行抗寒训练。这是中国军人的血性和意志力！（
1702772249# #监控下的一幕：鬼手换钞，大家注意防范！
1703374622# #环卫工人站在酒店外避雪，工作人员邀请他们进屋取暖。愿每个人都能被温柔以待（北方法制报）
1688489203# #你求职遇到过哪些歧视？女子面试因个子不高被拒起诉公司制造容貌焦虑。法院：不包含歧视之意补偿住宿费交通费630元。
1693925290# #孩子溺水，母亲去救双双落水，母亲沉入水中仍拼命托起孩子，危急时刻好心男子出手相救。
1691384946# #宝宝出生后妈妈去世，一只小鸟飞到宝宝身边，宝宝喊出了人生第一句“妈妈。”小鸟是妈妈托付的吧。
