1562483710# #《山楂树之恋》，很泪崩的一部电影！其它的影片没有在意。
1566360249# #去马尔代夫听风看海。“一岛一酒店”是马尔代夫的特色。马尔代夫的度假海岛有近百余座，让游客在享受自然风光的同时，又能体验无微不至的服务。
1578626568# #放你娘的顶风800里臭屁！波斯是个伟大民族，而美国的白人，全它妈的欧洲发配犯，请问谁邪恶？拿着人民币的二货却为美元抱屈，拉出去阉了！
1572665796# #周冬雨让我记住的是“微醺，一个人的小酒”！跟新浪看热点
1555464120# #跟日本人不用客气，无论是学者还是商人，在我眼中就一二货。别它妈跟我假正经，我是处处设坑让它们跳。
1564799726# #转发微博
1584945328# #早晚，背影！
1569984031# #《上海胡荣华妙手石破天惊、弃车攻杀、精彩绝伦-全国象棋个人赛》我和927人都在看，快来一起围观
1560452600# #懂球帝阿扎尔成为英超传奇了吗？有一件事值得一提，阿扎尔在离开英超时，其获得的锦标个数比亨利更多，打入的英超进球比C罗更多。那么随着阿扎尔从切尔西加盟皇...
1549563593# #《坏小子戈洛塔恶名远扬，18年前的今天却被泰森2回合打崩溃》坏小子戈洛塔恶名远扬，18年前的今天却被泰森2回合打崩溃
1566653581# #蓝军首胜！神灯首胜！
1554053915# #《印度总理神操作，中国自己领土上修建新藏公路，印度总理发声抗议》好看视频-分享美好，看见世界
1584757446# #不要傲气，但一定要有傲骨。一次次被美帝国主义羞辱，一次次用热脸呵冷屁股，请问有用吗？当我们一次次用反击针锋相对，一次次用事实胜于雄辩戳穿美帝国主义的造谣抹黑，我们反而取得了意外的效果。目前美国人的反华情绪与疫情一样，被特朗普调整到空前高涨，此时此刻，我们无需抱着佛系方式与美国媾和
1566200308# #沙雕！
1570602032# #《老汉荒郊野外睡了一觉，醒来周围阴风阵阵，回家后就生了怪病》我和21万人都在看，快来一起围观
1594085662# #难得糊涂很难做到，但装聋作哑也不是特别为难；五柳先生“凡事不求甚解！”我以为就是看穿不点穿。生活方式因人而异，一千个人就有一千个哈姆雷特，但是谁有幸抑或是不幸成为哈姆雷特？什么退一步海阔天空，当退无可退的时候，进一步才有可能是活路。既然不能决定结果，我们可以做的就是完善过程。
1553964809# #意甲属于五大联赛中最弱的一体，意大利人只能感怀昔日的辉煌了。
1569378439# #《你喜欢的样子我都有百因必有果你的报应就是我，记得双击么么哒！》该视频已赚4187.63元，快来看视频拍视频轻松赚钱！
1553021676# #弱弱的说给自己听。
1557659698# #《委内瑞拉百度百科》委内瑞拉玻利瓦尔共和国（西班牙语：RepúblicaBolivarianadeVenezuela），简称委内瑞拉，是位于南美洲北部的国家，首都加拉加斯。北...
1576975519# #这次没打马赛克，真见鬼了。跟新浪看热点
1594806564# #凤凰新闻分享凤凰新闻：美国疫情实时动态：新增65559例，累计确诊3545045例来自
1548979584# #跟新浪看热点我在看【美军炫耀新技术应用在隐身战机上帮中国打广告】
1547653417# #《冤狱25年每天给287块！央视专访多方争论：赔多了还是少了？》好看视频-分享美好，看见世界
1568033824# #《“一边一国行动党”成立统派团体批“害死台湾”手机新浪网》原标题：“一边一国行动党”今日成立新党等统派团体场外抗议由“独派”组建的“一边一国行动党”今天（18日）在台大校友会举行...
1550135100# #他想用狗给自己壮胆！信不信由你哈哈哈哈哈哈
1585179026# #《小伙傍晚开出租车撞到人，谁料这人，竟然是个“鬼”！》此视频已有3.2万次播放，快来一起看看！
1582389174# #再拿红军利物浦当标题吸眼球意义不大。英超冠军归属的话题早已失去悬念，唯一剩下的话题是利物浦拿多少分？是110分还是115分？欧冠捧杯的概率有几成？估计有四成吧。这两个话题倒可以拭目以待。
1582100075# #战疫打卡行动
1560835716# #《杰里科3人围殴裁判，塞纳霸气现身一打三，全场都沸腾了！》我和7.6万人都在看，快来一起围观
1571525709# #无婚姻同居是否非法？这不但是个结构性问题，而且值得深层次探讨。想要得到同居保障，婚约是第一要素。没有婚约的婚姻既不健全也不健康，它既得不到法律保护，又很难厘清同居过程中的财富共享。婚约首先是道德约束，同时又是稳定社会的压舱石。个人不提倡无婚约同居，建议合法婚约。跟新浪看热点
1587949789# #我在熊猫守护者养的小竹子长大啦！马上可以参与守护野生滚滚的自然家园啦~你也快来加入熊猫守护者，一起保护国宝“滚滚”的家吧！
1553718880# #搜狐新闻:【谁袭击了朝鲜大使馆？全世界都怀疑美国干的，一家神秘组织突然宣称负责】
1567880234# #懂球帝《孔雀》，一部高分国产电影，女孩为了梦想...-戏精王还有1584位网友也喜欢这篇文章；更多精彩内容，尽在懂球帝
1565794126# #小米运动小米运动
1553772253# #过来看看，汲氧分。
1584894383# #赞赞赞
1602292573# #天生我才，就这么一个亲合力比较强的中国第一脱口秀患者。有些东西是后天培养不了的，就像老罗这样张口即兴而来的宽泛语言大师，不加思索的正确。王自如的功课作的很全面，但在罗永浩眼前一击即垮。语言表演可以通过训练获取貌似，而真正的神驰与生俱来。
1548505937# #有一点搞不清，美女怎么跟一位姓铁的公鸡约会？虽然我不是土豪，但是陪美女吃饭买单，绝对不可能打折。导演瞎了，找老铁不如找我，我的演技完全可以胜任任何男一！谢谢！
1560895809# #我在看：【中国体坛的耻辱,曾背叛国家现高调回国捞金,全国怒斥:滚出去】跟新浪看热点
1556525505# #所有男人的童话——一个春天的童话。
1571501639# #别说教了，道理人人都懂，但是每个人的想法不同，所以说为人处事就没有固定模式。大千世界芸芸众生，指的就是这个道理。
1568067913# #分享图片
1566200261# #懂球帝旁边的阿姨已经生无可恋了-西土城站地铁口大爷还有2875位网友也喜欢这篇文章；更多精彩内容，尽在懂球帝
1572523161# #今天可以，不过还是有点累。加油加油加油鲜花鲜花鲜花🙏🙏🙏，给自己加油！
1552658713# #晚上好，送你最廉价的美梦：心想事成。有人曾嘲讽我：做梦娶媳妇，你净想好事。我回应道：如果连好事都不敢想，谁还会为我勇敢？哈哈哈，晚安！
1556980545# #刚刚看到花骨朵儿，施密特就谈夺冠的事，性子太急了不好。赌博靠局，夺冠靠命，施密特这张电冰箱面孔不具备夺冠的命。去年半程冠军，最后连亚冠资格都悬。中超只剩下国安这位最老司机没取得过冠军，另两位最老司机鲁能与申花早捧杯过了。本赛季北京中赫国安能保持中超四强就不错了，冠军，命格未圆。中
1560958423# #小米运动小米运动
1586280225# #凤凰新闻分享凤凰新闻：估计伊朗被美国大军吓倒了，调转枪口对准了自己的恩人——中国来自
1663412432# #我理解政府的作为，但是我希望我们过太平自由的生活。
1609637222# #这是谁给我发的，我真的不知道，
1576054080# #《神奇的小伙，用泡面帮人失而复得，企业家现场泪崩求小伙》我和39万人都在看，快来一起围观
1570626477# #我在看：【"莫雷事件，NBA球员开始集体站队表态度"】跟新浪看热点
1549530019# #转过去慢慢欣赏。
1605622853# #《台军一架F-16战机夜航时失踪搜狐网》上搜狐，知天下。
1555463506# #太棒了，我在熊猫守护者养成了一棵新竹子！竹子将种在陕西秦岭地区，保护国宝“滚滚”的家，你也快来加入吧！
1577419163# #不留剩下的是对的，有时候会多那么一点点，吃下多余的部分会难受，建议还是不要吃。“光盘”行动是句口号，口号往往注重形式，尤其是名人喊口号。点餐的时候最好先告知：我吃不了那么多，二两即可。一般商家会注意到客人的要求，简单就好，不要过度解读。
1606873317# #我在熊猫守护者养的小竹子长大啦！马上可以参与守护野生滚滚的自然家园啦~你也快来加入熊猫守护者，一起保护国宝“滚滚”的家吧！
1551812213# #膝盖肘关节，全力顶到美国大个的关键部位，惨叫声令人不寒而栗。
1561518407# #韵味很浓！赞
1574538937# #我在看：【当特朗普让苹果试水5G的时候却被华为工程师无情打脸】跟新浪看热点
1557349287# #一切都在我的设计之内，热刺在极其不利的情况下实施大逆转。谁与争锋？万达大都会竞技场六月二日凌晨三点不见不散。
1592501592# #说的不错，可能很少有人在乎你的脸色和心情。既然如此，那就应该活得现实些。不放过任何有可能成功的机遇，成功一次就能华丽转身。
1566343194# #快乐无所不在，快乐无处不有，只要你去挖掘、去寻找、去探索，你终究会发现它，得到它。我在成长中寻觅快乐，在快乐中茁壮成长！
1551307158# #《丈夫花120万买的破佛，老婆偷偷带来鉴宝，上场一打开震撼全场》好看视频-分享美好，看见世界
1552405062# #溜水产品比较有安全感。
1547480971# #互粉过了，就像名花有主，不能第二次再粉了哈哈
1570901423# #太棒了，我在熊猫守护者认领了一块保护地，将在四川省平武县金丰村帮助守护一平米的野生滚滚栖息地，你也快来加入吧！
1568068169# #凤凰新闻分享凤凰新闻：赵洪顺浸淫烟草业30年非法收受财物“数额特别巨大”被公诉来自
1547804132# #干掉蔡英文？国民党大佬一句话韩国瑜高兴坏了(分享自
1573569664# #分享图片
1556392113# #差不多只及我的七成，没办法，男女毕竟有别，当然，女红活儿一定是你强赞
1547917798# #《吉林省政协原副主席王尔智被双开通过亲属大肆敛财》中新网1月19日电据中央纪委国家监委网站消息，日前，经中共中央批准，中央纪委国家监委对吉林省政协原...
1604798434# #红土王输给了红土？猫腻！
1561345544# #《牛人设计捕鼠神器太巧妙，让老鼠挤破脑袋往里钻，老鼠得有多绝望》我和4.6万人都在看，快来一起围观
1605599022# #青山烟雨客，似是故人来。华为主题臻选字体Vol.070青山烟雨客
1582387251# #来看看工会主席，有什么福利可领？
1551635998# #懂球帝中超首轮上座人数：恒大主场4万7居首，场均人数破3万本周末，新赛季的中超联赛重燃战火，球迷们终于可以再次走进球场为心爱的球队呐喊助威。据本轮联赛的上座人数数据统计，全部8场...
1551718496# #《男子在海滩上发现一个庞然大物，仔细一看令人心痛不已！》男子在海滩上发现一个庞然大物，仔细一看令人心痛不已！
1562293600# #无语
1551730311# #烂衣属异虫，不走长路。
1613993905# #南风来了，暖风还远吗？鲜花鲜花鲜花🙏🙏🙏心心心
1567337677# #《老鼠也玩上机关，这设计太巧妙了》我和737人都在看，快来一起围观
1552304803# #岁月静好，心身安康才有岁月静好。
1564171266# #《洪水过后，洞庭湖周边惊现神秘生物，专家：上古神兽》我和26万人都在看，快来一起围观
1571585423# #快来森林驿站，招待滚滚的小伙伴！和熊猫守护者一起刷微博，攒能量，收获爱心，守护更多野生动物吧！『雄鹰98286的森林驿站』
1607132540# #赚钱养家不容易！
1548815833# #庆桐老师早安！
1580824128# #是的赞赞赞🙏🙏🙏
1548708827# #《有赞CEO解释“996工作制/鼓励离婚”:这绝对是好事》来源：金融界网站近日杭州电商公司有赞在公司年会宣布未来执行996工作制，令一些员工感到不满，有赞高管...
1564676678# #这个党早在1931年初就解散了，柯文哲不太可能拉起这面破旗帜借壳上市吧？说不清楚，台湾的乱象大陆肯定有推脱不了的政治责任。
1567709605# #虽然是客场，西班牙同样占有优势。罗马尼亚只能与瑞典争夺小组第二。
1570014812# #狗急了跳墙，特朗普不会跳墙，他会选择跳楼，跳特朗普大厦。结冤家太多，连本党的许多同志都反水了，看来特朗普这回很难逃脱牢狱之灾。就一项叛国罪，就够特朗普把牢底坐穿。通俄门、偷税漏税、组织卖淫嫖娼。。。一大摞呢，到时候墙倒众人推。考虑过吗？特朗普入狱后必然遭受牢头狱霸的凌辱，咋办啊？
1581048880# #38岁的守门员还能瞎挣扎几天，38岁的前锋不是等着进养老院就是等着进疯人院，伊布岂能例外？。至从贝卢斯科尼这位老浑蛋将AC米兰脱手转卖给举债玩火的李鸿勇，谁都知道AC米兰玩(完)蛋了！举债的对象是美国某对冲基金公司，等于是勇哥借了高利贷中的高利贷，届时不能连本带息还钱的话俱乐部自然成为债权
1549121646# #众议长立场坚定不给修墙费特朗普：有一天她会来求我(分享自
1552567828# #《台湾名嘴黄光芹大骂周玉蔻政治变色龙　被判免赔新闻频道福州新闻网》周玉蔻。（图片来源：台湾《联合报》）中国台湾网6月13日讯据台湾《联合报》报道，台湾名嘴黄光芹前年上电视批评媒体人周玉蔻“政治变色龙”、“做假新闻”，周玉蔻愤而求偿。台北地院去年判黄光芹应赔周玉蔻40
1573262531# #保险业务员一点也不保险，当上帝比当美国总统要保险，至少恐怖分子不会要你的命！请把自己归置在上帝这一环。保险业务员是一种相对低微的行业，基本靠拉客户买保险为对象。贬低自己抑或是为了自嘲，但是懂得自嘲的人很难与卖保险的挂上钩。勉勤工作诚信推销保险产品是本分，让保险构架与幽默小丑划等号
1581823357# #对可能造成公共安全的行为，应该采取必要的措施予以制止。非常时期，遵纪守法是每一个公民应尽的义务，如果有意触犯公共安全底线，治安司法必须介入。该拘留的拘留，无论五天、十天，即刻执行！
1580046318# #早就传遍千家万户。母亲太过强势，这让我想起了慈禧，为了自己的私利，慈禧连自己的儿子都敢杀。这位母亲的恶质不亚于慈禧，过程可能比慈禧更坏。
1559656179# #日本人怀疑人生没错，因为不在少数的日本人怀疑自己的生父是谁？包括安倍晋三。这绝对不是空穴来风，日本人的不伦之乐很普遍。父与女，母与子，兄妹恋姐弟情不胜枚举。所以说日本人怀疑人生是有前提的，大和就是个畜生民族。跟新浪看热点
1547287395# #【预告丨五集电视专题片《红色通缉》第三集《出击》今晚将在央视综合频道播出】（来自
1566347085# #我没有过一个人住宾馆，告诉你，我胆特小。一个人没出过差，一个人不在外过夜。回家就好，真的。
1561661218# #《想要对付老鼠？用这个捕鼠器，分分钟让老鼠崩溃！》我和6812人都在看，快来一起围观
1559252859# #转发微博
1587832538# #《男子被关进看守所，两月后无罪释放，被害人竟也活着出现了》此视频已有16万次播放，快来一起看看！
1560114859# #《特朗普纵横江湖的握手神功，就这样被他彻底终结了！》我和7.6万人都在看，快来一起围观
1569255093# #《专家亲自扮演驱魔人，最后在人们面前揭穿真相，让大家免受欺骗》我和50人都在看，快来一起围观
1587863682# #凤凰新闻分享凤凰新闻：美国疫情实时动态：新增28898例，累计确诊933933例来自
1564774032# #《恶棍当街踢死老太太，群众没人敢拦，谁料下秒高手出现，恶棍惨了》我和4.6万人都在看，快来一起围观
1565357655# #转发微博
1551589412# #我正在用搜狐新闻看独家新闻,感觉不错推荐您使用。免费下载:
1567816161# #多事之秋！
1575989748# #还别人自由同样是还自己自由。
1569230762# #古人有言：“春茶苦，夏茶涩，要好喝，秋白露。”由于秋天气候比较干燥，使得茶叶在成长、采摘和制作的过程中能够最大程度地保持茶叶的香气。
1558604418# #我选字母哥的因素有很多，明显的几点主要集中在人品及球品。一个以打教练炒教练闻名天下的球星，没血性的泰伦卢几次被詹姆斯猛殴并不得还手；骑士被詹姆斯玩弄于胯下，布拉特被炒…球技再出色也是枉然，何况现在的詹姆斯已经走下坡路，我选字母哥是基于字母哥的球技也并非比詹姆斯差，我觉得更好。
1580373235# #最不道德的是cl，提上裤子就不认账。跟新浪看热点
1549746845# #胸无大志！
1548901578# #官媒虽不是官方，它只代表某种声音。但是这种声已经说明华为产品有潜力、有市场，并在不远的将来彻底打破垄断，建立起华为王国，贡献全世界。
1568219487# #《民间高人自制捕鼠器，这发明简直可以申请专利了，对付老鼠真实用》我和1.1万人都在看，快来一起围观。。快装不下了泪泪泪
1573109241# #凤凰新闻分享凤凰新闻：联合国总部落址西安？普京发出最后警告，斯大林愿望或成真-战军2017来自
1606389264# #凤凰新闻分享凤凰新闻：美国疫情实时动态：新增180903例，累计确诊13137962例来自
1607593723# #小白就是小白痴！今天刚学的。
1548526476# #《越南就中国南海问题再发言我外交部：中国拥有主权无可争辩！》好看视频-分享美好，看见世界
1549818574# #太棒了，我在熊猫守护者养成了一棵新竹子！竹子将种在陕西秦岭地区，保护国宝“滚滚”的家，你也快来加入吧！
1549972838# #烦死了，娱乐圈龌龊到外婆家了。
1562294122# #用美形容太抽象，没有质感。美是灵动的，虽然画面被迫静止，但是能感觉静中有动，动静互维。
1592053250# #我在看：【北京六大批发市场关闭：餐厅客流减少一半，大家忙着抢菜】跟新浪看热点
1551137496# #区别在于仰卧还是俯卧哈哈
1583152858# #分享图片
1565941894# #《印度别想超过中国：印度GDP超10万亿美元，富士康却遭遇三大难题》2018年印度的购买力也是十分的惊人，据数据显示：在购买力平价标准下的印度GDP接近10.5万亿美元，高居全球第三位。
1564584718# #晚上好！明天会更好鲜花鲜花鲜花🙏🙏🙏
1555113796# #转发微博
1558490029# #打女人的男人最没出息，“女人是用来呵护与宠爱的……”。
1565189727# #世界本身不完美，要知道缺憾也是一种美。缺了胳膊的维纳斯美麽？凡事不能求全责备，安然以待！
1563719242# #因为是北京国安，一条无冕之王，拿不到冠军正常，拿冠军才反常呢。
1572054341# #一个人吃早餐！
1560648063# #大嘴巴子互赠，啪啪啪的，谁拍摄的，恐怕还有个第四者在旁观呢。
1571501261# #整个美国处于一种不可思议的盲态状况，自己国家搞成一团糟，还有闲心管别人家的事。
1555035356# #《8首长安古诗，让我们一同领略千年古都！》我在长安思念漫游江浙的李白，遥望南天，只见天边飘浮的彩云；李白在江浙思念居住长安的我，翘首北望，也只见远处春天里的绿树。
1555862290# #小米运动小米运动
1565837519# #元青花？比照现在的青花瓷起码差十倍，无论是胎体、工艺还是色彩。收藏是份心情，花几十块上百块买个现代青花大罐真的不错。我认为我的青花瓷大罐比《鬼谷子下山》漂亮多了。还有一点很重要，收藏靠缘分，不属于你的最终都会离开你。
1552170500# #詹姆斯甩手不干了，而湖人为詹姆斯规划的球队建设怎么办？
1559158785# #《北大教授痛批岳云鹏相声》海量精彩高清影视剧综，看你所想，尽在爱奇艺视频小程序。
1552767053# #吕布，就一三姓家奴；凭武力，也就一介武夫。方天画戟也好，赤免战骑也罢，时势可以造英雄，英雄也可以造时势，吕布最多算是棋盘中的一枚棋子，他永远成不了棋手。
1562589586# #小米运动小米运动
1570600972# #刷牙去！
1549745139# #这丫的，没刷牙我怎么亲啊？！
1572115604# #神灯带领青年近卫军在摩亚球场痛饮红酒(伯恩利的别称红酒)。美国小兵普利希奇高带帽子演绎戏法，同时也是蓝军切尔西最年轻的球员完成独进三球。。明天凌晨红军利物浦将在安菲尔德星空下高歌《你永远不会独行》，对手是欧冠决赛的老朋友托特拉姆热刺。白百合虽然近况不佳，但是瘦死的骆驼比马大，遇强更
1557863145# #『我的昨日数据报告』
1567630154# #真爱是没有回头路的，但是真爱往往不完美。能说清的是爱，说不清的永远是缘。缘分比真爱重要，万般皆是命，半点不由人！跟新浪看热点
1578454135# #我在熊猫守护者养的小竹子长大啦！马上可以参与守护野生滚滚的自然家园啦~你也快来加入熊猫守护者，一起保护国宝“滚滚”的家吧！
1550887030# #小日本梦里都想刷存在感，前提是必须跟着美国佬的屁颠接跟屁虫。世界上最欺软怕硬的国家就数日本，而反骨最深的国家也非日本莫属。
1555858314# #平平淡淡过一生比什么都好。成功不必在我，我无须吃苦受累。名人名言是说给别人听的，就像我对别人说教，那是说一套，背后自然做另一套。
1564657811# #肉不够，坑子凑。好端端的牛腩，被俩混球糟践了？
1554742594# #转发微博
1585315156# #美在于发现，而不是被发现。
1570879161# #《压倒无锡跨桥的最后一辆卡车，是如何上路的？丨纵相评论》本文中提出的这些问题，其实没有一个难于回答，但到现在，公众仍未等到一个交代。
1569907941# #郭台铭初选时说过一句话，你们(台湾人)是向中国人要饭吃，中国人是向我讨饭吃。我们的政府连句pi话都没有回应，没回应并不说明我们不还击，这不，华为还击了：鸿海的代工至少被抢三成。郭台铭太猖狂，初选被韩国瑜一棍打闷，现在正报复中！跟新浪看热点
1568124393# #傻子自制熏鼠神器，老鼠没熏着，却把自己熏了个狼狈。既然熏鼠神器不神奇，那就别传上视频了，尴尬不？
1560884285# #鲁能小输即赢，恒大将在鲁能主场失去本赛季的亚冠晋级资格。鲁能加油的口号不用喊，干掉恒大势在必然。
1550345619# #好在我没去，去了也白扯。。。哈哈
1597022826# #调戏大郎，一定是妒忌潘金莲家的烧饼店的大门不够敞亮。因为门口的金字招牌上写道“武大郎开店，比我高的别进来！”于是才有了小视频中的情节。西门好色，而大郎猥亵。君子好色不淫，故我为西门抱屈。金瓶梅带有明显杜撰的偏执，好在多是市井之徒的写实。个人成见，不遑多让。
1577432488# #《毛骨悚然！带你回顾重庆红衣男孩死亡事件索命还是救赎？》我和14万人都在看，快来一起围观
1548957758# #太棒了，我在熊猫守护者养成了一棵新竹子！竹子将种在陕西秦岭地区，保护国宝“滚滚”的家，你也快来加入吧！
1552311558# #台媒：韩国瑜“独一无二”民进党完了(分享自
1550091754# #《女生憋尿是一种什么感受？妹子们还真是脑洞大开，太直接了！》好看视频-分享美好，看见世界
1548816558# #心虚是一个，病急乱投医是第二个，还有第三第四个，凡事种种，该面对的早晚要面对。当两位拳手都无法击倒对手的结果，裁判的判决已经不重要，因为统治拳坛的总是年轻的后一位。
1560895712# #我在看：【不顾美国政府脸色，公开向全世界认错，面对惨重损失别无选选择！】跟新浪看热点
1559227091# #大雪无痕，划出一道景致来分外妖娆。哈哈
1579697731# #特朗普虽是搞笑大师，不过这老头敢作敢为，什么样的女人都敢上，除了蔡英文老女人，特朗普认为蔡英文太难看，要鼻子没鼻子，要屁股没屁股，要胸没胸，要文化没文化。跟新浪看热点
1556049444# #上篮郭士强昔日讲述让大侄子受委屈，郭艾伦：刚开始理解不了郭士强昔日讲述让大侄子受委屈，郭艾伦：刚开始理解不了
1575904497# #赞赞赞
1565534116# #我在看：【想要击败蔡英文韩国瑜需要一个怎样的副手？】跟新浪看热点
1559226053# #阿里可以与美国一样，用意识形态拒绝与孙正义的合作。
1571444858# #平秀琳走了，对《新闻深喉咙》的影响意外不大。沈富雄自作聪明，自以为以台湾第一聪明才智之居可以让节目雌雄大震。个人以为平秀琳不该走，即使要离开中天也不该去东森，听自作聪明的沈富雄是个错误。台湾是个跟不上民主节奏的假民主社会，却十分适合政论节目的个人意志：台上炮火连天，台下沆瀣一气。
1556719068# #上篮美记：勇士向联盟申请撤销格林G2的技术犯规美记：勇士向联盟申请撤销格林G2的技术犯规
1554041972# #《什么叫殖利率》来自百度知道
1565354321# #转过来慢慢理会。
1594231970# #大自然的箴言是和睦相处，只有人类做不到，因为人类是毁灭大自然的罪魁祸首。
1552123158# #韩国瑜台南帮谢龙介补选造势。。。人山人海，韩流袭击绿军铁票仓。
1578576974# #分享图片
1555562061# #被禁言了！
1654993220# #上海6月11日新增本土确诊病例10例和无症状感染者19例快手
1550124490# #转发微博
1574041075# #凤凰新闻分享凤凰新闻：陈云生了一场病，娶到18岁女学生，新婚夜干一事轰动延安来自
1558587612# #转发微博
1559078962# #上篮美记：某湖人教练抱怨去年引援不力，签的都是没用的人美记：某湖人教练抱怨去年引援不力，签的都是没用的人
1553860616# #搞了个鸟语频道（广东体育）看中超，听不真切。现在哪儿有免费午餐？没有啦。收费可以，我选单场付费，有些比赛重叠了，再说也不是每场比赛都值得看。我是英超年费，西甲、德甲单场（12元），考量比较划得来。中超收费，不看也罢。
1559403724# #说菲律宾作出断交举措是“不得已的下策”，小编脑子塞满屎了，明显的用词不当。跟新浪看热点
1555215115# #流浪，流浪！
1569097744# #蔡英文印证了一句话：一句谎话可能要用一百句谎话来圆。没人在乎你的牛逼就不成立是牛逼，因为牛逼跟你都微不足道。凡事种种都证明你在吹牛，那就证明你的牛逼有价值：总统级牛逼。现在kmt与dpp在作殊死搏斗，真假文凭对竞选连任的蔡英文太重要了。假作真时真亦假，蔡英文若不动用国家机器作祟必死无疑
1565162374# #600吨黄金存放美国，难道怕中国人偷盗？买大量美债，成为美国最大债权人，美国人却不待见。什么叫自讨没趣？现在既然觉醒了，千万不能再装睡了。跟新浪看热点
1550022953# #胡说八道，阿联酋是个既自由浪漫又固守传统理念的国度。只要你遵守必要的公序良俗，生活十分惬意。很多中国美女嫁给迪拜土豪，都说受不了！这是为什么？
1561232944# #屋漏偏逢连夜雨，美帝国主义在中东的威信一跌再跌。说谎的孩子一辈子都被人质疑诚实，哪怕是说真话。美国被特朗普伤得不轻，很难再爬上神坛了。跟新浪看热点
1548190856# #《梁知·人情观察室：大叔高铁上大声接电话吹牛，被女孩怼得脸通红》好看视频-分享美好，看见世界
1548918063# #《中美经贸磋商进行中，现场很不寻常！》人物：这边是刘鹤副总理领衔，那边是美国贸易代表莱特希泽、财政部长姆努钦等参与。
1550334896# #MIUI天气杨浦区今天8°/2°，多云，空气优
1559590214# #花99块买了个驱蚊神器，孕妇都能用。苍蝇蚊子蟑螂老鼠全它妈跑光光。
1550589438# #比毒舌还恶毒的不难不女，它有什么资格在大师面前显得自己“与众不同”？
1559810359# #没有那么多感慨，虽然传说很迷，不过还是点了赞。
1555505018# #搜狐新闻:【她一脱成名，拒当总统夫人，美得近乎下流却单身40年：“没人配得上我。”】
1559431890# #《兄弟家的白牙黄蛐蛐，这一口大牙，看起来未免也太霸气了吧》兄弟家的白牙黄蛐蛐，这一口大牙，看起来未免也太霸气了吧
1550273470# #转发微博
1560379668# #大多数人会做的事，可能我不会去做。不是我与众不同，而是在利益面前我首先会考量原则与人品。
1549134272# #东窗期是别人的事，跟你AC米兰没半毛钱关系。借来7000万欧元，应该还债和兑现球员工资，怎么就用来买坑货球员呢？看来李勇鸿又在作死了。
1572604714# #分享图片
1561949671# #我分享了【中国发现新油田！石油底气终于足了，连中东都羡慕】，快来看吧|
1558360527# #《蔡英文羞辱马英九国民党罕见动怒民进党当局无能只会搞东厂》我和1.1万人都在看，快来一起围观
1550651354# #鬼不鬼的其实不重要，只要为人不做亏心事，半夜敲门必有求。我信灵异，因为灵异事件中必有需要活人解释的诡异。
1559920339# #天天听胡侃！
1559630641# #跟它玩命，它(美国佬)不怕吗？
1552979327# #我分享了【美国物种在中国泛滥成灾，专家都摇头表示无能为力，挖掘机都上了腾讯网】,快来看吧！|
1553097541# #我在看：战争中巧合无数，求救盟友，结果过来直接把自己给灭了跟新浪看热点(下载客户端:)
1551809410# #勒夫在国家队的日子已经倒计时，他除了挖鼻屎和吃鼻屎，还有的就是恶心别人再恶心自己了。
1559793239# #我分享了【大妈踩人后态度嚣张,叫嚣谩骂:你动我试试男子抡起来几个耳光…】,快来看吧！|
1562319098# #墨水不能喝的，口渴了喝凉白开，要不沏杯茶哈哈
1547857005# #MIUI天气杨浦区今天13°/5°，晴，空气良
1566780181# #太多了，懒得关心。
1553618795# #快来森林驿站，招待滚滚的小伙伴！和熊猫守护者一起刷微博，攒能量，收获爱心，守护更多野生动物吧！.『森林驿站』
1554850598# #可怕！
1553350818# #那是因为心中的喜悦装不下，从嘴边溢了出来哈哈
1562549616# #《怪物连中7枪都不死？怪物身体扭曲，不断发出惨叫声！》我和1.6万人都在看，快来一起围观。吸血怪物？
1550778197# #转发微博
1556277622# #小米运动小米运动
1550282154# #我们叫“地梨”！
1551570624# #懂球帝7+24，上港发布海报祝贺武磊收获西甲首球武磊取得西甲首球之后，老东家上海上港也为他送上了祝福。上港官微写道：“【7+24“创业者”的代码】在昨晚进行的西甲联赛...
1587513309# #大自然的每一个领域都是美妙绝伦的。——亚里士多德
1576814370# #支持赞
1563193656# #小米运动小米运动
1549991007# #你看不惯别人别人更看不惯你。什么秀，就是蹭名人的热度。你可以改变生殖器，你还能改变什么？
1566346165# #中看不中用。跟新浪看热点
1566126139# #又是宝马，我家保姆用宝马。也就是说保姆才配宝马。跟新浪看热点
1562673290# #《男子做了这样捕鼠器，真是太厉害了，来者直接秒杀》我和8003人都在看，快来一起围观。。什么视频啊？五分多钟的视频，五分多钟在制造设备，连根鼠毛也没看见，简直莫名其妙。
1576490148# #慈禧创造了中国历史一段最没落、最无能、最宫廷恶斗的时光。难怪这老货被盗墓者奸尸，真是罪有应得！
1570013701# #懂球帝法布里西奥世界波破门，恒大0-1落后比赛第19分钟，法布里西奥接到传球后世界波破门，恒大在客场0-1落后。
1572784713# #给自己点赞！赞赞赞
1552312199# #将近13公里，厉害了我的爷！
1605751558# #特朗普做梦想屁吃！跟新浪看热点
1571149758# #转发微博
1550105068# #『熊猫守护者』
1547647077# #分享图片
