1693979411# #被一个美吹的逻辑震惊了！。都讨饭了，还在鼓吹制度优越？？？。。不负责任转发
1694265675# #这届学生是懂教师节送祝词的这个话题下面都很暖啊，我也算是个老师，教过几个学生，收到的礼物也很多，其实我佩服当老师的人的耐心，今天看咪蛋上网课时老师那个耐心啊，我真的是做不到，祝老师们安康。鲜花鲜花鲜花鲜花鲜花鲜花
1698333142# #中俄VS以色列，吵架了，我去看了下吵了啥，全部英文机翻：。在联合国安理会会议上，俄罗斯、中国和“以色列”大使之间进行了激烈的交锋：。●以色列驻联合国大使吉拉德·埃尔丹在安理会发言：“如果恐怖分子队伍被消灭，莫斯科将如何反应？”莫斯科的整个街区？如果恐怖分子砍掉你婴儿的头，北京会如何
1688225655# #这是LodewijckGrouwels唯一已知的乐器，他是一位新教制造商，于1593年离开天主教的安特卫普，搬到了加尔文教据点米德尔堡。该乐器有时被称为“母子维金纳琴”，因为有一个主维金纳琴（母亲）和第二个较小的可移动八度维金纳琴（孩子）。小键盘是著名羽管键琴制造商阿诺德·多尔梅奇(ArnoldDolm
1692525079# #哎呀呀呀，没办法，太爱它了！！！
1701362892# #X上民众全都在对比两边交换人质的镜头，谁是恶魔，一目了然。。。巴以冲突
1697833658# #这个小可爱还包着尿不湿呢，在断水断粮的人间地狱活着太不容易了泪泪
1697176326# #美国准备撤侨扣了人家钱还搞出这么多花样，真是地球毒瘤，成天欺负各个国家，自己国家天天零元购，满街行尸走肉。二哈
1702537737# #关于落后的法国的一些糟心事：比如地铁票。巴黎的地铁票分小巴黎和大巴黎，大巴黎还有好几个区，票价都不同，地铁里查票人员经常就利用外地游客搞不清楚，来罚款，喜欢躲在跨区的这个站抓票子有问题的。。。我的闺蜜她家住在两个区交界处，有一天坐过站了，想到对面坐回去，就被抓到了，说她票子跨区了要
1701638194# #这就是生活，潜台词，suckit！哈哈哈哈你得自己承受，别唧唧歪歪的。
1703612418# #发布了头条文章：《油画中的时尚——今天忙，看点养眼的细节图》。。魔女屋lyl油画
1694671168# #上海一幼儿园多名幼童疑遭虐待这种事情一定要严查，居然还是大上海发生的，不应该啊！怒怒怒
1688548018# #我有好多喜欢买买买的闺蜜，衣服多到家里塞不下，匀给我一些，结果气质这一块和我天差地别，闺蜜是妥妥小仙女范儿。笑cry笑cry笑cry自拍照骗米小嘟
1695900709# #问题在于，谁也没想到灯塔国高铁不是封闭式的。。。。。。这怎么洗地？。。不负责任转发
1698224284# #我发现我好久没关心俄乌战场了，最近好像乌克兰投降不少。。当然，乌粉还在意淫什么季反攻。。。不负责任转发
1692085491# #这个厉害了，视频直播里，右边这个人一直在笑，一边谈论着被烧毁的夏威夷毛伊岛。。机翻原推：。当毛伊岛被烧毁时，夏威夷参议员布莱恩·沙茨甚至无法掩饰他的傻笑他看到了民主党的巨额捐助者（奥普拉、扎克伯格和其他亿万富翁）的美元迹象，他们将从夏威夷本地人手中夺取土地并窃取。。。与此同时，马斯克
1701708108# #图4手动翻译一下：你知道什么东西也在加沙死去了？西方传说中的人性和民主！。。巴以冲突不负责任转发
1689792544# #很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1692722140# #现在还有人不知道美国加拿大的医疗保险是要自己每个月买的吗？。。不负责任转发
1690100630# #继续我的线描变身科技战甲的AI绘画之旅。。。。。。。。LD原创艺术
1696709776# #有意思的事，伦敦要举行支持巴勒斯坦的游行。。。不负责任转发
1692641556# #天哪，哈哈哈！允悲
1696875642# #刚有个人来给我留言说以色列很文明，他知道以色列每一次的报复都是死一个以色列人要死十个巴勒斯坦人这样的报复法？
1688223860# #哈哈哈哈，蚌埠住了
1697532725# #看来鬼子都一样，以鬼子是当代人类的耻辱。
1688204814# #原来我看到的不是里昂，是马赛，法国每年国庆日，7月14日，马赛都是万人空巷去看烟花的，今年会不会就不搞了。
1690384185# #1840年的蜡烛盖子，还是第一次见。。。不负责任转发
1698414492# #魔女屋LYL超话艺术家：德里克·维拉斯克斯(DerrickVelasquez)的木雕上洒满了彩色乙烯基细条。。。乙烯基细条优雅地堆叠在简陋的木质形状上，在德里克·维拉斯奎兹(DerrickVelasquez)的雕塑中创造出万花筒般的平面。。。魔女屋lyl
1701954714# #下周回国，闺蜜们给我践行，吃火锅喝白葡萄酒。感恩遇到这么多好朋友。。水深火热的巴黎
1695383353# #好有喜感
1697133871# #所以，西方有言论自由吗？。一个青年因为披着巴勒斯坦国旗上街而被捕，这是在英国的曼彻斯特。。。巴以大规模冲突进入第五天不负责任转发
1699525849# #起床了，不能再晕在床上。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1693291212# #这是什么？？？？我孤陋寡闻了！。说是这种被斩断的手型巧克力在欧洲还有售，这种巧克力的背景是黑奴们被斩下的手！。吃惊吃惊吃惊吃惊。。在比利时殖民时期，刚果人民因为没有达到橡胶配额而遭受可怕的惩罚——他们的手被砍掉。显然，比利时人仍然为这个“传统”感到自豪，因为巧克力手今天仍然在
1696237636# #蛤？？纽约市长、议员、警察局长，在华人社区唱中国国歌、升五星红旗，庆祝中国国庆日。。政客为了华人区的选票也是很拼的😅。市长艾瑞克·亚当斯领唱😂，唱的怪好听的，抑扬顿挫还会颤音。。。不负责任转发国庆节快乐
1698752052# #女医生水杯遭投多聚甲醛及尿液这是什么宵小之徒？还是男人投毒？太瞧不上了，有啥不爽正面不敢刚吗？衰衰衰
1694023461# #很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1702753307# #发布了头条文章：《超美丽的壁纸来一些和大家分享》。。魔女屋lyl高清壁纸
1694062939# #美国网友对“美国政府想知道中国的7纳米芯片是怎么在制裁下生产出来的”的回答——华盛顿政界人士是否也曾想过，这一突破可能归功于中国工程师和科学家的辛勤工作，而美国的制裁却让他们受到了更大的压力……。。不负责任转发
1693991587# #发布了头条文章：《关于俄耳甫斯和里拉琴的古希腊神话》
1687581009# #一早起来就看到瓦格纳领导人叛变，其实，西媒一直炒作的普京好战，他们不知道真正的俄罗斯好战派上台会怎样。。。不负责任转发
1698628590# #更新了一集，睡觉💤。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1698182648# #有几张我以前没看过
1700048616# #好了，两图对比，这世界什么时候才会好！。。巴以冲突不负责任转发
1691058738# #呀，蜘蛛网原来还有这么多花样！。。魔女屋lyl自然科学
1689702995# #这是我的“火人节”装置，哈哈哈哈！。。AI绘画LD原创艺术
1695803911# #昨天用AI主播试了一下，做了两个动物科普。。动物百科魔女屋lyl
1698394803# #我就呵呵呵了，最好笑是乌粉经常来说，你听信了俄罗斯的虚假宣传，在哪里？俄罗斯的艺术家和手工艺人都被Instagram和etsy封杀了好伐哼。西媒这种堵别人嘴，自诩言论自由的谎言今年是被戳穿了。
1696172315# #想练英语的来。。魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1701510298# #原来是这位玛雅拒绝见内塔尼亚胡，她是一个舞蹈家。。巴以冲突
1696963645# #外国网友们都在百思不得其解，一个纳粹德国犯下的屠杀犹太人的罪行，怎么变成了犹太人屠杀巴勒斯坦人的正当理由了？。而且，犹太人被从欧洲驱逐了不正是称了欧洲纳粹们的愿？。总之最倒霉的就是巴勒斯坦人，即没有参与迫害犹太人，又自己快被种族灭绝了。。居然，还有一个在中国安置犹太人的计划？？有人
1699968459# #正在外面吃饭，微信突然登不上了，一直说登陆失败，错误5-13，更新了系统也还是不行，咋回事啊？晕晕晕晕
1695234626# #竟有此事？？
1693472465# #反正，现在日本的所谓“匠人精神”神话破灭了，搞出来这么大一个福岛丑闻祸害人类怒，仔细查查，还有更多跌破眼镜的。
1699487990# #今天是记者节，却是历上最黑暗的记者之殇。在加沙，已有48名记者被以军杀死。过去30年，任何一场战争，都没有这么多战地记者牺牲。。。巴以冲突不负责任转发
1694854094# #治愈系小咪蛋超话今天带着咪蛋去找闺蜜玩一下午，说好的水深火热的巴黎来了，刚去买车票，因为买十张票可以便宜很多，但是法国银行卡里没钱了，要放进去钱至少要花半小时时间所以就去超市买瓶两欧元的饮料破开钱，拿着一口袋硬币（33欧），准备投币时又发现这个数额的硬币不收，那你说为什么不
1701015373# #胡塞武装已经劫持了第三艘以色列货轮了，然后又要在船上面跳舞了，，，，允悲。。巴以冲突不负责任转发
1697463275# #今天八了希律之后，就突然意识到全世界使用的纪年法都是从耶稣诞生来算的，所以查了一下是谁决定了这件事？。原来是一个基督教神父干的，而且，希律死的时候耶稣已经好几岁了。。然后，又查了中国和民国纪元。。突然觉得，人类历史并不长啊，就这么三千年？？。。不负责任转发
1701696330# #发布了头条文章：《十八世纪葡萄牙珠宝首饰欣赏》。。魔女屋lyl珠宝首饰设计
1694152159# #我终于在微信群看到有人提U型锁，说这种话的人都是反贼吧！哈哈哈哈哈！
1687521250# #发布了头条文章：《共产主义图纹设计——苏维埃时代的面料欣赏》。。魔女屋lyl图纹
1698138480# #治愈系小咪蛋超话蛋总想要那些丑萌的动物胸针，我叫她画在毛毡片上我来给她做，昨晚她画了好多。。带娃日常萌娃萌画
1687188106# #一些搞笑的复活节关于蛋的图片。。。不负责任转发
1698175148# #2023年，全球发达国家，里面有多少侵略者？。。不负责任转发
1695119147# #任正非回应自己是果粉苹果是所有智能手机鼻祖，向乔布斯学习不是很正常？但是要考虑的是，为什么后来大家都弃苹果用华为了，不是啥爱国情怀，纯粹就是性价比的问题。哈哈哈哈
1687878091# #看点新闻，今天又忙了一整天！。马斯克你也太不政治正确了！！！图1他说：这些人正向你们的孩子们伸出魔爪！这些人都该扔进监狱！。。不负责任转发
1692858229# #蛤？？倒流？？呵呵了
1701173924# #哈？沙县小吃和哈士奇也躺枪了？。。巴以冲突不负责任转发
1698507969# #我也很好奇哈，那些自动过滤的评论，到底说了啥？来骂的鱿鱼们，辛苦打字了晕晕晕
1698576595# #呵呵呵呵，不这么着急赶人，我都还想不起来26次！
1690613561# #发布了头条文章：《为英国宫廷肖像带来革新的MarcusGheeraertstheYounger》。。魔女屋lyl绘画艺术
1697878156# #在苏格兰有一座18世纪的房子，顶上有一个巨大的菠萝。现在看来可能很奇怪，但250年前这种事情很正常——人们曾经用菠萝来装饰从体育奖杯到大教堂的一切......。。因为菠萝属于珍奇水果，是热带的，欧洲人觉得稀罕！。。魔女屋lyl
1691491160# #正在看这个，多喝水对肾脏也不好，提醒大家，也提醒自己。
1698836030# #治愈系小咪蛋超话蛋总嫌这个兔子没有五官很丑，自己手动画了五官和衣服。。萌娃养成记萌娃萌画
1697983914# #魔女屋LYL超话Shiro，1984年出生，虽然起初是画家，现在主要以自创的刺绣品牌“nijiirofactory”活跃在各种展览和公众方面。。。他喜欢以五颜六色的颜色来创作让观众兴奋的作品。。。他的小动物们都是拟人化的，穿着五颜六色好玩的衣服，装饰性满满，不知道刺绣一个要花多长时间，他是一个高产的艺术
1694360980# #哈哈哈，今天推上好欢乐啊！。。不负责任转发
1703260036# #哈哈，中国人因为无神论显得格格不入。
1698574406# #看到有把哈马斯比毛主席的，好像有点不妥？。但以色列确确实实是鬼子！！这个无可争议！。。巴勒斯坦中华民族共同体意识
1700296673# #魔女屋LYL超话昨天发了一篇，关于西方70年代流行的媚俗台灯。。不少好玩的设计。。。魔女屋lyl家居美学
1700068324# #发布了头条文章：《当保姆的四十年间她拍摄了十万张照片——美国女摄影师维维安·迈尔》。死后作品才被发现的“你不知道的最棒的街头摄影师”。。秘密花园的邂逅-林笛-冷酷仙境音乐摄影
1694409602# #一早起来就看到这么唏嘘的故事！。记得有个美剧里描绘过日本移民被关在美国的集中营里这段往事，但日本人似乎都不提。。。不负责任转发
1701361467# #刷会儿X，等下要去接娃！。。不负责任转发
1694105920# #还以为是什么世界杯新logo坏笑坏笑坏笑
1694162072# #正在奇怪某人录音声音不对，居然是。。。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1700770204# #真的被虐了几十年存活下来的都算战斗民族了泪
1698658724# #继续卖惨也没用，魔鬼的遮羞布被扒得一干二净，花钱买网红洗地，以色列的网红嘲笑巴勒斯坦人的苦难，足以证明以色列是骨子里的恶，深入骨髓和基因，快点灭亡吧！怒
1688153995# #上半年都在养病没精力做拼贴，今晚有兴趣做一张。。。拼贴魔女蓝ld原创艺术
1694081316# #发布了头条文章：《今天来说说只有粗胳膊的女子才能hold住的——臂钏》。。今天写了好久的这篇。魔女屋lyl珠宝首饰
1693301272# #好像喜马音质比网易云差。。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1701372994# #JeanloupSieff让卢普·西耶夫。1933年出生于巴黎，父母是波兰裔。。当JeanloupSieff收到一台Photax塑料相机作为他14岁生日的生日礼物时，他对摄影的兴趣首次被激发。他回忆起他在波兰冬季度假胜地扎科帕内的假期，当时他拍摄了新认识的女孩，他真正迷上了摄影。。1953年，西耶夫就读于巴黎沃吉拉
1699804450# #百忙之中录个小短文，话说直男真的懂得欣赏眉毛吗？哈哈哈哈哈哈哈哈。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1688195774# #呀，没见过大象睡觉
1693981702# #缅甸佤邦全面整治针对中国公民诈骗行为终于动手了，之前微信里遇到过很多杀猪盘，有一个被我识破了，说了实话，瞒着妻女去赚钱结果被骗，后来等朋友带四十万去赎身，然后就断联了，希望他没事，这些人都是可怜的。悲伤悲伤悲伤
1699219542# #一边听新闻，说以色列gps出很多错，一边看x上有人说铁穹被黑了（击中了以色列的一户住宅）。。然后CIA到特拉维夫，我觉得CIA到哪里就是颠覆哪国政府，之前也说拜登想要内塔尼亚胡感觉下台，这个不听劝的畜生，害得布林肯跑三次也没用。。。八着白宫铁栏杆的美国民众，白宫离得还很远呢！。。巴以冲突
1697021346# #我现在看到这张脸就想吐。。不负责任转发
1695880634# #年轻人应该选择攒钱还是旅游。这问题好奇怪，有什么应该不应该的？想攒钱的人攒钱，想旅游的人旅游呗。憧憬憧憬憧憬
1694253583# #机翻：周四，北约秘书长斯托尔滕贝格在欧盟议会外交事务委员会发表讲话时多次明确承认，普京出于对北约扩张主义的恐惧而做出了入侵乌克兰的决定。。。背景是，普京总统在2021年秋天宣布，实际上送来了一份希望北约签署的条约草案，承诺北约不再东扩。那是他发给我们的。这是不入侵乌克兰的先决条件。
1692899691# #昨天开直播时，就在玩这个图的AI绘画LD原创艺术
1696880407# #原来哈马斯不再是土炮炸弹，这才是“铁穹”失效的原因，今天看了很多新闻都没说出所以然来。。。以色列宣布全面封锁加沙地带不负责任转发
1697637403# #发布了头条文章：《带你认识几个巴勒斯坦的艺术家》。艺术是一个人肉身消亡后，精神和灵魂继续在世间存在的载体，人类文明不是消灭一个个体肉身就能灭绝的，必须要连艺术文化统统灭绝，而现在在互联网时代，每个人都可以获得数码永生的机会，这使得我们的每一次探索和阅读变得非常重要——这是延续人类
1696880698# #以色列宣布全面封锁加沙地带这俩帖子都很有道理，西欧咋不给以色列国土？或者美国，加拿大都有大片土地。。。。。。。。不负责任转发
1698751710# #日本拟将核垃圾掩埋地下到底还有多少核污染的玩意儿？怎么东电不集体切腹自杀？谁再吹捧日本，请他去福岛埋核垃圾哈哈哈哈哈哈哈哈
1697367677# #四分钟前的帖子：伊拉克呼吁启动《阿拉伯防御条约》。。。巴以冲突不负责任转发
1692812030# #看完这些，你还能把联合国当回事吗？。。不负责任转发
1701691165# #超过60,000名反犹太复国主义犹太人聚集在美国，支持SatmarRebbe、RabbiYoelTeitelbaum，他们反对以色列的存在，并与犹太复国主义的邪恶意识形态作斗争。。。这些人虽然穿着打扮很上古，但表现得比拿着一本不属于他们的圣经强占土地的以色列人要强一些。。。巴以冲突
1700648323# #机翻一下，重点在于1比3的牺牲人员比，以色列是否承受得起。。当然，你可以说这都是胡乱推算。。。巴以冲突
1695902685# #吃完饭看个台湾新闻笑死，说美国和印度要修高铁，相当于“请鬼拿药单”。。。嘻嘻嘻嘻嘻嘻。。不负责任转发
1699221444# #X上有人说从未见过铁穹会这样掉下来，失灵也许是黑客入侵导致，击中了居民区。。对了，铁穹一枚造价10万美元。。。以色列部长声称可对加沙投核弹
1694099081# #发现了一位中国年轻人在推特上，因为发了中国的真实情况，被法国人骂“蒙古人”。。。机翻图一：美国政客满嘴谎言。。雷蒙多表示，美国不会向中国出售最强大的半导体计算机芯片，因为“中国希望将其用于军队”。众所周知，军用级芯片比消费级芯片落后很多代，出于安全考虑，中国不太可能在军队中使用美国
1693406394# #今天终于抓了一个男同学来但男主，不再自己扮男的那么尴尬了二哈二哈二哈。魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1695206866# #治愈系小咪蛋超话今天咪蛋想吃京酱肉丝，还要我带着堂姐妹一起去。出发了。。带娃日常
1695643313# #为什么外网民众突然这么关心加拿大了？。因为他们居然为纳粹欢呼？。还是因为他们和印度干上了？。。不负责任转发
1701613786# #发布了头条文章：《油画美人——美女成双，闺蜜还是姐妹？》。。今天找了很多美图。。魔女屋lyl
1698394556# #好时星巴克巧克力产品重金属超标怎么说呢，不要迷信外国名牌巧克力，之前法国那个费列罗巧克力都大肠杆菌超标。。。
1691494314# #昨晚选了这张当封面，开始把我的做的奇怪的梦都丢上去了！哈哈。。米小嘟
1696760309# #今日的手动英翻中练习：以色列，你占据我的土地，摧毁我的家园，杀害我的无辜的妈妈和妹妹，把剩下的我们置于无形的监狱中，让我们忍受饥饿，但，我居然是恐怖分子？因为我要反击？。。巴勒斯坦总统说人民有权自卫不负责任转发
1699095389# #开始动手改悬疑小说嘻嘻。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1692899607# #本想写成歌的，但觉得还不够，就读一遍吧。。魔女蓝。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1691579353# #小红书上看到这只猫咪太像himo了可怜可怜可怜
1687711052# #好了，再看一波推上新闻，准备干点别的。。。不负责任转发
1701015916# #不行了，我笑死了，韩国真的送泡菜给查尔斯吗？？。哈哈哈哈哈哈。。不负责任转发
1701362982# #美国继续一条道走到黑，世界也知道：犹太复国主义对所有“非犹太人”一视同仁，都是要消灭的对象。。所以，说中文的这些鱿鱼们，要不要现在就去加入犹太教啊？？？？？。希伯来语赶紧学起来。。。巴以冲突
1697454446# #中方向巴方提供紧急人道主义援助怎么送进去啊？看到埃及边境送不进去的救援卡车长龙就很焦虑了。
1688822920# #真是算盘打得啪啪响。。不负责任转发
1700648844# #不允许去加沙南部的人民返回北部，赤裸裸的抢地！。。推动巴勒斯坦问题早日得到全面公正持久解决
1698513611# #马来西亚一直在支持巴勒斯坦，今天又是万众上街。。。巴勒斯坦
1695200108# #我这次回国最惊讶的是在社区中医院配了五天份的煎药，药厂代煎送到家，只付了七块钱。。。。。。这种服务国外一百年都不会有。哈哈哈哈哈哈
1697464378# #看点推上新闻。。巴以冲突中国政府向巴勒斯坦提供紧急人道主义援助
1692253657# #越看美国的新闻越相信阴谋论，野火是野心的野
1701106129# #终于又更新了，不容易啊哈哈哈哈哈哈。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1701798987# #啊哈哈，竟有此事，哈哈哈哈，据说货轮上的海员都和胡塞武装一起唱歌反美帝。允悲
1691517852# #到了晚上总喜欢读点情感魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1703851894# #今天跑出去拿我自己从法国寄回来的邮包，已经全部都湿透了，纸箱子都烂掉了，还要付125税费，，，一个下午都废了。。现在刚回家，看看新闻，准备工作。。。巴以冲突不负责任转发
1697121604# #真是大力出奇迹了
1703704197# #发布了头条文章：《来自混乱之地的宏伟城市建筑师——BodysIsekKingelez》魔女屋lyl纸雕
1694547479# #我能说，没有拜登和他那儿子，俄乌战争还不一定打得起来吗？
1696858887# #好久没更新了，这是和润物合作的第一个长篇童话故事，非常有趣，接下来会每天更新了。。魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1697291969# #LucaNocera和LaraFerri，是一对意大利摄影师组合，自2012年以来一直居住在伦敦。在接受平面设计方面的学术教育后，搬到了米兰追求他们最大的热情并学习摄影。。虽然他们的专业知识偏向于静物和时尚，但多年来通过从事不同性质的商业和编辑项目表现出了多才多艺。。。秘密花园的邂逅静物摄影
1703580002# #圣诞节，意大利罗马，梵蒂冈广场上飘扬的巴勒斯坦旗帜。。。巴以冲突不负责任转发
1697292480# #摄影二人组芭芭拉·梅茨(BarbaraMetz)和伊芙·拉辛(EveRacine)合作了18年，她们通过最新的个人项目——一本名为《Flowers/TogetherPt.》的限量版书籍，将自己的才华转化为花卉静物摄影。。。秘密花园的邂逅静物摄影
1699008367# #切格瓦拉的女儿说"TothePalestinianpeoples:Homelandordeath,weshallovercome"。祖国或死亡，我们都将战胜！。。巴以冲突
1691315143# #一套Faar杂志上的美图。。秘密花园的邂逅时尚摄影
1691734329# #蛤？少林寺在赞比亚的分部？？？。。不负责任转发
1698658958# #太多看了让人愤怒又无力的艺术作品了，有空去整理下
1702839651# #这两天都在玩耍，都没空搬运消息！。图1，平克的水爷在巴黎开演唱会，打出巨大的巴勒斯坦字样，他一直是支持俄罗斯和巴勒斯坦的！爱他没商量！。今天外网的主要事件是以色列杀了三位举着白旗的人质，这件事到底怎么回事，我还没仔细八。。。巴以冲突不负责任转发
1699223689# #X上这位网友详细讲述了为什么以色列的坦克一再被炸，我刚看了台湾新闻，说的是这坦克太先进了，有自动防御雷达系统，所以就连自己的步兵也会触发雷达，不能步坦协同作战（我咋能懂这种军事术语？看新闻看多了。）。因此，步兵只能蹲在坦克里，另外，遍布外网的以色列军人欺负巴勒斯坦儿童的视频，已经持
1695196028# #治愈系小咪蛋超话我不在咪蛋身边，她很少画画，前天我叫她好好画几张，她就一连画了三张。萌娃萌画儿童画萌娃养成记
1696798849# #前几天八的麦加三女神的故事，明天要研究下闪族，这些都比任何三大宗教古老。。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1691579922# #发布了头条文章：《十九世纪的人怎么藏富？——有一种遮蔽式耳环你可能没见过！》。。魔女屋lyl首饰
1704096888# #日本地震引发海啸画面哎哟，这个厉害了，不知道是不是福岛那边，再把核污水给倒回去？
1693118828# #白左们每天在那里救猫救狗洒牛奶戳轮胎，实在蠢爆了！
1694186544# #呀，这两位是谁啊？。。不负责任转发
1694080426# #大家用钞票投票是最真实的，隔壁苹果有点惨啊！。。不负责任转发
1687514223# #这是加麻大温哥华街头，我看了半天想象不出来对应到中国会有哪个城市会有这样的景象，我也希望中国街头永远不会出现这样的景象。。。不负责任转发
1703433912# #祝大家圣诞快乐了！。再转发一批，就准备洗澡了！。。巴以冲突不负责任转发
1703154745# #巴以冲突不负责任转发。。论以色列在舆论场上的一败涂地，除了利用网络机器人刷评论以外，以色列输得很难看了。
1702021236# #以色列杀害了拉法特·阿雷尔教授，他是加沙最著名的作家、诗人和活动家之一，一生都在努力让加沙的声音向外界发出声音。他在对他姐姐家的一次有针对性的空袭中丧生，他的兄弟、姐妹和她的4个孩子也被炸死……。。巴以冲突
1698755941# #所以，以色列之心，不仅是巴勒斯坦，是整个中东。。这是阳谋了！。。以色列拒绝联合国停火决议巴以冲突
1689067710# #发布了头条文章：《嘟游记——弗洛伦萨的维琪奥王宫》。。就爱旅行嘟游记魔女屋lyl
1699488574# #“以色列对我们来说是一个堡垒……这几乎就像在中东拥有一艘航空母舰。如果以色列消失，俄罗斯、中国和金砖国家将世界90%的石油，这对美国的国家安全来说将是灾难性的。”以色列最初就是英美（包括英美的锡安主义者）在中东建立的控制的分支。为了帝国的我的扩张和利益。什么宗教之争《应许之地》，都
1698752945# #赶紧抬头，警示世人，反犹是正常的，如果你看看加沙的情况。
1693120082# #哈哈，超可爱啊！。。不负责任转发
1690792985# #未来商住两用型穿梭机——哈哈哈哈！。。AI绘画LD原创艺术
1700909943# #起床了，三则关于巴以冲突的X帖子。。欧洲政客们快点制裁以色列啊！。。不负责任转发
1694156860# #还有六天要回法国，这个书要停更了，这几天再多录几集，让小伙伴们开心。魔女蓝。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1693391824# #有谁能证明食物真的来自福岛呢？
1696245210# #好吧，小伙伴找到了9个！
1703313672# #以色列道德绑架全世界，今年画上句号，不作就不会死，他们杀死了那么多妇女和孩子，全世界都不会饶恕他们。
1696095938# #今天在巴黎街头看到很多的警察或者说是卫兵在查路人身份证，不知道是不是这个事情。。法国生病了，你还不能想去医院就去医院，都要预约，真的很烦人。。。不负责任转发
1692946548# #香港是全球第一大日本海鲜及农产品进口地。。福岛核废料倾倒事件发生后，中国特别行政区限制了进口。相反，香港已开始从西方国家采购海产品。。其他帝国成员再一次从其他成员的痛苦中受益。。“周四，香港的超市和日本连锁餐厅张贴了显着的标语，表示他们提供挪威鲑鱼或加拿大贝类，因为日本正在实施一项
1687524344# #好想吃
1693804952# #笑死了！
1695045071# #今天魔女屋lyl魔女屋LYL超话推荐了一个中国的刺绣艺术家：石佳冉，她的几何刺绣扇子，惊艳了外国人，也被马云收藏。。。刺绣艺术
1688569911# #刚有人突然问我认不认识李玟，我还在想咋回事，一上推，已经铺天盖地。。。。。。coco的歌很难唱，她的技巧是华人女歌手里最接近欧美女歌星的，我一直很欣赏她，但我只会唱一首didadi，希望她在天堂能快乐地歌唱（刚听朋友说她还失声了，做试管九次失败），唉，现在一切如云烟消散。。。。。。
1694701513# #飞机滑行了，外面在下雨，明早巴黎见了。
1697127905# #不双标就不是冯大妈了哈哈
1701207398# #以色列除了到处捂人嘴，就剩撒谎欺骗了。
1693720113# #昨晚染了个紫头发感觉染了个寂寞二哈二哈，就是最右边那个颜色晕
1698051547# #要说中国人智商高，还是爱国主义情怀重？或者简单点，中国人有人性，没毛病吧？
1700302113# #昨天，好久没去全民吃瓜的我听说这个两年前就被我们骂得哭爹叫娘的贝贝黄还在继续招摇撞骗，甚至有被他教过的学生成立了受害者联盟，一个基本乐理视唱练耳一概不会的人还能350一节课，骗了几万元，现在还有一群孩子把他当偶像崇拜，必须揭露一下。此人的微博叫，是一个男同➕恋童癖，在
1690390800# #今晚不熬夜了，先做一个小猫咪！。。咪蛋爱画画
1699298019# #果粉们该醒醒了，后门要不得！。。巴以冲突不负责任转发
1697523380# #昨晚一点才制作完成。魔女蓝喜马拉雅。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1688226676# #Pelerine。American。ca.1890。这是串珠配饰在服装上运用的一个很好的例子，在1880年代和1890年代被认为是高级风格。吊坠和球形流苏会在运动中营造出活泼、闪闪发光的视觉效果，引起佩戴者的注意。。来源：美国大都会博物馆官网。。魔女屋lyl服饰
1690475493# #恶魔雪茄学名“Chorioactis”，中文学名“地星状裂杯菌”。是世界上最为罕见的蘑菇之一，也被称之为“德克萨斯之星”。这种怪异的蘑菇只存在于美国德州中部、日本的两个偏远地区以及奈良山区。恶魔雪茄呈深褐色，拥有外形好似雪茄的孢子囊，裂开后变成棕褐色的星状，释放出孢子，同时发出截然不同的啸
1698620635# #美国为什么一上来就打叙利亚？因为叙利亚有石油啊！。这个偷油大贼满脑子里还惦记着中东遍地的石油。。。哈马斯持续向以色列发射大量火箭弹
1699601478# #梅西想再踢一次2014世界杯决赛啊这，时间不能倒流啊，我还想再回到2014，不结婚呢汗汗汗汗汗汗
1695042698# #之前还听说国外要求模特儿不准过度PS造成不实外观欺骗消费者，这女议员们PS力度之大，堪称换头，话说真的只有40吗？原图感觉都挺老的。哈哈哈哈哈哈。不负责任转发水深火热的巴黎
1697296619# #看了一些推，好多残酷的不能发，明天加沙要被断网了，这样就不能继续刺激全世界有良知的人了吧？。。巴以冲突不断升级面临失控风险
1696703538# #刚在植物园这边一个中国人开的日料店吃了一碗拉面和一碗牛肉石锅拌饭，两杯饮料，猜猜多少钱？269RMB。。。水深火热的巴黎
