1695609060# #真心希望这个是摆拍吧！（视频源于网络真实性不知）。。日常想法
1693370760# #艺术，懂吗
1691721001# #暴雨还有30秒到达战场
1693571460# #男子在校园内驾车鸣笛，被学生阻止后指问其哪个学院的，保卫处回应
1696649460# #这个孩子废了嘻嘻
1694511060# #厉害👍00后科学家横空出世，请不要让父母看到15岁中国女生成世界顶尖科学家大会，年纪最小的科学家
1690699260# #掌声有请孙家毛孩闪亮登场！希望能给大家带来愉快！
1700972220# #这可咋整，来了就不走了这狐狸
1688452202# #1985年，25岁的宋丹丹在出演话剧《上帝的宠儿》时，留下了这张惊艳照片。镜头中的她五官出众，皮肤白哲，身姿婀娜，一身公主装扮让她看上去像极了洋娃娃。真是让人过目难忘。。作为北京人艺的台柱，宋丹丹不仅拥有傲人的容颜，演技也是可圈可点，不过，实力派演员在塑造角色的同时，往往也会被角色塑造
1703628360# #文松和宋小宝是来滥竽充数的吧？允悲允悲
1693745160# #日本已排放超3800吨核污染水。。呼吁核污水取样检测
1695696869# #女子自称因为不给男子加微信，竟然被殴打。目前，事情正在进一步调查中。男子要微信被拒殴打2女孩致流血
1690952460# #吃面的最高境界网友：这是过五关蘸六酱吗？
1702643820# #我代表全国人民实名表扬你们赞赞
1698134520# #重磅消息！美国双标！制裁三家中国公司！
1689674859# #艺术家VictordeMartrin善于使用滚落的玻璃球撞击金属片，以形成美妙的旋律。
1690614696# #男子行走在老君山的腾云栈道上“这一刻仿佛走到了人生的尽头”
1698296460# #车门有点问题汗看我怎么修好的doge
1701930300# #这男人绝了！
1692498119# #台湾当归。隔海思乡，祖国望归，一条海峡，隔断了多少人的情思！歌唱家关牧村深情演唱《台湾当归谣》，唱出两岸人民的相依之情，太感人了！
1692669660# #金星生气名场面，当众打断主持人华少，称：最讨厌电视台消费别人的苦难！安慰舞者相信自己，给予选手最大的尊重！
1699961700# #在巴黎地铁站，千万别随便帮助陌生人
1700741820# #捞一捞今天和我击拳的小姐姐
1691332740# #马玉琴改了遗嘱李玉成照顾大32岁老婆几十年，竹篮打水一场空
1699113966# #巴基斯坦简陋造车厂，买来二手卡车底盘打造客车全过程！
1693173960# #工人搬马桶触发了多米诺骨牌效应网友：是第一个也是最后一个马桶了...
1696774560# #数人cosplay在街边路演遭一男子怒斥：对上一代、下一代都没有交代！
1689136140# #和朋友通宵到早上六点吃早饭怎么会不幸福呢？
1691142735# #12年前中国船长驾驶渔船撞击日舰
1686887860# #“这波必须全网通报呀🔥”简直太牛逼了😂这门票钱值了
1695632460# #国乒打11比0是对竞技体育的尊重。泰国队员：糟糕，10：0了对面会不会水一个，最后队友都笑翻了
1699014368# #妹妹情商蛮高的嘛嘻嘻嘻嘻嘻嘻
1693201560# #昨天有人要看后续，满足大家。我Co太可爱了
1687357614# #男子喝醉，女友叫外卖小哥背其回家！女生趁机查看男友聊天记录，小哥疯狂提醒，腿都快掐紫了都不醒笑cry
1694781960# #1985年首播电视剧《一代女皇》轰动台湾，记忆里演绎最高的武则天，堪称经典！
1700926990# #为啥不放钢筋，反而放竹子呢
1693378860# #只是想吃席而已……嘻嘻
1687918664# #他是全网最能生儿子的妈妈，一家九口的幸福生活，真是太让人羡慕。
1699410870# #5000多名洋景漂逐梦千年瓷都外国人为何痴迷中国瓷器中国文化博大精深，而景德镇的陶瓷文化更是其中的璀璨明珠，深受外国友人的喜爱。这座千年瓷都，见证了中国陶瓷文化的辉煌历史，如今依旧传承着千年工艺，焕发出独特的文化魅力。来到景德镇，感受陶瓷艺术的神奇魅力，让人惊叹不已。
1693841520# #我以前一直以为只有修驴蹄子和奥德赛才能留住男人的脚步，是我肤浅了…
1695956627# #许家印曾表示：我和恒大的一切都是国家给的，我们一定要回报社会…许家印家族分红套现500亿表面年薪25万，背地里已经套现500个亿，真刑
1702624200# #如何打印图片不发黑？上技巧。特别实用，转码学起来！。。v笑年度大赏微盘点
1687012084# #四川小伙在火车卧铺上喝不到水差点渴死大姐想出一个绝佳的主意
1701492887# #爸爸：哄不完根本就哄不完！
1694435460# #这到底是男的还是女的？😳😳😳
1700281740# #我为什么刷到这种视频啊😦
1701183920# #大学生独游华山坠崖失联10天景区回应。。一名23岁河南大学生独自前往陕西渭南游华山失联10天，父母赶到华山景区寻找未果。目前，搜救人员已找到大学生的背包和手机确定了其身份信息。11月28日，华商报大风新闻记者从华山景区获悉，景区正在组织搜救。
1698209434# #艾跃进教授的发言如今还是振聋发聩，我们永远铭记于心
1693103460# #一码归一码，好借好还再借不难。
1697725262# #不用点套路，连媳妇都娶不上了！
1697276616# #你可以拿我钱，吃我泡面，但是你要是拿护士的笔，你就该…
1687580040# #好想体验一次飞入云海
1695366960# #她抬头的时候我好怕再来一个允悲。。我的幽默搭子定格
1693711860# #全世界人民支持俄罗斯鲜花鲜花
1698493980# #超鸡冻！网友高速上行驶，偶遇歼-20战斗机低空飞行。网友：听声音我还以为黄渤在车上！
1690618561# #自从有了四个儿子之后都没怎么下过馆子
1694871960# #小妙招太好用了平时不知道怎么办的东西有了这个小妙招全部都解决了赞赞赞。。我的幽默搭子定格
1688870513# #小朋友朝拜时也不忘向警车敬礼！
1702344223# #交警称外卖员是宣传戴盔最佳人选现在路上确实骑手头盔戴的比较好，总体因为有人管确实不一样。赞同哦
1688397011# #修车师傅有理说不清嘻嘻嘻嘻嘻嘻
1686888967# #从酒店门口的奔驰上面亲自下来的18岁复旦大学校花来外滩18号吃晚餐，身材真的太好了，她脚上的高跟鞋都十几万了
1699671510# #网友：从眼神中可以说明丈母娘对这个女婿很满意
1695639660# #亚运会武术比赛观众席马保国情不自禁露了一手。。。涨姿势想法
1691640016# #原来真有召浪术啊
1688523801# #三男子跑进公寓，被女同学发现，当场跑了两个男生，抓住一个，目前事情正在进一步调查中。
1702307406# #就是打上面那个梁，我先打个样，小伙伴们快来挑战吧
1695399420# #中国女足取得近20年来最大比分
1701159600# #祝英台第一次被抓手手的表情，云霄演绎的简直完美至极，太上头了，看不够根本看不够哇哇哇李云霄陈丽君微博喜剧现场
1693227660# #盘点假日出游的社死瞬间，尴尬死了！简直就是大型社死现场！
1695621846# #远程狙击战争机器，战斗人员梦寐以求的王牌！。涨姿势想法
1695486852# #牛：男主人终于走了，是时候了…。。涨姿势想法
1695605460# #蜥蜴捕蝶，喜鹊在后。可惜喜鹊万万没想到猫在最后…。。涨姿势想法
1695301326# #小女孩觉得自己是观音菩萨在公园里打坐修行不和小朋友玩。妈妈：挺好！少走50年弯路。。我的幽默搭子定格
1690731901# #男子骑着电动车冲向卫生间，几步快走之后突然停下。。镜头里的欢乐瞬间
1703510800# #这活儿只适合中午干，真是艺高人胆大，这树也不晓得啥品种，韧性十足啊
1689156300# #救人一命，胜造七级浮屠。🙏
1701668760# #现在的男生逻辑非常清醒，你们怎么看？
1699070037# #好纠结啊，到底选哪套？大家帮忙看看🙏
1701516420# #请相信，父母比你想象中更爱你
1695250861# #子不教，父之过这打呼噜也是爹的错……。。我的幽默搭子定格
1696593120# #爱，是常常感觉亏欠。女子产后50天，半夜饿了不想叫醒家人，就自己偷偷吃了饼。随口跟妈妈说了一句自己偷偷吃东西，没想到妈妈泪流不止。父母爱比想象中还要多。
1693346820# #远离女人，男人真的可以很快乐嘻嘻嘻嘻
1687762440# #佩服这男的goodgoodgood想说不敢说
1689174001# #肉嘟嘟的小姐姐AI版本来了，喜欢吗？
1703043060# #独家画面丨“人如其名”胡潇潇，她就是潇洒的香港O记总督察！最“刑”总督察的日常工作是怎样的？
1686908621# #碰拳挑战广州北京路挑战与陌生人碰拳，传递快乐正能量
1698980160# #雕虫小技，竟敢班门弄斧？妖孽哪里跑！
1690426860# #咱们中国鞍钢队的队员太牛了，步调一致，赢得太稳了
1699939560# #见过哪些有趣的厕所标语？
1694331960# #韩国5万民众向总统府游行抗议，李在明怒称“日本是向太平洋沿岸国家宣战”网友：最值得尊重的韩国人！
1694190900# #美女来到商场计划零元购不料当场被发现
1693551660# #致：那些拿钱给日本排核污水洗白的双标媒体们
1701851115# #老公为了养鱼，不小心摔下来了，他说还好鱼的没事，我说还好你也没事…
1691595060# #太有创意了是个人才高手在民间赞赞赞
1695547770# #一辈子不会写的字。。涨姿势想法
1699412272# #来评评这八极拳有几十年功底？动则山崩海啸静则落地生根
1698926878# #童年败给了卷子，青年败给了票子，中年败给了孩子，老年败给了身子，最后磨平了性子，一晃就是一辈子！。。微博喜剧现场平凡
1701965700# #秦始皇做梦也没想到能成邳州人允悲
1700391660# #腾格尔真是被音乐耽误的搞笑大师！
1687355540# #广州本地人普通话也很标准的了！
1693974660# #网友：不管走到哪里他们都是亮丽的风景
1698324385# #内娱舞台还是要看大學生。内娱舞台还是得看大学生，男大学生跳性感舞，甜妹表演恋爱告急
1696837260# #这个婆婆在媳妇面前就是个小孩嘻嘻
1702867612# #点赞👍🏻！霸气小姐姐怒斥对其进行性骚扰的猥琐男！
1698379800# #可爱的保安大哥看到小朋友们拔河🪢。信心满满去单挑全班小朋友💪💪。结果被拖行数米🤣🤣。。快乐微博喜剧现场
1700457360# #我国的反间谍形势有多严峻？
1691112900# #女朋友和闺蜜的聊天记录是真的不能看啊！
1688998601# #网传29岁男子性侵15岁少女、被一女子当众鞭打！派出所已处理移交刑警队。
1695116760# #慢镜头下看划火柴那一瞬间发生了什么？。。我的幽默搭子定格
1697381700# #以色列轰炸后的加沙宛如人间地狱
1702700836# #乐观大爷头顶塑料袋风雪中骑车高歌风雪中他的歌声像春风感染众人12月14日，山西太原。网友路遇一位骑着自行车的大爷，对方头顶塑料袋一路高歌，身影逐渐没入风雪，乐观的歌声似有感染人心的力量。网友：此情此景真的很像电影的结尾
1697024557# #无痕织补太神奇了
1697776620# #蜀山之王，贡嘎雪山。日照金山见者好运。。。微博喜剧现场快乐
1691404223# #这人难道不知道害怕吗他在干嘛
1698658140# #处处皆学问大厕大悟嘻嘻
1700497425# #十八个人性真相
1694653260# #赞赞赞好人一生平安赞致敬电力工作者！
1690690955# #今日午餐，蛋炒饭，辣萝卜，苦瓜棒骨汤，黄瓜蘸酱
1694307661# #田园生活让我感受到了宁静，夜晚我可以仰望星空，听着虫鸟和娃儿的叫声。尽享大自然的美好
1696916160# #以色列中东一锅粥
1703466060# #花了1680吃西餐没吃饱嘻嘻
1701317760# #男生参加饭局，没想到里面全是女生，这是误入了盘丝洞&nbsp;
1700034765# #喝完又是生龙活虎的打工人
1690798560# #缅北诈骗电话，骗子都懵了，他甚至刚开始有点八卦
1701703707# #售楼部36计，偷梁换柱，你中计了吗？
1697377996# #戴旭：我们要敢于维护自己的利益，要惩罚那些侵害我们利益的人
1688853960# #下次要干什么能不能给个信号！你这隔山打牛属实有点狠😂
1702291560# #微博堆雪人挑战大赛。盘点那些堆雪人才艺大比拼，又到了一年一度的堆雪人大赛现场。。v笑年度大赏
1694756760# #都起鸡皮疙瘩了嘻嘻
1703907061# #哈基米演我的跨年状态毛孩子真的是人类的好伙伴了！这个小头套和小围巾也太可爱了吧！哈基米跨年都有礼物收，我说你们这些商场别太宠了！
1700050157# #今天送外卖到一家公司的时侯，偶遇几个多年不见的老同学，久违亦如初见，亲切又新鲜，我激动极了，马上主动邀请大家一起吃饭，买单时才发现原来身上没多少钱，这时当年的学霸老班长在旁边看见，就悄悄把钱递给我，才避免了尴尬的局面。这就是最好的友谊，各自忙碌，又彼此惦念！
1697289494# #监控拍下的不可置信的瞬间，也太匪夷所思了吧。。。微博喜剧现场快乐
1692662460# #热心人士还是很多的
1701234060# #西游记的作者真的存在过？
1699064839# #朴实善良的公婆，从眼神动作细节看得出是真疼儿媳.
1691816401# #损友姐妹，一直鞋就把姐妹出卖允悲
1696564063# #这情况厉害了！俗话说，远亲不如近邻啊！
1692779460# #网友：充分诠释了什么叫乐极生悲
1690936317# #别迷失在噪杂里，记得做回自己
1703899860# #1902年清朝新兵真实影像，人人打赤脚，战斗力底下！
1693303260# #日本在地下1000多米处，储存5万吨超纯水，到底有何目的？
1699506451# #儿媳妇非要让我这个小学二本的婆婆写作文
1692678660# #女儿想养猫，父亲亲身示范养猫后果，不能说惟妙惟肖，只能说一模一样。
1703919660# #男子骑车总被黑狗拦路，随即派出了自家狗子
1702030560# #不到最后一刻，真不明白他为啥这么做
1692705660# #300年来争议不断的《蜂虎图》！
1694999760# #学校半夜11点查宿舍不让用学生自己买的褥子，学校方给出这样的解释。。我的幽默搭子定格
1695904271# #大同欺凌事件校方曾建议三年级以上住校哦哦哦哦都不知道说啥了？建议这不还是招收学生了吗？能上这个学校的都不是一般收入的家庭，看到家长说话就看出来了，都是混的比较不错的…孩子受害不敢说因为是真不敢…气得我真不想说了…
1695950160# #啊？就离谱，好帅啊，这柜子dogedogedoge
1695034020# #机场大爷欺负女孩自己看。。.
1702296420# #舒淇翘腿跟葛优坐在一起，葛优不慎踢到舒淇的脚，舒淇的举动你看懂吗？
1700389860# #卖水果卖到海上去，就问你怕不怕！
1700052900# #男子无意间打开老婆当年收到的毕业礼物，竟然发现隐藏多年的告白
1700653552# #都说我是大富大贵的命。以后可能会享福
1692522060# #坤版的罗刹海市+无所谓。网友称：别有一番风味，绝了！太像了！
1702985065# #鸿星尔克吴荣照说从国民中来到国民中去。每次需要捐款的时候都是这些国货品牌先出手泪心起了很好的带头力量，支持国货，点赞了goodgoodgood
1692881205# #最后的天后李玟,我发声力挺,我个人的力量是微弱的,但是我相信星星之火可以燎原,歌手王振宇为李玟发声星光大道王振宇愿姐姐在天堂安好🙏🙏🙏你虽然倒下了，但是千千万万个李玟站起来了，你是我们的榜样
1699571940# #正吃饭女儿挪椅子摔了四脚朝天，爸妈淡定吃饭情绪稳定，“这时候但凡出一点声孩子就会哭”。
1696738560# #婚礼上新娘穿校服入场新郎泪奔。新郎新娘相恋11年结婚，婚礼上新娘穿高中校服出场，新郎转身后瞬间泪目。
1698906120# #正义的声音为正义的犹太教授点赞！赞赞赞
1694767560# #大学教授用罐头瓶子喝水，用塑料袋当包，网友：精神富裕对物质的欲望就少了！心
1695734223# #广告做的好，不如实实在在做产品！
1691071320# #男子在小区内用复合弓射杀流浪猫，被小区居民拦下后直接承认“没错，是我干的，满意了吗。”
1696942140# #起猛了在亚运赛场看到白娘子和小青了‼️。真的很爱开头的solo～很有宿命感✨
1699880775# #姑嫂吃火锅竟然这样做？
1694843160# #原谅我真的没忍住允悲
1697194860# #大米多少钱一斤
1697085840# #家有贤妻女汉子，太酷啦！
1697716922# #果皮还有这些妙用。。生活小妙招
1698840092# #网友看婚礼录像，新郎亲新娘，新娘表情亮了...
1687143660# #“房子和钱我们都不能收”！杭州救人外卖小哥的妈妈郑重表态。网友：妈妈这格局，儿子是英雄妈妈也是巾帼不让须眉！
1692839760# #网友拍下老奶奶抚摸霍去病雕像，不断触碰“去病”二字，再抹到自己身上。
1691767633# #在好音乐稀缺的时代，刀郎带着《罗刹海市》《花妖》《翩翩》等新歌到来，以意味深长的歌词、魔性上头的曲调，再次成为时下顶流。。不过，随着刀郎再次爆红，一些万万没想到的事又发生了。。近期，有细心的网友发现，在酷狗中搜索刀郎《2002年的第一场雪》《冲动的惩罚》等经典歌曲，已找不到音源。
1701791911# #江西福彩称2.2亿大奖已被领取部分奖金应该是未来穿越回来的，我看穿越文都是这样允悲拿十万块钱买彩票，我穿越过来的都不敢这么嚣张笑cry这是啥水平啊！？
1698554309# #父亲突发脑梗住院治疗医生说要保持心情愉快勤加锻炼走廊里就有了这有爱的一幕
1703738760# #美女这口才什么水平？
1700963160# #隐藏在明星足球队中的太子
1698468960# #节奏一响，全家开溜，俩娃就交代大伯。了允悲……
1696998902# #在新加坡对护士爆粗口被调查。在医院对护士爆粗口被报警，中国籍女子被新加坡警察调查。或涉嫌违反新加坡《公共秩序法》。
1695195060# #新娘开心的合不拢嘴了，祝百年好合，早生贵子。。我的幽默搭子定格
1702351547# #监控下不小心失误的一幕
1689748468# #瞬间女机长飞机起飞震撼场面。。镜头里的欢乐瞬间
1700121034# #敛财几个亿的医院院长，被评为最美奋斗者。
1698378489# #哈哈哈哈哈哈哈哈这西方化妆术不行啊！
1698115020# #不是堪称吵架第一名吗，怎么还输了
1689844501# #以前看前夫各种不顺眼，没钱，粘人，不修边幅，一起出去都感觉丢人，后来就离婚了，现在二婚遭报应了，一点小事就斤斤计较，生怕去看孩子，看前夫，经常应酬，喝酒了发酒疯，二婚又到了离婚边缘，奉劝所有的原配夫妻，能不离千万别离，时间长了你会发现，婚姻还是原配的好，再婚过的好的少之又少。且行
1691402412# #国内最奇葩的建筑，广西新媒体中心，一个敢设计一个敢用，据说设计灵感来源于桂林山水与龙脊梯田
1702266747# #开锅很重要看看专业的厨师是怎么开锅的
1690542363# #一个视频带你回20前
1692962160# #盘点让人惊呼卧槽的牛人，一言不合就开挂，我是来人间凑数..
1695479760# #或许真正的仙侠就是这个样子的，姐姐的仙女飞天之姿前无古人后无来者林青霞。。涨姿势想法
1695208560# #妈妈都不会的厨房小技巧，学会了你就是家里的老大哥。.
1693054980# #马路上安门第一次见允悲
1694536260# #这只不过是在拍戏没人知道当时究竟有多痛苦，我们能做的就是记住这段历史
1687152420# #揭秘古代女太监，净身手段过于残忍
1701497400# #发错一个字。。
1696573260# #金毛也不友好
1693532760# #14岁女孩因英语成绩没考好，感到自责欲轻生。接线员温柔耐心劝慰，为争取更多救援时间！
1697091660# #恒大歌舞团林丹丹，许家印花多少钱都留不住的女人，所以她还是很明智的是么？
1701958858# #女儿用手机记录爸妈恩爱时刻，“只要爸爸在妈妈就没有自己洗过头”！
1700995560# #男人至死是少年
1691203609# #女子在婆家受欺负，娘家爹怒砸婆家玻璃为女儿撑腰，网友：做的好以后他们想欺负时就会想想了
1687792346# #男子举报妻子出轨南京一高校领导高校回应校领导被指与他人妻子关系不正当6月26日，江苏南京。有网友实名举报晓庄学院党委副书记与他人妻子长期保持不正当男女关系，并上传疑似酒店开房的监控视频。据记者在南京晓庄学院官网查询发现，该男子为该校党委副书记。官网上多张其相关的照片，与举报视频里
1702127189# #表弟的寒假作业是拍一条防拐视频
1693915260# #儿时的夏天，才是童年该有的快乐
1702097669# #南昌20死19伤重大交通事故调查报告。。致20死19伤！南昌“1·8”大货车碰撞送殡队伍事故调查报告公布
1693995360# #女子脚上套着塑料袋，从刚抹平的水泥地上走过，工人无奈地看向女子。
1695162900# #妻子晒老公“入坑”前后变化玩的就是反差。妻子:弱弱的问一句还能退吗
1694567760# #伪装者！这一段真是棒极了霸气，动我家人要你命。
1699863480# #请珍惜我也许一转身你就看不见我了
1700118120# #运动是生命的翅膀，在飞翔中追求自由与梦想
1696605420# #五十年后在养老院人间清醒
1700467620# #为什么农村到处都有这样的人啊？
1700811960# #这下棒子国懵逼了，自己引以为傲的王陵内竟然出土我国文字墓砖，而且有可能连墓葬都是中国帮助建造的！
1700533378# #男子去世四年，他的四位高中同学每月给他家里2000元生活费
1689154162# #邻居隔着窗户向屋内泼不明液体，泼完后还在家门口开心跳了起来，屋子里是两位独居老人，两家昨天发生口角争执，邻居气不过，于是一大早向屋内泼了不明液体
1700113620# #又来了一批“人才”
1699509706# #它也太胖了吧！
1689494699# #盘点2023上半年十大谣言你听过哪些？
1694473260# #真的稀奇，看了评论区说说你的观点
1696463823# #自从有个神经老公每天都精神
1695308700# #男子吐槽早起去银行办理业务，遇下雨天不提前开门提供避雨，“敲门不理，没有人性化”。
1687099431# #大浪来了真会玩
1703312228# #朱令没能等到那个奇迹。痛心！。清华“铊中毒”受害者朱令去世。清华大学发文哀悼。朱令一路走好🙏🙏🙏
1696396194# #天哪，真的是太喜欢这个声音了！
1692463757# #小沈阳王金龙搞笑小品《你是我的情人》，笑喷了
1689000647# #南瓜藤叶汁！
1689256787# #这都能睡着？她的心是有多大啊…
1695446160# #不要看扁任何一个灵魂。。涨姿势想法
1701787920# #炒粉姐本名叫＂唐应＂，家乡＂湖北应城＂人！努力把不咸不淡的生活，过得充满乐趣
1696889160# #燕子做窝，见者好运！。。微博喜剧现场快乐
1693485960# #农村吃大席，不是我不讲究，都是你们逼的
1704027027# #不同年龄段看到的现代化不同年龄段究竟怎么看待自己的下一代？
1697774738# #有钱人不用没钱人用不起。为创意设计者点赞赞赞赞。。。快乐微博喜剧现场
1701093095# #男儿膝下有黄金，跪天跪地跪父母，无论多么大，在父母眼里都是长不大的孩子，父母最放不下心的也是最小的🌹
1702130760# #这么大的老鳖，我是头一次见到
1701854310# #解清帅的兄弟姐妹，解清栋最具经商天赋
1702709280# #人生处处是观众！
1698166170# #汪峰不为人知的故事
1687606080# #少林寺方丈当首富了
1699784504# #时代进了一步，确实没猜到最后一步
1695696126# #董明珠：大家之所以认为预制菜是垃圾食品，是因为没有技术支撑，我们希望可以把预制菜做成有品位、有质量、有健康的产品，让全世界爱上中国菜。
1695954021# #没有丝毫犹豫就开进了河里这是为什么？
1689344595# #从监控看到奇怪的一幕，家人：好奇女儿怎么上去的，网友：中国人自己的蜘蛛侠。
1693564260# #日本福井县敦贺市原子发电公司核电站发生🔥灾！报应来了，挡都挡不住！
1702701660# #女同事们的秘密。
1701573825# #你到底会不会采访？硬采吗？
1699075124# #干掉一个人最阴狠的手段是什么，一旦你能够在生活和工作的各个方面，把博弈策略运用的游刃有余，成功也就在不远处向你招手了。
1700387220# #螳螂捕蝇难得一见！终于知道螳螂拳的厉害了
1696342980# #靠山的重要性doge
1687689907# #海边版挖呀挖呀挖。我在大大的沙滩里面挖呀挖呀挖
1702349497# #什么科目三，中国功夫才是顶流，少年强则国强！
1698596862# #家人们宝宝这是怎么了？已经一个星期了！谢谢大家了🙏🙏🙏
1687476660# #路上遇见的民间高手，小朋友：咔啪一下我的脚就好了
1700107440# #曾以为是开始，没想却是巅峰！回顾2002世界杯巅峰国足那些熟悉的脸庞一代球迷的
1704029135# #天马行空赞赞赞飞黄腾达
1702615874# #高手在民间！这是真功夫赞
1703896260# #一段劲舞献给大家。本视频ai替换真人电脑合成、仅供娱乐（原视频来自RTSF2017比赛，表演者Agnieszka&amp;Grzegorz）
1691574293# #要不是动了，我会以为是个假娃娃嘻嘻
1693973760# #日本排放核污水，其目的何在？
1688572020# #12岁少年做羊汤，帮妈妈减轻负担
1703132993# #这是我见过最勇敢，最幸运的斑马
1697779061# #没有名字、没有军衔，只有一个代号，历经残酷的训练与考验，才能成为令敌人闻风丧胆的空军“猎人”！感谢你们的负重前行，致敬！
1703308560# #程鹏，曾荣获个人一等功4次、个人二等功12次、个人三等功17次！抓获网上在逃人员200余名，破获毒品案件近百起，查获毒品6000余克。这才是人民警察该有的样子，帅赞赞赞
1698507376# #荷兰一政党领导人在比利时遇袭，头部遭重击现场声音清晰
1696551660# #小丽真的是，伤害不高侮辱性极强，不愧是我妈！
1690159996# #7月23日发布，江苏扬州，女孩cosplay参加漫展，被公交车上大爷怒骂“穿出来就是给别人骂”
1699526565# #这才是真正的爷们！嘻嘻
1689767024# #这也太像哥哥张国荣了吧！
1703241060# #公交车上一老人强行让小伙让座，老人不断坚持并强行坐到小伙腿上
1691769300# #铁轨旁连续多日发出奇怪叫声，工人们议论纷纷，呼叫网友，有没有人听出这究竟是何物？？
1687915020# #这种事故完全都是应该避免的，有些人是真的不适合开车
1701825856# #盘点猝不及防的倒霉瞬间
1687125960# #狗：算了不用排班了允悲我自己遛自己吧允悲
1692957660# #“奶奶，奶奶”！要下雨了，奶奶在地里干活，孙女一人在家，她边哭边收玉米，懂事得让人心疼，爸爸：看到孩子无助的样子难受。。。趣过夏天生活
1701754260# #新疆伊犁84岁爷爷骑马刁羊，如得胜将军般好威风！
1700192760# #民国时期的北京天安门广场，另一番风景
1693120560# #雷克萨斯加价50万，为啥大哥们还抢着买
1701998850# #当我老婆假装高中生，回母校问老师题目…
1695286860# #教科书版的回答，完美！那种温文尔雅，不是所有人都有的，这就是魅力！黎明
1694268060# #80后小伙露出了和蔼可亲的笑容…
1687745855# #意外和明天哪个先到来？。一小车失控撞向夜市摊，几位食客被撞翻……
1703803224# #00后婚礼现场合照环境，伴娘登场热辣似女团，主持人：伴舞老师怎么来了？新娘：你才伴舞呢，这是伴娘！
1690622990# #好可爱的地主家儿子啊！哈哈哈哈
1692683160# #不懂就问这是什么武器？
1703858554# #中国三轮车开上美国街头，被当地人疯狂要链接。
1699229340# #萌娃路上行走，突然被狗扑倒，狗的主人仿佛没有看见，随后直接离去了。
1700754830# #戴眼镜的是李宇春吗？发型好可爱doge
1694071860# #这对话没谁了宁静那英
1690785060# #不懂就问这是什么比赛啊？
1691481601# #还是以前的电影好看，这个画面跟剧情，实在是太辣眼睛了
1688912460# #原创，感受速度
1703257904# #狐狸潜入牧民家羊圈袭击绵羊，主人：天天来，鸡都已经祸害完了
1694686560# #每个国家都有无知的人，很正常。.
1692530160# #人间百态…
1693224960# #老爸看到儿子学校饭卡的消费记录，偷偷哭成泪人：怕他舍不得吃！
1699717889# #大型网红直播现场，太疯狂了吧！
1694699160# #确实赞这个幽默真值得点赞！赞赞赞
1700358360# #20万人涌入故宫太和殿广场，见证历史
1691062475# #逮鱼摸虾又逮了一抱回来了，咋整？
1690097003# #面对只会说英语的“洋”顾客，火锅店该如何应对
1692894555# #请记住她的名字李玟。
1700206260# #输球后的泰国球迷朝中国球迷区扔水瓶并做出各种挑衅，中国球迷可不惯着他们！最后一句回应太霸气了！
1695002460# #不是一家人，不入一家门。。我的幽默搭子定格
1688538360# #女子垃圾袋买小了到商店退换老板:包装标签都不在了影响二次销售老板不换结果女子到前台扯了一打袋子然后扬长而去
1690171320# #这个视频不知道能留多久！出外遇到强制消费，都是贪便宜惹的祸！
1703149989# #都不容易，相互理解吧
1703754960# #武警战士在重庆休假时勇擒偷车贼，毛贼乖乖跟着他来到派出所！
1693101660# #真的学白上了猫在这样家庭里也是可怜
1689998521# #即使胆量再大的宇航员，在空间站工作时也不敢回头看地球，这背后究竟隐藏着什么秘密？
1694169060# #借的不是钱，是感情和信任
1696511040# #3岁小男孩尿急尿在别人车轮上，司机发现了全程坐在车里憋笑，没有责怪！孩子妈妈搞快道歉:大哥，对不起！。微博喜剧现场快乐
1700469814# #媒体评张桂梅原型电影引争议。。张桂梅讲述我本是高山誓词来源
1692608460# #谁吃我的火龙果了偷笑
1698804541# #当爸的换了个地方女儿还是追过来了哈哈
1693393260# #不管真假，这样的女人治不好最好允悲，结局太霸气了允悲允悲
1688816097# #这样接待你会买车嘛🥰
1688361480# #人生建议，女孩子一定要去做一次酒店前台。别问为什么，你会看懂很多东西
1690340392# #妈妈带娃时，“小强”突然出现了……
1693993560# #半个月还没到，我们可是要坚持到底的
1692531060# #李玟生前控诉《中国好声音》：我做了28年歌手，却被人如此侮辱。。李玟生前录音叫不醒装睡的娱乐圈
1692518460# #泰国学生喜欢跳舞你喜欢台上表演还是台下表演
1699860292# #网曝商场金店工作人员因客户原因发生冲突，双方大打出手
1701867553# #建议你们转一下，真的很准！🙏🙏🙏心心心
1692968461# #胡锡进深夜发文力挺中国好声音，评价"好声音，称不宜"搞死
1701410700# #雷军，一个开了挂的男人。向母校武汉大学捐赠13亿元现金
1690633020# #真是越大越不好忽悠了
1694427243# #86岁老人跑完马拉松比赛，精神可嘉，海伦警察全程护卫。赞赞赞
1701075384# #最淳朴的笑容。看了这纯朴的笑脸太治愈了嘻嘻嘻嘻嘻嘻
1701829160# #12米纯天然百吨巨石谁懂啊？
1692787560# #这剧本演技不去当演员太可惜了！。。。趣过夏天生活
1689247657# #最恶毒后妈，只因继子偷吃女儿鸡爪，残忍砍下其手脚（上）
1696727760# #朝鲜姑娘们太美了
1691750760# #A股：问你服不服~
1696512780# #朋友来德国出差，直呼“又土又落后”…...
1698583472# #10月28日，据环球时报，马斯克发布一则网帖显示，伊朗被20多个美军基地包围，图片文字：伊朗这是想打仗，你看他们把国家放得离美军基地多近啊
