1698045433# #趁着巴以冲突，日本偷偷就排了
1692167687# #印度宣布不再进口中国手机，每年1.8亿的印度订单没了？看起来，重大利好越南的贴牌业。。贴个牌总要花钱吧？印度消费者又要给一份钱给越南了。。深圳小天超话
1694918845# #由台湾小编控制的法广中文，发帖称中国被西方称为民族主义小报《环球时报》指责欧洲对更便宜的中国电动汽车(EV)的调查属“过度”行为，并称中国的优质产品令其他汽车制造商羡慕不已，因而也生羡慕嫉妒恨。。国内卖17万的比亚迪，同款卖给欧洲人40万人民币，欧洲汽车还打不过，要政府出手干预自由经济，
1689157266# #半年时间，香港料抢到6万人才赴港。行政长官李家超7月11日出席行政会议前会见媒体时表示，香港各项输入人才计划反应踊跃。计划推出6个月内，特区政府已收到超过10万宗申请。。根据此前的记录，其中约六成申请可获批赴港，且这一趋势正在延续。李家超指出，香港正面临人才缺口，过去三年流失超过20万劳动
1688721175# #海关总署：禁止进口福岛食品！。7月7日上午，海关总署进出口食品安全局负责人表示：。为防范受到放射性污染的日本食品输华，保护中国消费者进口食品安全，中国海关禁止进口日本福岛等十个县（都）食品，对来自日本其他地区的食品特别是水产品（含食用水生动物）严格审核随附证明文件，强化监管，严格实施
1692881652# #日本核污水排海，香港专家吁3类海鲜少吃。香港食物及环境卫生谘询委员会主席梁美仪建议香港市民，以后3种海产最好少吃为妙。。梁美仪批评，日本政府将核污水排海的做法不恰当，是要其他国家跟着做“人类大实验”。他指出，日本所有相关报告都只强调放射性物质氚的浓度符合标准，但未提及其他高剂量辐射的
1688797038# #英国绅士风度翩翩，英国淑女雍容华贵，百多年前的维多利亚女王时期，表面风光底却经济衰退失业无依人多。。但碍于家丑不外扬，政府下令街边不容乞丐露宿者，违者罚钱加流放。于是一便士酒店应运而生，就是在地下室铺些禾杆草再钉上绳子。。英国湿冻严寒，睡在一条绳上好过睡地下，室内空气不足，污烟臭气
1691628368# #日媒：中国将开放赴日团体旅游，最快今天解禁。日媒报道，中国政府可能在本周宣布重新开放日本旅行团出境，日本预计「爆买」消费重现。。在疫情前的2019年，有达1,000万人次的中国旅行前往日本，根据日本旅游局数字，今年6月有207.33万人次旅客入境，是疫情以来首次突破200万人次，与2019年同期少28%，而
1691845241# #香港议员叶刘客串点心服务员，没人认得出。。香港劳工短缺，饮食业更是重灾区。行会召集人、新民党主席兼立法会议员叶刘淑仪11日到港岛西区一间酒楼「客串」服务员，体验当点心姐姐的工作滋味。。她指，饮食服务业长期缺人，难怪行会同事、饮食界立法会议员张宇人认为业界要输入大量外劳，减轻本地员工压
1698651985# #美媒：华为前3季营收成长、净利倍增，挥别制裁阴霾。Mate60系列手机推出后，大受中国大陆市场欢迎，再加上数位能源、云端与汽车零组件业务的成长，华为最新公布资料显示，2023年第1~3季合计营收年增2.4%，达人民币4,566亿元（约合624亿美元），同期净利年增177.8%，达730.5亿元。。彭博报导，虽然华为并
1691730674# #疑未背熟经书被宗教老师掌掴，13岁巴裔男童视网膜脱落。香港一名13岁巴基斯坦裔男童怀疑因未能背诵经文在宗教学校被老师掌掴，导致视网膜脱落，需要接受手术。。香港穆斯林委员会在社交平台引述男童姐姐指，男童本身有视力问题，日前因未背熟《古兰经》遭到宗教学校老师掌掴，其后出现飞蚊症，到急症室诊
1698927393# #美国议员香港携枪被捕，法官准以2000元签保守行为2年。美国华盛顿州参议员StephenJWilson本月21日来港旅游接受海关检查行李时，被发现一支左轮手枪，被控一项无牌管有枪械罪。。法官苏文隆先查问控方考虑因素，又质疑StephenJWilson转机来港时先后经过2次安检，或显示其知情。再三查问后，终同意Ste
1692719786# #香港富商批港府，「想学中国」就要救楼市。近期香港在股市、楼市都无意下调或取消限制措施，也就是港人称的「辣招」。。前全国政协常委、拥有加拿大国籍的香港富商何柱国接受媒体访问时表示，港府「想学中国」、「想擦鞋」，就快点跟随取消「辣招」。对于财政司司长陈茂波，他直言「如果你没本事不如不要
1689751156# #港媒：内地辣妹公审港男「丧𥄫」:直勾勾盯着看」。在之前台女公审台男、港女公审港男后，港媒找到了内地女公审港男新闻。。内地博主「Lifestyle系辣妹」到港旅游后在小红书发相公审被港男丧𥄫，在上海从未引起侧目的她呼吁：「希望香港男人进步一点！！」帖文迅即成为热话。。该少女在上周于小红书发
1698569326# #港媒：重阳三天假近百万人次北上，港人迫爆福田商场食肆，深圳网民竟表示理解？。。内地网民，除了小朋友，基本都懂得社会财富增长，个人也会受益这个基本道理。只要是游客来正常消费，即使不是商家的其他人，也会欢迎。。粤港澳大湾区
1691499241# #香港拟简化辞退公务员程序。港府建议简化处理表现持续欠佳公务员的机制，公务员事务局局长杨何蓓茵说，新安排有助把将整个过程，由过往逾一年甚至两年以上才能终止聘用，减少至只需数月。她又指，如果让持续表现欠佳公务员留下，反而打击士气。。现时处理工作表现长期不达标的公务员，会先作劝喻、培训以
1688437105# #台蛙“绿委”叫嚣让解放军“出不了港”。台湾民进党“立委”赵天麟1日在美国演讲，主张要让解放军“出不了港、渡不了海、上不了岸，占领不了台湾”。。据报道，赵天麟1日在美国以“和平保台的军事与经济战略解析”为题发表演讲，提出所谓“拒止解放军四不战略”，即台湾自我防卫能力要足以让解放军“出不
1696902145# #庞大、可怜、又无助……。菜狗想下班但是被门卡住了深圳小天超话
1696082775# #大熊猫陆续离美，明年可能没有熊猫。日前在华盛顿动物园的3隻大熊猫已在美居住3年，预计今年12月回国。其他有大熊猫的美国动物园包括亚特兰大、圣地牙哥及曼菲斯，“要不今年较早时已将大熊猫送回中国，就是协议会于明年到期”。。美媒担心，这意味着除非中美短期内达成新一轮大熊猫派美协议，否则美国明
1691312442# #台媒呼吁台伪军救灾。台风杜苏芮除了对大陆造成多地灾害，对台湾省也造成严重影响。。南投县仁爱乡变9个孤岛，当地乡长称：断水断电3天了，快请国军救援。。虽然，解放军在大陆为老百姓奋不顾身，但不是中国军队就能救灾的。。台伪军就没这个传统，所以……只能呼吁咯……
1689855960# #中学生校内生子抛弃致死，感内疚认杀婴，法官判感化。香港一名中六女生怀上前男友的孩子，在学校厕格诞下女婴后，怕女婴哭声被听见，用体育服塞住女婴嘴巴，并将女婴放入袋中弃置街上，女婴后来被途人发现时已死。。女生在法庭上承认杀婴罪，并称觉自已活着，女儿的生命被她剥夺感到内疚，愿意监禁以弥补
1696174188# #今晚的香港国庆烟花汇演好多人，港警也都忙着维持秩序。。视频源自：ChowChow在这儿
1698795788# #港铁明起推北上优惠。为了方便港人北上消费，港铁早前公布明起（2023年11月1日）推出限时优惠，至2024年2月29日期间，早上9点后由指定车站凭八达通入闸，并在当日入闸前于站内的数码服务站领取车费优惠，前往罗湖或落马洲站，即可享有7折车费优惠。以宝琳站前往罗湖站为例，八达通车费为48.8，享7折优惠
1691058949# #一看就知道这个是猫山王榴莲
1694606566# #辐射超标，法国下令禁售iPhone12。正当美国苹果公司推出4款iPhone15之际，法国国家频率管理局禁止在法国销售iPhone12，因为iPhone12释出的辐射水平过高，超出临界值。。于2020年底上市的iPhone12释出的辐射水平过高有害健康。管理部门指出，作为无线电设备监测任务的一部分，ANFR对包括iPhone12在
1699182133# #美军低级军官推断，若「台湾有事」估7成台湾人愿留下奋战。美军上尉简吉米，在台湾2个半月，通过过搭乘计程车、逛夜市，甚至是泡温泉，与数百名台湾人交流与深入交流。。他根据交谈结果指出，若解放台湾战争爆发，估约70%台湾民众愿意留下来抵抗，20%离开台湾，10%投降。。他明确道，美军虽然不太可能并肩
1688698355# #日本NHK电视台报道，奈良有河水（核水？)因为污染，变成荧光绿。。日本生活深圳小天超话
1693661363# #真的吗？真的吗？假的话希望快点变真，真的话希望快点出讣告。
1694830039# #TVB财经：内地8月楼价继续下跌。房地产政策深圳小天超话
1694663509# #去内蒙暴吃碳水暴吃牛肉，回来一称胖了1.8公斤。。这段时间得修身养性，中午吃个盐水煮豆芽吧。。深圳人有多爱吃猪脚饭深圳小天超话
1695214003# #广州官宣限购松绑，增值税5改2！。9月20日，广州市政府官网发布《关于优化我市房地产市场平稳健康发展政策的通知》，宣布在越秀、海珠、荔湾、天河、白云(不含江高镇、太和镇、人和镇、钟落潭镇)、南沙等区购买住房的，本市户籍居民家庭限购2套住房；非本市户籍居民家庭能提供购房之日前2年在本市连续缴
1697510271# #美国、以色列认为哈马斯是恐怖组织，中国认为哈马斯是抵抗组织。
1696236290# #台湾人均收入按汇率算比大陆高，但按购买力还真比大陆低。
1695959688# #试试就逝世
1690087153# #美国以实际行动，践行100年不动摇的承诺。希望美国继续坚持，实现下一个一百年不动摇doge
1699926480# #虾蟹粥，原来自己在家做，看起来也挺容易的。。对，看起来……。厨艺教程
1691161414# #美国称发明治癌新药，能杀死70多种肿瘤细胞　。美国癌症研究机构，洛杉矶希望之城医疗中心8月2日宣布，他们成功研发出一颗名为AOH1996的药物，可针对不同种类的癌症实体肿瘤，未来或可成为一种有效治疗多种癌症的药物。。新研发药物AOH1996针对的是DNA内一种特殊蛋白「增殖细胞核抗原」（简称PCNA）。PCN
1696126137# #平时比较脏，所以纽约天气发明了这个洗车系统
1690855441# #我还是从前那个少年，初心从未有改变。庆祝解放军建军96周年
1694406531# #华为mate60pro让台媒大怒。大叫：台积叛将梁孟松，让华为震惊全球，郭正亮（台省名嘴)揭「已成公敌」。名嘴称中芯高层现在变成了美国跟台湾半导体界的公敌，自己也知道。。深圳小天超话
1695087481# #长大了，都长大了。深圳小天超话
1697384814# #今年以来，由于以色列总理内塔尼亚胡酝酿修宪，削减最高法院的权力，使得以色列发生了大规模的游行抗议，陷入宪政危机。。从这个角度看，哈马斯出手的好处，其一，以色列内部比较分裂和混乱，有机可乘；其二，内塔尼亚胡现在的政治生存就剩一张牌了：维护以色列的安全。。基于此，内塔尼亚胡有动力不断地
1694354512# #全球粮价普遍下跌，但米价再创历史新高。联合国粮食及农业组织（FAO）周五（9月8日）表示，8月份全球主食价格已降至两年低点。。该组织的食品价格指数自2021年3月以来从未降低到这一水平。与2022年3月相比，下降了24%，当时该指数在俄乌冲突后创下历史新高。。联合国粮食及农业组织在一份声明中表示，“这
1690013924# #人畜无害小白兔：我仅仅是想种菜而已doge
1699523392# #亚洲子宫？台湾拟允许代孕。BBC报道，台湾卫生部门负责人週三（11月8日）表示，当局计划修法解除人工生殖技术的限制，将「代理孕母」纳入其中。。据台湾媒体报道，官员表示，此次对于「人工生殖法」的修正草案可能将受术对象范围扩大至单身女性、同性和代理孕母。但如果“立法院”拒绝修订该草案，当局也
1694703342# #美.日.加：年轻人,这样不讲武德的,直接偷家！！！
1696410282# #阿美利卡自有国情在，你们这群不懂民煮的人doge
1690425098# #国家级直播带货哈哈
1690428932# #美国副财长：白宫必要时将对中国採取针对行动。美国财政部负责国际事务的副财长香博指，拜登政府会在必要时，毫不犹豫地採取针对中国的行动以保障美国及盟友的国安利益。。香博出席美国参议院外交委员会的听证会时指，美国及中国经济脱鈎几乎不可能实现，又说成事将引发灾难性后果。。香博同时提到，财政
1694163453# #香港暴雨一小时雨量破139年纪录。香港天文台今日凌晨1时许表示，大部分地区录得超过70毫米雨量，天文台总部周四晩11时至午夜12时录得一小时雨量为158.1毫米，是自1884年有记录以来的最高纪录，即创139年新高。
1692244419# #司机遇查酒驾强行冲卡逃逸。8月16日，山东临沂警察设卡查酒驾，一名司机拒绝停车，警车和路人车辆围困拦截，司机横冲直撞强行闯卡逃逸。。拒绝酒驾深圳小天超话
1689808102# #15名香港海关关员赴广州参加关务基础研修课程。为加强海关人员对内地海关制度的认识，15名香港海关人员于7月10至19日到广东省广州巿，参加由国家海关总署广东分署举办为期10天的内地海关关务基础研修课程。。广东分署邀请不同范畴的专家，为参与课程的人员就不同海关业务专题作出深入浅出的讲解，内容包
1693752281# #一家手机生产商发布一款新手机，世界第一霸权官方发言人就出来说这是赤裸裸的挑衅。。连卖部手机都能看成挑衅，这个霸权得有多心虚啊？。华为mate60开售深圳小天超话
1688382490# #东京市中心大楼发生爆炸。NHK电视台报道称，东京市中心新桥地区一栋大楼星期一（7月3日）下午3时15分左右（新加坡时间2时15分左右）发生明显的爆炸，碎片散落在附近一处十字路口，浓烟弥漫在事发大楼附近。。出事大楼的二楼窗户被震碎后窜出火焰。现场目击者称，他们在听到爆炸声之前便闻到了某种气味。。
1698133466# #犹太网红拍视频嘲讽被侵略民族的苦难
1688819308# #电影消失的她里，最喜欢的镜头。。看电影，最爱看坏人用好人的语气说听起来好像关心人的话，实则字字诛心。。这最能考验演员的表演能力，要演一个伪装成好人的坏人。。看这段“假老婆”的镜头，就有这个感觉。
1691137150# #香港去年6.8万人申请移民，跑加拿大最多。港府最新「香港居民移居外地的估算数字」显示，2022年录得10,300宗「无犯罪纪录证明书」申请，主要作移民用途，虽然按年减少30%，但仍未回落至2019年前数字。而根据英国内政部早前公布，去年有57,800份BNO「5+1」申请，由此推算，本港去年有约68,100宗移民申请
1689854898# #13岁少女愿当诱饵配合抓捕色狼，警监控下被载走性侵。台湾男子张男于2020年11月3日在网上撩妹，攀谈，以5000新台币（1158人民币)，对幼女「小君」进行嫖娼，另要求女童自拍裸露私密处的照片传送给他。。事后，因「小君」并未赴约交易，张男多次传送讯息恫吓「小君」公布其裸照，胁迫出面性交易；「小君」
1701305650# #下面一张好看
1697187095# #其实想想马保国，也就是和网友们搞笑一下，人畜无害，这样网红式存在也挺好。
1689034536# #性侵多人罪犯，狱中被刺多刀受伤。因性侵罪成而正在服刑的美国体操队前队医纳萨尔，在监狱内被另一名囚犯袭击，身中多刀受伤，但目前情况稳定。报道指，纳萨尔的颈部、背部和胸部有十处刀伤。。59岁的纳萨尔，在担任美国体操联盟和密歇根州立大学运动医学医生的20多年间，以治疗为名，性侵多名女运动员，
1698145283# #港人北上消费创新高，香港餐饮业表示担忧。重阳节3日假期约46.7万人次出境，创通关后出境港人单日最高数字。打破中秋节及十一国庆长假单日（9月30日）的38.12万人次纪录。。香港餐饮联业协会会长黄家和表示，数字反映大量港人趁假期北上消费，认为情况令人担心。亦显示政府近期推行「夜经济」措施作用有
1691318627# #给近来书荒的朋友，推荐一部爽文。前期:天下第一世家惨遭奸人陷害家道中落后饱受欺凌。。中期:幸得天下英豪相助共同击退对手重新树立威名。。后期:卧薪尝胆奋勇向前稳居世界五大门派前三位。。看简介就很爽吧，以下是爽文封面。。深圳小天超话
1688221450# #论打架，出身礼仪之邦的华人，说实话真不是黑阿的对手，因为它们出手特狠，好多都是一言不合，上来就直接下死手。。后来我跟一个阿人交流，我问他：你们生在法国，长在法国，也是法国籍，为何还要跟法国政府过不去？。那个阿人（法籍阿尔及利亚裔）的回答是：当年法国殖民了我们，抢夺我们的资源，奸淫我
1694403956# #上海一女子掉入地铁站台缝隙。9月11日，上海西藏南路地铁站，一女子不小心掉进了地铁站台的缝隙中，大腿被卡住不停哭泣。。现场有多名乘客在一旁大喊不要关门，并及时进行报警，地铁站务员也立即拉下红色紧急制动按钮、并用对讲机让告知地铁不要开。
1695185874# #加拿大版排名称内地军事干预香港。加拿大智库菲沙研究所的《世界经济自由度2023年度报告》显示，香港以8.55分排名第二，新加坡以8.56分位居第一。。港府批评该报告不符事实，并表示对此感到失望，就报告中提及到的「内地军事干预香港法治」，港府指这是完全虚构和违反事实的。
1690763009# #11内地男赴港“收数”，涉非法集结被捕。香港旺角30日发生非法集结案。下午约4时，警方接报指有人在旺角花园街一商铺聚集，警员接报到场截停11名内地男子（28至43岁），经初步调查后，11人涉非法集结被捕，案件交由旺角警区反三合会行动组跟进。。据了解，11名被捕男子全部持内地居民来往港澳通行证，怀
1694500185# #2023年国家网络安全宣传周
1695617541# #国产飞机获国外订单，汶莱一口气豪买30架！。国产客机C919首度获得国外航空公司订单，买家为汶莱骐骥航空（GallopAir），共採购15架。骐骥航空还同时採购15架同为中国国产的ARJ-21型机，是ARJ-21的第2笔国外订单。。骐骥航空是在广西南宁举行的第20届中国－东协博览会上，签署上述30架客机的採购意向书，
1691295713# #26架军机环形侦察山东舰，歼-15即驱离。央视8月2日播出节目，提到解放军航母山东舰早前在西太平洋远洋海训期间，遭遇「外军」环形侦察，军机数从5批10架逐步增加到19批26架。专家分析所谓外军就是美军航母尼米兹号，这也被认为是「中美航母对决」首度公开。。两个判断原因，一是只有美国航母才能在出动如
1692689559# #怎么又是天津着火？。8月22日下午，天津市南开区一处高楼突发火灾。网传视频看，楼层高灭火难度大。希望不要有人员伤亡。。天津失火高楼冒出滚滚浓烟
1694268404# #呼伦贝尔白音盟古乐景区的湖。图一整齐的蒙古包和草原蓝天是不是觉得很大搭？其实，那是蒙古包状的别墅小屋（图9)，水泥底座，落地玻璃，看了下高德，一晚750多呢。。讲解员小姐姐说她们部落是2018年才按照国家政策定居的，这些度假“蒙古包”也是国家建的，吸引游客来发展当地经济。。国家分了2000亩草地
1695866375# #寻找失散儿童，要依靠刑事技术的提升。不然以一张婴幼儿照片，来找一个人到中年的成年人，根本认不出来。
1696600124# #什么是日本流水面？就是下桌人吃上一桌夹剩的口水面。不过，日本商家会包装，硬生生把一个不卫生，浪费水的素面，包装成高大上。。所以日本流水面致892人中毒，在这种不卫生的环境下，自然也就成为必然了。
1692545588# #大家都是有爱美之心的人，只是想追求美好事物。。爱美，不分男女，你看也有小姐姐跟着拍不是。。街拍引发国企老总落马侵权吗深圳小天超话
1693793248# #岸田强力报复！。日本海鲜不卖给中国，卖给美国。。太可怕了，以后只能去美国才能吃到正宗辐食了doge
1692432580# #一缅北诈骗集团在安徽铜陵被公诉。。8月14日至18日，安徽省枞阳县人民检察院公布四份涉及境外诈骗案件的起诉书，均与福建人欧某甲、欧某乙（境外在逃）在缅甸果敢东城区的诈骗集团有关。。该诈骗集团在2019年9月至2021年3月期间，以“翱翔”等名字的公司名义在国内招募人员并组织偷越出境加入公司，并针
1697197346# #衰衰衰
1696932384# #真可怜
1694832707# #澳大利亚媒体认为Mate60Pro的零件似乎仍有来自韩国SK海力士的内存。。以此为证据，澳大利亚专家认为中国不可能在短期完成芯片研发，因为该研发需要历经“数十年”。。就算是现在有突破，专家依然认为至少要再经过3至4年的时间。。华为发布会深圳小天超话
1699181441# #日本将对菲提供海岸监视雷达。据共同社报导，日本已开始向菲出口4套国产防空雷达，据称新出口的雷达将是不同型号。在与主张南中国海权益的中国对立加剧的形势下，菲军期待通过引进此次与日方达成协议的海岸监视雷达，不仅在空域，而且在海域也能够充实监视网。。监视雷达的提供金额为6亿日元（约合人民币
1695869123# #深圳故事城市文明全球交流计划亮相狮城。舞剧《咏春》讲述了中国文化传承创新和平包容精神的故事。谈及《咏春》，深圳对外文化交流协会副会长张忠亮说：“深圳的文化艺术正处于快速发展阶段。舞剧《咏春》就是其中的代表。这部舞剧讲述了一个关于中国功夫的故事，也是讲述中国文化传承、创新、和平、
1697609719# #以色列为正在屠城行为做的文宣，估计欧美大部分人只能看到这种吧。
1694681592# #警方通报上海一中学疑似发生投毒。据上海公安局浦东分局官微：9月12日15时37分，浦东公安分局接报警称，下南路某中学有多名学生身体不适。经初步调查，该校学生杨某某(女，13岁）与同班同学郑某某（女，13岁），于当日上午趁体育课期间返回教室，将具有清洁漂白作用的混合液倒入同班学生的水杯内，导
1690158072# #为啥我今晚去福建福州，台风就升级为超强台风？这是对着我打吗泪。「杜苏芮」已于星期日（23日）晚升级为「台风」，该热带气旋会在未来两三日逐步增强并横过吕宋以东海域，星期三（26日）将成为「超强台风」，靠近台湾一带。。台风深圳小天超话
1689423430# #今晚重庆的晚霞真漂亮。。不知道是不是因为近来南海上的台风呢？。前几天深圳的天也很漂亮，然后……台风就来了……
1691896032# #碧桂园11只境内债周一起停牌，拟举行债券持有人会议。碧桂园旗下碧桂园地产集在周六（12日）晚间发表公告，宣布旗下一批境内公司债券，自周一（14日）开市起停牌，復牌时间另行确定。公告表示，因近期拟就公司债券兑付安排事项，召开债券持有人会议，根据深圳证券交易所相关规定，经公司申请，有关债券
1694765948# #美国民调：拜登支持率仅领先川普1%。美国昆尼别克大学13日公布民调显示，47%受访者表示会投给拜登，46%的人会投给川普。。若依年龄层来分，55%的18岁到34岁受访者称会投给拜登，而51%的65岁以上长者力挺川普。。41%受访者支持川普的观点，而54%的人不支持川普。相较之下，不支持拜登政见的受访者有54%，而
1696048459# #支持！这才是知行合一。
1698662158# #缅北战争的原因——打击电诈。佤邦无条件的配合中国警方，甚至副总司令让中国警方抓走受审都一声不吭，正是畏惧中国的影响力。。而邻居果敢不畏惧，那就正好拿来树个典型，让缅北的军阀们看一看，听中国话是什么下场，不听中国话又是什么下场。。10月27日，老果敢王麾下军队缅甸民族民主同盟军宣布发动全
1692606936# #港媒：传李嘉诚抛售北京最后一个豪宅，每平方米跌穿10万！。2023年7月，北京商品住宅供求均回落，成交量跌至近5个月新低。今年1至7月，北京商品住宅（不含保障房）同比下降5.1%。亦有豪宅研究数据反映，7月北京新房豪宅网签量为290套，环比下降7.64%，同比下降58.98%，连续4个月下跌。。港媒称，有迹象显
1695809216# #姑娘很好看
1688306707# #比5G还快十倍！华为宣布将推5.5G网络设备。华为宣布将在明年推出商用5.5G全套网络设备！华为董事兼ICT产品与解决方案总裁杨超斌表示，这也标志着信息与通信技术（ICT）行业即将迈入5.5G时代。。据华为介绍，目前全球已有260多个商用5G网络部署，服务超过12亿用户，其中包括1.15亿千兆F5G（第五代光纤网络
1688364225# #东南亚某特色酒店，这睡醒了……会不会到了另一个世界。。深圳小天超话
1697438201# #看热搜里的支原体肺炎，我发现我有胸痛、咽痛、头痛的症状，一动就出很多汗，全身乏力，血压也莫名其妙升高。。这是怎么了？是不是我是二阳的后遗症没好？都一个多月了吧。。支原体肺炎主要症状有2个
1689519580# #我的评分：星星星星星星星星星星。人为什么要多读书？。和别人喝酒喝hi了，有文化的人会说：。人生得意须尽欢，莫使金樽空对月。。天生我材必有用，千金散尽还复来。。烹羊宰牛且为乐，会须一饮三百杯。。岑夫子，丹丘生，将进酒，杯莫停。。。而我，只会说：。五个六，开不开？
1694879619# #3分钟讲解地铁是怎么修建的。。科普一下深圳小天超话
1699241003# #视频里这个以色列国防军，也就只能欺负巴勒斯坦老弱妇孺了，遇到同样装备的成年人，还不被对方秒杀？
1692663733# #牛肉米粉卖250碗，网民震惊：我食不起！。香港九龙城方荣记向来都是香港网红餐厅之一，不少人慕名前去用餐。早前有港男发文大赞其牛肉米粉相当好吃，更指自己本来是要叫牛肉河粉，不过河粉卖完唯有转叫米粉，谁料味道令人惊喜，事主更大赞「原来牛肉配米粉，竟然是绝配，难怪食河粉口感总觉得美中不足，
1693730901# #听讲解怎么挑海鲜。。如何选螃蟹，如何挑鱼，还对着开水哥的书看日常市场见到的鱼。鱼不够就进里面超市抓一只出来讲哈哈。我才知道，原来带鱼没有养殖，不是因为它是深海鱼养不了，人工养殖中国已经实现了，主要还是因为太便宜没有经济效益。只要有需要，随时可以大规模养殖。。
1690727684# #7月468万人次北上，香港专家：香港难留港人消费。7月份港人北上人次逾468万，较6月再增21万人次，港媒推算，港人7月在内地消费金额高达32亿元至40亿元。。港中大商学院亚太工商研究所名誉教研学人李兆波认为，港人北上消费的势头会继续发展下去，续以周末出外吃饭为例，不少香港餐厅有限时，店内空间较挤
1690097611# #鸿星尔克除了给河南水灾捐款，也为繁育大熊猫做贡献。福建企业那么好，以后我再也不吃福建人了
1692460142# #国台办重大成绩，两岸民意罕见高度一致，台民调73%支持中止ECFA。国家商务部4月12日启动对台湾贸易壁垒调查，将依据有关规定研究中止或部分中止两岸经济合作架构协议（ECFA）下，给予台湾产品的关税优惠。。台湾网媒《庶民锦鲤》18日发起民调，以「国台办宣佈支持中止或部分中止ECFA对台关税优惠！你对此
1694520288# #成龙在华为店呆半小时，没买到华为mate60pro。华为Mate60Pro受消费者欢迎所以「一机难求」。日前就有网民于小红书分享，表示于成都崇州华为专门店遇到成龙买机。。网民指成龙当时逗留约半小时，期间把玩了一阵Mate60Prodemo机，就向店员求购，可惜被告知库存短缺没有现货，最后只能买另一款华为
1691378617# #汗大师何不物理超度？
1699145256# #日本投降后，一个英国海军在香港与日本兵交谈。。这个日本兵非常矮，还是一个军官。日本兵虽然普遍个头不高，但他们在打仗时，英国人通常不是他们的对手。
1697867802# #才知道生蚝养殖，是这么养的。。还以为一块块大岩石，一点点的敲。。我还是肤浅了。。生蚝永远也想不到的事
1694160233# #天苍苍，野茫茫，在草原上，正所谓驾长车踏破……。等等，这车长是够长，但怎么有点奇奇怪怪的。。呼伦贝尔旅行深圳小天超话
1694011176# #瑞士经济学博士：美元主导地位摇摇欲坠。被称为“末日博士”的瑞士经济学家麦嘉华在最近表示：“我认为，随著时间的推移，不是明天，而是随著时间的推移，美元将成为一种毫无价值的货币。”。麦嘉华对美联储持高度批评态度。他说：“美联储和其他政府机构、其他政客和政府官员一样，都在撒谎。他们从不
1695132206# #香港旅游热点「一成不变」，旅游业委员建议学习北京、上海。北京市朝阳区政协委员、香港旅游业议会内地来港旅行团事务委员会业外委员黄梓谦他说，自香港全面通关后，不少市民北上消费玩乐，当中深圳更成为港人旅游热点，更惊叹内地各城市休闲活动众多，令人目不暇给。。他指深圳过去4年积极建设新的文娱
1694707779# #日本领事：对众多香港人热爱日本的心，深表感激。第8届「日本秋祭in香港」将于10月起举行，在香港多个地方举办市集、运动体验班及饮食推广等。日本驻香港总领事馆总领事冈田健一出席新闻发佈会时提到，香港是日本极其重要的合作伙伴，两地拥有紧密的经济及文化交流，今年7月访日香港旅客人数接近22万人
1695035753# #香港旅发局向旅客派总值一亿元晚间消费券。港府启动「香港夜缤纷」计划以促进香港夜经济，香港旅游发展局今日（18日）公布本月至今年底推出连串活动，其中至少10招助谷香港夜经济，除了贊助復办中秋节大坑舞火龙，也会特别向内地及海外宣传亚洲最好气氛的香港万圣节；五年来首復办的实体美酒佳餚巡礼，
1689642796# #台毒分子将过境美国，布林肯呼吁中国勿挑衅。美国国务卿布林肯周一在美国国务院见记者，他被问到台毒分子赖清德下月窜访巴拉圭是否过境美国时指，基于旅程长度，过境是依照惯例的做法，又指过去数十年都有类似安排，中国不应藉故作出挑衅行为。。布林肯：「中国没有理由利用这次过境作出挑衅行为，我们致
1699155403# #【21位民谣歌手齐聚深圳听属于深圳烟火的歌声】。城市民谣将成深圳新的文化名片吾城吾歌——新时代中国城市民谣歌汇“烟火有声”专场于11月4日晚在深圳欢乐港湾庆典广场揭开序幕。来自全国各地的民谣歌手、乐队和音乐人空降深圳城市新地标，尽显民谣魅力，传递各地民谣质朴之声。（深圳特区报）
1693647891# #乱港组织称港人对香港前途信心大跌23%。长期收取美国民煮黑金的乱港组织“香港民意研究所”，擅长为目的制造各种假数据。。该组织近期又编造一份特首及政府民望民调，称据起民调，港人对香港前途信心净值较半年前大跌23%至4%，回到2022年初李家超上任前水平。。对香港前途有信心的港人由半年前的61%，大跌
1693111795# #以后不吃日本水产了，看点没辐射的广东水产吧。。日本国内超市停买水产品让日企心态崩了
1688815762# #美国称已经销毁所有库存的化学武器。。美国总统拜登在一份声明中说，已经安全销毁美国最后一件库存化武，是一枚装满沙林毒气的M55火箭。由于美国之前是申报拥有化武的国家中唯一未完成销毁的国家，意味到今日全球申报库存化武的国家，已经全部销毁化武。。深圳小天超话
1695470489# #港媒报道昨天香港尖沙咀的“星光夜市”。。作为路边摊来说，烧麦的价格好像也不便宜。。粤港澳大湾区
1698479078# #某企业内部培训曝光：。客人就是要开心，你让他摸，他才开心，我们的目的是赚钱，把服务做好，配合度高一点。好不容易来了两个客人，爱答不理的……。转自：夺命书生
1692526030# #点爷good
1693898477# #与印度贸易谈判既“漫长又复杂“加拿大喊停。加拿大出乎意料宣布，暂停与印度进行双边贸易协定谈判。。两国自2010年开始进行有关建立贸易伙伴协定的谈判，中间一度停顿，去年重新恢復谈判。今年5月，双方曾暗示今年内有望达成协定。加拿大总理杜鲁多将于下周访问印度。。不愿透露姓名的加拿大官员周五向
