1692780922# #单身狗单身狗单身狗单身狗单身狗
1700232414# #给大家分享一个我开会的小技巧，开会的时候不要纯记领导讲话的重点，而是按照会议的一些重点来梳理工作思路、理一个框架出来，注意要选择合适的站位，一般来说并不是梳理自己的工作思路，而是站高一级（视情况可以站高两级、三级）来谋篇布局。这样会议结束了，你的工作思路也理出来了，无论是事后汇报
1703397912# #好biu特佛
1687937799# #看了阅读量好像是被夹了
1703575248# #看到拿吃草说事儿的都觉得无语，多大点事儿啊，莲莲连马桶里的纸都能吃吃个草怎么了白眼
1701510717# #我的天呐，现场居然还有莲粉弄了虞姬的全套扮相，这个是我最服的跪了
1704610868# #牛逼
1693569708# #急急急急急急急好想看抓狂
1702542136# #文艺复兴一下，unicorn抱一抱
1689912430# #看散人直播回放，看了《梦蝶》《文字密室逃脱》，感觉这类文字解谜游戏太太太太tm有意思了，又有中国文化特色，又有完全崭新的游戏体验，好喜欢！多出！
1702820243# #如果一个男生看到了美丽的风景会拍照发给你，我的天，他肯定是想你了，想跟你说他很爱你。
1691585270# #我才发现p6这个首发概念图，esc键上刻了六点，escape和6是吧，你这线埋得够深的啊烧哆啦A梦害怕
1701422508# #小绵羊是宇宙法则可怜
1689395927# #我不知道今年暑期档算不算正常，感觉好卷啊，国产片质量又好类型又多，进口片哪怕质量还过得去只要题材老旧也休想分一杯羹，跟现在的新能源车市场似的。
1693487564# #暑冠！鼓掌鼓掌
1693493828# #哎哟我去你居然发总结了amazing笑cry一番成绩要多宣大宣特宣哦亲亲
1692288092# #成都人有自己的citywalk爱你
1692699930# #申张挣亿已被认证拳头
1697538947# #以色列用白磷弹袭击黎巴嫩边界白磷遇到空气就会自燃，燃点极低，如果吸到肺里就会在人体内燃烧，烧穿皮肉，深至骨头，直到烧尽。这就是白磷弹为什么被列为违禁武器。
1694448821# #煮酒？煮酒论英雄？你们有什么小故事是我不能知道的可怜
1694584843# #血压最高的一期出现了……裂开。
1691666472# #10亿了~内地影史第109个过了10亿门槛的片子，再接再厉送花花
1703059088# #突然发现doge
1704867299# #太喜欢看他聊事业规划了，演员粉和歌手粉都幸福了
1700638271# #笑得我，吸引力法则得证了偷笑
1688390684# #乐乐单身狗单身狗从大学就看散人和乐乐的日常，这么多年早就把乐乐当做一个熟悉的小伙伴了单身狗
1697623036# #你号终于找回来了啊…你们可以为之争取的舆论战场不止外国社交媒体，还有这里，请发出你们的声音，让我们见证，让我们记录。
1692861245# #裂开
1688094962# #卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽，这个眼神真好！。。张艺兴超话电影孤注一掷张艺兴孤注一掷
1691119172# #哇塞，我又有同事主动提到了缅甸嘎腰子的电影，我说这周末就上了，她说真的吗她一定要带她爸去看，我从来没有过如此顺利的推销……
1698303411# #联合国吵架这个活儿确实有技术含量，我反正是干不了一点，听完以色列代表的发言，我已经开始酝酿嘴臭回去了太开心
1699632376# #出票了，位置感觉还不戳可怜可怜好开心可怜可怜
1699592819# #成都口号我想要这个😭
1692865795# #你个司马玩意儿，不反对即支持，就是你这个孙子不坚决反对因而给日本他妈的开了后门、搭了台阶，我r你先人
1702436999# #字字泣血
1702726303# #工作这几年，我感觉我是心胸越来越开阔了，同龄人所焦虑的那些东西完全不为我所动，甚至我都感觉到了自身有一股禅意，并不会为物质世界而患得患失（理想、道路坚定了，心志就自然而然会坚定）。。有时候我都觉得我踏马都快成得道高僧了，却发现zyx仿佛是我红尘俗世的唯一牵绊。挺正经一个人，依然逃不过
1703733989# #戒戒倾情推荐《孤注一掷》笑cry
1688526197# #我看到有人问大包里装啥，我用我常年的观察告诉各位：装了非常厚重的笔记本，鼠标，雨伞，游戏机，可能还有想要看的算法书，甚至最近准备的考编、考研、考证的学习材料，以及加班熬夜通宵用的吃穿等日用品比如牙刷牙膏漱口水等。
1691241154# #我能说吗？大盘涨速变慢了，因为孤注一掷今天的点映放完了笑cry
1690968294# #谨慎乐观可怜
1691471948# #孤注一掷馒头孤注一掷里关于馒头的细节：。1.馒头+盐水，在当地应该是常见的折磨人的手法，因此饭店老板感叹了一句：吃馒头的那个怎么还没死。。2.因为馒头+盐水，潘生已经处于非常口渴的状态，才会在反派倒水戏弄他时迫不及待地喝起来，这是求生本能。反派也用这种方式成功地让潘生妥协，再为他们效
1696954205# #以国已经够拟人了，更可气的是西方各国对以色列狂轰滥炸巴勒斯坦几十年的事实视而不见仿佛瞎了一样，以色列一挨打西方国家一夜之间集体复明了。我知道你们这些人虚伪，但也太tm虚伪了，哕，恶心，真tm恶心。
1703652624# #“这位夫人每年都会来扫墓，回忆一些或甜蜜或苦涩的过去，然后嘱咐把棺材盖和坟头水泥加固一些”
1700136412# #也不要怀疑莲会不会转型幕后了。笃定的说：不会。莲是需要被爱的人，演唱会就证明了。而且他有很旺盛的表达的欲望，舞台可以尽情表达，所以他喜欢；当他发现演戏可以加入自己的表达，他就发现了演戏的魅力并且爱上了演戏。喜欢表达这一点最早可以追溯到莲的学生时期，喃们学生莲虽然是化学课代表，但是
1699538154# #送给一切前同事亲亲WelcometoCDC.
1694425601# #卧槽卧槽卧槽卧槽卧槽卧槽卧槽卧槽！
1702967608# #妈的，最烦这种自我之上人人平等、自我以下阶级分明的小资
1700301237# #离得好近，好幸福哇哇哇
1701912655# #allin第二段好适合走秀踩点啊，走在路上听到这首歌，鼓点踩得得我感觉自己是超模🌝
1702648115# #传说ohoh。张艺兴超话
1699259133# #特别好。我稍微上一点价值：像秧歌这种简单明快的中国民间文化活动，形式简单又可以组织大多数人，如果能在非洲民间普及开来，对于非洲本土的乡土文化纽带也很有帮助。人对于土地的情感除了物质给养更多还有人与人之间的社会关系存在，人对土地有了感情，内心自然趋向安居乐业。
1697205712# #我看新闻说第三届一带一路国际合作高峰论坛将会是今年【最】重要的主场外交。上半年我印象最深刻的主场外交是中国—中亚峰会，规格很高，很有大唐气象，我很喜欢。一带一路高峰论坛甚至比这次峰会还要重要，应该会有很多很丰硕的成果，我真的超级期待。世界破破烂烂，老中缝缝补补。
1697519986# #彩虹屁
1693879615# #另外，电影在马来西亚大爆更不能开除男主了，就孤这个阵容我们可以笃定地说：全片有且仅有张艺兴这一个在海外也拥有知名度的大咖。宣传全靠男主。
1703683529# #我虽然会担忧，但是还是有信心，因为过去的这十年。
1694689853# #还有人没看过这个视频没？特别有小时候看电视人与自然节目的感觉，就是那种一个洋人在林子里一边走路一边介绍动植物，只不过这次是中国自己的森林、动植物和主持人打call
1692237296# #慕名去看了戒社的几个视频，看了几个赌狗给戒社发的狡辩的忏悔私信，越发感觉孤注一掷写的顾天之这个赌徒写的太他妈真实了，完全就是真实的家境尚可、受教育程度高的赌徒，太太太太太太他妈真实了，让人怀疑烧导一顿吃几个赌狗的程度。
1694519902# #台胞在闽定居落户实现“愿落尽落”→我的解释是：给台湾人民的投共窗口期，打好标签，精准和统。
1692155000# #谈一下张艺兴对于演戏令我非常欣慰的一点。。changsha夜生活里有一场何岸与父亲起冲突的戏，那场戏他强烈建议导演不要按原定的父亲打了他一巴掌拍，应该改成何岸自己撞到头了，这样后面父子和解才有可能，打一巴掌基本上这关系就没有回旋余地了。。当时我就觉得，他真的很适合做演员，他读懂了剧本，演对
1698032151# #之前也跟朋友讨论过这个问题。一切种族矛盾都应该是经济矛盾派生的。我认为欧洲对犹太人由来已久的歧视性大概是源于经济活动上日积月累的矛盾，而这种日积月累的矛盾明显在二战后的叙事中并不存在，二战后的叙事里排犹仿佛没有前因直接发生的，这点会让普通人也觉得奇怪。
1688098560# #孤注一掷预告片在B站下面的评论区笑死我了，玛德，美女荷官看成姜文荷官允悲电影孤注一掷
1688703410# #呜呼！好耶！整治厕所咯偷笑
1700477241# #哦买噶，好biu特佛
1692857752# #转发微博
1703006603# #卧槽……平地泥石流……这可怎么逃啊
1696052384# #张艺兴的舞台表现力是统治级别的
1693894265# #芜湖！牛的！11个窝点！
1704816094# #张艺兴超话对于《传说》，想推荐贝壳们走玄学宣发，搞点好彩头吉利话啥的：。比如，龙年第一天看成龙电影，龙年大兴。。比如，龙兴之年，生意兴龙。。等等等等。。也请贝壳们也想一点吉祥话，咱们一起合计合计、参考参考哇吉祥话可以单提大哥，也可以单提艺兴，也可以两个人一起提哇
1697620040# #图八，和视频里小朋友做游戏的游乐场是同一个。这个游乐场之前还有很多小朋友一起玩耍，现在游乐场支离破碎，小朋友们也真的粉身碎骨了，图7屋顶上有只小手。
