1701921879# #南方也有大浴池啊，大家不都是坦诚相待？
1692883116# #自信点，把估计去掉。
1696554218# #转发微博
1696324478# #昨天看电影顺带逛了圈，发现商场里突然多了几处刮刮乐的彩票摊点，围着刮的人还挺多的。
1700264010# #金晨为智己LS6交车智己这车蛮好，请金晨代言匹配，应该出插混款。
1698214666# #解决就业难的问题只要严格落实8小时工作制和双休，一招解决问题。
1693284982# #基本人都是想着去搞诈骗事业赚大钱赚快钱快速致富的。成了别人盘中菜挨打受虐了，或被抓了，就说是被骗了。。。警察称自己接触的缅北电诈者95%是自愿缅北，这个滋生野蛮与暴力的电诈聚集地，在一些人眼中却是淘金的目的地。公安干警老张从2021年开始从事反电诈和劝返营救工作（身份已做模糊处理），两
1697015512# #成蕾被驱逐出境央妈怎么会请一二鬼子主持节目？
1699483242# #中山二院黄某家属称其病情严重已进入临终关怀阶段，止痛药的剂量逐渐加大，频次逐渐增加。。某教授导师的冷血残酷，，无论你技术医术多牛，人品和医德都是负分，不配做人。
1690600932# #原京东副总裁称不创业可能不会得渐冻症这有什么必然的关系吗？基本的逻辑问题。
1703405868# #朱令再见前面分析了凶手，再来说说本案的遗憾。。1、接诊医生李舜伟曾怀疑是铊中毒，可惜没坚持朝这个方向去检测排查。否则朱令至今安然无恙。。2、学校某些人出具学校无铊盐，误导了医生诊治。。3、当朱令确诊是铊中毒，朱家要求报警，要求封宿舍封存物品。某教授警惕意识不高，没有立即釆取措施，导致
1697498049# #成都咬伤女童大黑狗有主人狗奴在哪？咬人了，都没人敢来认爹了？
1698235289# #南京22年前命案嫌犯落网时正在服刑我还以为是南大碎尸案破了。
1698902823# #湖北大学保卫处回应情侣与校外人冲突女的穿着性感风骚，男的眼光色且凌厉，让女的感觉被“视奸”了。哈哈以后出门都闭着眼睛走路
1693832762# #这哥们有点小帅，可以去做播，一样可以成为大妈之友！
1694230230# #转发微博
1687487273# #刘亦菲去迪拜了刘亦菲去哪都正常，去迪拜有啥稀奇的，这也能热搜。
1688427587# #婚后没性生活的我理解，尤其是婚后几年的。
1688484843# #女子称入职时被要求上交毕业证原件首先公司这样做是违法的，其次遇到这种公司赶紧避开，肯定有猫腻。
1695202708# #狗仔曝张鲁一疑似失踪半个月就看第16天能不能找到人。
1691491601# #多地鼓励生育措施再加码能加码到什么程度？大家心知肚明的根本性问题不解决，靠些有得没得的措施能有什么效果？
1700635899# #克扣学生实习报酬当事人被采取强制措施把全国所有的职业院校都查下，干净的基本为0。
1689031254# #逻辑思维加丰富的社会阅历。
1690512513# #确实是，捡漏的那几所基本达线就上，只是包邮区的孩子，包括家长也不愿意孩子出远门读书。
1687349068# #警方将侦办炎亚纶事件麻烦大了。
1695356493# #你们看看，这是不是骗子？
1695128849# #现在也有，偷偷的地下干活，比dxd接头还隐蔽。
1698536573# #扎心了。哈哈
1689641299# #这与地域没关系，张雪峰给全国各地辅导志愿填报呢，他人在苏州。
1698840840# #上百人哄抢药材主家崩溃大哭又是那地方。
1692089833# #路上见了各种风格的车，最能拨动心弦的还是坦克300。
1704094949# #关键是你男的怎么来证明用了这姿势？
1698405842# #章子怡离婚后首次公开亮相挺好的，没像别的艺人离婚弄的鸡飞狗跳，一地鸡毛，恨不得把对方短裤给撕了。
1687487809# #成都现不明飞行物或为火流星流星大家都见过的，成都这分明就是流星。
1696778138# #人家站阳台上抽烟呢，你非说他在叫，能不气急败坏？
1702696757# #女老师坐大腿！允悲@俞敏洪
1689255384# #魏大勋说跟杨洋的眼神戏没赢过魏总现在上热搜挺勤的。
1694559785# #网传四川大学华西医院发生情杀案？
1691981435# #央媒呼吁让医疗回归治病救人初心走的太远了，很难回归了吧！
1698587838# #现在新能源产能过剩，隔壁做电池的某大厂明显的业务量下降。三期还在建设中。局面有点尴尬。。。特斯拉的势头衰减也是必然的。特斯拉主打科技，车子的质地并不占优势，将很快被国产其它的车企追赶并超越。。。在数据安全方面特斯拉也吃大亏的，很多单位和敏感地区都会有限制。。。比亚迪为代表的电车企业势头
1690722374# #转发微博
1699671393# #市民驾车与野猪相撞被判全责这又没办法，总不会判野猪全责。
1687563084# #景区称被拆大门是公司的资产牛逼大了，估计也把自己的位子拆完了。
1699994702# #转发微博
1687525575# #目测是两辆网约车。相煎何太急！
1695212099# #专业的事扯淡，扯淡的事专业。允悲
1703290255# #郑强教授是一位非常优秀的教育工作者
1701475901# #张纪中曝光前妻隐私被判罚2万现任得盯紧，那眼睛直勾勾地盯着吴春怡看。老色批。
1689737031# #终于把首负揪出来了。
1689208396# #杨采钰红毯造型好飒本来印象挺好的。和陈金飞来这一手，毁了。
1695545123# #女生地铁被偷拍市民发现帮拦人又不是偷拍隐私部位，搞的这么紧张干啥？
1693362325# #他们想查你的信息，分分秒秒的事。
1698657563# #今年的双11，阿里和京东难敌拼多多。
1700794245# #长安汽车回应网传入股华为车BU长安汽车几时能换个有点逼格的车标？
1687753448# #嗯，整天叫你刘四亿。
1699877649# #这种畜牲死都不足以平民愤。
1693572630# #刚刷了会小视频，榜一大姐二姐三姐小火箭乱窜。弄的我也想去做直播了。
1688804614# #公然挑战《反垄断法》，这是汽车工业协会组织16家赫赫有名的车企干出来的事。
1695476634# #晚上好！
1690514518# #美女被狗糟蹋了。馋嘴
1691499908# #于适张雨绮疑似分手不稀奇，半月谈。
1696931032# #警方撑握的线索很多，等结果。
1691496087# #邓超同志被评定为烈士这…能不能区别下？允悲允悲
1687572214# #为什么夏天大家都不穿凉鞋了我还真的想穿凉鞋，可惜整天和铁疙瘩打交道，经常要去车间，已经十几年没穿过凉鞋了。
1698660488# #反垄断办称正调查核实李佳琦被指控价早就该出手查了，对于这种上霸凌商家下忽悠欺诈用户的网络黑社会，经济社会中的毒瘤必须铲除。
1698743553# #老王摇着扇子，边走边左右伸望。突见前面栏杆上倚着一妖艳女子，一手叉腰一手捏着一巾红绫朝老王挥手：大爷，过来玩会。
1697335281# #炮没约成，怪谁？动点脑子好吧，调整下程序，先打炮再讨论。
1698245797# #李佳琦直播间卖假玉商家曾想5万私了在李佳琦直播间买假玉当事人申请立案希望在李佳琦直播间买东西的粉丝都去做鉴定，起诉。
1692884241# #概率问题，没法管的。。。你搜新闻，哪怕搜高职位+谋杀，也有不少。。。搜出租车司机+qj也很多
1693875721# #一女干部要求每块砖缝无尘土沙粒领导干部一定得有基层工作经验，这个基层工作经验还不能是镀金式的走马观花，按照在每行业干5年成为专家的理论实践，得沉浸在基层起码4-5年。。有基层工作经验的领导干部决策就不会行云流马的凭空想象。很多工作想着很简单，可实际操作起来决非易事。。现实中，具体执行
1702699515# #东方甄选孙东旭被免职CEO的替代性强些，角儿替代性不强。当CEO和角儿发生冲突时，当然是替代性强的倒霉。。当然，从管理者的角度来说，孙东旭做的并没错。一个集体不能靠一个人，把宝押在一个人身上，对角儿要有牵制，要培养其他角儿，百花齐放才是春，一枝独秀不是春。。只是孙东旭选择的方法有些不妥
1703853858# #比老胡少三个0。
1690772726# #说谁呢
1688525299# #阿雅毛发及尿液检测报告直接甩毒检报告，硬气！
1697345928# #这电影我没看过？爬楼看下我前面的微博。
1694487924# #比亚迪汽车电池为何越换续航越短【30多万的比亚迪汽车电池越换越差】2019年10月，南京市民裘先生在江苏朗迪汽车销售有限公司花了30多万购买了一辆比亚迪唐EV600D电动汽车。今年5月份开始，裘先生发现车子的续航能力严重缩水，经过4S店的检测，厂家对这辆汽车的电池进行了免费更换。然而换来的电池
1700643459# #国产羽绒服卖到7000元合理吗没有什么合理不合理的？有人买就行，就像二两布料的小裤衩还卖4万多呢。。反正又不是割我等屁民的韭菜。
1703511583# #看看这个，你就知道孙维有多恶毒有多恨朱令，你还会认为孙维不是凶手吗？
1695387944# #充5w送5w，实际享受3w的服务。允悲
1689820719# #三年疫情，一些中小微企业伤了元气，政策法规法律执行上需要容错机制。发展中小微企业对解决就业起决定性作用，尤其是当下。
1697332155# #转发微博
1692286534# #馋嘴
1700180228# #明学昌被骗到缅甸的人都遭遇了什么据云南边境口岸的朋友反馈，最近每天都有大量从缅甸押解回来的。其中有不少女的，大都容颜出众。。我在想，这些人刑满释放会不会自己组盘？毕竟他们已掌握这套流程，轻车熟路。。另一个问题，难怪现在适龄男青年找女朋友讨媳妇越来越困难，各地彩礼也水涨船高。本
1703812070# #转发微博
1698243871# #武汉警方回应阿姨疑遭雇主殴打致死还有这种事？
1691455573# #秋老虎，秋后18天。
1691913169# #老谭是个懂行情的人。馋嘴
1697089799# #郑强这个吕某文化内水平可不低，捏造的微信和短信可不是一般人能造出来的。
1687572254# #美女！
1697201647# #武汉大学对肖某某记过处分我在想，有时大腿根痒痒难耐，伸手挠痒痒会不会被人误会？
1703414156# #老谭早日康复！鲜花鲜花鲜花
1692242115# #药企一年花费3200亿用于销售销售费用3200亿，利润起码5倍以上。这些最终都要转嫁到病人头上的。医疗腐败早就民怨沸腾了。为期一年的医疗腐败惩治结束后会不会死灰复燃？这是大家都担心的一件事，毕竟JJ人手有限，其它领域的腐败也严重的，也要查。
1698406620# #李克强同志讣告永垂不朽！
1687828502# #外卖骑手两项违法致人死亡现在路上横冲直撞的基本上有四类：外卖骑手、网约车出租车、货拉拉和渣土车。。最近看到好几起前三类的交通事故。
1699678384# #大学生招嫖被骗1500报警自首骗子抓到没有？。。有次出差南京，晚上同事无聊，打了酒店门缝塞进来的小卡片上的电话。。。对方问了酒店和房间号后要先付200打车费和保证金。同事不付，对方说要找麻烦，不一会真有人来使劲敲门。。。我在隔壁，把门打开，说已经报警了。才把人给吓跑了。
1693399586# #还有这故事。
1694876133# #刘文新被双开生活极其腐化堕落，大搞权色交易，钱色交易，痴迷刀具。生病
1695255114# #高校回应学院党委书记被曝不雅聊天该死的马赛克。
1689394637# #老王也去租辆。
1699458020# #仲尼在巴厘岛遇难我说仲尼这人似曾相识，原来前阵子吃过他出轨的瓜。
1701993247# #中国福彩客服证实2.2亿巨奖系同一人所中这事儿，不管谁来调查，都不会承认有作弊行为。如果一旦证实系精准投注，可以预知中奖号，操控开奖结果，将面临全国福彩崩盘。。现在情况就是某些人在绞尽脑汁的强洗，洗到把事情胡弄过去。。可惜，这事儿还真的难洗，编的理由一个比一个low。
1697183016# #狗头萝莉发文致歉这种人一句话一个字都不能信，整天出妖娥子，想热度想流量。
1688533573# #老周小老头了。
1699584162# #僧丫称8000多的电脑用到了实处这孩子性格太偏执，为人做事都不会和团队融合。难弄。
1692403581# #周老师这战斗力没得说。
1693185125# #港媒曝王嘉尔恋情广西美女霸王花孔小美唱山歌。
1698154692# #辱骂新加坡护士的中国女子是个陪酒女说直白点，就是做躺赚生意的。
1689235396# #曾发短信辱骂无锡店主网友道歉知道道歉的还不错，就怕那些个明知自己错了还死不认账还要狡辩撒泼打滚的。
1701486476# #喂不饱可以请帮忙啊！
1701589021# #如何委婉拒绝刘亦菲这又啥个梗？
1697549815# #女童躺妈妈怀里被突然窜出大狗咬伤都是四川的。
1688657359# #最多处于实验室阶段！
1689259309# #高考钉子户唐尚珺公布高考志愿鉴于以前多次放录取学校的鸽子，高校不予录取。允悲
1694008741# #哈哈
1697103827# #赚钱的机会来了。公安机关公开通缉2名电诈头目公安机关公开通缉陈岩板（鲍岩板）、肖岩块（何春田）2名电信网络诈骗犯罪集团头目！希望社会各界和广大人民群众积极举报，协助抓捕犯罪嫌疑人。。李晓鹏被逮捕
1699341489# #转发微博
1698799180# #转发微博
1702623577# #岗位匹配。文科有文科的岗位，理工科有理工科的岗位。像我这样学理工科的，文科也不错的，也有。
1699074853# #你看看，现在又来一个小丑妞允悲
1692068702# #啥个车能经得起这样撞的？
1697985538# #还得过政审关。
1703507254# #对头，捞的本质没变。
1697693424# #上海海边走失女童遗体已找到上海走失女童案排除刑事案件已溺亡，在宁波海边滩涂被发现。。失踪超过三天找不到，基本凶多吉少。。在这之前，警方已排查了事发地的所有监控，每一帧每一幅的仔细察看，排除了孩子被人带走的可能。
1700544017# #白敬亭工作室辟谣让白敬亭拿显示今天日期的手机拍个照片，谣言不攻自破。
1688801250# #这个小坏蛋，一晚上没关笼子里就把我耳机又咬坏一个，衣服扯一地，纽扣也咬坏，工资卡啃残了。
1692068947# #现实远比白纸黑字复杂得多！
1693618270# #认房不认贷后开发商制造紧张气氛再怎么弄这些不痛不痒的花头劲儿，对已病入膏肓的房地产都无济于事。
1688526836# #阿雅毛发及尿液检测报告还有一点，得确认检票毛发和尿液确定是阿雅本人的，这报告才有公信力。
1694438532# #李佳琦掉粉一夜掉了63万棵韭菜。
1698149973# #辱骂新加坡护士的女子涉谎报身份七宗罪，当初我就暗示过她是做那个的。
1698362888# #【数名老人哄抢承包户豆子险被轧拍摄者称：往年叫了40个特警傻眼】10月25日，河南新乡。延津县一名网友拍下几十名村民在个体户承包地里捡豆子，逼停收割机险被扎，拍摄者直呼“太疯狂”。拍摄者介绍，收割机还没收完老人就下地去捡，一位老人被树枝绊倒，还报警要求给他看病。这样的事情往年时有
1690982729# #胡锡进防洪功夫需平日里做足老胡老糊，哪都有他，尽说废话。
1699443969# #贾乃亮与短发美女同回家中贾乃亮新恋情还是个高个美女。。我还以为他们有望复合呢，现在是没希望了。
1692432746# #商家回应售价2.7万玉镯实际价值两三百花2.7万元买一玉镯，这智商也好意思上网喊冤？
1691032612# #会玩的三四万的都有。
1693915705# #为了爱情？这爱情也太无辜了，背锅
1687756893# #曝蔡徐坤妈妈录音目前可以肯定的是，确实睡了。
1699586520# #就是搞事炒作做网红，同学老师学校网友被耍的团团转！
1702083391# #女子银行办业务柜员闭目葛优瘫啥事都没必要太计较，太顶针，多些宽容。。大家都是普通人，总会有身体不适，或太疲倦想适当休息下的时候。。在工作时间内，作为柜员这样躺着，肯定是身体不舒服了。。我单位员工，只要说身体不舒服要请假的，立马批，反正请假没工资，是否要请假决定权给员工。如果你拿医
1689141718# #你还是不了解以前的状况，法官这事放现在就一复读生，以前那会是不允许复读的，冒用的学籍也都是空学籍，很多人读书读不到毕业就自动退学了，空出来的学籍很多。家中经济条件好的，成绩也还可以的，就会冒用这些空学籍去复读。这在以前还是有不少这种情况的。他这个没有改变被冒用学籍的人的命运。
1700448792# #河南联通被曝强迫用户更换光猫妖娥子挺多的。
1698318182# #今天早上在去买早点的路上遇一奇葩事。。。一女的在路崖上走，一男的骑电瓶车在后面追，追上后对着女的就是二个大耳刮。女的哇哇叫，没听懂说什么。。。这俩人看上去像夫妻。。。由于开着车，没能拍照。打老婆的男人真不是东西。
1690811289# #四川一公职人员被曝涉不雅聊天四川泸州皇华镇一女公职人员被曝要在别人弟弟上种草莓。。。这是个幸福的弟弟！。。曝光的这男人真不是东西。。。对于捞女，你可以不给，可以断交，弟弟不给她种草莓，但不应该曝光。
1696753847# #转发微博
1702146739# #哈哈哈哈哈哈
1696299144# #吴艳妮抢跑后为何还能继续比赛吴艳妮回应抢跑抢跑没成绩要认，粉丝们闭嘴。
1697581525# #00后买刮刮乐中100万分男友10万彩票店买刮刮乐的人多了起来。
1701072670# #是你朋友留的联系人是你。他们打你电话是不合规的，对方肯定不敢告诉你真实身份。我接到就和她瞎聊，问她漂不漂亮，包夜不？
1699229210# #网传蔚来车主免费换电后放电供超市蔚来的未来在哪里？
1703754670# #3娃非亲生案女方和别人生下第4女这…什么事儿？
1699719907# #关晓彤王牌控诉华晨宇刚看完小关的剧《梅花红桃》，也是第一次看小关的戏。。。终于和小关对上暗号了，以前一直关晓彤和毛晓彤傻傻分不清。。。小关呢，大长腿，尤其穿上黑丝确实吸引人。脸嘛，不立体，平常。演技还有很大进步空间。
1700186582# #转眼又到年末，很感谢粉丝朋友们的一路相伴！希望我创作的VPlus内容能给朋友们带来精神力量和温暖。现在官方双十一活动还在返场，感兴趣的朋友可以领取官方优惠后下单↓↓【苹果ios用户支付方法】：。
1699606395# #没看出是妖啊！
1688448409# #反制，就得找准命根子，稳、准、狠地出手。
1691335324# #十周年蛋糕塌了那么多脑残？
1693648417# #晚上好
1691334106# #你敢内涵专家没学好高中数学？
1688901078# #私搭浮桥案审判长被曝顶替他人上大学这是两码事。。他仅是复读生，冒用了差生的学籍和姓名，考试还是自己考的。这和顶替别人上大学还是有本质区别的。。前者没有改变被冒名人的命运，叫利己没损人；顶替别人上大学，是抢了别人的前途，改变了别人的命运，叫损人利己。
1688018598# #仁济医院这谣造大了，又得刑！
1691409579# #女子便秘10多天体内取出40斤大便不动手术吃点泻药可以吧？
1698541098# #咱们盐城还是有很多好玩的地方的。
1689609998# #恒大集团负债总额2.58万亿反正是债多不愁，死猪不怕开水烫。现在是债主怕家印。
1694856133# #网络主播吴川偷逃税被罚干的漂亮。又有不少艺人、主播晚上要睡不着觉了。
1699752695# #院长之子中学就参与发表高水平论文你就现在把他中学发的论文拿来让他答辩，估计也答出个12345来。。。现实就是这么魔幻。
1689176983# #转发微博
1689147795# #陈金飞杨采钰疑分手不是早就分了？
1698123803# #27岁的章子怡和23岁的霍启山太损，哪壶不开提哪壶。
1697197708# #足浴店女技师指控遭灌酒性侵在女的体内检出男的DNA，警方通过调查认为男的不构成强奸。说明双方是自愿发生关系的。。和我前面的分析判断是一致的。
1699417050# #中山二院称近年有3人患癌这事情很难弄。。1，难以确认患癌与实验与某试剂有因果关系。。2，3人患癌，偶合现象概率较大，不具有普遍性，没有代表意义。。3，涉事的导师教授是领域里的大咖。
1687791871# #这当中好像只有周立波逃脱了制裁。
1688396138# #宋轶是不是男生都喜欢的类型倒没觉得宋轶漂亮，五官扁平不立体。
1687314985# #女生自费30万拍作品拒绝领三等奖就一堆ppt组装起来的。。特意去看了下《吹响小山河》和一等奖作品《红日照青林》，高下立判。。《红日照青林》才像部电影，无论是情节、取景构图、拍摄技巧、演员演技上都没得说，一开始就把人吸引住，有想看下去的欲望。。再说女主这个自以为是的三等奖作品《吹响小山河
1699430504# #领导被举报与女下属有不正当关系集团回应领导与女下属疑有不正当关系哎，我们破鞋协会的会员挺多的，这不又暴露了一对。
1695307936# #青年女教师举报遭山东师范博导侵害看了徐晨老师的照片，确实是个大美女，难怪傅谨这个老色比动歪念想逼她就范。
1697727517# #聊聊你的好兄弟陈牧驰。
1703854237# #谁说不是呢？
1687764373# #蔡徐坤回应和歌迷互动和C女士互动的方式比较特别。
1697944735# #中国足协负债12亿都玩自己袋子里去了。
1699182298# #余承东现在也名正言顺的是行内人了。人家前面碍于特殊情况只是闷头偷偷地干活吧了。
1690712606# #小城
1699417437# #宗教局回应寺庙住持与主播发生关系还不免掉留着过年。。就是想保也保不住了。。不该开的光不能乱开。
1687742101# #律所回应不再招聘川大毕业生关键是人家川大毕业的会去这种小律所吗？
1689261728# #男子嫖娼前被抓不服被处罚要求撤销这事儿，警方有点急了，慢点出手，等女的来了脱了衣服抓现场。
1699507222# #大S回应小S复出演戏这家人不愧是演戏世家，演戏一个比一个厉害。
1700012326# #陈牧驰承认收钱了不知道陈冰现在心里膈不膈应？。。本以为捡了个宝，实则是坨沃土。
1688656106# #这是谁发的？
1690939409# #允悲允悲允悲我也发现了。大学“高中化”，竟然除了班群，还有班为单位的“家长群”。。。。
1701089878# #海关出口的免税烟都便宜很多，但每人仅能买二条。口味也明显不一样。
1696603172# #完了，“战场”都不用清理，直接拉上裤子。生病
1702543048# #董明珠怒斥孟羽童董明珠称孟羽童只想用格力平台去当网红董小姐还是开炮了。。人家当网红赚快钱也没什么不对吧？谁不想赚快钱？当然，快钱不是谁都能赚的。。董明珠这样炮轰，反而是孟羽童成为网红的助推器，原来年赚400万，现在至少年赚600万。董明珠轰一次，涨200万。允悲允悲允悲
1700052815# #叶老师把庆哥扳直了。允悲
1688097959# #这造谣当然无聊，刑拘是非常重的处理了
1699718254# #转发微博
1703753474# #鼠居澳洲原名孙维现改名为孙释颜的账户留言又不是孙一人干的。。金亚和王琪难道一起参与了？。如果金亚也参与了，那么金亚至今单身的原因也似乎好解释了。
1699594439# #天津中德应用技术大学僧丫称已关闭平台充电赞赏功能僧丫称8000多的电脑用到了实处僧丫再回应花3000元租房赞赏功能打开了。。各位大哥大姐，老少爷们行行好，给我打赏吧！。。我不要脸了。
1686980963# #当地市监部门说是鸭脖。我说，如果校长带头去涉事窗口吃饭，才能消除大家的质疑。
1695299187# #老胡挺住，不亏完誓不罢休。
1688139042# #跳楼遭围观起哄男子已身亡起哄叫跳的老棺材被拘了。
1693396597# #叶璇李国庆老李掰直了？
1693956682# #转发微博
1701738038# #挤眼
1688626108# #男子称儿子在足浴店兴奋过度身亡这事儿基本上涉黄。正规洗脚，一个钟基本都在60分钟以上，技师进去30分钟左右就解决完事的，基本断定涉黄，即使店里不允许，也是技师在走私。。从包厢里的满地卫生纸来看，说明这个足浴店就是挂足浴的幌子。如果店里规定不允许涉黄，是技师走私，完事后技师会把战场清
1702567397# #副局长被儿子举报出轨待遇降为一级科员挺好的。为了扩大反腐战果，我们应该鼓励官员家庭内斗。挤眼挤眼挤眼
1688426638# #21岁姑娘新婚初夜出血1500ml真特么的能扯，现在还有人婚前没性生活的？
1698480805# #吴教授与这些高危因素都不搭界。
1698242188# #张桂梅当选妇联副主席张桂梅当选妇联副主席。一个字，配。
1695983896# #插不进就不要硬插。
1692166660# #恒大公告未将丁玉梅称为许家印配偶离了。
1692432280# #都是剧本。
1699458304# #馋嘴
1699691695# #中山二院致癌事件三大疑问中山二院乳腺肿瘤实验室负责人信息摘除中山二院癌症患者黄某家属发声有条未接电话，固定号，广东中山的。
1699606761# #皮裤和黑丝都是的。
1697814748# #青岛啤酒称涉事麦芽已全部封存树立一个品得花若干年，毁掉一个品牌只要一泡尿。
1698654668# #网友裸辞炒股5个月亏损48%建议这网友和老胡去开个经验交流会。
1698477759# #充电费涨价电车真成电动爹了我加一次油，410-420元，能跑480公里。还是电车便宜。
1687777624# #四川26岁失联女子遗体被找到家人知道有抑郁症，平时就得特别注意。
1687735481# #【急寻！四川26岁女孩下网约车后失联】6月24日，四川眉山。26岁女孩乘网约车下车后失联，目前家人正紧急寻人。万文，青神人，于2023年6月24日乘车在四川省眉山市青神县老大桥下车，随后失联。失踪时穿咖色衣服与浅蓝色牛仔裤。万文父亲称，女儿一个月前生了病，是抑郁症，失联或许和生病有关。
1689119298# #警方通报无锡3岁女童事件调查结果母亲护女心切可以理解，但要理性，冤枉诬陷别人就不对了，尤其是造成恶劣影响，造成那么大的社会公共资源浪费，还毁人清白，把人生意弄没了，现在得承担责任了，心慌吧？
1700876608# #女生冬天上厕所的至暗时刻是的，冬天非常怀念蹲坑。
1689472452# #一张图诠释魏大勋现状姐姐给力。
1697672809# #贵州茅台毛利率超过90%很正常的了，净利率也得在70%左右。
1688955156# #年轻的记者对农村的盘根错节一无所知。
1694440553# #父亲到校将猥亵女儿的副院长打伤真有这种事？。这副院长以后还怎么做人？
1699431056# #秦海璐肠绞痛痛到脸都白了随身携带点肠炎宁。
1697018037# #男子地铁疑猥亵女乘客当众被抓有证据没有？
1701439411# #故事有些单薄，应该是动了大手术，删减太多。视觉效果非常好，情节紧凑，过瘾，值得一看。
1697189473# #女子求职被要求做避孕措施后拍照报备这特么就是狗吃草，想驴的心思。
1697451892# #警方通报女童被狗咬伤又是恶狗伤人。一直想不明白普通人为什么喜欢养烈性犬？
1693621908# #白百何新剧出场镜头小白拍戏有灵气，很喜欢的。可惜了，毁于一指禅。
1703429424# #晚上好！
1701780157# #中学回应家长3000买的褥子填充杂草查查谁吃回扣了没有？
1696755410# #续航还有150公里，实际能开多少公里鬼知道，不会在路上扒窝吧？赶紧找地儿充电。充电桩前排队都排到入口了，排还是不排？排吧，不知道要等到何年马月。不排，下一站也是这情形怎么办？
1693401702# #这种人的结果就是找偏僻的地方ZJ。
1689118566# #骑手捂住宝宝耳朵进KTV给顾客送餐这没必要吧，应该捂住眼睛才是，歌都是正常的歌，捂耳朵干啥！
1695125300# #上汽大众途昂、凯迪拉克XT4、奥迪Q3、宝马X1，可选择太多，现在买正合适，优惠幅度很大的。途昂车身大部分是高强钢。
1698201165# #除夕不放假怎么又除夕不放假了？
1691571959# #司马南自7月27日留下一篇“冤枉”后就没声音了。有知道情况的说说？至于他是不是漂亮的JD，虽然本人一直有怀疑，但这个谜底还是留给专职部门去揭开吧！
1692069162# #既怕穷人看，又怕富人看不到。呆家里不出门不就没人看了。梁田自曝遭性骚扰【自称坐地铁被猥琐男尾随如何看待梁田自曝遭性骚扰？】在外感觉自己被骚扰该怎么做据潇湘晨报报道：8月14日，前不久刚刚宣布从湖南卫视辞职的女主持人梁田发布视频，自曝在地铁被陌生男子骚扰的事情，引发网友热议。
1690179189# #TFBOYS抢票有人去看？第一排炒到140万。
1689214398# #有的人是知道过去干啥的，抱着捞偏门赚快钱发财的想法去的，去了就身不由己了。
1689141924# #民营企业有几个是双休的？
1688193364# #嚷着叫清华大这改名的都是纯傻逼，估计都是些九年义务教育都没读完的货。
1701087530# #朱令被毒案有人说凶手是贝志诚，主要代表人物是方肘子。我说纯属放屁。。贝志诚没有动机去投毒朱令，也没机会接触铊，就是凭他的条件能搞到铊，他也不具备铊毒知识，又怎么会想到用铊来投毒。假如他想方设法搞到铊，那也会很快被警方锁定。。案发后，警方可是查遍北京及周围所有的铊销售和购买单位。。铊
1689235185# #蔡徐坤广州演唱会延期了不是延期，是取消。
1693624224# #小鹏生产一款十一二万的车去抢网约车市场倒是明智之举。目前网约车主要是比亚迪和广汽埃安。
1699583787# #老下又欠风流债了。允悲
1690092934# #这个早就形成产业链了！
1699968327# #凡是有一点点脑子的人都不会信他的那一套。
1690253320# #包丽案二审宣判可惜了包丽，用自己的生命阻击了一个恶棍，也算是为民除害，只不过这个代价太大。
1694129865# #不靠谱，自己打车自己车接很难实现。除非在非常偏的地方，附近没有别的注册车辆才有可能派给自己注册的车辆。
1688430148# #数以万计的蚊子在身边是什么感受今年比较奇怪，我们这蚊子很少。今年到现在还没插过电蚊香，或许在夏末秋初之季可能会多。。往年这时候二盒电蚊香都用完了。。去年秋天，蚊子特多，我到处找电蚊香片买。
1697337195# #苦涩
1696606552# #上海4岁女童海滩走失已超36小时这么乖巧可爱的孩子，必定是父母的心头肉，阴谋论可以息歇了。。作为父亲太粗心了。如果想返回拿手机，认为很快回来，不必带上孩子一起回，那也得叮嘱孩子原地站着，顺带请旁边的照看下。。周围的人也是，当然他们是无责的，如果是我看见一孩子一个人在那，肯定会多留个
1697674115# #你是招黑体质。馋嘴
1697774752# #重庆对外经贸学院保安在追赶流浪狗时，把狗整没了，这也能怪保安？
1688449680# #这个视频事发地不知是不前几天发生在嘉兴桐乡的？看着像。当时我在现场，但当时现场有八个辅警每两人拉了块围布把四周围了起来的。这小子带着美女和朋友一起在饭店聚餐，喝高了，打砸骂人闹事儿，警察来了也没用，摁在地上还手脚并用嘴不停，最后就是看见的这样。
1689648174# #我博文说的不是完全针对河南考生，很多省一二本合并了的。
1688804890# #基本上这事结束了，再弄下去，不经扯。
1698123268# #子怡一离婚，你就显眼泡就出来抛头露面。
1692010628# #转发微博
1702558109# #男子小料加太多遭店家辱骂追打老板这格局，店能开久？
1690202525# #像这种人得好好查查。
1699329753# #双11惠聚周年庆来了，我的专栏正在打超低折扣，还可抽现金红包，最高得1111元，买单篇额外返现金！限时福利，点击下发卡片领取啦↓
1701089267# #《拯救嫌疑人》和《愤怒的海》这二部片子怎么样？
1695163838# #加满一箱油需多花15元除了喜迎还喜迎。
1689772878# #张雨绮初中因为颜值被全校围观知道了，知道了，排队排到法国。
1694864559# #人民日报批明星偷逃税明星艺人开的工作室和公司基本都是干这活的。
1688793065# #这很让人吃惊吗？难道不是常识？
1690531807# #硅胶短裤做的太逼真了。
1697030809# #孩子爸手机不在身上，时间都是大概的。
1690210446# #怎么会把珍珠岩堆在体育馆顶上的？照理说，施工单位都是专业单位，就是普通员工不懂，管理人员也懂的，犯这种低级错误，不应该。这是起重大安全责任事故，有三种可能。
