1701961393# #有很多疑团等待揭开
1693838169# #迷惑行为大赏如果不画蛇添足，不去P掉衣服的logo，这起舆情能否避免？。官方：“小编考虑美观才P图”。这个纯属扯淡！。P图是因为担心衣服logo，引发网友热议，导致不必要的舆情。恰恰是画蛇添足般的P图，引发舆情！。如果书记身上的这件上衣就是几百元，何惧流言！。小编这次又要默默背锅了！
1691452681# #转发微博
1699802205# #转发微博
1702883039# #一声”我滴乖乖……”包含着心疼和心疼…
1694329236# #假如两劳释放人员抱团，以正义的名义化身为“维权类”的网红团队，按他们的行事作风去制定游戏规则，你品，你细品！
1691162380# #@利辛发布
1702257300# #张雪峰是对的旧闻新炒！。媒体屡屡翻车，自损形象。。张雪峰是对的！
1694567369# #全民反诈行动，人人参与，远离诈骗！
1701877128# #这吃相，着实有些难看了，再怎么美白化妆也遮掩不住。
1697363371# #喵星人摆烂的一天
1692482320# #转发微博
1697418205# #“路人小月”系列，13日、14日、15日，连续三天。。光明日报晚安💤
1696551801# #陈某煽动误导村民拿东西被刑拘一点看法
1695653934# #转发微博
1695551856# #早安部分政务新媒体账号把“早安、晚安”帖打造成自嗨群嗨的舞台，数据越疯狂越尴尬。非正常传播带来流量，也孕育着舆情传播风险。。所谓矩阵，变味了！沦为互捧互嗨互评的刷屏矩阵，刷出的可喜数据，表象繁华似锦，实则自欺欺人。不打破潜规则，投机者占尽便宜，那些踏实运营的账号或许永无出头
1703520790# #今天，千百意老爷爷的抖音突然爆火。表面看是一起正能量事件，流落街头的癌症老人癌症被误诊，学生捐款带老人吃喝玩，给老人圆梦。视频不断传播，已经上了热榜，如不及时止损，网友们会误认为：老人癌症被误诊，医术不精，医德败坏；患癌老人流落街头，是政府不作为，脱贫不力；患癌被亲人赶出家门，亲
1699790404# #转发微博
1693151603# #该事件发生在2023年5月20日12时许，安徽阜阳阜南县一宾馆发生火灾，2名被困人员从4楼跳到安全气垫后均无大碍。（转载此类新闻事件，请标注新闻发生时间）
1693317712# #转发微博
1702772896# #俞敏洪一系列操作能否止损谁制造了一系列的热搜？
1702886428# #25岁班主任结婚前一周跳楼身亡教育类的事故，案件，舆情不断。
1698455973# #官方通报河南叶县女子举报村支书事件。【河南叶县关于叶邑镇一女子举报村支书情况的通报】。近日，我县叶邑镇一女子在网上实名举报该镇北水城村支部书记赵某坡的相关问题，叶县已成立联合调查组对举报内容调查核实，赵某坡已停职。调查组将根据调查结果，依法依规依纪进行处理。感谢媒体和网民朋友对
1702439141# #现在下雪通知停课以前下雪通知带锹开始雨雪天气了，请问此前发公告11号停运的公交，恢复正常运行了吗？。今天是13号，此前利辛县官方公告称停运一天。亳州身边事
1700721914# #小杨哥回应徒弟圣罗兰事件搞笑幽默与恶俗低俗，是两个概念。
1702745163# #转发微博
1702083668# #小杨哥回应徒弟直播间开播秒封换个赛道吧，直播大概率不适应这位被官媒点名的“红绿灯的黄”。清朗行动
1701699294# #这个账号是反贼
1691420441# #安倍国葬出席名单74%名字涂黑居然一年了……
1702349075# #你要去问问利辛县政府、为什么会被公交企业紧急告知
1696865404# #以色列先表态支持一个中国原则，断绝一切与台当局的联系，再讨论中国是否支持以色列的问题！doge
1703231189# #转发微博
1701060327# #小黄猫是主场，身边天天换同伴。
1702745293# #段子体的新闻
1701791949# #清朗行动法院文书出现如此低级错误，老胡也能洗。而且依然保持胡的风格，左右骑墙，长篇大论。。附带一些图片，请老胡继续洗迷惑行为大赏
1694132141# #迷惑行为大赏指定平台，官方公开辩论（互怼吵架），微博，你值得拥有的网络平台！
1693555072# #美国侵略伊拉克，这是无可争辩的事实
1702369448# #热点舆情短视频平台确实急需整顿整治，一个现身说法的视频评论区里都是什么虎狼之词。
1695213606# #胡现在是娱乐主播，制造流量搞收益。
1701090869# #转发微博
1695550901# #早安矩阵，玩的开心吗？
1693608049# #萌宠被猫仔喊醒。
1703430556# #你最讨厌当前哪个公知大V？。胡某人算一个！
1697895810# #这个傻逼活出了新高度：不是很懂…..
1702947613# #愿平安
1697514489# #压力给到当地主管部门
1700031331# #转发微博
1699782898# #转发微博
1697621852# #嘴硬。新闻可以嫁接吗？
1692782462# #小编渲染案情，片面报道。
1698484317# #网传宿州男子同时娶两个新娘疑似炒作刘某某等人是几人？。分别涉嫌什么违法行为？如何处罚？是警告、罚款、还是行政拘留？。缺乏网友关心的关键细节，这则通报含糊其辞，留下遐想猜测的空间。。网络并非法外之地，为什么要在“法外之地”打引号？
1693152365# #清朗行动有些自媒体账号为了流量，旧闻新炒，在转载之前的新闻事件时，故意不标明事发时间。只说事发地点，不说事发时间，制造舆论博取流量。。微博现在有了“附注”功能，可以对此类信息做补充说明。。8月27日，将发生在2023年1月19日的新闻事件发布在微博上，不标注事发时间！。
1693529574# #迷惑行为大赏虚构违背公序良俗的骇人剧情，作者自作聪明加个小字声明：“虚构演绎”…..。这就是赤裸裸的造谣！。整治自媒体乱象，刻不容缓！清朗行动
1702825491# #转发微博
1694132722# #官方公开辩论（互怼吵架）指定平台。微博，你值得拥有！
1702028784# #江西税务称2.2亿彩票是否缴税尚存争议换个说法：网红直播接受网友打赏赐，单笔数额或许都不够纳税数额。笔数多了，累计到万元、十万、百万，收益都是同一个人，难道也不纳税吗？。这个2.2亿中奖者已经认定是一个人，意外收入过亿元，怎么会免税的呢？
1698819511# #郑州一教师自杀身亡，看看舆情的部分评论吧，并非空穴来风！
1691984681# #转发微博
1702096610# #转发微博
1703774506# #
1700873978# #女子因心情差当街怒扇乞讨老人耳光尼玛，神马混账借口？
1702458562# #一起来挑刺吧。。“利辛发布”抖音发布一条“草坚强”的视频作品。。“草坚强”影响整体美观，对杆件电缆线路造成影响，接线口没有盖子，直接裸露，存在安全隐患。。草为什么能在交通设施上疯狂生长？相关部门没有责任心！此外就是懒呗，看到了也不及时清除，任其蔓延生长，最后遮挡了交通设施，这也
1696225119# #清朗行动网络并非法外之地！造谣传谣造成不良影响，要承担法律责任。。近期官媒造谣的也不少，也应该追责！
1699442013# #转发微博
1702516224# #北京一男子泄露周海媚病历被行拘不出所料，出于炫耀目的，散布他人隐私被行政拘留。
1692544245# #打卡长隆欢乐世界迷惑行为大赏
1702944075# #男子不满航班延误亮明网红身份维权丢人现眼，活脱脱把“网红”演绎成负面词。280万粉丝，成为“网红”炫耀的资本。。我呸
1695089134# #兰花指，娘娘腔，主打一个不靠谱…
1695711788# #转发微博
1692199439# #桌上的其他美食也不错👍不要只介绍酥梨……
1693874160# #千不二子曝林彦俊嫖娼让子弹飞一会儿……坐等更新
1692544273# #迷惑行为大赏打卡长隆欢乐世界，坐了垂直过山车之后，感叹：活着真好。
1701438757# #如果案例是真的，那就提供证据证明是真的。不提供当时的卷宗法院判决等一系列证据，光凭一张嘴，公众怎么判断是不是真的？思考你怎么证明你说的是真的？思考难道以后所有律师在网上讲故事引起舆论关注，都只需要一句客户保密就行了吗？那想必未来是一片勃勃生机万物竞发啊干饭人
1691415850# #“党总部”是何意思？。利辛县学习强国平台宣传内容显示以“党总部+合作社+农户”的发展模式……。“党总部”从何而来？是利辛县独辟蹊径？这是学习强国平台，你想做甚？
1700704747# #媒体解读实施意见，其他媒体转载时做了错误解读并放大，导致以讹传讹。
1694132397# #萌宠每天四点准时喊你起床的生物钟！
1696387546# #山西五台县发生意外窒息事件发布通报，应该包括最基本的新闻要素，欲言又止，让公众猜疑不断，这个通报引发非议，不合格。。基本事实说清楚，避免引发次生舆情。
1697717188# #街道辟谣四川被咬女童先动手砸狗每到舆情热点事件，就有各种谣言在网上传播，暗流涌动，以把舆情闹大为目标，不断用谣言制造新的争议话题。
1700360563# #转发微博
1701682523# #微博辟谣【酒驾新标准来了？媒体错误解读，集体翻车！】如果不出意外，近期，众多媒体、自媒体相继转载解读“酒驾新标准来了”的新闻稿件集体翻车！。国家标准化管理委员会10月11日发布的信息显示，这是推荐性国家标准。。通俗易懂地解读：新的国家标准实施之后，增加了检验样本，除了血液，
1694273175# #胡锡进四川工商学院的声明是一种悲哀洗地无处不在！骑墙左右逢源，越洗越起劲。
1698892247# #【幼童高烧40度公交变救护车3分钟送医】10月31日，安徽阜阳。公交车内一名幼童突发高烧近40度陷入昏厥，妈妈手足无措，痛哭不止。事态紧急，驾驶员果断采取措施，安抚车内乘客后，在确保安全的情况下中途不停车加速前进，仅用时3分钟就将幼童送到最近的医院抢救。由于送医及时，目前幼童已脱离危险，
1695043753# #一通电话采访，啥实质内容没采访到，写出打电话的过程，看看以往新闻稿作品，类似采访实录到底有多少次。欢迎继续怼我！
1702349322# #你别急哈。利辛政府肯定会感谢你的
1696169341# #王兴华为王兴的微博设置为半年可见，并非清空微博。
1698797775# #拥有教师编制的他们后悔了23岁，2022年大学毕业，2023年8月刚考入某小学任教，2023年10月留下遗书自杀。。才上班2个月，选择轻生，是个悲剧。父母含辛茹苦把孩子培养成人，刚踏入工作岗位，或许难以适应从一名在校学生转化为职场人所带来的变化。。如果把当事人的自杀全怪罪于学校，怪罪于
1695339226# #高校舆情频发
1695419826# #想法
1693283090# #用不合格的头盔去临时使用？人民群众的生命安全，难道可以临时凑合吗？长达一个多月时间，美团效率如此低，是把群众利益抛在脑后。
1692188478# #蒸海鲜，海鲜汁水最后煮出一锅粥，。美味又营养！
1693225569# #转发微博
1702354873# #转发微博
1693059247# #美国及饲养的汉奸唱衰中国已经二三十年了，现在又出来了？
1693979919# #迷惑行为大赏东莞一女子醉酒被查，丈夫化妆潜入医院稀释血样。夫妻双双承担刑事责任。。1、涉嫌醉酒驾驶，抽血是两管，有一管作为备用样本；。2、在抽血过程中逃跑导致无法完成血样采集，呼气数值达到醉酒的，按呼气数值算。。3、醉驾涉嫌危险驾驶罪，最高处以拘役六个月；如果帮忙醉驾当事人逃脱刑责
1692847540# #日本核污染水下午排入海洋座谈会刚结束，新闻就紧跟着来了……。黄山文旅邀请你来宏村，这边宏村被曝光衰衰衰
1701992789# #彩票2.2亿彩票行业是否存在暗箱操作、利益输送，是争议焦点。公众普遍认为事件异常，彩票发行管理部门难以自证清白。。中奖者能有效规避缴税，能分批兑奖，中奖者缜密细致的操作，冷静程度令人吃惊。。事出异常必有妖。
1694184316# #你赢了，你说的都对！
1700056687# #中国x x报旗下记者仍有人在蠢蠢欲动
1703231267# #“股市刚有的一点回暖又被浇了冷水”——老胡终于进入到了韭菜深水区哈哈
1701442312# #胡
1702992277# #甘肃地震已致126人遇难评论区几个铁杆评论员，每条刷三个评论，队形整齐划一，你们是如何做到的？热点舆情
1695993561# #胡进胡可退
1702422470# #今天是国家公祭日
1698766364# #县文联回应获奖征文中12篇为同一作者只有你想不到，没有他们做不来的。。方城文联，不讲武德，。自办活动自评奖项确保自己获奖🏆迷惑行为大赏
1695945955# #不懂就问，评估价三百多万，网络法拍成交价是1元。难道竞拍者真的能1元获得两套房产？。房产法拍有无最低限价？
1700798017# #吴亦凡聚众淫乱系首要分子热搜前两位，二审维持原判。
1693974004# #交通安全，关注安全！平安出行！给我一个小熊吧。
1695948480# #许家印二儿子许滕鹤被带走正文中“许家”漏掉一个“印”字。。若要搬本“刑法”来写此稿，篇幅还能再加二千字。。风格很“大皖”，新闻更像是“刑法解析”。。可能、可能、可能…...
1701748580# #应该发布“森林防火令”。襄城区！
1701055979# #跪服哈哈
1700795702# #转发微博
1697901183# #转发微博
1702203776# #张雪峰是对的看媒体的话题编辑内容，感觉张雪峰的对的。
1703332665# #贱货
1697509286# #3440条评论，仅仅精选出43条。以色列驻华大使馆微博真是双标啊。
1701233863# #标题一改，歧义自来。。欠费不交，成为老赖被法院强制执行。。这家自媒体的标题把公安机关描述成替物业催费的工具。清朗行动
1696428369# #南阳警方称目前还未抓到嫌疑人一座城市，从市领导到市民，倾情付出的心血，被毛贼给毁了名声！
1698922377# #热点舆情《第一财经》发个评论，本想蹭华为热度装个13。。结果搬起石头砸了自己的脚，网友现学现卖，举报《第一财经》名称违反广告法。
1702341475# #亳州身边事关心问一下，昨天利辛发布公告称，“因原公交企业经营合同到期，现变更经营主体，2023年12月11日需停运一天”。今天是12月12日，停运的“环1南路、环1北路、2路、3路、6路、8路、11路、12路、13路、18路、23路、102路、109路、111路、101路、106路、107路、108路、117路、22路、F601、
1701701375# #一人花近10万买彩票中2亿一点也不遮掩了吗？
1697622344# #飞猪这波操作叫“杀熟”
1692197960# #转发微博
1694858666# #官方通报袁冰妍偷逃税事件她是谁？
1701747245# #“戒严”是专用词，中华人民共和国戒严法对如何实施戒严有明确规定。襄城身为区一级政府，居然不懂法？擅自对外公开宣传：襄城区人民政府发布戒严令。
1698995762# #加拿大军机不远万里来到中国南海…..
1693324084# #导游发视频吐槽鲁山天价雕塑收到威胁信防民之口，甚于防川，鲁山715万牛郎织女，但无节制的获取公民信息，是对公权力的伤害
1704089305# #转发新年贺词的微信配图是几个意思？是如何通过三审程序的？放眼全国，有这种不讲政治的党报吗？。侵权违法的严正声明阅读即将破万，知错不改！报社连最基本的法治意识都没有吗？
1702895040# #澳洲孙子的奶奶还没回来
1696952336# #完全就是集中营、屠宰场……
1693352229# #县城的形象工程基本都经不起查，一查就暴露出各种问题。“牛郎织女雕塑”自然也不例外。
1704099221# #亳州教育局是顶风而上，搞指尖上的形式主义。
1703765734# #配色酷似今年流行的酱香味通报。强制关注才能看通报内容，奇葩设置又引发网友吐槽。
1696770322# #两干部流出不雅视频被停职近期类似的不雅新闻颇多
1696126090# #【转存！天安门广场升国旗现场画面】国歌声响彻广场，五星红旗在晨曦中冉冉升起，天安门广场国庆升旗仪式举行。今天，一起说出我爱你中国，祝福伟大的祖国繁荣昌盛！
1695895369# #堵车非必要不远行。路上堵的不要不要的。今年的大流量来的比往年更早一些。早走的大聪明们提前堵在了高速上
1704102182# #日本地震日本本州西岸近海7.8级左右地震连河水都像洗衣滚筒那样剧烈晃动
1700456659# #通信局回应周口联通强迫用户更换光猫周口联通公司做了回应，避重就轻！。联通公司采取断网手段欺骗用户，已经涉嫌违法犯罪，周口联通，不仅要回应辞退员工，更要正面回答为什么断网欺诈用户？迷惑行为大赏
1702276207# #清朗行动官方早就辟谣，今天都12月11号了，扬州交通广播还能抄到一篇假新闻，一本正经对外宣传：新版酒驾标准来了…..。交通广播，错的离谱！传谣都赶不到第一批，坐不到第一排。
1702611502# #转发微博
1699790642# #转发微博
1700148447# #明国平等三名缅北电诈头目被缉拿归案红安融媒体官方账号，标题这么玩？
1693695499# #转发微博
1702945980# #迷惑行为大赏广西“演员”注意了，到导演处可领取价值二千元高档茶叶和开光佛珠📿。本条微博不涉及具体事项，自动对号入座，以实物为准。
1696816592# #清朗行动头条，不靠谱的网络平台，与抖音信息关联。。编段子吸引流量，把谣言当成新闻传播是家常便饭，清朗行动不仅要打击造谣者，更应该重点整治打击纵容谣言滋生的平台。
1702369615# #一盔一带，安全常在。
1703861377# #转发微博
1702611163# #这个博主故意挑衅。官微快速
1700469265# #转发微博
1701748223# #襄阳襄城宣布戒严，你知道吗
1697202607# #账号造谣传谣，请依法处理。
1702610236# #这位“抖音”局长，你认识吗？。安徽纪检监察发布消息：亳州市交通运输局党委书记、局长孙善豹接受纪律审查和监委调查。
1696224234# #该新闻时间错误，新闻事件张冠李戴。当地交警已经辟谣。
1695559963# #官方通报校长与主任出差时同房过夜网络曝光多少内容，当地就调查多少！不深挖不扩大！
1695107274# #华中师大通报公众号引用骂人伪诗经小编缺乏敏感性，审核者形同虚设，事故就这么发生了。
1691391258# #报纸版面要吗？正面宣传….
1694244663# #这厮厚颜
1697808165# #陕西绥德警方公开征集一女网红违法线索依赖低俗庸俗能成为网红，。谁之过？。警方要严厉打击👊。网络平台更应该反省，为什么“赖、坏、丑、恶”的账号能发展壮大，能成为网红？
1703989552# #为了完成任务，行政命令强推。
1703682585# #转发微博
1693472816# #嚣了一次张，挨了路人三顿打！
1693287068# #日本核污染水排海已经开始影响邻国【韩国中小学食堂禁止使用日产海鲜】日本核污染水排海已经开始影响邻国：韩国全罗南道水产业受冲击！韩国全罗南道木浦港本该是最繁忙的地区之一，然而最近，不少在这里劳作了大半辈子的渔民和商户感到心灰意冷，越来越多的渔船放弃出海捕鱼，在港口附近经营生鱼
1696592635# #南阳女主持人含泪控诉不正视问题，不愿承认错误，躲躲闪闪，遮遮掩掩，辩解苍白无力，由此衍生新的舆情话题。。看网络评论可知，这种发声又上热搜，负面效果。
1698376004# #开枪制服，合法合理，支持！再说一句：不要挑衅法律的尊严，也别把警察手里的枪当烧火棍。
1703328361# #腿是这么没的？
1699526949# #转发微博
1693022891# #“监督个X…….滚”….
1699333877# #昏厥，昏厥，不合适就昏厥，手机作为道具多次出现。
1696173076# #猫这个家里没有好人了猫仔
1695044054# #歧视的最高级就是明明歧视你了、让你很不爽，可是他还还有很充足的理由说没歧视你，而且还能找到和你一样的人教训你太敏感了。
1699280234# #佳木斯一体育馆发生坍塌2023年7月23日齐齐哈尔中学体育馆坍塌11人死亡的事件才过去几天？又是黑龙江，又是体育馆，愤怒！
1691247453# #转发微博
1700455435# #西安【男子邀请女子兴奋一下被怼后称开玩笑】11月9日，陕西西安。女子爆料称被陌生男子骚扰，对方邀请自己“一起玩一玩，一起兴奋一下”。女子开始录视频，警告对方离自己远点，不然报警。男子则解释：“你不是美女吗？我才开玩笑的。”
1701138147# #足协，PPT真垃圾
1696844139# #清朗行动新闻标题可以看出媒体的态度。纪委监委公开曝光，媒体遮遮掩掩吸引流量。
1703766312# #加拿大鹅捐2000件羽绒服给甘肃灾区这个大鹅，捐款不多，话题多多，赚足了眼球👁️
1696995842# #热搜话题不规范不严谨，会引发歧义！
1693525971# #鲁山舆情脉络：。网友在七夕节拍了牛郎织女雕塑，有网友说丑，有网友扒出招标价格715万，这个爱情主题的雕塑打上又丑又贵烙印。在互联网鲁山是刚脱贫的全国贫困县；记者采访被住建局工作人员骂XX，激起媒体和网友的关注；官方回应，招标符合规定；网红大咖导游小黑聊鲁山雕塑，收到威胁邮件，要求删
1703403329# #转发微博
1701566948# #咸宁身边事12月2日22时11分，咸宁市发改委微信公众号发布内容出现错误，直至23时20分左右，删除出错内容，持续时长约1小时。。政务账号转发新闻，一般都会采取原文复制，为什么会出现这种错误呢？。大概率是小编手工输入标题部分，对推文内容进行了排版。。咸宁发改委微信公众号阅读量较低，
1704056959# #转发微博
1693384575# #热点舆情《道路交通安全违法记分管理办法》自2022年4月1日起施行后，修改了部分交通违法行为的记分标准。。时隔一年多，官方宣传仍在引用旧的条文规定，错误解读和普法宣传，误导群众。。官方账号做普法宣传，自己先学法，不要出洋相。
1701992534# #南京中医药大学回应老师课堂讲解不雅课件这都遭到举报？那生殖科学，妇产，优生优育，都不要再研究了吧
1694244809# #转发微博
1692366579# #网红二驴账号被封禁恶俗炒作，无限期封号。二驴刚从宿州回来不久允悲允悲允悲
1704170882# #涉嫌代孕的武汉普仁医院被罚5万这罚款极其感人啊
1691836371# #依法处理！
1700304114# #研究生夸大杜撰宣传自己事迹被通报前天揭露的骗子。河南一高校作出了回应。。一路行骗都成功，他是如何做到的呢？
1703151557# #这话是有道理的。
1700789113# #【河南一救护车多次载人跨市买毒品】11月23日，据检察日报正义网报道，2022年5月河南某高速路出口，一辆救护车被拦下，车上的“瘾君子”王某被民警抓获，并从其身上搜到毒品约50克。王某交代这是他第三次坐救护车去濮阳买毒。因为救护车比较方便，听说卡点也不拦，经人介绍，他联系到了在林州市仁济
1701193972# #有一说一，老胡虽然喜欢左跳右跳，一天三变，但没见他给人扣帽子。
1698066356# #著名教师发文意淫同车女乘客媒体有没有搞明白“著名”的含义？。这个话题很有意思，“著名教师发文意淫同车女乘客”，果然吸引眼球。。请问这个老师著名吗？
1697897204# #培训没结束，提前发结业证书…….。醉翁之意不在酒，在乎那点培训费.。有教育系统的朋友一直以为，安青报是教育厅的机关报允悲允悲允悲
1692510123# #张伟丽绝对优势获胜！
1694082125# #之前很多人嚷嚷“战狼”“虽远必诛”，要求中国派军队去营救的所谓“受害者”，其实绝大多数都是主动跑去的诈骗犯。现在按他们的要求，把这么多人弄回来，嚷嚷的人却又不吭声了。
1696038624# #转发微博
1697598957# #转发微博
1701610187# #腾讯会员没了滴滴，腾讯的服务器先后崩了，到微博来发布公告，崩了。。警惕：互联网越发达，越脆弱！
1696386894# #清朗行动抢发突发事件新闻，不甄别信息来源真伪就对事故起因做了“定论”。标注原创标志，又创建微博话题大车借道超车与婚车迎面相撞，颠倒是非的报道引发舆论关注，误导舆论！制造争议话题抢热度蹭热点，悖理客观事实。。当地警方通报显示，与大众网的报道截然相反，是婚车突然变道与
1694125694# #这条微博删了20多条评论。被删掉的内容也是不利于博主的。
1697717563# #曲玉权，又一次想起了他的名字。
1703677941# #凡是这样的网站，体验感都超级不好。教育部主办的网站，学生要注册，强制百分百……
1703039636# #自称网红的，不碰不追。
1695798736# #这个孙曾是中新社驻日记者，之前还有个假自杀的澎湃女记。
1693526648# #挤眼提到市级层面调查，呵呵呵。网友爆料，这家雕塑公司不仅在鲁山多次成功招标，在平顶山所辖其他县也有项目，所以……鲁山背不起的，并非鲁山的锅悠闲
1696169501# #吴艳妮抢跑抢跑，申诉后得以参与比赛，队友成功夺冠。最后冲刺，林雨薇夺冠，毫无争议！
1693230367# #转发微博
1695623927# #转发微博
1695211263# #智造世界·创造美好
1704161570# #转发微博
1698209891# #6.4万转发。
1697367720# #三轮车违法载人+不戴安全头盔。
1693300391# #迷惑行为大赏官媒造谣传谣。。这些不负责任的官媒新媒体账号，严重损害党媒公信力和权威性！。“福建，八月份”，视频中的游客身穿大棉袄，用脑子想想呗……微博辟谣
1692342782# #吃个云吞面，味道不适合我。
1702349575# #这位网友呼吁给利辛停运的公交捐款。你有话好好说，命令人家外地网友捐款，显然效果不佳。。你等一下，我也去给利辛发布多点几个赞，咱们再继续辩论。。逻辑要清楚：利辛公交车停运，公交公司发紧急告知函，群众出行受影响，谁来解决这个问题？。这位粉丝要求提出质疑的人给利辛公交捐款……。逻辑不通啊
1691655440# #雨
1695860897# #迷惑行为大赏汉字博大精深。。小学语文老师告诉我们，从小要养成良好的读书习惯，语句要从左往右横着读…..
1703505742# #转发微博
1693898027# #对舆情风险研判有误，过度敏感，画蛇添足之举所引发的舆情。。小编太多虑，领导很闹心。舆情发生后，当地应对态度比较积极，避免舆情扩大恶化。
1702260410# #利辛县气象台2023年12月10日08时15分发布寒潮蓝色预警信号，气温骤降并伴有大风天气。同日，利辛发布公告，全县公交停运一天。。天气与停运，纯属巧合，让群众出行不便，挨冻受苦的一天。
1703770621# #《淮南日报》是党报，肩负着巩固意识形态主阵地、牢牢把握正确政治方向和舆论导向的使命任务。。严正声明的第七天。
1693654186# #二年前的视频被曝光，起初不承认错误，现在又怂哦
1698391097# #事关个人医保，国家医保局紧急辟谣！
1699969053# #转发微博
1699526870# #一张图证明我来过这里
1702343977# #张雪峰再回应文科都是服务业全网节奏被张老师带着走，随便就制造出热搜，媒体不应该想想为什么吗？
1698567997# #转发微博
1704126067# #不愧是胡锡进，内外有别！怒怒怒
1701241740# #胡锡进称中华有为世界荣耀胡锡进
1699579820# #记者不容易，采访被拒绝，一直不放弃。
1696317474# #偷笑偷笑偷笑
1703571932# #老胡：你报我身份证吧挖鼻挖鼻挖鼻
1703463845# #这不是重婚罪吗？
1703634388# #猫温文尔雅
1700057263# #中国经营报二千二百万粉丝，阅读数据不太理想。
1703481347# #胡锡进制造对立，刷存在
1700723547# #哈哈，胡锡进又干翻了胡锡退允悲
1702993392# #千万粉丝的账号，不能依赖这几个人反复工作。
1704117920# #好吓人……
1697900313# #你们有微博官方账号，想看看你们如何应对这个舆情？培训没结束，不知培训成效就可以先发证。这是提“钱”领证的节奏呗
1696348567# #话筒话筒
1699698999# #迷惑行为大赏评论区翻车，意料之中！。坐办公室想象中的“实战”与基层实际工作是有差距的！。理想很丰满，现实很骨感！。误人子弟！
1696317410# #一个杀币，仅此而已。
1692884093# #中方暂停进口日本水产品是完全必要的他是蔫坏！想当互联网意见的老胡，左右逢源…
1701913823# #还有一段视频显示，执法人员拿着口袋走进小院
1695798657# #真敢说，到底是不是律师？。在互联网上大放厥词，误导公众。
1692202087# #大虚线，除了安排举报，没别的招了吗？
1698394167# #私募大佬妻子发文称其要纳二房这种新闻不要上热搜了。妻子可以涉嫌重婚罪起诉维权。
1704032476# #双向奔赴
1703583606# #你这个账号不是蠢就是坏
1695003672# #918勿忘国耻警钟长鸣！
1691392219# #真敢写！当真是不看网络舆情啊……
1700656847# #dogedoge
1702600144# #等雪来，想雪来，又怕它乱来！
1694090647# #谁在说谎？
1700456906# #河南通信局将约谈周口联通周口联通这份回应避重就轻。。辞退员工并非舆情焦点！。后台断网，欺骗用户更换设备，侵犯用户合法权益，这个问题必须要给出明确回应。。河南联通和稀泥，约谈周口联通，这是约谈能解决的事情吗？。违法牟利，无德缺德！中国联通
1693062685# #2023年第一批通报的环评文件质量问题及处理意见
1701791636# #法律文书出错，老胡居然能洗地？实在是看不下去了！哈哈哈哈哈！万一老胡收到法律文书写到：胡锡进，女，字骑墙。你还洗不洗？笑cry笑cry笑cry
1702698242# #主播失言致东方甄选停播东方甄选一系列连续剧的新闻霸屏了。
1697033034# #这帮人真把自己当盘菜了……不知道天高地厚了……什么玩意儿
1692877094# #转发微博
1695647560# #网络舆情有些政务新媒体账号，在学某些娱乐营销号刷流量的套路，沦为蹭热不要底线的八卦账号。。久而久之，政务账号娱乐化，刷了网络流量，抢到排名榜单，赢得领导表扬，换取晋升资本，却在不知不觉中，消耗了公信力，逐步失去网络阵地！清朗行动
1695540006# #官方通报小学生遭同学极端欺辱在类似校园欺凌霸凌事件中，媒体首次使用“极端欺辱”这个词汇，舆情昨晚热搜，（昨天是亚运会）。。校方的几项管控措施没有达到预期效果，反而成为助推新增舆情讨论话题。。现在的舆情压力在教育部门，在涉事学校。公安机关已经介入，警方一定要依法调查依法处理，不要让
1700526210# #江苏无锡一纺织厂起火致7人死亡防火安全，人人有责。
1703550741# #微博辟谣12月25日，千百意老爷爷的抖音突然爆火。表面看是一起正能量事件，一位流落街头的七旬癌症老人被误诊，学生捐款带老人吃喝玩，助力老人圆梦。。视频不断传播，已经上了热榜，如不及时止损，网友们会误认为：老人癌症被误诊，医术不精，医德败坏；患癌老人流落街头，是政府不作为，脱贫
1703000235# #转发微博
1702343761# #转发微博
1691164449# #@利辛发布
1701918447# #春晚回应吉祥物争议刚刚预热就遭到网友质疑，今年的春晚导演更加压力山大。
1697364002# #河南村BA现场1分钟上演全武行贵州村BA打出了文旅的品牌；河南洛阳的村BA真的打了起来！
1702874396# #中国的迟大律师也连续多年提议卖淫合法。奇葩
1696078240# #允悲允悲允悲央广网主持的话题下面有67家媒体参与传播
1697469209# #警方已发现咬人黑狗行踪热搜话题前五十名里关于狗咬人的热搜有11个！。话题热度高，民怨大！
1693816846# #黑猫警长在重庆市公安机关合唱比赛中，一支参赛队伍合唱《黑猫警长》，您别说，还真是挺好听的，不知道最后获奖了吗？网友；奶牛猫的荣光时刻。
1701130552# #转发微博
1696745868# #转发微博
1696498136# #衰
1703497417# #有人恶意造谣，给抗震救灾添乱添堵！
1698288370# #小学门前销售这个“劲爽能量棒”，总感觉哪里不对劲！。有没有专家解答一下，小学生能否吸食此物？有无成瘾性？
1701588721# #湖南4个公租房小区排查出766户公职人员国家的惠民举措被这些公职人员当成中饱私囊的福利。。相信当地纪委监委会严肃处理，有766户公职人员侵害群众利益，这不是小事。
1696042459# #从399元到29999元，多种规格供选择。帮你做推广，小编这次不会私信怼读者了吧？
1701164835# #扫黄打非办公室收
1700789247# #此案描述的只是运毒的环节。从哪买的毒，上线货物来源，买了之后是自用还是销售，这些都需要追查。
1702295607# #今日辟谣
1703410094# #转发微博
1701693906# #结局是卖课卖资料。骗局
