1600642006# #厦门-音乐广场等
1574392091# #周公馆
1659845002# #花木公园
1585608165# #搞笑的进门前的消毒方式笑cry（国外）
1578865987# #历史文献资料（战俘营）
1605742819# #3D效果（重庆）
1604703530# #好可爱的小鸟🐦
1575849285# #著名美国西部歌手戴夫．卡罗搭乘美国联合航空飞机时，托运的一把价值3500美元的泰勒吉他被摔坏。他提出投诉，没想到联航根本不理他。无奈的卡罗于是发布了一首新歌《联航会砸烂吉他》。才唱了四天，就让联航股价跌了10%，市值蒸发2.8亿美元。后来，联航同意在全世界买一把最高价格的吉他赔偿，并提供终
1564620647# #这是手吗？
1577145550# #陕西宝鸡法门寺
1577237052# #圣诞节🎄快乐
1540333780# #税务知识（0101）。怎样打印一张完整漂亮的申报表！。这个功能怎么用法呢？能解决哪些打印问题呢？。第一招出来吧报表！。步骤总结如下：。1、打开已发件；。2、选择需要打印的表单；。3、右键-字体缩小；。4、多次缩小到所有文字都可见；。5、右键-表单放大；。6、打印。。第二招只要一页！。步骤总结如下：。1、
1614597078# #蝴蝶湾绿地
1593297179# #中共中央军委在上海史料陈列室
1618399246# #狗和鹅打架，真的是太逗了
1602457022# #桂林公园
1578428523# #据传，刀劈生鸡蛋只有在旧上海的锦江酒店能够看到，而且只有一个老师傅会这门绝技。1972年尼克松访问中国前，黑格将军先来上海提出要看刀劈生鸡蛋，当时没人知道是什么。今天看到这个视频才恍然大悟。与大家分享，开开眼界😊
1585869623# #美女身上藏枪，全拿出来吓人一跳（国外）
1580769446# #毛芋头的药用价值
1587853961# #时长三分多钟的一部短片《让坐》，通过眼神中的逃避，无奈，感谢，惊讶，触动等，把各个人物刻画得淋漓尽致。
1612741772# #要不要打育苗（张文宏）
1560466282# #潘长江女装进美容院……
1538954840# #教你怎样打各种领带结！。温莎结（WindsorKnot）。温莎结（WindsorKnot）是一种再经典不过的领带打法了，不过因为这种领结非常饱满，特别适合正式场合，因此很少被运用在日常生活中。在经典领带打法中，温莎结也算是一个难度比较高的领带打法。。温莎结的关键就在于，要在领带结的两边都绕一个圈，这样
1542076016# #上海夜景
1597359475# #小狗意外落水，海豚🐬救下落海的小狗，并一路护送它到船上！
1546565289# #小锣书：水果招亲
1538692764# #自然的威力！！一一國家地理雜誌花了價值100萬美元去買的一段片..請勿錯過
1664165346# #华灵公园
1640082233# #家宴餐厅
1639391636# #兴业太古汇
1553039452# #未来餐厅
1573691653# #上海文化广场
1534996966# #电脑字体怎么改，教您电脑字体怎么改？。在使用电脑的时候，里面会有很多的文字，这个文字其实是可以调整的，有人人会会觉得电脑的字体不好看，想修改但是却无从下手，在电脑上和人QQ聊天，经常能看到有人用了个性化字体，那电脑上字体要怎么修改呢?下面，小编教大伙如何去修改电脑字体。。喜欢个性化电
1547766271# #国外搞笑视频笑cry①
1565653658# #夜上海
1599861279# #厦门-鼓浪屿④
1534690658# #看见过鱼🐠吵架吗😁
1545867632# #养生时辰表
1632910740# #明泰谷泰国餐厅
1613630584# #上海中国画院（迎春画展）
1603232943# #你看过鸟组队打篮球比赛吗？
1591050292# #元利当铺旧址博物馆
1547245732# #税务知识（0141）。每月工资不到5000元，需要填报专项附加扣除信息吗？。那么工资不到5000元的伙伴，需要填报专项附加扣除信息呢？我们会计人员的继续教育费用，可以在税前扣除吗？一起来看看以下几个热点问题—。问题1。我每月工资不到5000元，而且也没有其他的收入项目，是否需要填报专项附加扣除信息？。
1534749466# #税务知识（0059）。失控发票将被严查！这3点一定要注意了！。案例。某外贸公司去年9月～10月出口拉杆箱，累计出口额为（折合人民币）484.1万元，购进货物金额455.8万元，进项税额77.5万元，取得的增值税专用发票已通过认证，退税率为15%，已于2014年1月～2月办理出口退税，退税额为68.4万元。。事后因为供
1562713105# #瓷房子位于天津市和平区赤峰道72号，它是一幢举世无双的建筑，它的前身是历经百年的法式老洋楼，它的今生是极尽奢华的“瓷美楼奇”。。该建筑被人们称为：一座价值连城的“中国古瓷博物馆”。这座“瓷房子”是天津市赤峰道一座用多件古董装修而成的法式洋楼，由瓷房主人张连志亲自设计。瓷房子建在天津
1560903369# #惊现怪鱼🐠
1611097321# #现代新世界七大奇迹
1606609237# #抗美援朝保家卫国（中）
1589752002# #大明宫遗址公园（陕西西安）
1662349655# #白相大世界
1590703827# #枫泾古镇
1564442612# #请看这幅画，看时心会变安静，看画时，闭上一只眼，用另一只眼睛看，眼睛与画保持20公分距离，立体效果就现出来了:遨游于天地间，四季皆显现。真的是有一种穿越的感觉，好神奇的制作哟！
1546732763# #上海建筑。步高里。步高里建于1930年，由法商中国建业地产公司投资、设计与施工，属典型的行列式旧式石库门里弄住宅，目前仍由居民居住。步高里占地面积6940平方米，建筑面积10069平方米，共有二层砖木结构石库门建筑78幢，是上海保存较完整的罕见整组建筑里弄住宅。1989年，列入上海市文物保护单位和第
1598913831# #创意家居，这设计简直绝了！
1543616727# #税务知识（0122）。免征、减征、不征...企业的这些收入你一定要了解！。各位财务在日常工作中有没有对各种收入的减征、免征和不征优惠做过归纳整理呢？。企业取得收入的货币形式：。包括现金、存款、应收账款、应收票据、准备持有至到期的债券投资以及债务的豁免等。。企业取得收入的非货币形式:。包括固定资
1547336963# #税务知识（0142）。税局怎么查专项扣除信息？填报不实会有什么后果？。关于2019年度开始全面实施的新个税法，很多人都已经如数家珍了，都熟悉了六项专项附加扣除的细则，知道可以扣除的标准定额，也大约算出了自己可以少缴多少个税。。而今天要说的重点，大家一定要注意：。据实填报！据实享受！。享受个税
1534147173# #《天黑的很慢》。茅盾文学奖得主周大新最近出版最新长篇小说《天黑得很慢》，敏感关切老龄化社会庞大人群的涌动，以及他们复杂隐曲的心境。 。文中写道：....许多老人说来什么都懂，其实他们是对老年一无所知的孩子。很多老人并没有做好面对老年这一段路的准备。　。
1534042905# #税务知识（0027）。增值税纳税申报比对失败怎么办？操作指南来啦！。为进一步加强和规范增值税纳税申报比对管理，提高申报质量，优化纳税服务，税务总局制定了《增值税纳税申报比对管理操作规程（试行）》，自2018年5月1日起执行。。在实际操作中，如果纳税申报比对失败该怎么办呢？。首先让我们一起来了解
1592748894# #转发:6月21日并不是中国父亲节。——也说所谓“父亲节”。关于所谓“父亲节”的文章开始刷屏了。实际上，许多人连这日子是咋回事也没弄明白，只是跟着追风。不知道这个美国的父亲节了，什么时候被中国人磕了头弄成节日了？只能说，西方文化实在太具有入侵性，1972年美国总统才签署正式文件，将每
1534653330# #税务知识（0051）。个人提前退休取得补贴收入是否需要缴纳个人所得税？。    纳税人：你好！我想咨询一下我提前退休取得的补贴收入是否可以作为离退休工资收入免征个人所得税呢？。    答：根据《国家税务总局关于个人提前退休取得补贴收入个人所得税问题的公告》（国家税务总局公告2011年第6号）
1669692229# #海狮特快
1611195219# #苏州河西康路桥—江宁路桥
1548821444# #快乐的搓澡工（小品）
1574294198# #上海野生动物园
1542843966# #上海建筑。民国时期上海滩的标志性建筑。1，上海国际饭店---于1931年5月动工兴建、1934年12月竣工并开业，饭店由4家银行联合投资兴建的投资建造，占地面积1179平方米，是上海年代最久的饭店之一。大楼地上22层，地下2层，地上高度83.8米。它是当时全国也是当时亚洲最高的建筑物，在1952年之前一直是“远
1553727299# #会随音乐🎵节奏跳舞💃的小鸟🐦
1571786400# #松江雷圭元纪念馆
1611534450# #苏州河—苏堤春晓绿地
1534041981# #税务知识（0026）。非居民企业取得分红如何纳税。    在营商环境不断优化的当下，越来越多境外投资者在华投资。那么，非居民企业从境内被投资企业取得分红所得该如何纳税呢？。时间节点要牢记。免征（免征税款看期限）。2008年1月1日之前外商投资企业形成的累积未分配利润，在2008年以后分配给外国投资者
1546658309# #【中国首次尝试在月球背面着陆，嫦娥四号主要是探索月球经历了哪些秘密？】，因片幅太长，只能分4段转发。珍贵资料，共欣赏4
1635728342# #彭浦四季公园
1557351282# #蛇吞蛋
1557720334# #我点了一份白斩鸡，上了一匹马
1552516427# #刘谦现场变魔术
1621250687# #水上自行车
1599785688# #厦门-鼓浪屿③
1570658382# #松江仓城老宅—徐氏当铺（松江中山西路368号）
1534223600# #税务知识（0030）。企业为员工统一定制的工装，能否税前抵扣？
1584219461# #全国三十一支医疗队。参加人数42000多人。。北京代号叫，京兵强将。参加人数1215。。天津代号叫：津字招牌。参加人数1289。。河北代号叫：冀来之则安之。参加人数1090。。山西代号叫：竭晋全力。参加人数1509。。内蒙古代号：别害怕蒙蒙达。参加人数798。。辽宁代号叫：辽表寸心。参加人数2045。。吉林代号叫
1606863215# #石头真的能变纸，你信吗？
1539560124# #脑洞大开（有趣的人形）
1543376656# #税务知识（0119）。买一赠一，如何缴税。01。企业所得税。企业以买一赠一等方式组合销售本企业的商品的，不属于捐赠，应将总的销售金额按各项商品的公允价值比例来分摊确认销售收入。。文件依据：。1.《国家税务总局关于确认企业所得税收入若干问题的通知》（国税函〔2008〕875号）第三条。02。增值税。(1)买一
1569969073# #外滩
1622622923# #放风筝
1630209133# #环贸
1604362401# #国外的明抢钱💰
1576107672# #方清平单口相声
1534736408# #节日男女互送礼物含义大全（别送错了哦）。送男朋友：。1.围巾----我永远爱你。2.杯子----一辈子。3.信----我想念你。4.睡衣----我给你我的全部。5花-----我希望把我的名字放在你的心上。6.书-----我相信你很聪明。7.口香糖-----我希望跟你交往很久。8.香烟----我讨厌你。9.本子----我希望看你天真的爱情。10.戒
1573519831# #欢乐谷（万圣节）
1586124672# #排队上黄山
1559452578# #会计分录怎么处理？8张表格全搞定！
1549063456# #在刚结束的2019年全美花滑锦标赛上，13岁的AlysaLiu获得女单冠军。有三个看点：第一，她成为该赛事历史上最年轻的女单冠军。第二，他的父亲是四川人。是学英语和教英语的，1989年从四川重庆出国，在北加州旧金山湾区学商业管理和法律，现在做律师。第三，他是单身父亲。有五个孩子，都是通过匿名捐卵
1620988608# #升旗仪式
1595022416# #花式台球大神花式炫技，技艺精湛令人叹为观止！
1626862774# #悲剧了
1563232549# #国外一男子为了救狗🐕来了一套惊险横穿马路表演
1559167901# #调侃明星
1547941252# #税务知识（0143）。临时工工资属于“工资”还是“劳务报酬”？。企业生产经营中，因岗位或业务需要会使用临时工，那么临时工的财税如何处理？。一、临时工工资属于“工资”还是“劳务报酬”？。（1）按月正常发放工资的，“是否雇员”选择“是”，填写正常工资薪金报表；。（2）不按月发放工资或者没有签订
1559353950# #吹口琴
1592432846# #要想活的久，就往上海走；。要想活的顺，就到上海住；。98年洪水，上海没有。。03年SARS，上海防控最好。。06年禽流感，上海防控最好。。07年雪灾，上海没有。。08年地震，上海没有。。12年暴雨，上海没有。。13年H7N9，上海防控最好。。16年龙卷风，上海没有。。今年的冠状病毒，上海可防可控最好。。
1668767273# #苏州河（华政段）
1566179339# #泰国清迈—邓丽君最后住的房间
1534402110# #上海建筑。建国中路。建国中路，东起重庆南路接建国东路，西至瑞金二路接建国西路，长588米，宽15米到17米。。建国中路最初为1902年法租界公董局越界辟筑，名为打靶场路。同年又以天主教神父薛华立命名为薛华立路（RouteStanislasChevalier），法租界会审公廨和总巡捕房都设于此处。1943年汪精卫政权接
1606263352# #顶级食材拍卖
1582503977# #舞蹈《敬爱的毛主席》
1534595508# #税务知识（0044）。老板从公司“借钱”，会计怎么做账？。生活中有很多这样的老板："公司是我开的，钱是公司的，所以，我=公司=钱，我=钱"。。最终结论就是，公司的钱就是我个人的钱，爱怎么用就怎么用，就是左口袋进右口袋，不需要交税。。真的是这样吗？公司的钱就是老板的吗？老板随便转不需要
1557956776# #远离毒品
1609625817# #东来顺火锅
1574634874# #机器人跳舞💃🏻（上海科技馆）
1620512688# #茶叶有非常好的降脂作用
1660652609# #环球港
1590529518# #秦始皇胳膊下KFC（陕西西安）
1550037819# #豫园灯会（2019）
1560667260# #今天是父亲节，父爱如山，祝天底下所有为人父的朋友👨🏻节日快乐！
1619045764# #厉害了我的鹅
1621922171# #好可怕啊，不知道从哪里来的
1588023057# #《医学的疆与界》（刘东医师）
1578962887# #日本首相退休后待遇如何？
1572052382# #威尼斯海鲜自助餐厅
1545183312# #南京长江大桥
1579465917# #贵阳黔灵公园的猴今天过小年吃馒头，胆大的拿两个，胆小的拿一个。猴🐒儿们也开心过小年！
1609712119# #虬江路
1585696680# #微笑国外夜晚用僵尸遥控机赶市民回家，不要在外面。
1549433606# #中国爹娘。过年啦，儿孙满堂。。中国爹娘，像打了一针鸡血，充满能量！。厨房，"齐不隆冬呛"，爹娘的刀声，成了过年的锣鼓点，敲出了，椒红酒绿，鸭焦鸡黄。。再累，也不能让年轻人帮灶，他们要上网，太忙！。酒醉饭饱，杯盘狼籍！儿孙们带着年味的余香，各归梦巢，准备拥抱明天的太阳。。只剩下中国爹娘，像
1639563819# #家有好面
1619245429# #能吃饭的口罩😷
1558315119# #人体彩绘的高跟鞋
1540864380# #税务知识（0107）。个税专项扣除谁来扣？怎么扣？有什么注意事项？。具体怎么提交资料呢？。是网上还是要到税务局？。是自己提交还是单位提交？。一、谁来扣？。谁扣缴综合所得个税扣“专项附加扣除”？。发工资的单位。1.居民个人向扣缴义务人提供专项附加扣除信息的，扣缴义务人按月预扣预缴税款时应当按照规
1589233190# #第二战区司令长官部秋林旧址-红军东征革命纪念馆-黄河栈道（陕西延安）
1580597236# #美女即兴跳舞
1645095815# #环球港
1597098024# #小朋友给狐猴抓痒痒，调皮狐猴：别停下，再挠挠！
1620093692# #有文化真好：一中国哥们去加拿大赏枫叶，中午在一景点吃披萨，点了个直径9寸的比萨。等了一会，服务员客气地端来了两份直径5寸的比萨，说9寸的比萨没有了，给您两份5寸的，多送您1寸吧！。这哥们一楞，客气地请服务员叫来店老板，给他普及了一下求圆面积的数学公式：S=兀r²，其中兀是圆周率，等于3.1415
1583685717# #好一朵美丽的茉莉花（洛天依）
1569969241# #外滩
1568778619# #上海木文化博物馆
1534394122# #中国主要山脉、河流、湖泊、平原、高原、盆地
1590872293# #金山嘴老街
1639995954# #建德花园滨江绿地
1576803449# #上海的中心在哪里？（沪语）
1616928296# #杨浦滨江（杨浦大桥区域）
1617187619# #中国VS美国
1539646201# #温馨祥和
1620348886# #不夜城公园
1553468092# #储殷演讲:没人比我们更能在危机下生存
1534906176# #税务知识（0067）。利润分配怎么做分录？。定义：利润分配是指企业根据国家有关规定和企业章程、投资者协议等，对企业当年可供分配的利润所进行的分配。。可供分配利润＝当年实现的净利润（或净亏损）＋年初未分配利润（或年初未弥补亏损）＋其他转入。注意：可供分配利润≠未分配利润。举个例子：。假如某
1602284512# #表演不倒翁（太湖）
1595802958# #高境庙纪念村牌坊旧址
1595555432# #厉害了，农村田间的牛与牛斗🐮
1554245540# #汽车🚗闯入赛马场🐴悲剧了
1566359320# #泰国清迈—夜间动物园
1546920559# #上海建筑。淮海坊。淮海坊旧名霞飞坊，1924年建，天主教会普爱堂投资，上海魏清记营造厂施工。淮海坊为典型的新式里弄建筑，共有3层砖木结构房屋17幢，占地面积14986平方米，总建筑面积23840平方米，2005年被列为上海市第四批优秀历史建筑。。建筑风貌。淮海坊总体布局规整，总弄与支弄结构明确，式样和规
1568386535# #月圆人圆，中秋快乐！🌹🌹月亮月亮
1613370627# #上海虹桥当代艺术馆
1540508793# #税务知识（0103）。增值税、个税、企业所得税申报错误怎么办？更正申报全操作都在这里！。申报工作难免出错，已经申报过的增值税、个人所得税，之后发现错误了，怎么更正？企业所得税汇算清缴申报后，发现错误怎么办？。1.增值税。增值税比对异常，需要更正申报怎么办？电子申报端在申报期内可无限次更正本
1580056586# #杨乃武与小白菜
1611615330# #苏州河—宝成桥
1552946365# #太可怕！从你身边走过，就获取了你的银行卡信息！
1534945533# #在俄罗斯，一名2岁女孩陷入了深井。救援队投下了一名瘦弱的17岁女孩，成功拯救了这个小女孩。
1534207861# #税务知识（0028）。在商场买的购物卡当时开具了不征税发票，后期凭卡在商场消费时还可以开具发票吗？。根据《国家税务总局关于营改增试点若干征管问题的公告》（国家税务总局公告2016年第53号）第三条规定，单用途商业预付卡（以下简称“单用途卡”）业务按照以下规定执行：（一）单用途卡发卡企业或者售
1572669061# #泽成羊遇见酌文妃
1534989739# #教你拍有趣的创意错位照！」。当你看到这些照片封面的时候是什么感觉？觉得是PS的？其实这些照片并不需要PS，相机就可以直接拍出这种效果。它们都是运用了一种视觉错位原理，从而达到欺骗眼睛的效果；出门旅行看多了普通人像照，偶尔拍拍错位照其实还是很有趣的。到底怎么拍？其实非常简单，来看看具体
1597702359# #上海方言（姚勇儿）
1567550711# #秋雨无痕。雨，其实是一种心情。。微雨霏霏，是清新是自然是感动，。那凉意，是一种温暖也是一种思念；。大雨倾盆，是洒脱是急骤是震撼，。那肆意，是一种刻骨也是一种呐喊；。冷雨成雪，是沉默是升华是凄美，。那历练，是一种胸怀也是一种感伤。。雨，如诗洋洋洒洒让人回味；。雨，如歌起起伏伏令人心动；。雨，
1591736448# #四明山书画院
1579575591# #国外搞笑视频⑦鳄鱼🐊来了
1537571518# #税务知识（0082）。餐饮行业会计分录。1、直接消耗餐料购入。（1）分录：。摘要：付（应付）XX餐料款。借：主营业务成本。贷：库存现金/银行存款/应付账款。（2）附件：采购发票（附清单）、银行付款单据。（3）附件审核流程：。采购发票由采购人员、后厨大厨、部门经理、单位负责人签字。。2、需要入库餐料购入。
1557627765# #母亲节快乐
1659157820# #天安千树
1619421992# #不知道这是什么电影允悲
1534345000# #上海建筑（园林）。南园滨江绿地。在黄浦滨江的五大主题区段规划中，自卢浦大桥到日晖港人行桥之间的这最后五百米水岸，被赋予了“慢生活港湾”的美好愿景。尽管这短短的半公里还不到黄浦滨江岸线整体长度的十分之一，却着实用它世外桃源般的景象，奏出了悠长而曼妙的一段绿色旋律。。毫无疑问，南园滨江
1662199327# #三人鱼餐厅
1537828585# #一只勇敢而聪明的小狗从一只狼爪中救下三只小豹，智引狼落崖亡命。。国家地理频道向拍摄这段视频的人支付100万美金。看过的人无不为之感动，太珍贵了！
1535613466# #上海建筑。中行大楼。中行大楼初名中国银行虹口大楼，1958年才改名为中行大楼。由中国银行上海分行投资建造，华籍建筑师陆谦受、吴景奇设计，泰康行营造厂承建，1932年竣工，比外滩23号中行大楼还早建成。而这两幢中行大楼的设计，都出自建筑师陆谦受之手。。陆谦受的祖籍为广东新会，幼年随父赴英国，19
1590616483# #两会新风尚文明礼先行
1566860110# #一栋楼顶部半边倒下来
1558387335# #黑科技材料
1587335368# #如何来判断我们自己免疫力的高低？（高健上海中山医院营养科主任）
1554677375# #可乐化结石真相之谜
1533955967# #税务知识（0013）。月销售额或营业额不超过10万元的一般纳税人是否需要缴纳教育费附加？。有纳税人问到：月销售额或营业额不超过10万元（按季度纳税的季度销售额或营业额不超过30万元），免征教育费附加、地方教育附加的优惠政策是不是只有小规模纳税人可以享受？一般纳税人也可以享受吗？。。举个例子。。 
1536581535# #演讲：母亲
1615416017# #河中有一条怪鱼，居然吃掉一条蛇
1611881932# #聆听自然的音花园
1551995645# #你多久去一次医院检查自己的身体？也许一年一次或两次，但是本片这些健康小测试可以让你在家里测试一下自己的身体状况，一起试一下。
1630982350# #老佛爷百货
1564785318# #这些药不能混着瞎吃！
1536578421# #教师节祝所有的老师身体健康，节日快乐！。😄今天一帅哥的老婆在产房里待产，他在外面急的团团转，口里还不停的说：老婆快点！老婆加油！。看他急的样子，问：你老婆生孩子你着什么急呀？。他说：我能不急吗？今天生的就是知识分子，明天生的就是恐怖分子！。——明天“9.11”😂😂
1563746864# #吉林—长白山天池
1544073442# #税务知识（0127）。九种容易犯错的记账方式，你都处理正确了吗？。1。以“预收账款”方式销圌售货物，产品（商品）发出时不按时转记销圌售收入，长期挂账，造成进项税额大于销项税额。 。在实际操作中,正确的做法是企业向购货单位预收的款项，借记“银行存款”等科目，贷记本科目；销圌售实现时，按实现的
1564957411# #表演二指禅劈砖，结果……
1614151626# #聂耳雕塑绿地
1556925014# #以色列治理沙漠成果
1561976658# #庆祝香港回归22周年,重温1997香港回归交接仪式现场
1534945329# #烟火
1621838362# #毁于一蛋🥚
1561502598# #上海建筑。小绍兴的白斩鸡
1542513594# #上海建筑。上海音乐厅。上海音乐厅始建于1930年，原名南京大戏院，位于八仙桥地区的爱多亚路523号(今延安东路)，由上海名流何挺然投资，中国第一代建筑设计师范文照、赵琛设计建造，典型的欧洲巴洛克建筑风格。。1930年南京大剧院落成于八仙桥地区，它坐南朝北，占地面积1254平方米，建筑面积2457平方米。
1626776626# #北外滩滨江绿地
1582075637# #如何吐槽自己老公
1546657952# #【中国首次尝试在月球背面着陆，嫦娥四号主要是探索月球经历了哪些秘密？】，因片幅太长，只能分4段转发。珍贵资料，共欣赏1
1534423340# #上海建筑。皋兰路。皋兰路是中国上海市黄浦区的一条街道。东西走向，东到复兴公园，西至瑞金二路，长278米，宽12米。皋兰路原名高乃依路（RueCorneille），为1914年法租界公董局修筑，以法国诗人高乃依命名。1943年汪精卫政权接收上海法租界时改名文安路。1946年改名皋兰路，沿路多为住宅区。。皋兰路1号
1542331426# #魔术
1596798505# #【立秋】问苍天什么季节最忙？秋天，多事之秋；什么季节最公平？秋天，平分秋色；什么季节最简单？秋天，一叶知秋；什么季节最长？秋天，一日不见如隔三秋；什么季节最爽？秋天，秋高气爽；什么季节最险？秋天，秋后算账:什么季节最暧昧？秋天，暗送秋波！哈哈，今日立秋。祝大家立秋快乐
1559254234# #90年前上海小学上课
1541815942# #音乐🎵
1535024689# #七彩龙虾
1582757631# #歌曲《希望》
1624115860# #爱琴海购物公园
1569121154# #外滩星空失恋博物馆
1550619314# #大山单口相声（海外春晚）
1585348870# #你见过这样的汽车吗，好酷！
1577854370# #新年快乐
1665483961# #桃山日本料理
1563487308# #国外搞笑视频⑥让路人帮忙拍照，结果成了这样了笑cry
1616798654# #太可爱！海狮主动跳上船，找人要鱼吃！
1534511209# #上海建筑。北京东路。北京东路东起中山东一路，西至西藏中路，与北京西路相接。上海开埠之初，这条路是通达黄浦江的土路。1849年辟筑新路，当时仅辟筑了从外滩到今河南中路一段，因其东端附近是英国领事馆，故初名为“领事馆路”，俗称“后大马路”。1854年向西筑至今浙江北路，1865年以清廷京城命名为北
1599514474# #厦门-环岛路
1599430180# #厦门机场
1585955225# #违反封城令的后果（印度）
1602716413# #OCAT上海馆
1578095294# #饮茶YUMCHA
1569175176# #外滩星空艺术馆
1550180904# #【情人节的来历】。2月14日，西方的情人节。。有很多人误解了情人节的含义，。以为情人是除夫妻之外的第三者。。今天我们就来了解一下，。罗马帝国时期，信仰基督教是非法的，。有一个叫瓦伦丁的基督徒因此被关进了监狱，。监狱长有一女儿，是个盲人，经常在监狱里走动，。她被瓦伦丁的博学征服了，甚至产生了
1670321496# #桂林公园
1557526775# #涂鸦艺术-立体感极强的平面画
1534469845# #上海建筑。思南路。掩映在高大法国梧桐浓荫下的思南路，是一条浪漫气息浓郁的马路。步行这条北起淮海路、南至泰康路的小马路需要20分钟左右，读懂这条从无喧哗和热闹、处处弥漫着优雅味道的小马路，只需要一个温暖的午后~。思南路原名马斯南路，始筑于1914年。在1912年8月13日，法国一位著名音乐家Massene
1601421751# #淤泥地才是抓蟹的好地方！
1582151842# #胡里奥和韦唯演唱《鸽子》
1562109511# #唱支山歌给党听
1554071318# #每次压力大的时候，就想想这只龙虾🦐。压力大吗❓大❗️。为什么不放手❓这能放手吗❓。谁说累了可以放下。你放一下试试
1548027076# #税务知识（0144）。手机上如何填写六项附加扣除？怎么填最划算？。这几天陆陆续续有人开始填写专项附加扣除的内容了。对于每一个自然人来说，在哪里填写最方便？填写前要准备哪些资料？。好好填写才可以做到最大限度的扣除。一旦选择了具体的扣除方式，一个纳税年度内都不能变更啦！所以，做出选择之前要
1578613182# #最早的春晚
1557790943# #朝鲜特种部队训练曝光
1555887323# #宁可蹲下，也不低头弯腰，这是一条安全警讯
1556580402# #大力士PK太极拳
1534347063# #上海建筑。南外滩，老码头转身新潮流。我们既喜欢有年代感的老建筑，同样热衷于天马行空的想象和创意。南外滩将两者兼具，化身为一处时尚休闲与怀旧文化体验并肩的滨江空间。注意了，看似“老旧”的大楼里，其实就隐藏着你意想不到的小资生活体验。环球美食与酒吧夜畅，迎着微风清凉，伴以低吟浅唱，美好
1666521850# #天安千树
1539664659# #税务知识（0093）。范冰冰被罚8亿，崔永元能拿到多少奖励？。还记得范冰冰的偷税事件是如何被揭发的吗？。5月28日，崔永元晒出范冰冰的演艺合同，称她一部戏片酬1000万。。5月29日中午，崔永元再次发微博称，1000万只是一部分，另一份隐藏的“大合同”价值5000万！。随后，范冰冰工作室迅速作出回应。。崔永
1610665573# #都是看美女惹的祸
1550587348# #汤圆不一样的吃法。今天是元宵节。元宵，古人又称“元夕”，有很多诗作词作都是以“元夕”为主题的，如辛弃疾的《青玉案·元夕》，欧阳修的《生查子·元夕》，都是很有名的词。。早就在年夜饭上吃过了酒酿小圆子，有些旁友或许大年初一早上吃的也是圆子，在应该吃汤圆的元宵节当天不禁要大呼：苍天呀煮汤圆
1598661117# #小面团竟能炸成大麻球！
1592084514# #㊙中國字很有意思㊙。。2個口是什麼字？(回）。3個口是什麼字？(品）。4個口是什麼字？(田）。5個口是什麼字？(吾）。10個口是什麼字？(古）。11個口是什麼字？(吉）。88個口是什麼字？(谷）。1000個口是什麼字？(舌）。。答案就在此詩中⋯⋯。。回首凝望美山河,。品味人生笑唱歌。。田園美景碧似玉,。吾心
1537781601# #zs-月饼券是个很神奇的产物，厂商印100元月饼票，65元卖给了经销商，经销商80元卖给了消费者A，A将月饼票送给B，B以40元卖给了黄牛，厂商最后以50元向黄牛收购。没生产月饼，厂商赚了15，经销商赚了15，A送人情，B赚40，黄牛赚10。厂家只需要生产月饼票就行了。除了月饼票和黄牛的劳动外什么都没生
1544502204# #税务知识（0132）。财务人员经常错缴税的7项业务！。如果企业财务人员不注意学习，有可能会错缴税，给企业造成损失。今天就来同大家谈一谈，财务人员经常会缴错税的几大业务，但愿能引起大家的重视。。业务一。合伙企业对外投资取得的股息、红利收益，并入企业经营收入来纳税，你的税就缴错了！。错误业务：
1534505641# #上海建筑。福州路。上海开埠前，福州路原是通向黄浦江的四条土路之一，俗称四马路。1850年前后开辟外滩到河南路一段，因西面通往基督教伦敦会教堂天安堂（今山东中路），故名布道路、教会路。1864年向西延伸，筑完全路。1865年以中国港口福州的名称正式命名为福州路。。福州路中段从20世纪初起就有“文化
1534232828# #动物练瑜伽，太牛了！
1617917463# #在悬崖上开车，看了也胆战心惊允悲
1594506929# #Yosemite的ElCaptain是攀岩中的珠峰，垂直绝壁1000多米，用绳子攀要几天，途中睡在绝壁上。这是人类历史第一次徒手攀登成功。
1632096917# #百联曲阳购物中心
1536876432# #上海建筑。徐家汇圣母院旧址。位于徐家汇繁华地段，有一组白色五层欧式精美宗教建筑---徐家汇圣母院，在四周现代化高楼环抱之下，显得格外别致，让人仿佛穿越回了几十年前的老上海。。这里现在是上海一家名闻遐迩的中餐厅—“上海老站”。虽然名为“上海老站”，其实是饭店，并非真正的老火车站。因在“上
1583881546# #(妈妈)母亲「塑胶袋提婴儿」33年后重现……。摄影师在各种机缘巧合之下所拍下的一张美丽写真，很有可能就此成为了流传数十年的经典之作。一位匈牙利摄影师AttilaManek在1987年于匈牙利首都布达佩斯的市场边，意外捕捉到了一位妈妈正在挑选购买蔬果，用透明塑胶袋提著小婴儿，而婴儿大口啃咬著苹果的
1571975649# #闻道园
1666243657# #中山公园
1606344996# #判断男人的标准是什么？
1548730784# #❄️迪士尼中国包子短片，没有一句台词，却感动全球观众。皮克斯2018最新中国风动画短片《包宝宝》，亲情可贵感人！
1537662934# #税务知识（0084）。小公司薪酬制度①
1588888102# #乾坤湾（陕西延安）
1609797238# #南京路步行街
1669293863# #箜八泰东南亚料理
