1612246621# #其实我想分享一款太赫兹理疗仪，但不擅长直播笑cry
1601971316# #文明国家不应该呀
1629431699# #其实之前没注意霍尊的歌，。只在海报上看过他的头像，。觉得他生错了性别，。应该像个薄唇女子。。。甚至俺说过无论啥样性别，。薄唇的人应该统统变成女孩子，。厚嘴唇的人应当统统变成男人！。。特别无感厚嘴唇的人，。尤其是黑人几乎统统厚嘴唇。。。今天特意搜听了几首霍尊的歌，。听完后只想认认真真地说一句，。
1608632473# #明天和意外不知道哪个先来。澳门永远走在香港前面。
1607938464# #东方红，太阳升！
1635254793# #康辉为何选择丁克？难怪连董卿都不敢惹他！。。按照中国人的传统观念，一个人这一辈子注定是要生儿育女的。可随着时间推移，人们的生育愿望已经明显下降了，而大众对于丁克这个东西也越来越熟悉，可实际上在二十年前我国一位著名主持人就曾做出丁克这个决定。。。当年究竟是什么原因让身为国脸的康辉下定决
1587430029# #当你姐妹家是开超市的朋友们白吃白喝，捧得她神魂颠倒，算算账赔了十万。她爸妈说准备开个火锅店。她惊喜不已。
1581318051# #确保年底前生猪产能恢复到常年水平。口罩已打败了猪肉！。。6家“奸商”被罚1300万元！。。疫情防控关键期，部分商家趁机哄抬价格、扰乱正常的市场秩序。2月6日，苏州市市场监督管理局公布了一批各地查处的口罩等防疫用品价格违法典型案件，其中一家药房被罚100万元。根据公此前公开报道，多地顶格处理此
1600413467# #那个剧院下面的座椅是可以移动的，平时是按照正常摆放，演出会移动到两边开始演出，汉秀的表演水舞相结合，移动舞台是不可少的，坐在座位上没什么事，工作人员也会在旁边守着。估计是小孩乱跑，父母心急造成悲剧。。。安全责任大于天，好多行业都应该自查一下。。就拿剧场来说，有一次我去国家大剧院看演
1636766524# #来也匆匆，去也匆匆，华丽落幕！。少壮不努力，老大徒伤悲！。。这是在北极的俄罗斯和加拿大边境所见的月亮。从上升到落下大约30秒，然后遮挡太阳5秒，然后立即落下……。。大道法自然，人生有奇观。。勤学精进，切勿拖延！拖延症的励志短片
1613721640# #马背上的民族也能翻身春节追剧王
1640912278# #民国趣味故事32。。胡适的夫人是位家庭妇女。。胡适，字适之，新文化运动领袖。他鼓吹西方文化，宣传破除传统，主张婚姻自由，在近代产生了深远影响。。。但很少人知道胡适的夫人江冬秀是个几乎不识字的家庭妇女，他们的婚姻也不是自由恋爱而是父母包办。。。1917年12月30日，27岁的胡适奉母亲胡太夫人之命，回
1615076641# #你懂的嘻嘻
1657468918# #一起吐槽为什么能快速拉进关系。只能说敌人的敌人就是朋友，人在世上很难不吐槽以及不被吐槽。感觉吐槽确实可以拉近关系，挺喜欢他们相处的氛围。
1588467662# #一定要重视消防，尤其是节假日
1607231728# #人性的弱点。
1603408685# #橄榄球比赛集锦doge搞笑视频坊
1654704148# #企鹅电竞今日正式停运熊猫直播的难兄难弟→→。。腾讯旗下移动电竞内容平台企鹅电竞”发布退市公告宣布于2022年6月7日23时59分终止运营，相关产品的所有功能停止。。。企鹅电竞是腾讯旗下规模最大的移动电竞平台。其定位于电竞生态的连接器”，整合腾讯网、QQ手游、腾讯互娱团队资源，与QGC、TGA等职业
1601441998# #十一想看电影《姜子牙》和巜夺冠》。。但不知为什么网上想看夺冠的人不多呢？。我还专门写文章推荐了这部电影。。《我和我的家乡》倒是有很多人想看。秋天的第一场电影
1608735079# #关爱亲人和朋友。珍惜每一天。
1639375143# #取得成就时坚持不懈，要比遭到失败时顽强不屈更重要。——拉罗什夫科学习日常
1593388642# #娘惹是马来人和华人的混血，主要在新加坡一带。《小娘惹》是新加坡剧，之前的女主是欧萱，也是曾经新加坡有名的美女。小时候在中国比较有名气的新加坡女明星就是范文芳和欧萱了。喜欢新加坡剧，清新上进！
1608950862# #许某也将被判死缓，这正是，人死了，钱没花了。都是金钱论闹的。私心不去，祸乱不止。
1608111522# #诱惑怂恿年轻人超前消费是一种坏
1613721801# #外地人在上海那绝对是太压抑春节追剧王
1607129683# #恶人会有恶报
1600649827# #人命真如草芥了吗？医生对死因的推断是要么从高处掉下来，要么有很大的外力去推我弟弟，要么是什么东西砸到他，基本上不可能是摔倒摔成这样。”
1639095769# #卓越的人一大优点是：在不利与艰难的遭遇里百折不饶。——贝多芬艺术分享
1639526395# #不要将过去看成是寂寞的，因为这是再也不会回头的。应想办法改善现在，因为那就是你，毫不畏惧地鼓起勇气向着未来前进。——朗费罗。学习打卡
1633156799# #世界最高楼迪拜哈利法塔也打出以中国红为主题的灯光秀。祝中华人民共和国国庆节快乐！。祝祖国生日快乐
1598012321# #拜登称如果当选将要求全美戴口罩。美国有相当一大部分人反对戴口罩，宁死不戴笑cry。这部分选票算是丢失了。。。若这么说：。一旦当选，当遇到类似危机的时候，我将第一时间扼杀在摇篮，保护国民的生命财产。这么一说当选概率就大了。
1600920779# #传统老字号更应该珍惜荣誉，不能店大欺客，价格远超同行不说，服务态度恶劣菜品口味极差。慕名而来败兴而归。。。一味强硬不仅是网络公关的大忌，而且没有一点实效。成了专骗那些慕名而来的外地人了。。。王府井狗不理回应网友差评视频不如在品质、性价比和服务上下功夫。只能听赞扬声，不接受批评的做法
1587362988# #当你尝试自己剪刘海时小学时我姐给我剪过一次头发，那时候学校对发型管理蛮严格的。监察主任课间操时把我抓上去了，发型不及格的人排成一排，其他人分别被指出头发过长遮眉毛了。。。主任走我面前，观察了一阵，特别严肃地说我，其实头发长度是过关的，但是涉嫌留怪异发型二哈
1654963321# #武侠片断代了吗。侠之大者，为国为民，而不仅仅是为了情。。我们为什么怀念射雕？怀念霍元甲呢？。。就是因为真正的武侠都是为国为民，以情为辅的。现在的武侠片顶多叫披着武侠外衣的言情偶像剧，充斥太多无关的爱情，丢失了武侠片需要表达的侠义精神。。。武术指导不给力，慢动作看得着急，打斗动作单一:
1638890255# #中芯国际，千万别成为下一个联想！。。滴滴从美国退市的消息终于落实，。联想在国内的风波仍然余波未平。。。无论这两家企业曾经让多少人觉得意难平，。都比不上今天要说的这一家。。。因为中国当前最输不起的，。是产业升级受阻，。是供应链被封锁，。是经济失速隐忧。。。过去10年中国一直想要把卡脖子的手掰开，。
1678195062# #官多多现象有望改观！。按比例减少编制，先从中央部门开始——。。根据国务院关于提请审议国务院机构改革方案的议案，精减中央国家机关人员编制。中央国家机关各部门人员编制统一按照5%的比例进行精减，收回的编制主要用于加强重点领域和重要工作。。。吃财政饭的人员太多一直是被社会诟病的难题，全国财政
1639663487# #在平静的水里，上帝会保佑我：在惊涛骇浪里，我只能保护自己。—乔·赫伯特学习日常
1585807197# #目前142万留学生尚在国外。没回来的留学生们，。照顾好自己，。祖国和人民永远是你们坚强的后盾。。少出门，与大使馆保持联系。
1602807132# #漂亮知性有文化。没看视频以前还以为是那种很作的东北女人。现在看来是男方的毛病更大。
1589677233# #疫情严重，人情别淡漠。
1586076593# #给二哈拍证件照有多难最近洋奴们心中的理想国美国灯塔国由于疫情高涨，金融危机，灯灯塔就要熄灭了，这对洋奴公知们是一个毁灭性打击，他们如丧考妣恼羞成怒气急败坏，有如二哈，特给二哈二狗子们拍一张证件照以做留念。
1599885011# #戎马生涯一女将，。曾经头发黑又亮。。半年抗疫立首功，。巾帼英雄鬓如霜。。。奋斗2020。。侠女救国大理想，。钱财功名放两旁。。疫苗成功天下安，。风物长宜放眼量。。张伯礼张定宇陈薇获人民英雄称号
1600476179# #基本如此，除非你能逆袭嘻嘻。刘邦，杜月笙之类其实都是逆袭了。
1607571886# #主席是想让许世友学习一下阴阳平衡
1607266642# #虽然是摆拍，但也希望遇到这么个好女孩
1609249530# #摧毁只须两句话，重建需要三十年！所以好人难做，难于上青天。
1654444901# #从延安出发第三期有刘昊然。
1601287076# #早年的伊丽莎白女王英国王室，。猜猜这是哪一年！
1666833329# #东北一小区喷泉池里摆满晾晒白菜。浪漫与烟火气并存的大东北，。是韩国人的祖宗！。。东北文化，。每年不存菜感觉缺点什么！。现在都住楼房不好存了，。好多人家每年还阳台上存一些，。以前住平房的时候家里有地窖的，。白菜土豆胡萝卜大萝卜窝瓜地瓜大葱应有尽有。我的秋日plog
1587862835# #建议继续隔离一个月，利国利家。
1601703501# #冬天美丽冻人嘻嘻。关键还怕过几年给你说成违建拆了。/比保健品传销好，毕竟还有实打实的不动产doge
1579742242# #作揖
1589758683# #任正非说，华为能够走到今天，得益于分钱分得好。居民收入。。对创业者而言，股权代表着梦想和分享；。对员工而言，股权代表着打拼与希望；。对投资人而言，股权代表着信任与回报。。。对公司而言，股权背后链接着公司的资源配置、利益分配与公司治理，也代表着共创共担共享的创业文化。。。所以未来企业最
1641205083# #马六甲，不仅是海峡！。。马六甲。海风带来那些等候季风的往事。海浪诉说着兴衰起伏。。历史上，由于季风的关系，中国的船舶要靠东北季风前来，等候西南季风回去。印度和阿拉伯的商船相反，靠西南季风前来，等候东北季风返航。马六甲便成为双方等候季风的休憩地点，也逐渐成为国际贸易中心。。。如果说吉隆坡、
1696208499# #孟晚舟卸任，胡厚崑接棒！。。华为Mate60系列以及诸多新品上市引爆人气，华为高层重要人事变动也引发关注。。。9月30日，华为官宣，根据现行轮值董事长制度，孟晚舟9月30日卸任华为轮值董事长一职。在2023年10月1日至2024年3月31日期间，胡厚崑将“接棒”轮值董事长职务。。。华为将迎来“胡厚崑时代”。。华
1584229773# #方舱医院撤舱之前的最后消毒，。震撼，无人驾驶坦克车去消毒，太厉害了。。做自己的英雄
1616122057# #某晚，一裸男叫了一辆出租车，。女司机目不转睛的盯着他看，。裸男大怒吼道，你踏妈没有见过裸男呀？。女司机也大怒：我看你踏妈从哪儿掏钱。。搞笑幽默
1601271551# #最佳模仿秀宠物狗狗。德牧！
1636029652# #李白一生有几任妻子？。与杨贵妃是什么关系！。。李白在中华诗词界名气最壮，无论是资深文艺爱好者还是三岁小孩，对于李白的作品都能信手拈来。因其光芒四射的才华，一生都过得颇为传奇，甚少郁郁不得志的褴褛，到哪都被敬为座上宾，惹得后世创作人羡慕不已。。。李白是旷世难见的大才子，身边必然不缺佳人
1638917026# #书籍是造就灵魂的工具。——雨果读书笔记
1590968974# #让心静下来，你才能读懂自己、随缘安然。。。静心，是一种修养，更是一种修炼。。物随心转，境由心造，烦恼皆由心生。。。静能生慧，定能生花。教育那点事儿
1639022190# #我们唯一不会改正的缺点是软弱。。——拉罗什福科学习打卡
1599794726# #印度人不讲信誉是出了名的，鸡贼的很，可能连美国都不如。印度领导层也很乱，莫迪对军方的控制并不乐观，而且莫迪也并不是什么好鸟。这次谈判和之前一样，不一定代表军方的利益和想法。大几率还会乱，一定要暗中做好战争准备，虽然我们的核心利益在南海和台海。千万不要再阿三撤一公里，我们撤两公里了
1592886365# #惊雷！这通天修为，天塌地陷紫金锤！。紫电！说玄真火焰，九天悬剑惊天变！。。乌云！驰聘沙场，呼啸，烟雨顿！。多情自古空余恨，手持了弯月刃！。天地沦陷，气吞山河，崩！。。大权我手得，。杀仙弑佛修成魔，剑出鞘我血滂沱！。定太极八卦晴天，万物星象命中显！。踏擎天大柱拼杀，百万军中灭硝
1639190897# #我看到那些岁月如何奔驰，挨过了冬季，便迎来了春天。——梭罗学习打卡
1635339496# #人，为什么固执！。。一个人的认知水平越有限，其想法就越单一，越缺乏判断力，人就会表现的越固执。。。一个真正优秀的人会保持其独特的个性，因为他们认识到，所谓的固执并不是独特的个性，某种程度上说是一种人格缺陷。。。固执的人是缺少反省能力的，更缺少及时的觉知能力。。。你可能会有这样的经历，跟人
1579775969# #中国有信心打赢新型肺炎疫情攻坚战。。为了避免类似悲剧，有人建议给这次疫情命名为“野味肺炎”！我觉得合理，言简意赅。。。为此我们列了一份野味菜单:。。绝后果子狸，。致痿土拨鼠，。非典穿山甲，。肾虚梅花鹿，。梅毒猫头鹰，。绝命炸蝙蝠……。。欢迎野味爱好者品尝！。套路满满
1608960279# #美国就是强盗出身
1589590854# #希望更多的人知道：在公共场所看到导盲犬的时候，请不喂食，不抚摸，不呼唤，它们不是普通的狗狗，它们正在工作。
1635330009# #他曾连续上春晚18次，因一句台词被喊索赔1亿。。。春晚一直是中国人过年的传统，除夕夜家人一起看春晚气氛真好。出演春晚的演员很谨慎，毕竟在这个舞台上一点差错都不能有。。。赵本山和宋丹丹基本上是春晚常驻嘉宾，。没有他们的春晚是不完整的春夜。。。其实除了他们之外，还有一个人连续上春晚18年，他就是
1609209225# #悲欢离合都曾来过。
1596537630# #《柳叶刀》主编理查德霍顿敢说真话，逐一驳斥了西方部分反华政客甩锅中国以掩饰他们抗疫失败的无能。特朗普下一步就要逼《柳叶刀》出售公司股权了。
1639814235# #民国趣闻7。。章太炎嫁女。。名字在人际交往印象中非常重要，故而在取名时都会慎之又慎，家长在这方面都十分上心。。。然而有时候太过上心反而会造成尴尬，比如说这位学识渊博的民国文豪，他生平有四位千金，遂凭着自己的学识仔仔细细的找了四个字用作四个女儿的名字，结果用的字竟然无人认识，害得女儿一直
1601352128# #从这次疫情应对来看！。。中国以人为本，。经济建设也得到了保证！。。美国以经济建设为中心，。最后人民和经济都糟心。。。存人失地，人地皆存！。存地失人，人地皆失！！。大眼看美国
1586076355# #3月1日以来全国出口口罩约38.6亿只疫情产品企业出口量还是很大的，但价格太便宜。企业几乎没什么利润。对美国这种国家你要是卖的太便宜，到时候美国来一个反倾销调查，企业吃不了兜着走。
1601282624# #有房企提交降负债方案。恒大真是开了个好头啊，。以后哪个房企感觉不行了，。就照着那个文抄一遍就好了笑cry。。。可以预见，降负债后烂尾楼会越来越多。。哪个房地产公司不是靠高负债撑着呢！
1598970838# #存人失地，人地皆存！。存地失人，人地皆失。。。一个都不能少。
1608530687# #全球哪个国家的人最幸福，好山好水好寂寞。。爱上这座城
1607421263# #我也觉得是滑了一跤，可她为什么不探出头来呼救呢？
1630624434# #年龄永远不是衡量一个人的刻度，。只有责任的叠加才会让人逐渐成长。。。小小少年，没有烦恼！。。自古英雄出少年，。从来纨绔少伟男。。祝福少年进清华，。报恩祖国报恩家！。14岁初中生考进清华成最小本科生
1634008286# #郎平去哪儿了？新工作与职位出炉！。。在上届女排世联赛，后半程郎平带队力挽狂澜，面对美国，巴西等强队最终取得了胜利。但在奥运会中没能成功出线，这的确有些说不过去。赛后郎平也是正式离开了中国女排，不再担任主教练职位。针对目前现状，中国女排存在两大疑问，首先是未来谁会担任新主帅，其次郎平
1612055013# #尽管洋奴中医黑们的灯塔美国已被新冠打的一败涂地，但这并不妨碍它们继续诋毁中华中医，网上有篇赞美中医的文章也被这几个自以为是自命不凡的蠢货拿来嘲笑。现在忽然觉得凉城警方一点儿没错，消灭走狗反动派人人有责。。。全文转发如下:。。河北疫情为何断崖式下跌？。。1月29日0—24时，河北省新增1例本地新
1579245020# #传说中的大清雪滴子。套路满满
1591679601# #美国每年1000人死于警察暴力执法。方方：我了解到这1000个人在现场都进行了拒抗，甚至做出威胁警察生命的行为，而且太黑让警察看不清楚。我虽然不在现场，但是目击者的陈述是合理的。
1639525089# #大多数人是保守的，不轻易相信新事物，但能容忍对现实中的众多失败。——托·卡莱尔。学习日常
1591054811# #有一天，一位外国教授让大家分析自己的性格，看适不适合做教育。卢乐山一分析，却有点不安了。她对老师说：我觉得自己有点胆小，又爱依赖人。是不是不适合当幼儿园老师？教育那点事儿
1638956708# #民国才女们！读书笔记。。黄逸梵，作家张爱玲之母，。是民国时期第一位主动提出离婚的女性。。。她特立独行的性格和新派女性之作风深刻影响了张爱玲的成长，以至于张爱玲的许多作品都可以看到这种影响的延伸。她深受五四新潮之影响，上世纪20年代出国留洋，学过油画，跟大画家徐悲鸿和蒋碧薇等人都是熟识
1607072383# #地球到底有多幸运，人类到底有多幸运！。珍惜吧，地球人。天天涨姿势
1609306304# #他们坚持了公为天下的毛泽东思想
1591503575# #官方通报小学女生校内遭4名男生侵害。三大免死金牌:。未成年保护法，临时工，精神病。。。女孩父亲如果是警察局长，。你看这四个强奸犯能不能有好下场！
1627183871# #声明：。。本人已经在鸿星尔克买了一身行头，。日后穿出去如果不好看，。那是我气质不行，。跟鸿星尔克的产品没有任何关系。
1653580869# #5岁孩子怎么看争议教材插图。这些插图猥琐、诡异、缺心眼。孩子都看出问题了，我们就不信当时审核通过的工作人员没看出来，拿着老百姓的税钱干着与敌通奸的事情，真的是牛b呀，这不得好好查查？也别教育局自查了，直接派国安的人来吧。
1608875186# #真是个好孩子goodgood
1613292357# #女人的斗争。春节追剧王
1657416676# #吕丽萍和安倍晋三关系这么亲密？。。吕后成为首个惦念的明星，并不停流下眼泪。安倍究竟做了什么让吕丽萍这么伤心？世界上每天发生需要她大慈大悲大发善心的事很多，她又怜悯过谁？。。有的艺人手里有了点钱，就不认识自己的祖宗了！勿忘国耻！可以看出演员的政治思想认识多重要！还是年纪大了，刷刷存在感
1603151356# #银行客服是真的难找。
1590707985# #载入史册疫情下的国殇日美国竟举国狂欢泳池如下饺子枪击都挡不住派对国际经济。。人们不戴口罩，拥抱，接吻，与陌生人贴身热舞，在初夏的高温里尽情挥洒青春。
1586328766# #武汉再现堵车红封一次，管用很多年。这也叫城市免疫力。武汉，从此有了。但也不能太聚集，这样也过于乐观了。毕竟国外还有上百万的确诊
1634812741# #“天机不可泄露”，。历史上这五位曾泄露过天机的人结局怎么样？。。经常听到这么一句话:“天机不可泄露”。。所谓的天机指的是那些未知问题的答案。。相信大家在电视剧中看到过很多可以预测天机之人。这些可以预测末来的人往往十分智慧，眼界也非常开阔。他们可以看透事情的本质，从而推断出这件事情之后的
1653062438# #吴敬平晒与樊振东最甜合照。吴门英雄樊振东，不负如来不负卿。。。披星戴月走过的路，必能繁花满地！。必会通往锦绣前程。樊振东加油干！。。师徒同心，其力断金。
1608080314# #还有一种说法是五运六气
1608509823# #参考一下操场埋尸案那个校长。这种教育体系……
1656518590# #库里将是NBA首个年薪6000万球员。2018-2026赛季，库里均将是NBA年薪最高的球员。其中在2026年时，库里的年薪将达到6000万美元。注意是美元。读书奋斗？
1609080046# #大家试着学会关权限。
1595463966# #转发微博
1597039099# #猪价和房价太低不利于年轻人奋斗！。要是人人都买的起就没人奋斗了。。所以猪价房价必须得涨上天，。才有利于您战天斗地奋斗上天。。什么新冠病毒，。什么失业猛增，。什么行业不振，。都不应该成为拖累猪价和房价的理由。。猪肉价格上涨85.7%
1612845400# #如今的翡翠市场假货多
1643687441# #求签！。。今年，啥都不好干，我呆着没事跑到五台山求签，高僧问我：“一只钓鱼竿和500斤鱼，你选哪个？”。我说：“我要500斤鱼。”高僧摇头笑道：“施主肤浅，鱼吃完了就没了，鱼杆可以钓很多鱼。这个道理你懂吗？”。我说：“拉倒吧，你懂个啥，500斤鱼可以卖2500元。然后买
1609310395# #他这种人不讲卫生，不讲道德。毙了
1596958248# #喔，终于明白了，原来这作文里的生僻字是和阅卷老师的联络暗号呀。
1609209890# #只羡鸳鸯不羡仙
1639451679# #中方愿向美受灾民众提供紧急人道主义帮助。你们是没翻墙看过吧？简直就是在自我感动二哈，换个你能理解的角度，惠台这么多年，得民心了吗？完完全全在自我感动，自我以为很有用二哈。内行才知道。。是网友说的，可不是俺说的喵喵。
1602928751# #日本新首相菅义伟拜靖鬼猪社！。。其实日本谁上台都一样，即使你当日本首相上台也是一样，你不做他们会逼你做，不做就下去，换一个总统！日中友好也就民众，一到内阁，哪个不是反华势力啊！而且你心中的敌人在他们眼里却是他们的英雄。。。好在这条狗的主子美国就要被新冠整玩完了。。
1590714044# #祝贺取消计划生育，天佑我中华。
1609376421# #劝君更尽一杯酒，西出阳关无故人。
1587439228# #为什么会出现负油价现在影响油价的是库存和情绪及疫情，而不是开采成本。封井开销很大，原油又不能像牛奶一样倒了，储存成本也很高，只能倒贴让人把油运走。
1639372288# #天下之事常成于困约，而败于奢靡。——陆游。学习打卡
1612488800# #为什么要恬淡生活，道法自然！。。娱乐圈明星肯定没什么觉睡，生活安排特别满，不敢不工作，停下来就可能会被别人取代。他们上进心非常强，很有钱却不敢休息。。。赵英俊创作了很多知名电影和其他作品的主题曲，插曲，创作才华卓越，在圈内也是众多明星的偶像与好友。。。他的病逝给大家敲响了警钟。。作品固
1593156502# #跟印度贸易，。国内大多数公司都是先收钱再发货。。药不能停，钱付了就行。。。印度老爷爷胡子白花花，。抡起的棍子砸完发发发。
1608006327# #看来是遇到真爱了。
1639226314# #人的心灵是有翅膀的，会在梦中飞翔。。——高尔基学习打卡
1580444812# #全国最受委屈的人是哪个地区人？。。新疆人？东北人？河南人？湖北人？。一句冷幽默
1607859602# #我得向台湾人请教一下这个字怎么读。
1602721433# #没有张灵甫贪的多。若说贪官还是台湾贪官多，无官不贪。
1599737362# #goodgood
1591484841# #俗语为什么是不三不四?。。古人称天为一、地为二。所以天地相加为三，三即成为整体的代表，比如：三部曲、三省、三思、三人行等等；而对于四则称之"周全"，亦有称心如意的意思，比如四大金刚、四大家、四体、四艺、四书等等。所以把"美好事物"之外的，行为不端的人统称为不三不四。。经典冷知识
1632013360# #九一八肖战赵丽颖何炅等明星发文缅怀先辈！。。1931年9月18日是中国人民难以忘怀的屈辱历史，中华民族开启了长达14年的浴血奋战，伤亡过亿。。。90年过去了，这段惨痛的历史依然不能忘记，尽管我们山河日新，国力不断增强，但我们一定要铭记历史，吾辈自强。。。央视新闻发文：“这段历史，不能忘，不敢忘！9
1578382518# #年轻时候的郎平嘻嘻。其实我是更想知道握着郎平手臂的那位男士是谁哈哈
1608263930# #家有猛虎，细嗅蔷薇嘻嘻
1608214564# #别人家的狗狗。
1610870508# #goodgood
1652889916# #王诗玥柳鑫宇悬空一字马。身无彩凤双飞翼，心有灵犀一点通。。喜欢玥玥，玥玥漂亮、努力、刻苦，。是个妥妥的宝藏女孩虎爪比心虎爪比心虎爪比心。。。男主也很帅很有才。
1591761633# #利用航班延误骗保300多万元。人家上知天文，下知地理，能掐会算。。。东风不与周郎便，铜雀宫深锁二乔。。东风不与孔明便，何来的草船借箭？。。我看那个保险公司您把老天爷也告了吧，。怎么净和她合谋搞您钱！
1607665705# #此即中华传统文化的厉害之处，在晚清那么病弱的年代，人们居然还是如此彬彬有礼。现在日本人点个头，哈个腰，竟让世界羡慕不已，高呼文明。几千年传承的礼仪文化不能在我们手上丢掉。礼仪之邦，国家历史悠久。心
1587862832# #社会主义必将取代不讲人道的资本主义。
1589591523# #李子柒是一首诗歌系列！。。她的院子里有木制的凉亭，。竹制的秋千架，。夏天可以在这里吹风乘凉；。。屋后种满了鲜花和蔬菜瓜果，。还有用竹子做成的一整套沙发茶几；。屋外的墙随处点缀着春意盎然，。一花一世界，一树一菩提；
1627168425# #女人太强，好景不长，值得深思！。(本文来源于网络源自理记，不代表本人观点)。。【女人太强，好景不长】。。 。早晨起来，老婆发了一通感慨：咱家过得好，主要是我包容你。一个家庭的好坏，取决于女人是否包容男人，女人太强，男人受伤，家庭难和睦，好日子过不长。。。我品咂了一番，把周围的朋友过了一遍之
1578730646# #我说的是乌克兰亲美。而且鸟克兰还被美国坑残了，由欧洲大国变成了欧洲垫底儿了。
1659659970# #来自学校的七夕浪漫。何止七夕，唯愿朝夕。。七望是你，一如往昔。。。这本是普通的一天，。但因有爱有你，一切变得美好甜蜜。。大声说出对你的爱意，把爱传递，与爱相拥。
1590893734# #华春莹发推华姐威武！。建议把美国大使馆前的街道，改名叫：乔治，弗洛伊德街。美国空气片Pm2.5已经爆表了。
1585212530# #北京将流感须戴口罩写进法条。这个规定特别棒。。还要将禁止随地吐痰，严禁高空抛物，禁止吸烟等写进法条。。。还有一些服务行业的人员也必须要戴口罩。。例如全国餐饮工作人员都必须要佩戴餐饮专用口罩。理发师、美容师、美甲师、导游、营业厅等工作人员也必须要戴口罩。其实老师也应该戴口罩。
1608876621# #无辜的成年普洱。职场竞争太让人头秃。我也深有感悟。
1590970185# #好情侣好夫妻，。永远都在相互装傻，就是护短！。能够护短的，才是真爱！。。爱啊，。别为难对方，。别挑剔对方，。别指责对方！。傻傻地一路相伴。。。傻，是因为已经决定了，认定了，就没有什么需要再了解、再知道，再改进，再完善的！。教育那点事儿
1602487801# #我也觉得毛子旁观者清，大格局也有
1614404553# #危机公关是门艺术。春节追剧王
1589554024# #川建国说要与中国脱钩，切断中美一切联系。有中国网友就说了，说话要算数否则就是孙子，真若如此，美国人恐怕连内裤都没得穿。。有人画了一副漫画，说美国家庭去掉中国制造后，就什么都没了。感觉川普是不是想要赖掉欠中国的巨额外债！美国经济
1609218010# #直到昨天还以为是健身打卡呢嘻嘻，每天健走5000步。原来是发微博打卡。
1616248705# #我从来不敢相信美能拯救世界。。但我们可以希望，。它能在慰藉和补偿我们的孤独时，。发挥一己之力。文化
1640857510# #民国趣味故事31。。林语堂烧婚书。。文学家、幽默大师林语堂说过：“婚姻犹如一艘雕刻的船，看你怎样去欣赏它，又怎样去驾驶它。”。。林语堂是怎样欣赏和驾驶自己的婚姻之船的呢？在林语堂夫妇欢庆结婚50周年的时候，有人请教他们的婚姻秘诀，这对老情人竟快活地抢着说：“我们是‘金玉良缘’。秘诀只有两个
1613721427# #七年成兄弟笑cry春节追剧王
1608112557# #钱哪那么好挣呢
1607677069# #横看成岭侧成峰。
1585873016# #上网课睡觉有多踏实。目中有人，。口中有德！。老师口中有我最惶恐。。。睡得时候是很爽允悲，。被点到名更酸爽笑cry
1601864858# #道教圣地青城山真的很美。
1646352373# #作揖握手
1582187899# #正式发文：中医全面接管！。对拒不使用中医药治疗，将严肃追责！。。湖北如果达到甘肃54.44%的治愈率，现在能够治愈出院29620人了！。如果达到宁夏47.14%的治愈率，现在能够治愈出院25648人了！。如果达到湖南42.26%的治愈率，现在能够治愈出院22992人了！。悲哀的是：目前湖北治愈出院人数才4884人……。。重
1601514825# #一个人的姓名是可以补益命局的，可以帮助自己的命运更好点，运势旺盛点。想自己过好点就从起个好名字开始。姓名学里有这样一条规律：数理中的暗示运也是发挥作用的，如果名字在数理五行当中是为所喜，那就喜上加喜，吉上加吉；若是所忌，那就不太好。。。最佳名字是一个大爷，叫支付宝。。还可以坐吃红利
1588556372# #即便没有废青闹事，长期的西方媒体宣传下，香港人10个有8个都是半黄的，认同自己是中国人的是极为少数，他们对中国没什么好感。只不过日常生活节奏快，忙着打工挣钱，没什么政治企图。
1607864580# #最可恨的就是婴儿奶粉。
1607929659# #这就是无辜的躺枪事件。可以做个危机公关，宣布拒绝给罪犯提供衣服。同时，免费为受害者提供衣物doge做了坏事，连衣服都不想卖你。
1630504162# #校长更可耻，天天生意经。好好查查各学校校长。对了，江南皮革厂是绿陶虫那个吗
1608362572# #历尽千帆看史实，别有滋味在心头！
1635326893# #女子因身材特殊被关进动物园五年供人参观，25岁便被折磨离世！。。每个地区的文明程度不同对生活的需求也有不同。作为文艺复兴的主要国家，意大利对于艺术的追求也处于先进地步。在航海时代，意大利人有了机会去往世界各地寻找稀奇珍宝。在意大利人发现的宝物中，有一种很奇怪，他们不是什么物品，而是活
1610099005# #疫情反弹，一定要正确佩戴口罩。。科普大作战
1635375568# #一个不得不说的沉重话题:。。假如宇航员在太空意外牺牲，遗体会被当成太空垃圾处理么？。。著名的科幻电影《火星救援》中，男主角马特达蒙一行突遇一场规模巨大的风暴，其他人乘坐飞船紧急返航，独留马特达蒙于火星之上。。。当团队其他成员发现主角被飞船掉落的零件击中后，判断主角已经没有生还希望，只能
1591054511# #就是从这些小事中，卢乐山切身体会到，和孩子相处恐吓是最要不得的，温和才能让他们少些抵触。她觉得，爷爷正直的品格固然让自己终生受益，可她性格中的温柔耐心，却更多是受到外公的感染。教育那点事儿
1599718086# #个人信息及里程这么容易被盗取，。到底是哪个环节出了问题？。。航空公司跑不了责任，。携程也逃脱不了责任。。。据说好多特价机票就是这么来的。
1607683244# #没错，三聚青安嘻嘻。
