1700339648# #聪明的牛，跑得好！酷
1688277976# #广州地铁早高峰，车厢非常拥挤，一大妈指责青年小伙触摸她，小伙遭受这种侮辱性指责也非常生气和大妈争辩，大妈随后更是用手指着鼻子骂小伙，小伙忍无可忍推搡大妈……。大家觉得小伙真的对大妈性骚扰，还是地铁太拥挤让大妈误会了！挖鼻
1690441588# #【长沙一女子酒后吐出租车里，叫器是研究生，让司机为其买纸巾擦干，民警怒斥：研究生就你这素质】女子自称研究生，长得也不算差嘛，怎么做事这么不讲究。吐了人家出租车，不给洗车费，也不洗车，还说什么这个亲戚是市政府的，那个亲戚是做司法的，自己是学法律的研究生！警察都说，研究生就这素质。。
1692163250# #家长要把家里养了多年的狗狗卖给狗肉贩子，小女孩不忍心急的哇哇大哭。泪就缺这几百块钱吗，非得把给自己看家附院的忠诚伙伴卖个他人吃掉？摊手
1691336942# #别拿醉酒当借口…
1688647595# #网友：早晨地铁里遇到的变态色狼，好奇的是前边女孩竟然一动不动…！挖鼻
1687594188# #校园内众人群殴他人，其中一人起身掏出甩棍准备攻击，不料一脚踏空摔倒在地。网友：报应来的也太快了！挖鼻
1697557795# #敢说理想汽车是“断轴王”？买理想汽车的不就是为了彩电、沙发、电冰箱吗，不明白这有什么好黑的。车烂了可以把彩电、沙发、电冰箱拆了拿回家继续用！doge
1690642355# #用抄网抓“辣条”这操作我是万万没想到…
1689269530# #妻子把情人带回家过夜，丈夫带人现场捉奸，没像到淫妇竟怒怼丈夫……！怒
1701352602# #某高校军训现场，一教官向军训女生表白成功。校园里的这一幕，大家怎么看？挖鼻
1703259391# #大家开车一定要安全出行，不要着急抢这1-2秒……！汗
1696754701# #女子和女儿逛街看到路边陌生狗子，上前抚摸狗子耳朵被狗子撕咬脸部毁容！摊手
1694445474# #女孩子千万不要养大型犬类，太危险了…
1693068497# #因为交通纠纷，青年男子对大爷大打出手，越打越起劲，幸亏路过众人及时制止其行为……！费解
1691594378# #米国一男警察在执法中多次触碰拉美裔女子胸部，引发周围群众指责其性骚扰…
1689432409# #猫咪在好心人的调解下终于打了起来doge
1687535425# #妹子为了拍个视频，腰差点被摔断…，流量虽好，也要注意安全啊！挖鼻
1698610623# #深圳欢乐谷致歉深圳欢乐谷追尾事故当时场景，现场设备破损严重，有几人貌似已失去意识…！汗
1688888986# #老虎水池里猎捕鸭子，鸭子迅速潜水，老虎瞬间懵圈。老虎：不是，我饭呢！允悲
1702912406# #真英雄。向你们致敬
1689838847# #太可惜了，多么优秀的足球苗子，如果他家里有500万就好了…！doge
1696694068# #以巴爆发大规模冲突造成严重伤亡一名以色列女子的尸体被巴勒斯坦武装人员剥去衣服并游行…汗以色列总统发文
1697959277# #小时候课本上说浅水淹S人我一直不信，现在我信了。看着水不深，不会游泳的人倒了根本站不起来的。大家出门一定要注意安全，为救人的那个人点赞！作揖
1689199344# #游客爬华山不慎踩空跌落陕西渭南华山景区，一女游客爬云梯时不小心踩空跌落……。视频拍摄者称还好下方几名男子将其接住，女子没什么大碍，但是被吓得不轻！汗
1690146433# #男子刚做完包皮手术，其女朋友立马穿上黑丝高跟跳辣舞…泪
1695384657# #浙江理工大学课堂上尴尬的一幕…！允悲
1698588640# #这就是爸爸喜欢到学校接孩子的原因！doge
1689884459# #长辈在场，还是别这么开玩笑我想静静
1700836215# #但凡有一个想付钱的，也不能都喝成这样！哈哈
1698824093# #这车外形真不错，车轮很长车尾很翘。。。
1687185522# #马上短视频平台会走红一位“烧鸭西施”！酷
1688050503# #公牛为了逃脱被宰杀的命运，直接从车厢跳起把驾驶室都踩扁了…，所谓我命由我不由天！doge
1699096437# #网友：看到这样的婆婆我想娶丈母娘了！笑cry
1696166080# #黑龙江哈尔滨，两位女生在军训间隙进行柔道切磋表演，动作干净利索十分帅气，同学纷纷欢呼鼓掌。网友：看起来真是练家子！酷
1692810981# #国内某地街头，三名黑人男子搀扶着一醉酒女子要搭出租车离开，可能怕女孩吃亏，多名男子拦住出租车不让女子跟三名黑人走。哪知道他们是自作多情，人家女孩自己愿意跟三个黑人走，最后女子如愿以偿和三个黑人搭车离开……！衰
1694454376# #地球没扎破，证实了不是牙签！
1687091464# #少林十八罗汉轮班吃饭另外九个在打食神！doge
1694421769# #一收废品大爷疑似摸女子屁股，被对方一顿胖揍…
1697310055# #还是挺专业的，背之前先勒紧裤腰带太棒了酷
1703655933# #白所成四女儿白应改生日宴会，现场诈骗头目云集，奢华无比…。希望国家出手，一定要抓到她们为那些受害的同胞冥冤！怒
1702562601# #3000块鞋子被老人修环女子气哭…，并称：我没让你赔，但是你也不该骂我”。大爷：没见过3000块钱的鞋！摊手
1690567546# #两个精神小妹相约街头切磋，酝酿片刻扎好头发直接动手…
1694853912# #女子落水后被救人大叔碰到屁股，转头就对大叔大喊大叫……网友:救人是做好事，但是人家要是不愿意你伸手，那就别伸手，尊重他人选择！摊手
1702009299# #云南一导游让游客准备5块钱购买菊花，以此表达对英烈的敬意。。“我们不是生活在和平的年代，只是生活在和平的国家。”这样的话语，让人深深的感受到历史的厚重和和平的珍贵。。虽然导游的建议可能会让人误解为强制消费，可他的真诚和情感却打动了无数游客，建议真的挺好，买最美的花献给最可爱的人。
1699078890# #老师课堂上怒批学生对日不当称谓，绝不能崇洋媚外。
1694534081# #以前的电视剧真敢拍，现在应该过不了审了…
1691159598# #这位兄弟，你是真男人作揖到底有多爱她才能让她如此放纵…摊手
1688813189# #当小三还理气气壮呢…！摊手
1692494359# #上个厕所都不消停…
1695739445# #成都文理学院真的炸裂，到底什么事情允悲
1693982751# #壁虎：老铁，你咋不说话啊。凑过去一看，还真是老铁！笑cry
1691322081# #一对小情侣被海浪卷进海里，拍摄者说:他们不听劝，浪那么大偏要到海边自拍，一个大浪卷进海里，还好被人拖上来摊手
1699792234# #贪官污吏看到这视频，应该不敢再贪了吧？酷
1692437724# #这鱼窝打得真牛啊允悲
1692156046# #结婚这种大喜的日子，非得这样闹吗？
1702666796# #是我向往的理想生活…！允悲
1689173059# #女子手拉玻璃门，结果玻璃整块炸开了。另一块玻璃门径直砸向店内女子。网友：揪心，看着就疼！生病
1698158114# #四姑娘山双桥沟景区，这些公路中间挡路的人是什么心态？摊手
1693662268# #男子酒后与同行女子发生争吵，男子先是拳脚相加，后竟用棍子狠狠打在身上…。报警后处理结果：打人男子被行政拘留7天，罚款500元！挖鼻
1690382616# #娃娃鱼本来只是出来溜达溜达，没想到成为他人盘中餐挖鼻
1697220702# #狭路相逢勇者胜，打赢坐牢打输住院！摊手
1697210088# #这个美国佬说这像他们80年代的样子？他们80年代就有这样子？思考
1693411056# #公交车上一男子抢夺方向盘，此时一16岁女孩挺身而出，一把抱住抢夺方向盘者拯救了一车人。网友：真乃巾帼不让须眉！赞
1696872822# #篮球比不过人家，篮球拉拉队也够呛能比过！
1691315575# #小伙在足疗店里找到真爱，你还不如去网吧考研！真敢啊…笑而不语
1695405863# #这两天的校园军训表演风波原来来自重庆工业职业技术学院，现场简直太炸裂……。二哈
1687115543# #公共场合你能接受这种行为自由吗？挖鼻
1692731856# #七夕节的夜，伤心的人…
1691870647# #看到最后，大爷确实是个乐于助人的好人酷
1690316973# #老仙女们搭电梯，闲杂人等通通走开…
1689935065# #男子在公园内湖游泳，被巡逻人员制止，上岸后竟把巡逻人员用铁链绑在树上了…
1687096136# #一女子过安检被要求拖鞋检查，安检员怀疑其马丁靴内藏有猫腻。这大夏天穿短裤，套背心，光大腿的，如此清凉，为什么脚上却是一双只有冬天才穿的长款马丁靴？这等反常必须查清楚！酷
1695810998# #深夜偶遇“小马哥”，他没有带司机，独自一人驾车。或许他也有他的烦恼吧……！挖鼻
1698793183# #以色列士兵如此等待被俘哈马斯成员！衰这与二战德国等待他们的方式如出一辙。摊手以色列
1689318212# #“轻轻敲醒沉睡的心灵，慢慢张开你的眼睛”，巴西警察温柔地逮捕黑帮成员…！嘻嘻
1690757563# #这个老黑在列车上打了四个小时电话，乘客投诉后列车员劝阻无效后的一幕…，小伙很酷酷
1693849238# #疯狂小杨哥直播间小姐姐穿骆驼趾热裤引起争议，直播间弹幕都在讨论…。杨嫂好像都生气了！666
1687967001# #某地希尔顿酒店内，一对男女在窗前忘情热吻，由于酒店大楼没怎么亮灯，因此二人亲热的情景被眼尖的路人发现…，下回要记住拉窗帘啊！doge
1694107525# #酒后悲催实录……生病
1696953271# #我一直以为是我老了，原来真的是酒吧不好玩了！苦涩
1696111347# #趵突泉景区，几位游客发生冲突，一女子说四个人欺负她一个……！挖鼻
1700429024# #这家理发店洗剪吹全套45元，价格是便宜还是贵？挖鼻
1695530261# #网友爆料：南京机场工作人员单独优先给外国人办理登机服务。网友：头上辫子剪了，心中的辫子还在！摊手
1690909025# #一辆电动车撞路柱解体燃烧，事故中车辆爆炸了十几次…衰
1694610577# #盘点90后父母整顿逆子，几年的逆子还想斗得过几十年的逆子…！笑cry
1689253981# #一对四不怂够勇敢，奈何双拳难敌四手…，还好最后女朋友帮其解围！摊手
1695374139# #鹤岗一老太太被农具扎伤，人等了半个小时，救护车还没到。摊手想起之前网上吵得火热到鹤岗买房的段子，所以你还敢去鹤岗买几百元一平的房子吗，还愿意去鹤岗安家吗？便宜自然有便宜的道理和理由！哈哈
1689023703# #一女子服装店试衣间换衣服，不料被店铺监控全程录下并上传网络！挖鼻
1690975884# #三位大爷一大妈高速上开敞篷车兜风，车不贵但是气质拿捏到位，扭头那一刻的眼神仿佛某部电影中的经典桥段重现酷
1688295677# #这份工作多少钱你才敢干？汗
1691054720# #趁邻桌食客自助餐取餐的间隙，一女子将剩菜倒入邻桌的锅里，倒完还在坏笑！对无冤无仇的陌生人做损人不利己的事，这就属于反社会人格摊手
1700586576# #国足0比3不敌韩国球场上非常恶心的一幕，一男子在中国球迷看台观看比赛，在韩国进球后尽然换上韩国球服挑衅中国球迷！怒
1703710014# #黄色雷克萨斯的操作，把视频车司机给整不会了…。开“小日子”车的真的像鬼子进村啊！摊手
