1702177068# #外籍旅客优先登机致一女子滞留机场蜡烛蜡烛蜡烛阿弥陀佛！
1694045646# #手机自动转账女子冲进派出所推销产品电话归哪个部门管理？
1690161498# #龙虾店老板深夜崩溃把店砸了也许明天会更好。
1702940415# #余华老师的这段话真的有点想哭好好活着，也许能遇到……传说中的幸福。
1693285791# #学生趴桌午休1学期收费200教育产业化，赚钱才是硬道理。
1690348234# #试婚同居生子男方弃养拒付抚养费这个渣男已经渣成粉末了。
1699479094# #银行回应购房者贷款买房却被办消费贷买房有风险，烂尾楼……消费贷……公摊面积……
1690240757# #不该对齐齐哈尔事故保持沉默蜡烛蜡烛蜡烛阿弥陀佛！
1697313626# #10万元存款被银行员工转成理财宠物狗咬人狗的主人都要负责，银行职工在银行营业厅内骗人银行居然不负责？
1698273968# #5万元冰箱起火准新娘命丧婚房🙏🙏🙏阿弥陀佛！人命关天。
1702431504# #成都地铁蜡烛蜡烛蜡烛阿弥陀佛！
1697419295# #男子一路尾随女孩店铺老板挺身呵退如果是疫情期间一定能找到这个男人。
1696064896# #兰州一中学被曝两老师深夜围殴学生这事会不会大事化小？？
1699914387# #女子躲高铁厕所抽烟称自己鬼迷心窍管不住自己属于鬼迷心窍？
1691275862# #邮政：特快最高赔偿不超所付资费6倍，顺丰：未保价结合运费比例赔付，中通：客服帮登记快件受损情况，申通：有赔偿制度，具体看损坏情况，圆通：保价物品保丢不保损，韵达：上报后有工作人员联系，没有一家按价赔偿。『快递被暴雨泡毁赔不赔？六大快递公司回应』
1691315538# #五常市农田被淹水面连在一起🙏🙏🙏南无阿弥陀佛！
1698043231# #吉林市将打击抹黑唱衰楼市不当言论🙏🙏🙏阿弥陀佛！
1699090558# #女童上幼儿园19天8天没有早饭🙏🙏🙏阿弥陀佛！
1700614212# #有券商被要求北交所开户率要达80%有麝自来香,何须大风扬……
1693264067# #黑龙江一精神病医院原院长打患者画面曝光🙏🙏🙏阿弥陀佛！
1689763618# #女子举报丈夫与公职人员生女已经调查一年了……，继续。
1703203915# #医保局辟谣不缴纳医保影响子女考公考编蜡烛蜡烛蜡烛阿弥陀佛！
1698181619# #中学老师批改作业写下你是孤儿吗评语养不教，父之过，教不严，师之惰。家长已经送孩子上学了，学习不好是谁的责任？
1700900375# #鉴定所疑伪造亲子鉴定3地警方介入警方回应鉴定所被举报伪造亲子鉴定医院可以伪造鉴定？？
1699838722# #广西大学回应院长信箱对着摄像头院长信箱对着摄像头，这个比实名制管用。
1697445061# #两大型犬撕咬2岁半女童致严重受伤黑狗的主人还没出现？？
1691464212# #为了流量毫无底线！网红在牺牲的蓝天救援队员家门口直播，还“嘻嘻哈哈”灾情家属陈海军
1701730497# #流感的病程是怎样变化的蜡烛蜡烛蜡烛阿弥陀佛！🙏🙏🙏祈愿众生平安！
1703052842# #唐山一殡仪馆分高低档炉火化引质疑赚钱才是硬道理。
1694996961# #为什么会出现集体咽喉炎从新冠第二年开始，每天离不开含片，还有氯雷他定片。
1698449825# #两小伙当街飞踹残疾拾荒老人什么心智不成熟，是品种问题。
1695519198# #官方通报小学生遭同学极端欺辱极端欺辱应该用极端方式解决……
1698817121# #00后女老师自杀校方拒绝家属看监控监控里有什么？？蜡烛蜡烛蜡烛
1692997136# #8月26日早报。。1.三部门推动落实购买首套房贷款“认房不用认贷”：纳入工具箱，供城市自主选用。。2.亚运会筹备举办期间禁飞“低慢小”航空器，杭州已处罚19人。。3.多地规定不得因暑假作业未完成而处罚学生，合肥设两周“缓交期”。。4.女子丧身上海一民居火灾，邻居反映机动车经常堵塞小区消防通道。。5.
1691998870# #情妇成立公司揽医院工程看点越来越多，期待下一集。
1688975777# #女子当街将男子压在身下欲强扒衣物会如何处理？如果角色互换一下？
1695077504# #袁冰妍为啥两次掉进同一条沟里是什么人给她的自信？？
1690441828# #村干部称举报涂磊女子精神有问题精神有问题是万能通行证吗？还是等官方通报吧。
1702553752# #中国油价高不高普通人说的才算蜡烛蜡烛蜡烛阿弥陀佛！
1691715265# #警方通报280斤店员被打拒不还手🙏🙏🙏阿弥陀佛！
1693781393# #你发朋友圈的频率高吗朋友圈里人不多，以前都是每天早上发一条，证明自己平安。现在大约一周左右发一条……
1695229010# #9月21日早报。。1.江苏龙卷风已致宿迁、盐城等地10死，专家：近期气温较高受江淮气旋影响带来较强动力条件。。2.国铁集团：第三方平台买任何价格的加速包都无法实现优先购票。。3.国内成品油价年内第十涨，加满一箱油将多花15元。。4.四川康定货车失控连撞11车致1死7伤，初步排除酒驾毒驾嫌疑。。5.人大代表
1694132053# #黑龙江将限制部分在省外就读考生回本省高考户籍学籍。这是要断了一些人的财路，
1695601642# #大爷怒斥步行街拦路收费行为既然被曝光了，那就是误会。
1690099093# #男子讨要17万债款不成反被卖到缅北这些骗子的家人都在中国吧？？
1695470089# #校长主任外出考察被曝同间房过夜在一起深入浅出的研究工作上的小问题。
1699497300# #坍塌体育馆开发商是当地建设局退休干部雪已经停了，事情……
1703293673# #被老鼠咬后反咬女子室友发声反咬一口，会是什么场景？
1689306118# #老师投毒致25幼儿中毒被执行死刑🙏🙏🙏阿弥陀佛！
1695564435# #官方通报校长和主任外出考察同房过夜乌纱帽丢了，家庭是否平安？
1690709746# #女子吐槽餐馆碗边包浆一扣一手垢这碗多长时间没刷了？这事没人过问？？
1696264172# #男子含泪跪地吃生母煮的醪糟蛋🙏🙏🙏阿弥陀佛！人贩子怎么处理？
1689515762# #湖南通报微信群不雅信息事件盗号的人喜欢丝袜？
1699497053# #中山二院致癌事件三大疑问蜡烛蜡烛蜡烛阿弥陀佛！截图留念。
1689283680# #上海银行高管娶四个老婆获刑假银行高管诈骗300万，帮谁弄点贷款吃点回扣也比这个多吧？
1697505297# #狗和主人必须尽快绳之以法视频里黑色的恶狗在街道上游荡，这个恶狗应该养了很长时间了，如果不是恶狗咬了孩子，这个恶狗还会养多久？？？
1699584988# #中国城市居民房地产债务占家庭收入137.9%蜡烛蜡烛蜡烛阿弥陀佛！
1697353807# #官方回应玉米地疑遭哄抢🙏🙏🙏阿弥陀佛！
1703146303# #部分银行宣布上调存款利率又看到了村镇银行。
1689648051# #男子车胎被服务区人员塞异物险出意外这种行为不犯法吗？如果出了交通事故怎么办？
1689487604# #男子吐槽停车1小时收费1679元网络病毒，系统问题，临时工的责任，油门当刹车了。
1698353564# #10月27日早报。1.31省份经济三季度报告均发布，17省份增速跑赢全国，西藏增长9.8%领跑。2.神舟十七号发射取得圆满成功，航天员乘组状态良好，3名航天员顺利进驻中国空间站。3.宁夏一企业污水储存罐起火事故中4名失联人员均已遇难。4.长江大学通报反诈讲座出现不雅视频，对相关人员停职调查。5.盐城一农
1701506580# #女子实名举报中石化高管婚内出轨高管出轨→→女人举报→→网络曝光。监管部门……？
1689239296# #山西殴打队长致死环卫工已被捕环卫工殴打环卫队长致死，起因是……
1696563667# #江宁婆婆评南阳盗窃事件🙏🙏🙏阿弥陀佛！
1697191795# #孙海洋哭诉结果难以接受将准备上诉蜡烛蜡烛蜡烛阿弥陀佛！
1702354633# #律师致函江西民政要求公开彩票事件信息蜡烛蜡烛蜡烛阿弥陀佛！
1699422718# #中山二院癌症患者黄某家属发声截图留念。
1692042696# #8月15日早报。。1.离岸人民币对美元汇率跌破7.29，创去年11月初以来新低。。2.杭州亚运会取消男子花样轮滑单人滑和混合花样轮滑双人舞蹈两个小项。。3.贵州村BA赛区冠军被质疑小组赛打假球，官方：不算假球，罚米酒肉。。4.内蒙古警方侦破18年前命案：嫌疑人在寺庙内强奸杀人后焚尸。。5.山东滕州一女子深夜
1700264051# #校方回应天不亮学生站操场背书蜡烛蜡烛蜡烛阿弥陀佛！
1693118137# #女子发现网红探访的凶宅是自己家3000元，难怪视频平台这么乱。
1698441393# #10月28日早报。1.中国共产党第十七届、十八届、十九届中央政治局常委，国务院原总理李克强同志，因突发心脏病在上海逝世，享年68岁。2.知名流行病学家、中国疾控中心流行病学首席专家吴尊友逝世，中疾控发讣告尊重本人生前遗愿不举行遗体告别仪式。3.美军对叙利亚境内伊朗伊斯兰革命卫队目标发动空袭，
1701389367# #排队5天孩子呼吸道感染熬成肺炎排队五天……
1689279717# #7月14日早报。1.王毅和布林肯在印尼会面，这是两人一个月内的第二次会晤。2.四川遂宁与昆明警方解救2名被骗往缅北的受害人，挡获3名嫌疑人。3.甘肃夏河泥石流灾害失联人员遗体均已找到，事故共致4死7伤。4.民航官方通报镇江一飞机坠落泥地：机上两人无生命危险。5.美军机过航台湾海峡，东部战区：全程
1699335245# #中山二院乳腺外科🙏🙏🙏阿弥陀佛！太可怕了。
1692651017# #村霸私闯民宅致老人脑出血孙子跳河法律似乎对黑恶分子很宽容。
1688265278# #女大学生向男生泼热水致二度烧伤用和解来碾压法律。goodgoodgood
1695011648# #西安交大回应留学生专用垃圾桶事件这个保安是专门为洋垃圾站岗的？？
1688687513# #亮警证让查酒驾交警放行男子系民警如果拍摄视频的辅警没有被辞退，这件事情就合理合法了嘛？
1696894852# #售楼处回应女业主遭保安轮流泼水业主维权涉嫌违法，法的标准……
1692414589# #上海六院称已连夜处理窗口人员阴阳怪气事件处理了，还是连夜那种处理。具体如何处理……你猜。
1698788606# #小学女教师离世留遗书称课外工作压力大蜡烛蜡烛蜡烛阿弥陀佛！
1701554680# #被公职人员占用的公租房小区已腾退五六百户这事如果不追责……呵呵。
1696585731# #南阳女主持人含泪控诉陈某煽动误导村民拿东西被刑拘蜡烛蜡烛蜡烛阿弥陀佛！
1703131849# #女网红就涉甘肃地震言论道歉并捐款捐款，钱可通神。
1698817241# #承包户收割白术遭上百村民哄抢🙏🙏🙏阿弥陀佛！
1689802774# #四川大学回应网传视频四川大学称已就网传视频报案没看到公章。
1696487618# #迷笛官方称南阳盗窃案件落实65起网民陈某(已被抓获)违规发布“活动已结束要清理现场”。
1691319198# #大妈踩在丹霞地貌上疯狂拍照拍这样的照片后能卖个好价钱？？
1694933838# #44岁农妇疑被强奸8天后自杀身亡她报案称被水果商贩黄某冠强奸，警方因现有证据不能证实有犯罪事实发生，决定不予立案。自杀后，9月7日警方以“发现新的证据”为由决定立案侦查。
1700423964# #11月20日早报。1.中央气象台预计21日至24日寒潮天气将影响我国大部地区。2.四川眉山重大考古发现，官方确认苏东坡家族墓地，苏轼孙子、曾孙墓现身。3.江西南丰县一栋七层居民危房倒塌，未出现人员伤亡。4.我国最大淡水湖鄱阳湖水位持续下降，已不足1000平方公里。5.北京一乘客因纠纷堵门致地铁10号线延
1702507226# #新能源车迎来寒潮暴雪大考蜡烛蜡烛蜡烛阿弥陀佛！
1696846423# #警方回应黄石当街发生锤人致死事件🙏🙏🙏阿弥陀佛！
1702099539# #男子强行将女子和小孩拖出保时捷人心向上⬆️人性向下⬇️
1688282028# #中国女篮亚洲杯夺冠中国女篮73比71战胜日本女篮，时隔12年再次夺冠。
1698554617# #男子砍人未被罚数月后驾车撞死母子2人凶手判了死刑，表哥怎么处理？
1689195919# #男子在缅甸被砍掉脚趾向哥哥求救被亲属骗去缅甸，现在还有什么人值得信任？
1696148010# #游客私爬环县古城墙差点摔落爬墙动作这么熟练，她家隔壁姓王？？
1693041593# #警方回应女子被性侵后未获立案自杀蜡烛蜡烛蜡烛阿弥陀佛！！！
1692146529# #单亲妈妈卖房给儿子买婚房被拉黑接下来会有一些所谓的亲属出来道德绑架，然后不孝的儿子再表演一出悲情大戏，钱就别想要。
1702469969# #副局长被儿子举报出轨待遇降为一级科员如果没有儿子举报。也许这个副局长会继续升迁。
1689059083# #农民宰杀家养猪分售700元被罚款5万一个贫困家庭卖了700元钱猪肉被罚款5万元，政府洪恩浩荡决定把罚款5万元减少到5千元。🙏🙏🙏阿弥陀佛！
1700951553# #深圳警方通报民警踩压违法人员脚部通报来了……
1690677585# #官方回应大量救灾物资被弃山沟【3名镇村干部深刻检讨】，这样的处罚是否……？？
1696660398# #酒店房间发现摄像头事件嫌犯被刑拘🙏🙏🙏阿弥陀佛！
1691008080# #涿州🙏🙏🙏阿弥陀佛！
1694372904# #9月11日早报。。1.重庆老太阻止办案并挥刀袭警，被击伤后送医不治，检方启动调查。。2.受强降雨影响，广铁组织转运K1206次、Z385次等列车逾1500名旅客。。3.国航成都飞新加坡CA403航班途中机舱冒烟，所有人员安全撤离，事件原因正在调查。。4.株洲一架动力滑翔伞坠落桥面飞行员受伤，营地：机器故障熄火。。5
1693605350# #好声音节目制作方灿星发律师委托声明截图留念。
1698500863# #重庆被曝虚设公立学校骗财政拨款蜡烛蜡烛蜡烛阿弥陀佛！
1691525745# #8月9日早报。。1.医药反腐席卷全国，本月至少已有10名医疗领域人士被宣布接受调查。。2.涿州回应城管往村边倒动物尸体等垃圾：正处理，大部分为建筑垃圾。。3.云南回应滇池白鲢鱼“跳龙门”：初步分析受水体和人为影响。。4.香港温拿乐队宣布解散：成立50年，“五虎”均已年过七旬。。5.江苏住建厅通报：镇
1696401408# #五禽戏视频教程好的东西不能私藏。
1698118900# #警方通报男子驾车撞击碾压保安驾车撞击碾压，这事怎么处理？孔方兄能摆平吗？
1701828758# #被斗鱼索赔8000万的女大学生🙏🙏🙏阿弥陀佛！
1693377247# #相关部门就导游被威胁事件登门道歉🙏🙏🙏阿弥陀佛！！！
1689586943# #12岁男孩为捡鞋子不慎落水溺亡扔鞋的孩子是凶手。
1693270588# #警方通报足浴店故意伤害案对残疾人拳打脚踢会不会去坐牢？这要看是什么身份……
1693943263# #瑞幸回应市监局询问酱香拿铁配料一半是美酒，一半是咖啡，一半是火焰一半是海水。
1692164913# #视觉中国商业版图盘点🙏🙏🙏阿弥陀佛！
1697151590# #编造广州地铁谣言男子被警方抓获警方通报涉广州地铁谣言让他在高墙内多住几年。
1700432483# #私募洛克资本老板疑似卷款跑路🙏🙏🙏阿弥陀佛！
1695713160# #男子要微信被拒殴打2女孩致流血是什么原因让流氓如此胆大妄为？法律的震慑力去了哪里？？
1692176980# #视觉中国或涉嫌冒名维权涉嫌冒名维权，冒名维权多少次？成功多少次？谁帮他们成功的？
1694204757# #企业回应把日本食材引进无锡学生餐企业追求的是利益，说的和做的是两回事。
1688531189# #原副市长妻子打人耳光成习惯如果副市长妻子不打别人耳光，副市长的腐败还会继续吧？
1691665385# #公司白送医院设备再6倍高价卖耗材这个不会是个例，下一家是谁……，查不查？？
1697058722# #救市后为何还是没人买房想千方设百计的卖房，口袋里没钱怎么配合？
1691496990# #年薪百万哭穷🙏🙏🙏阿弥陀佛！活着就好。
1697787699# #青岛啤酒厂工人被曝在原料仓小便这是第一次吗？还是……
1689936654# #深圳一工程师被迫辞职讨薪时坠亡敢问路在何方……
1689456056# #22个孙辈暑假回老家一天吃25斤大米羡慕这样的大家庭，在黑龙江看不到这样的人家。
1699808032# #官方通报企业家被约谈后坠楼身亡蜡烛蜡烛蜡烛阿弥陀佛！
1700878097# #网传坠楼研究生课题被导师拿走毕业困难蜡烛蜡烛蜡烛阿弥陀佛！人命关天！！
1688355558# #红黄蓝早教中心幼师被指虐童这是第几次了？？？
1691123239# #A股让居民通过股票基金赚钱……
1694807808# #警方通报一女子小区内被伤害身亡🙏🙏🙏阿弥陀佛！好合不能好散？
1697890760# #大学生私自取回自己电动车被处分🙏🙏🙏阿弥陀佛！
1700733714# #信贷员死后村里养老金消失600余万老人基金会老年
1697238684# #社区回应3岁孩子被父亲关车库3天三岁的孩子能离开人吗？还是关在车库里三天。这孩子的家长会永远年轻吗？等他们年老体弱不能自理的时候被关在车库里三天会怎么想？？？
1691878626# #医院院长副院长被查后痛哭忏悔收黑心钱💰的时候可不是这个样子。
1693628353# #北京多楼盘连夜涨价不知道这一针强心剂的疗效能维持多久？
1700026312# #山东一学校校服被质疑像寿衣🙏🙏🙏阿弥陀佛！
1689645220# #曝一学校食堂吃出胶制异物又和鸭子🦆有关？
1695095838# #女子遭性侵未获立案自杀发现新证据用生命换来的新证据。
1699321755# #住持称与女主播发生关系后被敲诈住持有钱，主播有色，钱色相搏……
1689106198# #7月12日早报。。1、国际乒联公布最新世界排名：樊振东重返男单世界第一；。2、数字人民币SIM卡硬钱包功能将上线：支持无电支付，支付只需碰一碰；。3、国家卫健委：我国生育支持政策体系初步建立；。4、郑州通报“千万寻狗”：寻狗启事系杜撰，发布者被行拘15日；。5、外交部：日本福岛核污染水排海与核电站
1697239849# #调整中国人民银行职责机构编制10万元存款被银行员工转成理财蜡烛蜡烛蜡烛阿弥陀佛！
1694383331# #尊重消费者是服务行业从业者的职业素养尊重消费者，还有几个行业尊重消费者？比如烂尾楼……，比如假货……
1701780082# #官方回应收走老人1吨煤老人的煤被收走，取暖怎么办？
1691748898# #院长忏悔白大褂被染成金黄色是什么原因让救死扶伤的医院变成了压榨病人的机器？
1690510445# #个人住房贷款认房不认贷房贷……，🙏🙏🙏阿弥陀佛！
1698827833# #郑州轻生女教师曾被要求加班数石榴数石榴是什么专业？
1703454372# #杭州女子刷视频发现老公另有2妻3娃蜡烛蜡烛蜡烛阿弥陀佛！善恶有报。
1690920200# #曝宝能集团姚振华被讨薪员工围殴因为讨要自己的血汗钱被围殴？还有天理吗？还有法律吗？
1697354327# #河南村BA现场1分钟上演全武行一时的冲动……
1702590116# #12月15日早报。1.北京地铁昌平线发生列车车厢脱离事故，已致30余人受伤，无人员死亡。2.我国在酒泉卫星发射中心运用长征二号F运载火箭，成功发射一型可重复使用的试验航天器。3.京沪同步调整楼市政策，首套二套房首付比例均下调，优化普通住房认定标准。4.北京顺义一男子泄露周海媚急救病历被行拘。5.
1702544100# #董明珠称钱不应该是大学生的梦想钱不应该是梦想，没有钱什么都不敢想。
1689761154# #男子为碰瓷大热天穿羽绒服骑车碰瓷和敲诈勒索没有区别，碰瓷的人应该去坐牢。
1692551847# #浙江广电集团回应🙏🙏🙏阿弥陀佛！都是白花花的银子。
1696659926# #造价1亿安居房未完工已提取10亿资金这10亿资金都到了谁的手里？
1694655884# #项目烂尾了问责不能再烂尾交通局称北极鲶鱼炫富事件不予公开不知道问责能不能烂尾……，不予公开是真的。
1696390202# #景区回应上百游客集体大喊退票景区同时间最多接待人数是多少？不能无限制的卖票。
1691276629# #事业单位人员入职手续存疑近水楼台先得月。
1698523763# #10月29日早报。1.亚残奥委员会主席马吉德·拉什德宣布，杭州第4届亚洲残疾人运动会闭幕。2.江苏公安厅副厅长陈旭被查，南通连续四任公安局长均落马。3.11月9日起中美直飞航班有望增至每周70班，票价或进一步回落。4.安徽泗县瓦坊镇一男子迎娶两个新娘，为博眼球策划闹剧被治安处罚。5.香港两辆轻铁列车
1699918301# #手把手教你跨省看病怎么走医保手把手教……
1691275088# #【上海一医院停车场收费人员拒收5角纸币并撕毁，被行政处罚】内部处理？司法部门真的没时间吗？？浦东,上海一医院（分享自
1693978141# #3000万元茅台只够卖1.5天咖啡截图分享。
1692674706# #社区书记回应酒后带人打砸夜宵摊🙏🙏🙏阿弥陀佛！
1688503808# #女子称入职时被要求上交毕业证原件这老板以为自己的权利超级大。
1694722242# #9月15日早报。。1.假期车票秒光，12306回应：较往年确实更难，建议立即加入候补。。2.北京集中销毁侵权假冒伪劣商品30吨，涉及白酒、化妆品等。。3.我国青年学生艾滋病感染者每年增3千例，专家：高校生要了解防艾技能。。4.昆明滇池湖水绿如油漆，官方：出现蓝藻，已成立处置专班。。5.上海警方：两中学生将
1698586612# #警方回应旅客扔硬币致航班延误这种新闻是第几次了？
1693386563# #女子生育期间遭家暴起诉离婚被驳法院审理认为，现二人婚生子尚不满两周岁，双方更应当珍惜家庭成员之间的亲情。？？？？？
1701421570# #女子提醒夫妻关远光灯被打致流产这么暴力？哪里来的底气？
1702766280# #货车司机大雪天淋成雪人流泪感慨🙏🙏🙏阿弥陀佛！
1696909724# #官方通报北极鲶鱼事件北极鲶鱼爷爷被开除党籍美酒飘香……
1695195263# #官员实名举报副局长纪委已介入🙏🙏🙏阿弥陀佛！
1691697806# #为解绑支付宝民警帮办45张证明🙏🙏🙏阿弥陀佛！支付宝要求用45个证明来证明什么？？
1698058158# #朗迪制药被罚超1.3亿该公司生产的32批次碳酸钙D3颗粒、碳酸钙D3颗粒（Ⅱ）、碳酸钙D3片（Ⅱ）含量测定项下维生素D3不符合规定。
1689328352# #警方回应90岁老人刚下葬尸体被偷挖坟掘墓，这手段太下作。这些人真的不信因果轮回吗？
1693511776# #缅北电诈头目姐夫等225人被抓🙏🙏🙏阿弥陀佛！
1698378410# #医保散布谣言的人怎么处理？？
1698833702# #教体局已介入郑州女教师跳楼轻生事件前些天有女教师被迫去陪酒，现在又女教师跳楼。
1690689888# #纪委通报一县在官员子女打印店花174万一部分人先富起来了。
1699276624# #大三女生跳松花江自杀🙏🙏🙏阿弥陀佛！
1697058049# #武大男生在图书馆实施性骚扰是什么原因让这个男生忽略道德的约束？法律的监督？
1703597656# #江苏一公司不发工资发积分原来画饼的那面墙倒了……
1698872635# #广西一中学小卖部年租金拍出320万高价这个学校有多少学生？这320万均摊到学生头上后每个学生要承担多少钱？
1689113293# #女子被拐26年后回家父母已身亡网上要求判人贩子死刑的呼声很多，又是谁不想让人贩子死？？
1701229772# #网曝陕西高校男生持刀捅伤一男一女🙏🙏🙏阿弥陀佛！又是人命关天。
1701734615# #医院多收10万涉事护士长被停职检查蜡烛蜡烛蜡烛阿弥陀佛！护士长能背起这个锅？？
1690524598# #男子跪地六小时求婚昏倒用这种方式给女方施加压力？？
1696203616# #警方通报网传宝马司机因吐痰引冲突被杀🙏🙏🙏阿弥陀佛！
1691291343# #强降雨致吉林舒兰6人遇难4人失联🙏🙏🙏南无阿弥陀佛！
1692849873# #日本核污染水下午排入海洋有什么应对措施？？？
1688847902# #7月9日早报。。1.2023世界人工智能大会闭幕，32个重大产业签约总额达288亿元。。2.哈尔滨获得2025年第九届亚洲冬季运动会举办权。。3.第二次青藏科考队发布珠峰顶部积雪厚度：9.5±1.2米。。4.网传一女子在上海地铁车厢宣扬辱华言论，警方通报：系精神残疾人。。5.保定回应公交停运：资金紧张电池超期限，纯
1699579834# #护工心情差将婴儿拍成脑出血心情不好就可以行凶吗？
1689911701# #警方回应老人持斧头入室追砍两女孩太恶劣了，拿着斧头追砍两女孩。
1694512373# #郭美美已出狱总经理这是出来体察民情？？
1699843902# #女子结婚2月流产要离婚丈夫起诉还彩礼钱💰让某些人抛弃一切。
1699517743# #中国科协就中山二院3人患癌发声🙏🙏🙏阿弥陀佛！
1695296515# #专家称股市能承担楼市的功能生活是一团麻，那也是麻绳拧成的花，生活是一根线，也有那解不开的小疙瘩呀……
1690677393# #全县24个乡镇在一家打印店花174万领导子女开了个打印店，医生亲属在医院对面开了一个药店，这事不稀奇。
1703780898# #12月29日早报。1.北京朝阳一自建房发生火情，电动自行车起火所致，4人无生命体征。2.河南唐河县2天捣毁2个赌博窝点，查获63人，收缴赌资10余万。3.重庆女子称未满月儿子遭月嫂扇耳光、用强光照眼睛，月子中心发声明称与其无关。4.杭州破获重大勒索病毒案，犯罪团伙借助ChatGPT进行程序优化。5.京东零售
1690363690# #女子称酒后在KTV遭性侵湖南省娄底市公安局娄星分局称，检察院对涉嫌强制猥亵的张某某不予批捕，已取保候审，在厕所内对受害人偷拍的违法行为人已被处以行政拘留处罚。
1688288189# #前交通局长孙女炫富事件调查近百日只要各位耐心的等待……
1703461116# #教育局通报小学教师殴打学生致脑震荡🙏🙏🙏阿弥陀佛！
1699023779# #助学金争议当事人要求处罚相关人员🙏🙏🙏阿弥陀佛！难度很大。
1696751657# #每天两片烤馒头片拯救了我的胃症状轻的可以考虑，严重的还是去医院。
1696480953# #迷笛再回应乐迷财物被盗事件已经抓到了部分盗窃者。
1691915949# #医疗反腐医疗从业者的反应医疗系统的腐败是从什么时候开始的？在这之前是否有人发现？
1691846679# #陕西医疗反腐已处理937人查出来这么多？还有没有漏网的？
1700950995# #11月26日早报。1.美霍珀号导弹驱逐舰非法闯入中国西沙领海，南部战区回应严重侵犯中国主权和安全。2.中国赠送给日本的朱鹮洋洋去世，此前受雷声惊吓进食困难。3.浙江杭州一房屋内4人一氧化碳中毒，已致2死2伤。4.山西安泽县永鑫通海铁路物流公司发生施工事故，7人被混凝土掩埋遇难。5.成都东部新区一楼
1702159175# #12月10日早报。1.第三架C919大型客机交付东航，编号B-919D，东航此前已增订100架C919。2.朱雀二号遥三运载火箭将搭载卫星顺利送入预定轨道，为我国研制的全球首款成功入轨的液氧甲烷火箭。3.南昌“1·8”20死19伤重大交通事故报告公布，货车超限超载超速，路遇人群违法占道办丧事。4.中国滑雪运动员谷爱
1697505601# #贾跃亭称受到了很多不公指责贾老板下周回国讨论不公指责。
1700148256# #江西11岁男孩跳楼案教室被删监控已恢复蜡烛蜡烛蜡烛阿弥陀佛！
1700524120# #焦点访谈曝光网购流量造假套路这不是欺骗吗？会有人管吗？
1701298534# #反复烧水会增加致癌物质吗当初是什么人说的反复烧水会增加致癌物质？
1702414780# #成都地铁偷拍案当事人回应判决蜡烛蜡烛蜡烛阿弥陀佛！
1696455000# #南阳迷笛音乐节物品失窃引地域攻击🙏🙏🙏阿弥陀佛！对这些给家乡人带来负面影响的人怎么处理？
1701674937# #珠海一男子持刀致3死后自杀🙏🙏🙏阿弥陀佛！
1688473232# #被逼吃屎是怎么和解的怎么和解的？天知道。
1699432147# #陆家嘴这个……会牵扯到多少人？
1701313767# #警方回应执勤交警持棍击倒骑车男子骑车有罪吗？
1694855572# #女子高铁座位被占换回后遭3人殴打千万别还手，还手算互殴。
1698401395# #吴尊友逝世蜡烛蜡烛蜡烛一路走好。
1688465550# #牵手门涉事男领导仍担任企业高管🎤平安无事呦……
1699276392# #医院院长倒卖出生证明每张赚6万院长手里的出生证明是否卖给了人贩子？
1694424543# #179名电诈嫌疑人从老挝被押解回国鱼过千重网，网网都有鱼。
1694733819# #北极鲶鱼事件结果是否应公开不予公开，一旦公开……会影响到什么人？
1695255229# #西安交大取消四六级学位证挂钩取消四六级考试挂钩毕业证，该学习英语的还是要学习。
1693121769# #餐厅回应在拖把池用自来水勾兑橙汁既然被曝光了，涉事餐厅飞虹店只能立即停业整顿并全面整改检查。
1688679237# #男子迷奸多女子后多次查询法律后果应该追究问题饮料的来源。
1691698754# #警方通报女孩拒买水果捞被骂小三挨打别还手，挨骂别还口。
1696405855# #湖南婚车事故记录仪显示婚车突然变道🙏🙏🙏阿弥陀佛！是婚车驾驶员溜号？还是婚车故障？
1702270190# #全国粮食总产量再创历史新高粮食大丰收，粒粒皆辛苦。
1698441877# #已售93万余盒钙片检验不合格吃这个钙片没有生命危险，对身体有没有危害？？
1699243315# #天津助学金事件调查结果蜡烛蜡烛蜡烛阿弥陀佛！！
1697599747# #A股大概率有超越5年一遇级别的牛市🌱🌱🌱🌱🌱🌱🌱🌱一望无际的草原祈盼牛的到来。
1689148826# #复旦十八驴🙏🙏🙏阿弥陀佛！
1690019348# #遭同学奸杀的初中女生父亲发声江西一初中女生遭男生强奸杀害这样的杀人犯没有判死刑？为什么？
1699311728# #佳木斯一体育馆坍塌初步确认3人被困蜡烛蜡烛蜡烛逝者安息！
1691577526# #院长被抓后该院人均就医成本降1400元喝病人血的医院院长。
1695780884# #央媒称年龄不应是违法犯罪的挡箭牌🙏🙏🙏阿弥陀佛！苍天有眼。
1694498011# #女子买高铁二等座嫌冷大闹要毛毯谁闹谁有理？？？
1692828868# #女子称写炫富小作文是为了举报丈夫丢卒保车，舍弃丈夫，保护拿了25万的局长。
1695245898# #河南鹿邑一小学生校内坠楼身亡蜡烛蜡烛蜡烛阿弥陀佛！
1695163654# #石家庄某小区尸体残肢疑为女性蜡烛蜡烛蜡烛阿弥陀佛！
1702279275# #火锅店给客人吃3年口水油为什么会这样？是谁给了火锅店老板的底气？？
1701554359# #亿万富豪被拐儿子将回归原生家庭如果没有买家……会减少很多被拐儿童。
