1679806719# #人口下降雪崩，没有人，谁来买房子？现在已经够几十亿人住的房子，没有人来接盘。
1700518690# #大饼比秃由于日线顶背离，上涨不易，只能以震荡方式波动，目前在37000附近震荡。
1657104919# #矾电池概念：攀钢钒钛、上海电气、国网英大、河北钢铁、安宁股份等
1675495366# #金国人，就是女真人，也就是现在满族人的祖先，金宋交战，就是女真人与汉人打仗，从地域来说，也是“东北人”南下作战，攻击汉人地盘。
1668497635# #今天股市最强热点为半导体及元件涨停14家，板块内上涨：下跌为170家：3家，源于巴菲特投资半导体的消息刺激。
1680832211# #狗狗白忙一场。推特网页Logo被更换为柴犬表情图像，相关动物狗币闻风大涨。现在推特将首页Logo更换为原来的蓝色鸽子图案，动物狗币大跌。
1675327891# #慎独很难。明代曹鼎任泰和典史，相当于现在的检察干部，在一次捕盗贼的时候，抓了一名绝色女贼，由于离县衙路途遥远，夜宿在一座庙中。。月光下，女贼千方百计地以色相来引诱他。曹鼎为提醒自己抵住诱惑，写了“曹鼎不可”四个字贴在墙上，以随时提醒自己不要失控。。过了一会儿，
1666303303# #比秃鼻“一字马”19000附近
1656586174# #你敢去加油吗？允悲
1691354462# #《孤注一掷》警察赵支队说赌博的人心魔作怪，一是贪心，二是不甘心。。没输之前，幻想会赢钱，一旦盈利，就会欲望膨胀，蹭蹭加码，希望赢很多，直至财务自由，改变命运，这不就是欲望无止境，人心不足蛇吞象嘛。。一旦输了，除了恐惧，就是不甘心，满脑子总想着扳本。于是，信用卡透支
1662161754# #隔夜美股三大指数高开后脉冲震荡再下杀，将上个交易日的微弱反弹悉数吞没，刚刚上翘的日kDJ快线又掉头向下，5日20日半年线即将形成“死亡谷”，空头能量将进一步释放。
1664225571# #隔夜美股三大指数皆跌，道琼斯跌1.11%，纳斯达克跌0.6%，标普跌1.03%，月、周、日三个周期的5均线20均线、kDJ、MACD都处于死叉状态中，短、中、长技术指标均发出空头信号，唯日K线5连阴，且偏离5日均线过大，有短期反弹要求。
1699501101# #潮起潮落，有落就有起，做食品添加剂的企业，生意肯定火爆，“赚钱赚到手抽筋”
1659998239# #隔夜美股三大指数一涨两跌，都呈现冲高回落倒锤头形态，纳斯达克守住了5日均线和半年线，道琼斯、标普站在5日均线上，但跌落半年线。
1657677265# #“购房团购”来了
1669067134# #股市的存在，利用了人的贪婪和恐惧的赌性，最主要最直接的目的是从民间抽血为企业融资+不同阶层利益分配，直接或间接捎带部分税收和就业。
1685740223# #最大的持有大饼比秃的机构是微策略，成本价29800左右。。大饼比秃在27000附近反复震荡，可理解为洗盘，离明年减半周期只有300多天了。
1671220936# #早ﾉ☀。周末阴雨，凌冽寒冷。
1669506758# #比秃鼻小周期上蹿下跳，日周期“水平线”式“心电图”。
1683952188# #老了都是这样，健康→行走迟缓→不能动→死亡……
1671419891# #5日20日均线、kDJ、Macd都处于死叉状态，上证指数短空必然。
1669859511# #世界杯小组赛E组的德国队积分居然垫底，日本队居然积分第二，活久见了。
1675550450# #比秃币产生日线级别调整，但仍在17000～22000机构成本箱体上方的23400附近转悠。受阻于周布林上轨。月K线对应的成交量，去年下半年至今堆积了巨大的历史天量，机构经常抄底迹象明显，月kDJ金叉长多架势。因此，无惧短期调整，逢跌分批进仓，控制风险的基础是只做现货，不做杠杆，静待2024年春暖花开。
1692216271# #医疗卫生系统即将重大改革，医院降薪潮即将到来，降薪后薪资不与业务挂钩。。想问得是：。能告别过度医疗吗？。没钱不会被从医院赶出来吗？医疗卫生医疗
1674905626# #财联社1月28日讯，国家发展改革委等多部门发布《关于推动大型易地扶贫搬迁安置区融入新型城镇化实现高质量发展的指导意见》。其中提出，推进有序落户城镇。充分尊重搬迁人口落户城镇意愿，因地制宜制定具体落户办法，提高户籍登记和迁移便利度，鼓励支持有条件有意愿的搬迁群众进城落户。积极稳妥推广
1656413058# #前些时候小麦换房，现在西瓜换房来了，价值等价物是农产品，这是针对农民的节奏。
1690017669# #英国诗人萨松的诗句“Inme，past，present，futuremeet”。直译就是“于我，过去、现在和未来”，。余光中先生译作“心有猛虎，细嗅蔷薇”。
1664718103# #停止没有意义的关系交情，辞去不能满足你的工作，离开无法令你成长的地方，我不会说那是去舍弃，而会说那是了解、有觉知。（奥修）
1690973881# #【两部门:延续小规模纳税人增值税减免政策至2027年底。财政部、税务总局公告，为进一步支持小微企业和个体工商户发展，现将延续小规模纳税人增值税减免政策公告如下:对月销售额10万元以下(含本数)的增值税小规模纳税人，免征增值税。。增值税小规模纳税人适用3%征收率的应税销售收入，
1688073554# #人民币处于持续贬值中，是13年来，也是最近的新高。
1664594229# #上海松江府广富林历史文化遗址
1672020097# #中金公司：国内疫情仍处于扩散阶段，对市场影响可能还会持续一段时间。目前，沪深300指数前向市盈率仅为9.4倍，股权风险溢价重新回升至历史向上一倍标准差附近。近期日成交降至5800亿元左右，对应按自由流通市值计算的换手率降至1.6%附近，重新回落至历史阶段性底部附近的1.5-2%的换手率区间。后市投资
1668213921# #今天最高温度将达27度，热死了。
1656513042# #Tether发文称计划成为第一个对其市场储备进行审计的稳定币。Tether表示目前正准备接受一家大型会计师事务所的审计，该事务所是“12大”会计师事务所之一。Tether计划成为第一个对其储备进行审计的稳定币，预计其他稳定币将一如既往地追随Tether的脚步。 。此外，目前USDT储备的47%以上是美
1660080753# #隔夜美股三大指数集体下挫，三大指数都跌落5日均线，纳斯达克勉强守住半年线，道琼斯、标普失守半年线。三大指数的技术指标日kDJ的快线都拐头向下，短期空头气氛不可避免。
1681082110# #比秃、姨太基本在5日均线附近徘徊，技术指标纠缠多空反复无常，短期稍显弱势，月、周技术指标显示中长期向多头逆转。
1689888116# #老美加息25个基点，影响市场流动性，纳斯达克指数暴跌，大饼比秃联动了一下，但只是在3万下方窄幅度波动。
1656060413# #今日收盘，上证指数、深成指、创业板都攻占半年线（创业板昨天就攻占了半年线），日kDJ金叉+日MACD蛟龙出水，支持三大指数继续上行挑战年线。。科创50指数今日攻占5日均线，上方的半年线高度几乎和最近的反弹的波浪高度几乎重叠，后市大概率会跨越这个高度。
1671095183# #股市收盘，一跌三涨，上证指数跌，深指、创业板、科创50微涨，不好的迹象是，四大指数持续四天基本处于缩量状态，除创业板今天刚刚收复5、10日均线外，其他三个股指的日K线都处在5、10日均线下。。创业板、科创50的日KDJ快线上勾，但仍然处于死叉控制下，至于上证指数、深指，日KDJ直接处于死叉
1666219387# #数字资产投资公司Arca的创始人兼首席执行官RayneSteinberg表示，由于加密货币的寒冬伴随着宏观经济的下滑，很难说情况何时以及是否会好转。不过，RayneSteinberg仍持乐观态度，他告诉《财富》杂志，经济衰退“很可能已经接近尾声”。他承认，很难预测加密货币市场的未来走势，任何事情都有可能使低
1697223563# #不知道美国佬经济数据，也不知道加息减息、现货ETF什么时候，……比秃大饼5日20日、MACD、kDJ都处于死叉状态，短期的指标空头把持。从彩虹图来看，现在处于相对低部，要等到明年初才可能有行情。
1698766015# #赞微风
1665531960# #“木头姐”旗下分析师坚称比特币价格将超100万美元。10月12日消息，随着美联储大幅收紧货币政策，推动投资者远离加密货币等风险较高的资产，比特币持有者和矿商在2022年一直在大肆抛售。然而，ARK的加密货币分析师Elmandjra在周二表示，比特币仍有可观的机会，他还重申了该公司认为未来年份比
1672812068# #人类一定会灭亡，不是概率问题，只是时间问题，因为地球包括整个太阳系都一定会不复存在。。如果你要问我人生的意义是什么，那我会告诉你，人生没有意义。99%的人，三代以后，时间会抹平你存在过的一切痕迹。。有一个说法，其实一个人会死三次，第一次是物理死亡，就是你停止了心跳，第二次
1667922613# #暴跌的FTT步露娜后尘？
1667767489# #早ﾉ☀。“寒来暑往，秋收冬藏”。今天立冬，冬季的起始，生气开始闭蓄，万物进入休养、收藏状态。
1660516759# #早ﾉ☀。最高和最低气温比昨天稍减1度。
1668723911# #隔夜美股三大指数均低开震荡，临近收盘才走高，但仍以集体微跌收盘，收假阳线，且在5日均线下方，呈现短期弱势。
1689888341# #老美加息，老美股市还有涨有跌，万万没想到，上证、深指、创业、科创也下跌。。人家挨了耳光，你跟着干嚎什么？
1676451091# #银行印钞机轰隆隆开动下，给社会提供了巨大的资金流动性。。1月份新增人民币存款6.87万亿，同比去年多了3.05万亿，近乎翻倍，而其中6.2万亿都是个人存款，比疯狂的2022年同期更是多存了7900亿。。老百姓不敢贷款，不敢消费，更不敢买房。
1685220422# #大饼比秃在28500～26500箱体内，守住了26500颈线。
1668328139# #互相尊重允悲
1696678260# #沪深交易所称现阶段A股市场实行T+0交易的时机不成熟，可是机构上午融券做空，下午低位接回还券，不等于是变相T+0吗。
1686395794# #窗外风雨大作
1682218576# #太阳
1659481050# #跟随美股无大碍。近期比秃鼻有跟随美股上下的迹象，美股稳住没有大跌，比秃鼻在日布林上中轨间徘徊。
1663803062# #隔夜美今年第三次加息靴子落地，美股三大指数长阴暴跌，成交温和放量，但跌势未尽。
1664918961# #隔夜美东时间周二，美三大股指跳空高开暴力反弹，三大指数集体收高，纳指大涨逾3%。截止收盘，道指涨2.80%、重返30000点大关，纳指涨3.34%，标普500指数涨3.06％。尽管股指短期技术走强，皆收复5日”均线，但上方的20日均线构成强压，成交量没有有效放大，很难形成“V”型反转。
1656878025# #菜市场也有大学问
1679187647# #央行降准0.25个百分点，增加市场流动性。。可是现在各家银行，本来就存在很多资金贷不出去而“空转”，再增加资金，有效吗？
1663713543# #成功预言美国次贷危机而声名大噪的“末日博士”鲁里埃尔·鲁比尼，又发表看衰市场的言论，这次他点出美国和全球经济将在2022年底陷入衰退，这轮衰退将“漫长且丑陋”，同时会触发美股的显著下跌，美股将跌30-40%
1672180969# #隔夜美股三大指数在5日均线附近转悠，道琼斯在5日均线上面，纳指、标普在下面。
1672204544# #12月27日，人力资源社会保障部办公厅近日印发关于进一步做好职称评审工作的通知，提出动态调整职称评审专业，探索将大数据、区块链、云计算、集成电路、人工智能、技术经纪、创意设计等新职业纳入职称评审范围；支持各地围绕特色产业、重点产业链设立特色评审专业，开展专项评审。
1666219232# #美司法部指控5名俄罗斯国民利用加密货币参与逃避制裁和洗钱计划
1676843269# #贪婪和恐惧源于酷刑的折磨，这种惩罚就是对想得到更多、害怕失去的心理反复捶打。
1676373274# #房产贷款年龄可延长至80岁，按时间垮度，涉及祖孙三代，真可谓：代代相传，代代还贷，三代为韭菜，韭菜根也不放过。
1688197975# #北京几环内的房子，无论是商业还是民居，普遍矮小、陈旧，估计是安全限高、保持历史风貌有关。令人惊奇的是厕所很多，方便公众物理垃圾的疏泄，还有一个亮点就是实体书店多，城市的拐角处，不经意间，小巧雅致的书店，飘入眼帘。
1665184880# #阿根廷足球队长梅西确认卡塔尔将是他的最后一届世界杯。今年35岁的梅西已经参加了2006年德国世界杯、2010年南非世界杯、2014年巴西世界杯和2018年俄罗斯世界杯决赛阶段的比赛。阿根廷队离冠军最近的一次是2014年对阵德国队的比赛，但最终不敌对方获得了亚军。
1689972489# #清风摇曳，城市过夏天。。夏天城市梦遇见夏天遇见遇见最美城市
1692129543# #关于证券交易印花税。2018年证券交易印花税收入977亿元。2019年证券交易印花税1229亿元。2020年证券交易印花税1774亿元。2021年证券交易印花税收入2478亿元。2022年证券交易等印花税收入2759亿元
1663504224# #远处传来不知是陶笛还是葫芦丝的声音，影影绰绰丝丝缕缕，想起“似此星辰非昨夜，为谁风露立中宵？”
1690313968# #都知道现在是大饼比秃四年的减半行情前夜，也知道微策略等很多机构的平均成本在29800附近，还有几个超级机构有关大饼比秃的ETF指数正在申请中。。但是，大饼比秃出现周线级别的顶背离，但周线的上行趋势仍然完整，日MACD处于死叉且向下发散中。大饼比秃从3万附近下沉到2.9万附近震荡，消息面老
1688855153# #听闻小哥费玉清生病住院，乃至病重。想当初小哥风度翩翩，言笑晏晏。
1670538640# #李克强：随着疫情防控优化调整措施落实，中国经济增速将会持续回升。
1656285656# #箱体震荡依旧。比秃鼻依托5日均线，在17000~22000箱体上轨下方波动，鲤、鳖基本复刻比秃鼻走势，在5日均线上方波动。大狗、二狗反弹走势较强，5日20日均线形成金叉，能否走独立走势，尚待观察。
1666994358# #成年人看问题，不是看它高调说什么，而是看它的行动是怎么做的，实际效果怎么样？
1680036513# #与美股脱离相关，比秃币在27000附近波动，日技术指标趋向空头，但每每在价格下坠时，有只手在背后托盘的感觉，有资金在不动声色悄悄吸纳。
1695653444# #松江土著
1698173519# #漂亮国法院在灰度与法院争讼中，判灰度取胜，意味着灰度可以开展大饼比秃的现货ETF业务，在这种背景下，大饼比秃暴涨，一举突破3.1w，最高到达3.5w附近，现在回落至3.4w附近震荡。周kDJ、MACD都实现了金叉，中期转强。
1657999387# #早ﾉ☀。ᵕ̈ᴹᴼᴿᴺᴵᴺᴳ。世界上最美的艳遇，。是遇见另一个更优秀的自己.
1665652763# #10月13日股市收盘，上证、深指、创业板、科创50涨幅分别为-0.3%、-0.19%、0.32%、0.17%，成交金额分别增109亿元、73亿元、28亿元、11亿元，四大指数日K线都是低开冲高回落收“倒锤头形”，所幸守住了5日均线，日kDJ金叉后仍然处于向上发散中，反弹能量尚在。。市场上涨家数：下跌家数为4490：186
1691097049# #大雨洪水，人是渺小的。
1656031950# #垃圾饮料、垃圾食品，降低成本的方法越来越多样，防不胜防。。味道越精美，颜色越亮艳，。价格越便宜，真相越恐怖：。小孩一半是催熟的，。大人一半是催肥的，。绝症一半是催命的。
1684183664# #大饼比秃在26500～28500系统内中轴27500附近波动。
1669548200# #11月27日，在杭州亚运会倒计时300天之际，杭州亚组委向全球首创性发布亚运数字人平台，首创性推出“亚运数字火炬手”
1662589250# #早ﾉ☀。人在生病的时候，跟不上世界的节奏，不得不放缓脚步，暂时放弃杂念，老实多了。
1658815044# #Coinbase因加密货币上市问题遭到美国证监会调查，引起加密货币市场开跌。
1683824582# #大饼比秃目前周、日、4小时、1小时长短四个周期的kDJ都处于死叉状态，空头能量仍在发酵中，但周K线的上行趋势尚属完整，颈线26500没有被有效击破。因此，小周期的频繁上下插针，窄幅震荡为主，仍在28500～26500箱体内，只不过下沉至箱体中轨27500下方波动。
1667344294# #比特币继续在20500附近走微弱的心电图。
1691293799# #股市十大笑话？允悲
1698280407# #愤怒的小狗，菜市场拍的，加上“烦恼的小鸟”音乐允悲
1682713507# #比秃围绕29000上下震荡，大概率会创反弹新高。
1674893247# #财务部长“吕凉”，向大佬“王志文”汇报逃税场景……允悲电视剧黑冰里的。
1670882826# #目前，上海的一手房价格稳住托住，二手房价格在下降。
1678324270# #比秃颈线位21356.5，姨太颈线位1461，系发动春季攻势进行反弹的强支撑位。
1676992558# #刚刚，美股三大指数开盘，都是跳空低开+低开低走，发生什么事了？
1669675625# #美股下跌原因。纽约联储主席威廉姆斯、圣路易斯联储主席布拉德先后放鹰，加息政策将保持到2023年，直到2024年。股市闻风而跌。
1669760755# #比秃鼻近日基本在16000～16600区域徘徊，虽然在17000～22000箱体内有大量进场资金被套，减半的周期未到，只能将就着讨生活。
1688160282# #北京大爷大妈们休闲纳凉
1663712876# #9月21日，沪深股市微涨，但成交缩量明显，是大跌后的反弹，跌势未尽。
1670617807# #比秃鼻仍然在17000～22000箱体内，只不过靠下，在下轨17000附近转悠，偶尔踩破箱底，有惊无险。
1675172905# #1月31日股市收盘，上证、深指、创业、科创都出现了价跌量缩的走势，这是对昨天开盘高开低走的继续吧。月MACD虽然处于死叉状态，但是绿柱在缩短，周MACD则是处于金叉状态中红柱增长，因此，短空中多，即短期调整不改中期反弹上攻的走势。
1673391022# #12月16日染疫，七天基本康复，但是干咳不停，期间雪梨、白萝卜、黄冰糖、川贝枇杷膏组成联队，轮番“轰炸”，昨天开始没有咳嗽了，今早也没有。
1657236183# #英国金融时报称美国敦促日本切断与俄罗斯在加密货币方面的关系。
1656718385# #7月1日，上证指数报3387.64点，下跌0.32%，成交额4584.35亿。。深证成指报12860.36点，下跌0.28%，成交额5929.03亿。。创业板指报2781.94点，下跌1.02%，成交额1925.51亿。。总体上个股跌多涨少，两市超2600只个股下跌。两市合计成交10513亿，较上个交易日缩量1085亿。。盘面
1677240866# #世事无常，千亿私募大佬也不会比普通人长寿
1695954800# #居民为什么无法拉动消费？。郎咸平统计过各国工资总额占GDP的比重:。美国58%，英国56%，日本53%，法国53%，加拿大51%，澳大利亚47%，韩国244%，阿根廷36%，墨西哥33%，委内瑞拉31%，泰国和菲律宾是28%，伊朗和土耳其是25%，非洲数据无法落实，估计20%以下。。中国工资占GDP比重是8%，如
1666139659# #蓝天白云吊竹梅
1669152242# #比秃鼻的重心默默下移，由16500转至16000附近，“罗衾不耐五更寒”，慢慢熬吧。
1667683030# #1953年出生的赵雅芝，优雅地老去。。致我们终将逝去的青春致我们单纯的小美好
1663464246# #粮食要涨价？
1675148507# #职场还得顺势而为、借力打力才能生存下去。
1666476063# #早ﾉ☀。山似青螺，田如绿毡。
1700085781# #新能源车购车贵，还有安全性能堪忧，途中随时焦虑为充电算计。。一旦进入维修，特别是换电池，等着大出血。。。为什么大力推崇新能源车呢？宣传说，环保+使用成本低。环保不得而知，从所有食品都有添加剂来看，会在乎空气吗？至于经济总账，从使用5~10年的长周期的钱款支出来看，冷暖自知。。。因为要消费升
1687944932# #如果你没有背景，还要选择做一个好人，几乎肯定会落入社会底层，哪怕你才华横溢，有真知灼见，社会的筛子会把你筛落掉。越是循规蹈矩，刚正不阿，天性善良，越容易被淘汰，你所有的优点会成为竞争中的劣势。（陈丹青）
1658961578# #反弹入上轨。昨日大跌，昨夜今晨复又蹿上17000～22000上轨，现在23000附近波动。箱体内成交量明显放大，显示有资金“抄底”，如此反复上蹿下跳，但震荡幅度不大，远没有出货空间，静待比秃鼻拉升。
1701991214# #赞
1665480982# #今天上证指数、深指、创业板、科创板分别涨0.19%、0.53%、1.15%、-0.51%，上涨家数：下跌家数为3971：2428，总体是涨势，但四个市场分别缩量434亿元、208亿元、69亿元、63亿元，说明反弹量能不足。
1658782135# #早ﾉ☀。早晚凉快了
1657009068# #今天股市矾电池概念走势领先，这个板块的领头羊目前是攀钢钒钛，已经三连板了，而且价涨量缩，后续走势大概率还有几板。。矾概念的其他个股的涨势，新大新材、河北钢铁、金浦钛业、上海电气、新天绿能基本走“旱地拔葱”走势。
1668106759# #早ﾉ☀。今天双11，光棍节+剁手节！宜单，宜购物允悲
1669678942# #11月28日，上证指数报3078.55点，下跌0.75%，成交额3385.49亿。。深证成指报10829.08点，下跌0.69%，成交额4198.44亿。。创业板指报2298.80点，下跌0.46%，成交额1292.74亿。。总体上个股跌多涨少，超3300只个股下跌。两市合计成交7583.93亿。盘面上，房地产服务、教育、医疗服务、
1668041445# #美国证交会主席根斯勒表示，部分加密货币法案破坏了证券法规定，加密平台不应该能够自我认证。
1697414391# #估计是清理体制外用工，因为公务员可能也没钱发工资了。近日，财政部发布《关于做好2023年政府购买服务改革重点工作的通知》。文件提到：购买主体不得借政府购买服务名义变相用工，不得将人员招、聘用，以劳务派遣方式用工，以及设置公益性岗位等事项纳入政府购买服务范围。对于此前以政府购买
1688995495# #李玟曾获得过姚明赠送的11号球衣。
1679905320# #鸡猪鱼蒜，逢着即嚼；。生老病死，时至即行。。——唐·裴度
1665640216# #转眼数年，想起“那年花开”。2014年秋重庆的大街上，2019年秋北京的潭拓寺，themoment，满地金灿灿的叶子，宛若“落花如雨”。
1695074325# #大饼比秃昨天下午突破27000，今晨又回落至27000下方，画了个小门，但是震荡重心似有抬高。
1664483378# #该来的来，该去的去，一切须坦然面对。
1655896091# #郑州通报部分村镇银行储户被赋红码调查情况，多名干部被处分赞
1675888170# #室内温养茉莉花，冬末初春绽放。
1660430451# #上海市：全市常态化核酸检测点免费检测服务，延长至9月30日。。8月13日至9月30日，上海市民应每周至少进行1次核酸检测。市民如7天内无核酸检测记录，其“随申码”将会被赋黄码；完成核酸采样后，其“随申码”将在24小时内转码。
1695848662# #大饼比秃昨夜画门，终点回到起点，先多后空，完成爆破高杠杆仓位。
1668559659# #币安、币看已经下架FTT现货交易，抹茶、火币、比特儿尚在交易，欧易从来没有上架过FTT.
1699875014# #国家统计局原局长王保安的判决书:行贿者给他送两个儿子。王局长落马前有企业出资三百多万为他找代孕。
1680741684# #币安的赵长鹏拒绝购买孙宇晨孙割持有的火币股份
1700808066# #中国美女都美竹真厉害，不仅把加拿大人吴亦凡整到监狱里坐十几年牢，而且吴亦凡刑满释放再被遣回加拿大，在加拿大可能面临yange之行。
1682851724# #据称住建部发了7.9亿本不动产证和房产证，不知道数据在哪里可以查到，其中商住宅是多少。
1657663173# #隔夜美股指道琼斯跌0.62%，收于30981.33，。纳斯达克跌0.95%，收于11264.73，标普跌0.92%，收于3818.8。。三大股指皆失守5日均线，所幸在20日均线获得支撑，但短期走势衰弱不能幸免。
1665531677# # 王思聪入局数字藏品，控股公司投资成立元宇宙公司推藏品，单品发行总价值近250万
1661671267# #英国通胀有救？外交大臣考虑下调增值税至15％　若实行通胀有望降低２％
1676387191# #老美CPI大超预期，美股三大指数集体低开，这边厢加密货币却大幅度拉升，不知道要拉爆多少空单。
1657496101# #罗永浩官宣新创业公司ThinRedLine（细红线），官网中配有一句话：ANOPPORTUNITYTOPARTICIPATEDIRECTLYINTHEPLATFORM-LEVELREVOLUTION（直接参与平台级革命的机会）
1680773047# #允悲
1658961945# #7月27日，上证指数报3275.76点，下跌0.05%，成交额3397.68亿。。深证成指报12399.69点，下跌0.07%，成交额5283.44亿。。创业板指报2714.25点，上涨0.03%，成交额1772.35亿。。总体上个股涨多跌少，两市超2800只个股上涨，超百股涨停或涨超10%。两市成交额8681亿，较上个交易日放量
1658961781# #隔夜美股三大指数高开高走，道琼斯涨1.37%，纳斯达克涨4.06%，标普涨2.62%，三大指数均温和放量，收复5日均线。
1661385543# #上海发布城市数字艺术品“申生不息”系列，IPSHANGHAI数字艺术品“申生不息”系列数字化演绎上海五年发展图景，每一幅数字艺术品都包含4-5个城市IP元素，虚实融合展现人民城市践行案例。
1656188139# #早ﾉ☀。清凉如瀑
1689276524# #大饼比秃周、日、4小时三个周期的kDJ都处于金叉，短期做多能量上来了，看涨！
1666296627# #早ﾉ☀十月已过2/3
1666053008# #10月17日，上证指数报3084.94点，上涨0.42%，成交额3492.14亿。。深证成指报11162.26点，上涨0.36%，成交额4580.64亿。。创业板指报2435.02点，上涨0.03%，成交额1604.89亿。。总体上个股涨多跌少，两市近4000只个股上涨。两市成交额8073亿，较上个交易日缩量536亿。盘面上，工业母
1686182950# #国务院办公厅印发《国务院2023年度立法工作计划》，共有17件法案拟提请全国人大常委会审议，其中有关税法案、消费税法草案、会计法修正草案、注册会计师法修订草案、税收征收管理法修订草案等。
1664374365# #美元离岸人民币创下2010年12月以来高点7.2673
1673040017# #比秃币5、20日均线金叉，周K线蹿上5周均线，尝试攻击22000～17000箱体下轨。
1658793268# #特斯拉今年上半年录得1.7亿美元比特币减值损失。由于比特币价格的变动，截至今年6月30日的六个月内，特斯拉录得了1.7亿美元的减值。同期特斯拉部分比特币兑换法币外汇获利6400万美元。截至2022年6月30日，特斯拉持有的剩余数字资产的公允市场价值为2.22亿美元。
1674296974# #除夕至
1676723251# #周期的理解。量：组成整体的大多数的个体相同方向运动。价：空间上呈现总体趋势的方向上运动，这个总体趋势可以是上涨，也可以是下跌，盘整是一种特殊的方向运动。。时：时间循环轮回，时间间隔大致有规律性，间隔期不一定相同，大致相同，幅度变化不大。。空：在趋势性的方向上
1681290977# #四小时kDJ死叉，料将调整一段时间，早间新高30550算，比秃回调5～6％，到29022～28717。大约会在28500～28800附近会企稳。
1661059480# #沈石蒂的光影
1668223334# #2022年11月11日晚，FTX官方发布声明表示，FTX集团（包括FTX交易所、Alameda在内的大约130家公司）已根据美国破产法第11章开始自愿程序申请破产。FTX首席执行官SamBankman-Fried已辞职，JohnJ.Ray已被任命为新CEO。而11月12日最新彭博亿万富翁指数显示，FTX创始人SBF已经没有排名。。后续等待的将是漫
1676669220# #延迟退休的目的是让人延迟领退休金，而不是让你到了退休的年龄还继续工作。也不想一想，就业市场上有时候过了35岁就找不到工作了，何况40岁、50岁、60岁的中老年人。
1696286506# #大饼比秃受阻于20日、200日均线，回落至28000下方调整。。姨太跟随大饼比秃，只在5日均线上方获得支撑。。技术指标上，日kDJ金叉状态，MACD仍处于死叉状态。
1659826964# #早ﾉ☀。今天立秋，风吹一片叶，万物已惊秋。
1700018132# #消费者代际差异
1671776379# #报复性消费：退烧药、感冒药、消毒液、n95口罩……与疫情有关的医疗用品。
1657774573# #摩根大通：比特币生产成本已降至1.3万美元未来价格前景堪忧。摩根大通表示，比特币的生产成本已从6月初的约24000美元降至目前的13000美元左右，这可能对比特币的未来价格造成负面影响。NikolaosPanigirtzoglou等该行策略师在周三的一份报告中写道，生产成本的下降几乎完全是由用电量下降导致的
1689340067# #立天下之正位，行天下之大道。得志与民由之，不得志独行其道。富贵不能淫,贫贱不能移,威武不能屈，此之谓大丈夫。。一《孟子·滕文公》
1685920584# #比秃大饼周kDJ死叉ing，周MACD红柱阶梯型缩短，5周10周均线死叉ing，中期在弱势，但20周均线强支撑，26500颈线还在，上行趋势尚属完整。唯有耐心，耐心，耐心坚守，等待，看明年减半行情开始的波澜壮阔。
1692477248# #大饼比秃29000的徘徊变成了26000的踟蹰，周上行趋势线被击破，颈线尚存给了一点抄底或做多的希望。若颈线保不住，则反弹上行趋势彻底结束。
1668041289# #国内首个“数字人民币+数字贸易”孵化基地落户上海长宁
1670456616# #上证指数5周均线即将金叉20周均线，kDJ金叉状态向上发散，MACD水下金叉红柱增大，单纯从周K线技术指标来看，上证指数中期悄悄走好。。疫情造成的经济大滑坡，管理层大概率发动中期行情，把“低估”的国有股权拉高让市场接盘，以弥补财政收入的不足。。“春江水暖鸭先知”，中期技术指标
1690198337# #CPTPP，全称叫做：全面与进步跨太平洋伙伴关系协定。。CPTPP有2300多项条款，但概括起来有五大硬性条件：。1.稳定和透明的政治体制；。2.开放且自由的经济环境；。3.具备长远的市场潜力值；。4.良好的劳工生活工作权益；。5.其余会员国的一致同意。
1677962142# #每隔一段时间剧烈震荡，折腾一番，是为了维持成交活跃度，以防下架，这样的小币很多。
1700747096# #厨师的江湖：黄金蛋炒饭
1688645019# #A股可治疗抑郁症？允悲
1667946458# #持有比特币的微策略、特斯拉等一大批机构，不少持仓价被腰斩，年终的减值准备或公允价值变动损益，估计是巨额计提。
1683552839# #法国通过针对网红的法律。如果网红在视频中使用了滤镜，他们必须做出标记，否则将会被处以最高37500欧的罚款，此项规定是为了预防欺诈行为。有一部分网红在宣传美容产品时使用滤镜，来营造使用后与使用前差别很大的错觉来迷惑用户。此外，博主们必须在视频或帖子中清楚标明“内容包含广告”，否
1668175814# #江桥老街，酩酊大醉，不如小酌微醺，凌波微步。
1656972160# #小箱体小涟漪。比秃鼻日K线在17000～22000箱体中轨19500附近波动，清风涟漪，莫得波澜，放大周期，仍然在5周均线下方挣扎。
1672096977# #世界上最快而又最慢，最长而又最短，最平凡而又最珍贵，最容易被人忽视，而又最令人后悔的就是时间。——高尔基《童年》
1656718715# #这个人可能是那个叫徐＊＊，和江湖好汉合伙管理私募基金，快六十的人了，瘦削的脑门黑黢黢的，皱纹层层堆积如枯树老皮，颧骨突出，龅牙，下巴尖锐，莫得一点富贵相。。估计作为老韭菜的老徐肯定是输红了眼，不得不靠嘴巴来忽悠收割韭菜，不然真有那个本事闷声发大财不香吗。
1672585364# #巴赫交易论在交易系统是为了让我们能够找到某种稳定盈利的方法，那换句话说和寻找圣杯有什么差别吗？👉（想看更多？下载）
1694210292# #大饼比秃画小门，窜到26000上方，再回落至26000下方，原路返回，总体上仍然是窄幅波动，但对于几十倍上百倍的高杠杆就不同了，无论多空，可以瞬间拉爆。对于交易平台来说，稳赚不赔，因为后台可以看到交易数据，多空合约，无须自己亲自下场下单，只需把数据时不时提供给利益关联的做市商、游资，自然有
