1691455439# #涨知识good
1689228002# #网友投稿：发生剐蹭后小伙躺地上说：私了就10万，公了警察来了随便，大姐说撞死你都不值10万…汗蜀黍说安全
1699590602# #高速车祸轿车变形4人被困，消防还未赶到，路过男子拆门救出车内3人。男子妻子:我老公是开修理厂的。点赞平民英雄good正能量救人瞬间蜀黍说安全
1690071565# #“希望更多人看到，眉户戏真的很好听”，是传承也是热爱。good
1704155436# #你会借车给别人吗？费解
1699534801# #视频车这样做值得吗？费解蜀黍说安全
1698373693# #警方通报打死柯基男子被5人滋扰警方通报打死柯基男子被5人上门滋扰：对5人依法传唤。黑线蜀黍说安全超话
1697427001# #高速弯道随意停车还不放三角牌，这不害人吗？哼哼蜀黍说安全
1700460000# #网友投稿：这么宽的停车位置依然被撞，碰上如此邻居是不是很无语？费解蜀黍说安全
1691420401# #网友投稿：飞来横祸！男子躺在十字路口乘凉，下一秒悲剧了。费解蜀黍说安全
1702459801# #太危险了！网友乘扶梯时遇惊险一幕，扶梯抵达后第二块踏板突然陷落。汗蜀黍说安全
1693467138# #驾照考试科目一考考你：下图路段与来车交汇时谁有优先通行权？费解蜀黍说安全
1697115602# #电动车超车时，和右侧电动车发生碰撞，又撞倒左侧小车。这事故小车会有责任吗？汗蜀黍说安全
1690159543# #退伍不褪色，这是一个退伍老兵的创业故事！很励志good
1698042600# #这司机的停车水平可以呀！good蜀黍说安全
1700838001# #来自货车司机的人车合一，没有一把方向是多余的good蜀黍说安全
1693702735# #文学大师们的告别，都是惊艳到你的诗句，而我的告别只会说再见。允悲
1693278002# #网友投稿：女子高速走错道，竟然直接在匝道掉头逆行，这样无知无畏，建议把她驾照吊销算了！费解蜀黍说安全
1701570238# #这动手能力也太强了good
1695276000# #老人驾驶无牌无证电动三轮车闯红灯撞上轿车，交警认定，电动三轮车负全责。衰蜀黍说安全
1703672761# #欺软怕硬，咋一下子就怂了呢？允悲蜀黍说安全
1691121601# #开车别路怒，视频车的这种开车方式合适吗？费解蜀黍说安全
1700612767# #杭州还是有很多美食的，比如片儿川、葱包烩、东坡肉。馋嘴
1695250800# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1702365656# #允悲
1701851401# #【妻子把儿子包成花束去迎接退伍丈夫一旁的战友满眼羡慕心】12月1日，广西当兵12年的丈夫退伍回家。妻子将儿子包成花束去车站迎接丈夫回家。本以为是一束花，结果礼物是无价之宝。一旁的战友满眼的羡慕。“去时少年郎，归来而立年”。12年军旅生涯从此画上圆满句号。网友表示，“开花结果，这种
1703678401# #视频车为了等车位靠边停了5分钟，小车刚出来另一辆车就开过来了，真没想到这结局有点让人意外。允悲蜀黍说安全
1699752602# #这大爷是个狠人！汗蜀黍说安全
1697023801# #网友投稿：女子在新加坡医院与护士发生不愉快的一幕……网友：在国内无理惯了，在国外可没人惯着你！汗汗汗via：道哥日记老天奶我求你了girlshelpgirls当代人的生存法则
1699956228# #救人一命胜造七级浮屠good
1691892002# #网友投稿：在门头沟清淤！如果不是网友拍到，这事儿也就默默干完了。人民子弟兵，辛苦了good致敬人民子弟兵退伍老兵敬礼送别抗洪官兵
1698042759# #未来的农业需要更多的年轻人good
1693785601# #这盆水泼的好，不仅救了这个家庭，还救了整栋楼…good蜀黍说安全
1699848001# #【大货超车吓翻摩托车没“接触”也要负责汗】大货在超越摩托车过程中，致使骑车人被吓得连人带车翻倒在地。交警部门从监控视频分析，大货司机在超车时没有保持横向安全距离，是造成摩托车紧急避让时失控，摔倒在地的直接原因，而“接触”并不一定是构成交通事故以及责任承担的前提条件。最终，交警
1688342400# #好邻居拯救了一个家庭，这才是正能量！这哥们太英雄了，这看着太惊心动魄了！good蜀黍说安全
1688437040# #【小调查：你有每月存钱的习惯吗？费解】近日，有调查显示，超7成年轻人存款不足10万。你有每月存钱的习惯吗？
1690243200# #【老子英雄儿好汉！辅警发现见义勇为少年是自己儿子good】近日，浙江杭州，一名女子不慎掉落3米深水中，15岁少年路过，紧紧抓住了她，辅警赶到现场后，发现见义勇为的少年竟是自己的儿子。两人一起，将女子救上岸。蜀黍说安全
1690444801# #好尴尬！这是找不到支付入口了？费解蜀黍说安全
1701388352# #小伙好样的good
1692923400# #网友投稿：第一次上高速，差点没被吓死。遇到这种情况你会咋办？费解蜀黍说安全
1698562801# #网友投稿：你说这是杆子的问题还是人的问题？费解蜀黍说安全
1701784055# #这是没碰到狠人，也就看准了别人不会太跟她较劲，换个满脸横肉的煞神试试，早就屁都不敢放了…笑cry笑cry笑cry
1700552507# #耙耳朵还敢这样发言？允悲
1701994673# #主次责任
1689906311# #酒精还是一级致癌物呢，咋不把茅台去翻出来？
1703755800# #这车开得可还行，横穿整个店铺……哆啦A梦害怕蜀黍说安全间歇性冷漠
1693816505# #驾照考试科目一考考你：这个标志是何含义？费解蜀黍说安全
1695985201# #【男子被卷车底血肉模糊119和120齐上阵】近日，江西赣州，男子骑车时不慎被卷入货车车底，膝盖以下血肉模糊，情况紧急。消防、医护赶赴，由于被困男子伤情较为严重，消防员先行架起救援空间，方便医护人员为其输液后，紧急救援，最后将男子救出并转移给现场医护人员。愿平安！🙏蜀黍说安全堵车
1687183201# #骑士精神，结局舒适了衰蜀黍说安全
1691199960# #监控拍下洪水来袭全过程。警方提醒：极端天气下尽量不要出门。费解河北涿州石家庄暴雨
1692489601# #男孩失足掉进湍急水流中，路过大哥奋力一跳，救回一命！这孩子福大命大，遇到了贵人一辈子的恩人good蜀黍说安全
1697679001# #网友：特斯拉充满电不挪车，我给你插上，一分钟收6块是不是？！干得漂亮！666666蜀黍说安全特斯拉
1687316402# #网友投稿：对方要并线视频车坚决不让，遇到这种情况你会让吗？二哈蜀黍说安全
1702986740# #地震已致127人遇难甘肃地震凌晨三点，甘肃临大高速公路上，一辆接一辆救援车辆正驶向灾区。愿平安！🙏
1689836401# #骑车带个娃还硬闯红灯，交警认定其负全责！交警这样的判罚你支持吗？good蜀黍说安全
1700269201# #女子误入大货车盲区险被碾压，路人及时喊停货车将女子救出！女子一定要感谢这位大帅哥good救人瞬间正能量蜀黍说安全
1687185600# #拯救跳楼者，这方法还真不错。good蜀黍说安全超话
1695385801# #不要拿自己的性命作赌注，闯红灯自己承担后果。衰蜀黍说安全
1701945000# #黑色小车司机错过出口想变道，发现危险又往回打方向发生追尾。你认为这事故谁的责任？黑线蜀黍说安全
1692273602# #网友投稿：警察已经盯着跟了这位偷拍男子6站了，旁边女孩子是被偷拍的，黑衣肌肉男太帅了！费解蜀黍说安全
1698413400# #网友投稿：每年往返北京三亚的高速路上，经常看到各种大型货车。服务区女性做饭，然后夜晚女性在车旁边值班防止偷油賊，一辆货车一个家，大货司机真的不容易，但一定要注意安全。good蜀黍说安全
1691626868# #涨知识good
1702623600# #网友：这事故赖谁呢？衰蜀黍说安全
1698838201# #机动车上非机动车道行驶影响到右转的电动车。交警认定：轿车负事故的主要责任，电动车路口车速过快、操作不当负次要责任。汗退款11月你好蜀黍说安全
1701216000# #请你停留一秒钟，为伟大的科学家点赞good。钱七虎，八一勋章获得者、一生为国铸就共和国地下钢铁长城。侠之大者，为国为民！致敬中国工程院士钱七虎，国之脊梁！正能量
1691546752# #让孩子感觉到家的温暖good
1687782602# #网友投稿：走路看手机，隔着屏幕都感觉到疼。衰蜀黍说安全
1699659001# #电动车驶入货车盲区，女子被连续两次碾压，因戴了头盔幸运逃过一劫。汗蜀黍说安全
1698105600# #地铁里遇到老英雄，千万别吝惜你那个赞good致敬中国军人
1698994801# #车主在楼上看到大妈在自己车上偷晒鞋子，直接远程启动汽车吓走大妈。允悲蜀黍说安全长期不社交的结果
1699799401# #大妈骑电动车追尾小车摔倒，家属以弱势群体为由索赔两千元，司机：我都没动你怎么就倒下了。交警认定：电动车负全责，大妈医药费自费，同时赔偿小车的维修费用。衰蜀黍说安全
1695357000# #【汽车溜车路边摊老板飞奔上车刹停】近日，山东。一男子停车后下车走开，车子慢慢溜走，路旁边水果店老板发现异常，立即飞奔上前，上车刹车一气呵成，成功将车辆停了下来。艺高胆大，勇气可嘉！赞赞赞蜀黍说安全
1703655060# #视频车仿佛目睹了一切：。奔驰S级：岂有此理！我开大奔你一小小货车竟然不让我？汗。小货车：我一个破小货车我怕你？允悲蜀黍说安全
1687093672# #码了～
1703932903# #允悲
1691844076# #最后泳池这个对话真的顶允悲允悲允悲goodgoodgood
1698987601# #中年男子下班后就去医院照顾老人，没想到突然心脏骤停。这一幕惊心动魄，点赞白衣天使！good正能量蜀黍说安全长期不社交的结果
1698829201# #电动车竟然和渣土车抢行，这次真够幸运的。衰退款11月你好蜀黍说安全
1699934401# #网友投稿：不让你插队就逼停我，这位特斯拉车主咋这么嚣张呢？怒蜀黍说安全
1690599602# #这么多车主围观：啥牌子车？？费解蜀黍说安全杜苏芮已远离广东
1702774802# #司机驾车不慎撞到石墩子，一开始坐车上有多淡定，后面追得就有多狼狈。允悲蜀黍说安全
1693355400# #网友投稿：广州高架，电动车随意上高架，最后与视频车还撞了……费解如果你年纪轻轻的就不懂得约束自己蜀黍说安全
1696914001# #逆行加塞抄近道，要不是警车开过来，这俩大聪明还不想倒车呢。衰蜀黍说安全
1697806801# #网友投稿：这些二货司机，你们难道没看到幼儿园小朋友过马路吗？汗自己会开车后才知道的真相蜀黍说安全
1703124000# #大家讨论一下，这种情况谁的责任？费解蜀黍说安全
1699230351# #涨姿势good
1689822000# #网友投稿：骑电动车男子往白色轿车上扔水瓶，白车司机加油门冲又刹住。费解真正的情绪稳定不是忍耐蜀黍说安全
1699450500# #不是谁弱谁有理！电动车在路口闯红灯被撞飞，事故造成电动车驾驶人及乘坐人受伤。交警认定，电动车驾驶人未遵守交通信号灯通行，负本次事故的全部责任。衰景甜情绪稳定的人简直就是人间宝藏立冬蜀黍说安全
1695687692# #涨姿势good
1692859883# #驾照考试科目一考考你：下图交通标志是什么含义？费解蜀黍说安全
1700958601# #网友：科目三考了五次了，好不容易到终点了，不能让外界因素影响你。允悲蜀黍说安全
1689930001# #网友投稿：晚上被对面开大奔的堵了，乱用远光下车就走，这人脾气真够大的。费解蜀黍说安全
1700393401# #电动车转弯未让直行小车被撞，交警认定：骑车人负主责，小车司机负次责。衰蜀黍说安全
1695821401# #【清华教授田轩：调休不如适当增加和延长假期】近日，在凤凰湾区财经论坛2023前夕，谈到调休争议时，清华大学五道口金融学院副院长、金融学讲席教授田轩在湾区风云录直播间表示，确实调休可以强化释放部分的购买力，但是调休也还是要合理，不要因为调休给居民工作、生活带来困扰。“所以我想建
1692583202# #网友投稿：真的不理解这种人，就算不心疼别人车，你自己车磕掉漆难道不心疼？费解蜀黍说安全
1699866001# #看着都疼，美女脚被奥迪Q5压到了衰蜀黍说安全本周狗屎运最旺的星座
1688599802# #网友投稿：前车突然变道，视频车径直撞了上去。哆啦A梦害怕蜀黍说安全
1693350000# #今日份生死有命、富贵在天。允悲（网友投稿）如果你年纪轻轻的就不懂得约束自己蜀黍说安全安全出行
1688706001# #网友投稿：不打转向加塞儿，还点了一根烟，你说这不是拱火吗！允悲蜀黍说安全小暑人还是要适当的世俗
1699327694# #这些国货太硬核了，竟然还有航母“福建舰”加油没点自信还真不敢加购
1697850002# #网友投稿：这白色奥迪咋还逆行呢？汗蜀黍说安全
1695341921# #
1699484400# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1694314802# #网友投稿：自己无理还追上来别车，这车主咋这么嚣张呢？！费解蜀黍说安全
1691556564# #网友投稿：今天，四川雅安雨城区鱼鳞坝网红打卡点，十余名游客拍照打卡突遇河道涨水，多人被洪水冲走……费解四川一河流突涨有人员伤亡蜀黍说安全
1693621262# #她们在黑夜守护健康，真的非常辛苦心
1687676401# #网友投稿：男子坐轮椅拦婚车要钱要烟，据说还是个惯犯。摊手蜀黍说安全
1701949528# #确实很烦后面的滴滴滴
1697200200# #出门之前先关门，小伙子心事挺重啊。允悲蜀黍说安全周五
1700818201# #11月22日济南，一辆非营运小型普通客车在青年西路由北向南行驶，追尾碰撞前方同向行驶的一辆正三轮载货摩托车；正三轮载货摩托车被撞至非机动车道内又将一自行车驾驶人撞倒。正三轮摩托车驾驶人送医后抢救无效死亡；自行车驾驶人送医后无生命危险。🙏蜀黍说安全
1692856802# #网友投稿：公交车上，按规定应该从前门上后门下，一女子偏要从后门上车，被司机拒绝，然后从前门上车后就开始对司机发疯……费解蜀黍说安全
1700740802# #女子后背被地铁门夹得嗷嗷大哭，男乘客边录视频边打开紧急装置…地铁停了，女子被送去医院。汗蜀黍说安全
1702461600# #网友投稿：泥头车就这么在高速路口逆行掉头了，这也太随意了吧……费解蜀黍说安全
1691929801# #网友投稿：路上湿滑拐弯还开这么快？骑车上路还得戴好头盔。费解蜀黍说安全
1702695220# #让更多人领略甲骨文的魅力good
1692277201# #地铁上，大妈嫌孕妇挤着自己，多吃多占，一人占两个人座位，趁其下车后侮辱孕妇是猪，不料对方老公没到站还在车上，随即发生争执。费解平安生活守护者蜀黍说安全
1695520801# #发生事故后电瓶车骑车人受伤，轿车司机却直接离开现场，被辅警霸气喊回。网友：虽然是辅警，但一点也不逊色正式交警，有底气、有魄力。good蜀黍说安全
1695987001# #你今天出门遇到堵车了吗？费解堵车高速蜀黍说安全
1701241201# #这是干嘛呢？连车都不要啦？费解蜀黍说安全
1703821264# #允悲
1701328679# #只能说干的漂亮good
1694043001# #网友投稿：代步车和红色小车相撞，你认为这事故谁的责任？吃瓜蜀黍说安全
1695614460# #9月23日，北京地铁上8号线，一男子偷拍被发现，辩称：看上了被偷拍女子的项链想买一条送给女朋友，可是手抖的连女朋友朋友圈都找不到。费解费解费解蜀黍说安全
1697379600# #【浙F367UJ你冲向草丛的样子真帅good】10月10日，嘉兴海宁路边草丛突然起火。天干物燥再加上大风一吹，火势很快在枯草丛中蔓延开来！。。这时，一辆车牌号为浙F367UJ的小型汽车疾驰而来。司机大哥靠边停车后，迅速取出了车上的灭火器，朝起火的草丛跑了过去。。。在司机大哥的奋力扑救下，及时控制住了
1699779601# #【父亲开17.5米长货车接女儿拉1个行李箱公主请上车！允悲】11月10日，山东临沂，一位卡车司机晒出接女儿放学视频，直言：此时此刻，再赚钱的活也不干了，接姑娘是最大的财富。开着17.5米长半挂车在校门外等待，女儿拖着行李箱出来后，整个挂车就装1个行李箱。
1695697202# #小车错过高速服务区随意变道，大货车让速不让道将其撞飞，交警认定：小车承担全部责任，依法对其变更车道影响正常行驶机动车的违法行为予以处罚，大货车无责。赞蜀黍说安全
1703395800# #女子驾车7次急刹逼停后方车辆，只因后车司机“不屑的眼神”。警方；寻衅滋事、行政拘留六日！汗蜀黍说安全你一共经历了7434次精神内耗平安夜
1692331202# #网友投稿：这蔚来车主咋这么牛呢？穿拖鞋开车，还随意打人，蹲个后续。费解蜀黍说安全
1699283100# #老太太飞机上霸占安全出口，乘务员多次劝说无果，最终被警察强行带走。good西安震撼夜景飞机俯瞰图
1703383200# #言传身教，孩子啊，你有个有好爸爸good正能量蜀黍说安全
1702598400# #请您停留1秒钟，致敬武警特战排长王成龙烈士。🙏🙏🙏。。在执行任务中，面对突然失控卡车碾压过来的瞬间，他奋力推开了两名战友。从此，他的生命定格在了23岁。向舍己为人的英雄致敬！人民英雄永在心间
1697626802# #【92岁老人不慎摔倒热心路人纷纷伸出援手】10月12日，四川攀枝花，一位92岁的老人过马路时不慎摔倒，一名骑电动车路过的女子见状立即停车，毫不犹豫上前将老人扶起，另一路过女子也帮忙一起将老人搀扶至路边坐下。为热心的他们点赞！good正能量蜀黍说安全
1692799201# #平台拼车下单两人，却有三人要上车。网约车司机拒绝乘客上车，反被乘客威胁：“让你上热搜，以后活都拉不了！”费解蜀黍说安全
1700283601# #发生在印度的地陷，一辆小轿车在几秒之内被大地吞噬了，太可怕了衰蜀黍说安全
1688992830# #网曝未满1岁婴儿坐船被要求买票【小调查：你觉得婴儿坐船被要求买票合理吗？费解】7月9日有网友发视频称，在浙江嘉兴一景区内，工作人员要求未满一岁的孩子游船买票。10日，景区工作人员回应称，1.5米及以下的游客都是要付门票30元的，哪怕是手抱着的婴儿也需要买票，门票是包括保险费的，有相
1694691001# #三轮车侧翻老人被压车底，路过女孩大声呼喊爸妈救人：“我听到声音了，妈妈快打120！”，女孩全家折返救人，其他路过司机也纷纷加入救援，120赶到后把老人送医救治。谢谢关键时刻你们的挺身而出！赞赞赞蜀黍说安全）
1691022885# #搭建线上线下戏曲舞台，弘扬中国传统地方戏曲，为老戏曲人的坚持点赞good
1691672401# #网友投稿：摩托车路口减速时被后车直接撞飞。衰蜀黍说安全
1701786600# #零下27度，边防战士煮泡面庆生！他们笑着互送祝福，却看哭了我们！“生日快乐，最可爱的人！”致敬边防战士！作揖致敬中国军人
1700465256# #无知者无畏汗
1690776002# #无知者无畏，茂名母子自驾穿越新疆罗布泊无人区差点被困。一起来投票衰蜀黍说安全
1694779441# #先让我中了2000万再说吧doge
1688637787# #网友投稿：我父母在没有红绿灯的斑马线上骑电车被超速行驶的出租车撞伤，交警判了同等责任，这个合理吗？费解蜀黍说安全
1689514202# #网友投稿：两车发生刮蹭，不说解决问题，上来就动手。。。费解蜀黍说安全
1698919200# #楼下这两个男人，是用生命来救这个孩子，太感动了，好人一生平安good正能量蜀黍说安全
1687222978# #轿车危险超车引发骑士路怒……这事儿你更支持谁？汗汗汗蜀黍说安全超话
1692604802# #学生撞伤老人吓哭，却被老人家属安慰：这事不用害怕，不会讹你！这才是现代人应有的品德赞蜀黍说安全周一
1687824000# #面包车浙C5D0Y2车主，你的这个举动被监控拍下了，为你点赞！good蜀黍说安全
1691848801# #俩游客不听劝阻强行横穿赛马场，下一秒悲剧了。这事儿赖谁呢？费解蜀黍说安全
1699182000# #宁波俩外卖小哥逆向闯红灯双双被撞，交警认定其负全责！good蜀黍说安全
1703206004# #老司机应该让速不让道衰
1703471586# #汗
1700319601# #网友投稿：11月13日，上海徐汇区某公交车，在临近终点站时，黑衣男子上车，在公交车最后一排座位偷偷拉屎！公交司机气的直骂：册那……费解蜀黍说安全
1689953598# #高铁车厢里两个小孩全程吵闹，爬上座椅靠背坐在上面玩了大概1小时，孩子妈妈不仅没劝阻还在旁边拍照录视频。费解蜀黍说安全
1702990802# #网友投稿：广州地铁五号线，因女子没抢到座位，就对男子拳打脚踢，旁边大哥看不下去劝阻遭反呛…汗蜀黍说安全
1695343932# #行人定个次责可以吧允悲
1693353601# #老人家的教养！男子在斑马线前让行，面相很凶的老爷爷突然转身，一个动作让男子感动good蜀黍说安全
1689318001# #网友投稿：这影豹开的可还行……哆啦A梦害怕蜀黍说安全
1695565800# #【帅麻上海滩的救人小哥领带是工装山东小伙好样的！赞】9月20日，上海苏州河乍浦路桥附近有人落水，事发突然，只见一名身穿白衬衫系黑领带的小哥飞身一跃，跳水救人，整个过程仅用时1分钟左右。跳水瞬间，小哥领带飘起的样子帅麻全网，“领带小哥”今年24岁，山东临沂人在上海当保安，救人时所穿的
1688086801# #女子人肉占车位不让别人停车，报警后仍撒泼耍横，民警果断辣椒水伺候……二哈蜀黍说安全人性最大的恶
1689912000# #网友投稿：垃圾车停在路边，对面一串逆向超车，视频车连续让了好几辆，轮到大众的时候没让，对方司机不乐意了。这事儿你觉得谁占理？费解蜀黍说安全
1697275801# #网友投稿：这技术，这TM都能撞…允悲蜀黍说安全
1688889875# #【小调查：夫妻情侣请求让座你会让吗？费解】近日，列车上一女子买无座票坐在老公身边的位置，买到这个位置的女乘客上车后让该女子起来让座，该女子不愿起来，拒绝让座。乘务员到场调解并查验了双方车票，确定这个位置系女乘客所购。随后该女子语出惊人，不满指责女乘客破坏她的家庭。
1702731601# #网友投稿：为什么路过的人都这么冷漠。。。费解蜀黍说安全
1700806150# #网友投稿：男子在别人店门口违停，女店主出来说他两句，被一把推倒...…黑线黑线黑线蜀黍说安全超话
1688655601# #网友投稿：凌晨4点多，收费站的小姐姐睡着了。这种情况大家可以理解吗？费解蜀黍说安全
1692421202# #来自特斯拉modelY车主的叙述，称：电车是夕阳产业，谁能证明电价比油价便宜。你认同他的观点嘛？费解蜀黍说安全新能源汽车
1687762986# #【小调查：你觉得应该给涉毒艺人改过自新机会吗？费解】今天是第35个国际禁毒日，前不久，“酒吧擅自邀请涉毒艺人孙兴被罚5万元”引发网友对涉毒艺人复出的讨论。绝大多数网友表示反对涉毒艺人复出。专家称：禁止涉毒艺人变相复出是底线红线，涉毒艺人回归舞台或变相复出会对青少年产生严重不
1701936001# #12月2日，苏州一隧道内有车辆起火冒烟，不时爆燃！一家人驾车记录逃生全过程。你认为这种情况正确的选择是什么？黑线蜀黍说安全
1690239600# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1693378801# #网友投稿：太嚣张了！因为没有给前车加塞被对方找事，黑衣男子叫嚣让下车，眼见车主不下车就把人家后视镜砸了……费解蜀黍说安全
1694079904# #驾照考试科目一考考你：如图所示，驾驶机动车驶离高速公路时，在这个位置怎样行驶？费解蜀黍说安全
1700267483# #女子错过出口强行变道，大货车让速不让道将其撞飞。交警：你全责！女子：什么都是我责任，大货车撞了我也没有责任吗？费解蜀黍说安全
1699929002# #网友投稿：11月11日，天津。父子俩商场内玩遥控车，故意往人脚底下开。拍摄者：绊到人后哈哈大笑……汗蜀黍说安全
1701180001# #轿车错过出口突然变道，将摩托车撞飞数十米，驾驶人重摔在地滑行.....交警认定：轿车司机负全责！衰蜀黍说安全
1700444040# #遇到交警拦车检查，竟然疯狂闯卡逃逸，这黄毛小子可真刑啊汗蜀黍说安全
1691715685# #是我非常喜欢的一位导游good
1695628801# #外卖骑手自杀式穿插，大货司机有责任吗？衰蜀黍说安全
1700445602# #听到驾驶员的求救，交警立刻转身为他们开道！关键时刻，你可以永远相信人民警察good救人瞬间正能量蜀黍说安全
1695274201# #物流公司“抖机灵"调包车厢逃通行费，本以为神不知鬼不觉，嚣张逃费八万多，殊不知全程信息都被记录在案。。。这事儿你怎么看？汗汗汗蜀黍说安全
1700913601# #网友投稿：黑色小车强行变道，视频就是不让，结果。。。衰蜀黍说安全
1702474201# #12月11日，河南焦作。男子帮妻子推车回家，雪天路滑连摔4次。下次看你还敢不敢和老婆吵架了？允悲蜀黍说安全
1694854802# #行人抄近道碰上超速货车，又被三轮车碾压致死。交警认定：货车主责，三轮车和行人负次责。衰蜀黍说安全
1697031600# #新加坡医院事件后续（第4段），当事女子发文：谢谢大家关心……二哈（接这条：
1694220362# #高三女生的救命恩人good
1699790402# #女子骑车看手机，横穿马路被小车撞飞。衰蜀黍说安全
1688812828# #驾照考试科目一考考你：下图哪个交通标志表示潮汐车道？费解蜀黍说安全
1689237902# #【小调查：你支持严惩高空抛物行为吗？汗】女子被砸死亡当晚嫌疑人共抛物3次近日，有网友发帖称，自己妹妹在长春市红旗街万达广场夜市被高空抛下来的砖头砸中不幸离世，事发当晚犯罪嫌疑人共高空抛物三次。
1697277601# #请您停留1秒钟，向解放军英雄致敬！🙏🙏🙏。。解放军某机步营战士肖思远，2020年6月在对外斗争中毫不畏惧、英勇战斗，直至壮烈牺牲。伤心。哪有什么岁月静好，只不过有人替你负重前行。让我们一起记住他的名字：肖思远
1697718960# #任何小车在大车面前都不堪一击，车上的人还好吗？晕蜀黍说安全
1701910263# #涨姿势good
1688108401# #业主出门忘拔钥匙，陌生女子开门闯入被狗咬伤……哆啦A梦害怕蜀黍说安全
1687260660# #行人把马路当自家客厅了费解蜀黍说安全
1699754401# #司机失去意识了，脚卡在油门上，感谢这些无名的好心人good救人瞬间正能量蜀黍说安全
1701486003# #网友投稿：太离谱了！这老人怎么能带着孩子这样横穿马路呢？哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕文明交通你我同行蜀黍说安全
1702337402# #网友投稿：黑色奔驰不打转向强行加塞儿，视频车也是个暴脾气，被顶老哥很不服气的样子。也有网友认为，其实这种情况下，视频车让一下又何妨？费解蜀黍说安全
1697364748# #码了慢慢看good
1693490400# #这语音导航可还行？哆啦A梦害怕蜀黍说安全
1696300201# #嫌前方电动车慢，汽车超车发生事故……交警认定汽车负全责！衰蜀黍说安全
1698989401# #开豪车就这么嚣张？加塞还要挑衅！允悲蜀黍说安全长期不社交的结果
1701432001# #网友投稿：视频车主为了整治远光狗，这种方法容易被打呀！允悲蜀黍说安全女子提醒夫妻关远光灯被打致流产
1698066001# #网友投稿：白色宝马开车太任性，看到结果网友直呼解气。费解蜀黍说安全
1700101371# #残障儿童更需要关爱good
1689742801# #网友：有驾照的我就喜欢看别人挂科的视频doge驾照考试科目一跟我学科目一蜀黍说安全
1704173400# #精神小伙咋想的？这不这不赤裸裸的挑衅吗？费解蜀黍说安全
1696831202# #车辆发生故障，司机下车摆放三角牌，往回走的路上被后车撞飞当场身亡。衰原来不上班烦恼也挺多八天假期很短七天连班很长蜀黍说安全
1688824801# #网友投稿：特斯拉倒车撞上视频车，女子下车后反咬一口说视频车追尾，这要是没有记录仪怎么办？汗蜀黍说安全
1694089456# #驾照考试科目一考考你：在下图所示的交通事故中，有关事故责任认定，正确的说法是什么？费解蜀黍说安全
1694522652# #知错能改就是好样的允悲
1696244401# #疑似情侣吵架，女子站在马路中间拦车：到底哄不哄我？摊手蜀黍说安全
1690459201# #7月26日（采访）江西萍乡，女子驾车掉入水库致祖孙3人溺亡，家属：妹妹开车技术很好，不知道怎么掉下去的。费解蜀黍说安全
1689505202# #网友投稿：山路弯道超车发生车祸，坦克300受损严重。赖谁呢？衰蜀黍说安全
1696509000# #深圳，工人师傅因衣服脏，地铁里有很多空位不坐。问他为什么有位置不坐，他说自己脏，不想影响他人，给他点赞，他来了个一字马。。网友：最美建筑工师傅，最淳朴的笑容！good正能量
1700281801# #熊孩子来回奔跑横穿马路，最终被小车撞飞。交警认定：孩子承担主责，司机次责。汗蜀黍说安全
1699070400# #网友投稿：女子不熟悉潮汐变化，许多人喊她都无动于衷，最后被涨潮的海水困在礁石上，幸遇三位小伙涉险救其上岸！费解蜀黍说安全长期不社交的结果
1701440592# #good
1692525601# #网友投稿：撞了人扭头就跑，本来没有多大的责任，但肇事逃逸性质可就变了。费解蜀黍说安全
1697846401# #这张对比照让人心疼！。哪有什么岁月静好，只不过是有人默默地替我们负重前行，致敬英雄good。正能量中国正能量
1699018201# #大雾天看不见红绿灯，老哥只能下车去看。费解蜀黍说安全
1697878800# #为什么把车牌给装反了？费解蜀黍说安全
1696986001# #你觉得荡秋千的有责任吗？费解蜀黍说安全
1701520200# #行人边打电话边闯红灯，外卖骑手速度过快将人撞倒。经认定，骑车人承担主要责任，行人承担次要责任，你觉得这个判罚合理吗？黑线蜀黍说安全
1692887401# #网友投稿：三台红旗婚车压道，堵了近百辆车，鸣笛声一片。。。费解蜀黍说安全
1696671000# #民警：我去前面看看为啥堵（缓行）了。到达缓行队伍前端，发现白车60迈压着速度。跪了中秋国庆假期国内8.26亿人次出游没啥了不起只是更较真堵车
1693443601# #网友投稿：你觉得皮卡司机的做法合适吗？费解蜀黍说安全
1687582800# #网友投稿：可真刑啊！斗气路怒不可取！汗蜀黍说安全在一起五年分手了是什么体验
1703921839# #允悲
1688882402# #网友投稿：红车怕太阳晒不往前走，后面白车加速超车被撞…你觉得这事故谁的责任？费解蜀黍说安全
1692187201# #女子长期坐车不给钱，并在社交平台上发视频辱骂司机“要不到钱只能怪自己笨”。这种人就没办法治了吗？费解蜀黍说安全坐车不给钱
1687932000# #网友投稿：南昌某小区内，未栓绳的阿拉斯加犬咬到女孩脖子，差一点咬到动脉。社区工作人员回应：主人太自信，认为它很乖不咬人……汗蜀黍说安全
1687348925# #下次还会这么幸运吗？吃瓜蜀黍说安全
