1697003519# #在建工地吊车倾倒，现场一路人被压身亡！衰
1691306032# #女生染紫色头发后回家，与妈妈的谈话直戳人心：我头发的颜色和我是什么样的人有关系吗？
1687259676# #网友投稿:按了好几声喇叭你非装聋，对不住了朋友！
1699102705# #在路中间随意停车，小伙子提醒惹怒大姨！
1690951882# #两男子在温泉中心大打出手，红衣男子甚至拿起刀具误伤劝架者。
1692622475# #美国公路上校车才是大爷……
1692371841# #高速路上小车去别卡车，路怒的时候真不怕死嘛…
1703897140# #父亲生病后闹腾不睡觉，患鼻咽癌的儿子每天凌晨起夜陪护，情绪崩溃自扇耳光。。汗
1696214357# #好奇塔是怎么上去的。。晕
1686989336# #遵义茅台机场因大雾天气航班取消，乘客大闹航展台，机场工作人员被骂哭……怒
1700958833# #这在gay圈也是相当炸裂了吧！
1699413614# #120+的时速！真的不怪女司机看不到你……衰
1696160519# #还能把手上的冲一下提提味…讲究！
1692167886# #地铁上碰到这样的家长，老外都看呆了…
1702087854# #狗身上贴上号码，建议福利彩票这样开奖！doge
1699335732# #老了老了！现在看美女眼神都不太好了～苦涩
1698975022# #学校小买部，年租金110万竞拍，最后拍的320万！这一年能赚回来吗？？衰
1690937922# #北京49岁大姐月薪1万很自卑，谈再婚条件，要求年薪30万最少2居室。
1698456564# #因7块钱的车费能吵半个小时，男朋友在旁边也挺无语的……
1696413222# #网友：因抢拍照打卡点打架的布达拉宫，你确定不来看看吗？
1692500335# #年租金350万的北京二环四合院！寻思和民宿差不多嘛…坏笑
1703637352# #这个杀手不太行！！
1695434021# #看到车了还冲！怎么想的呢？晕
1698544857# #每次动作都一样，老头有点东西！doge
1696510113# #田径选手更应该拿成绩去堵喷子的嘴，而不是开直播和黑粉互喷！吃瓜
1695789745# #嫌楼下摆摊吃饭太吵，直接高空抛物！楼下饭店怎么做到在居民区摆摊位的？
1693103276# #他们的快乐是如此的简单……春游家族春游家族春游家族
1690614105# #山东临沂，小姨子与姐夫搞在了一起，姐姐到百脑汇找妹妹算帐，此事在当地闹的沸沸扬扬…
1690427952# #网友：湖南岳阳，候车室全部换成收费按摩椅，多数旅客没有地方休息……。官方辟谣岳阳东站候车室全是按摩椅：。经调查，岳阳东站二楼候车室有普通座椅1130张，按摩椅176张（占比13.5%），属于正常差异化服务经营范围。下一步，车站将进一步优化座椅布局，持续提升候车服务。。
1698971364# #放低姿态，拥抱世俗，你会发现生活会更好。
1696312613# #俺们村里都吃不完喂猪！果然物以稀为贵～
1692418831# #爸妈给买房的钱，买股票被套牢！女子发视频哭诉～
1695617233# #老旧小区加装电梯，某单元有4户不同意加装电梯，在为经得全体住户的同意下，施工队要强行施工加装电梯。同意的业主将阻拦的业主强行拖走……。大家认为需要业主全部同意，还是超过50%同意才能加装电梯呢呢？？
1695176424# #韩国街头，这群人在干什么呢？
1694216384# #婚礼表演要慎重，这不砸场子嘛～费解费解
1691755857# #网友：河南焦作，客人消费274元，店家抹零4元，客人说拿4元侮辱她们，强行付费260元要走，店家报警...大家怎么看呢？？
1694672551# #大学女生宿舍4个人，三个人都在开直播～允悲
1693495852# #8月27日，广西来宾，孩子在自家牛棚玩耍时被牛顶撞，最终抢救无效不幸去世…衰
1693372943# #两男子酒后调戏女孩，隔壁桌夫妻劝阻反被殴打，报警后，两男子被带走调查。。看不下去的是，被调戏的两名女子竟然先躲到了一边……晕
1696219718# #长假高速出行，蔚来车主鸣不平！
1697384043# #被以色列轰炸后幸存的巴勒斯坦儿童。。
1702114604# #叉车作业不设置隔离区，与行驶的三轮车发生碰撞！三轮车挡风玻璃和顶棚当场粉碎，驾驶员头部撞在叉车叉子上…衰
1698820456# #碰到这种不牵绳子的泰迪！还不一脚踢开？？
1688014423# #怎么感觉对面逻辑清晰，这个戴眼镜的一直在转移话题，偷换概念……
1695606175# #9月23日，自贡警方通报牵狗进电梯引纠纷：调解失败，双方均被拘；23岁牵狗女子上身裸露不实，涉寻衅滋事行为合并拘留14天！
1702089593# #出租车司机随意停车，横停在马路中央接客，结果乘客刚要上车就被撞飞！衰
1701300107# #母子相依过一辈子吧！千万别找女朋友～
1691748373# #带着女朋友去迪士尼，被老婆逮到了？？？
1703306085# #女子在马路逆行，以为对方会让淡定往前走。。费解
1696904300# #离婚了想干嘛就干嘛，非要偷？
1694071953# #先看看孩子有没有受伤！还有心思去打人～
1699321512# #第一眼还以为痞幼换男朋友了…
1690595419# #只因怀孕女子未给大妈让座位，遭大妈长时间诅咒辱骂……晕。怀孕女子未让座遭大妈辱骂
1696388768# #喜事拦路！这种人结婚怕是要被骂一辈子…摊手
1699000771# #双方的行为都很危险！
1695270394# #男孩子在外面要保护好自己！
1690892302# #美国不著名歌手组合“TheIslandboys”在社交平台宣布他们是同性恋！值得注意的他们是一对双胞胎……
1695622607# #违停的小车也是缺德……汗
1688637898# #天津某公共卫生间内，男子拿着矿泉水瓶偷洗手液！。网友：这种人挑粪车路过门口都得舀两勺尝尝咸淡。
1689309556# #7月13日，广西崇左。男子当街暴打一女子，多次摔打脚踹，女子一直求助呼喊路人：帮我报警。最终男子被带走调查！。男子当街多次摔打脚踹女子
1696383958# #新形势下的就业方向！大学生还是很会抓住风口的…春游家族春游家族
1700816784# #网友：上海地铁上大哥吃鱼，鱼骨吐了一地！
1700832069# #可以重复使用的厕纸！发明者制造者什么脑回路？
1694566252# #网友投稿：一百多万粉的主播，直播间就20人观看！还在诱骗未成年给他礼物…
1689472275# #出门不注意观察肯定自己全责，还表现出很无辜的样子！据说小车司机还是一位街球网红。
1688525958# #这大哥嘴真硬，给打人的整不会了…费解费解
1696772303# #都混到一起挤地铁了，何必互相为难呢！
1697626809# #宝马小车突然变道发生碰撞，侧翻起火！据说司机没有出来……汗
1698985438# #因为人肉占抢车位发生纠纷，路怒撞车被刑拘！这也太冲动了～
1701490149# #人情话的执法！还好车主跑得快……允悲
1703379157# #为了让孩子喝药，家长是煞费苦心！允悲
1701097185# #美女回家遭男子尾随！真的可怕，总有些心理不正常的人！
1694771074# #网友：高铁上男的脱鞋子抠脚，旁边女生提醒后，男的不乐意了…
1692326401# #8月16日，网约车司机情绪失控，疯狂砸自己的车，几度要用棉被纵火烧车，被群众拦下并报警。。据目击者称，该司机疑被平台扣了1000块钱和若干服务分，多次交涉无果，情绪崩溃！目前滴滴平台已做出回应。。滴滴回应司机情绪崩溃当街砸车网约车司机疑被平台约束崩溃砸车
1688864845# #能骗那么多人也是可以的…
1692504977# #这不就是猪刚鬣嘛，还哇哇哇……晕。发现做医美的人，真的好骗～
1696843658# #这些就是为了让国家禁止摩托车上高速的先驱者！
1703213917# #网友：水果店内男子抽烟被制止，恼羞成怒对着切水果的售货员进行辱骂……。这地道的口音，真把自己当上帝了！怒怒
1702080357# #以后老公看着孩子得面相，陷入了深深地沉思！
1695292136# #会跳舞又自信的女生真的很耀眼！
1691367613# #虽然顾客有点手欠，但什么剪刀需要一万三。费解
1700482686# #这么狂野的吗？？
1694481714# #无知的家长有多可怕。。衰
1694606916# #这是全民持枪的坏处，也是全民持枪的好处！
1699838430# #现在的探店网红不好伺候吧……
1702461019# #网友：辽宁大连，女子打不开门找人开锁，讲好价格120块，师傅两分钟就把锁给打开了，女子嫌开太快没砸门变卦，只愿意给50块…费解
1691457552# #车越停越多，随意碾压私人草场，路边满地的垃圾，气的牧民大声驱赶……裂开
1691766027# #这就是有钱人下班后的精致生活嘛～
1689583284# #网友：7月16日，长春地铁，一外籍人士独占两座，遇到老人也不让座…
1700743829# #眼镜，肥胖，体虚！和我上中学的时候简直没法比…
1694399739# #直接开往逆向车道撞向劳斯莱斯，这起事故需要赔偿不少钱吧！
1698914023# #现在的和尚只是个职业，听说门槛还不低……doge
1703208876# #高铁熊孩子又惹纠纷！！孩子调皮可以理解，家长无动于衷确实令人讨厌……晕。熊孩子高铁踢闹家长无动于衷
1702690126# #毕业典礼上的显眼包，关键科目三跳的也不丝滑呀！
1688870415# #女网红深夜直播打PK，惹女邻居谩骂扔东西！全程被女网红拍下曝光……
1702862413# #零下3度的气温，穿背心短裤在高架桥上并排骑行！这几名女骑士真不嫌冷呀…衰
1696300148# #以后老了屁股夹不住屎，真的会被护工打的！
1689162297# #两位美女吃份黄焖鸡都需要逃单，临走还把老板手机充电器拿走了。
1688863560# #这女的是个爱情高手。。衰
1693118536# #穿着拖鞋开车还不系安全带，打完人直接走了！这么嚣张嘛。。
1702284308# #指挥老婆倒车失败，求老公心理阴影面积！费解
1693105154# #餐厅用自来水兑固体饮料给食客喝。26日，浙江温州，乐清田野中餐厅，顾客发现店家竟然用自来水兑固体饮料给食客喝，气愤曝光！。拍摄者称：有关部门已经介入调查，预计会被查封整顿。。
1700012278# #国外的动物保护人士街头抗议！你特么喊中文干啥？？费解
1696394896# #杨总现在看到这条视频会不会臊的慌……费解
1687330062# #这就是大家都喜欢的微胖吧。
1693881101# #公交车也成了网红拍段子的道具！！
1701943575# #保安都比粉丝多，搞这个阵势有必要吗？
1687174086# #6.18。。香港两年女子激战，有想过孩子感受吗？
1699450372# #11月5日，河北保定一对情侣米线店吃饭，听说隔壁桌送烧饼没送她很生气，直接给了差评！。原因是她们团购错了套餐，最后老板退钱，情侣删了差评走人。。。晕
1691122276# #网友爆料：老太太火车上想一人占三座！男子坐在自己的座位上，老太太非要强行要求对面两位男士换到其他座位去坐，还投诉给列车长……
1699250347# #哪位美女是你喜欢的类型？？
1697613543# #共享单车考验国民素质！！doge
1697079798# #北京政法职业学院，欢迎学弟学妹们入学～跪了跪了。北京政法职业学院霸凌女生疑亮相宣传片
1696927063# #沈阳，出租车上嗑瓜子，司机好言相劝不听，出口成章，这素质。。费解
1702710522# #碰到恶心人的前车，这种故意撞车做法大家怎么看？？
1692457492# #一岁多的孩子高铁哭闹遭女子要求闭嘴。女子嫌一岁多的孩子在高铁上哭闹，对孩子家长大吼：你是他爹，让他闭嘴！。一岁左右的孩子不等同于熊孩子，应该多些包容，大家觉得呢？？
1694682446# #这个征婚条件，是被前任打害怕了嘛。。费解
1699352968# #农田规模化承包任重道远！
1699413828# #卧槽，这年轻人！
1686972260# #开灯闪前面大奔驰，本以为要挨揍，没想到下来就送两个水果……这是啥意思？晕
1703121029# #2024年环球小姐中国赛区海选！这水平可还行……
1691559730# #沉浸式体验制作月饼流水线，网友：请问这些岗位在哪应聘的！
1698910243# #丢下女子开车就跑了，这种男人靠不住的呀～
1700881102# #翻墙等于把自己送到敌人的围猎场！doge
1689481533# #极品邻居！出了电梯邻居摆放三台车子，挡住车楼道里的鞋柜！为此双方发生争吵……
1696648648# #10月5日，广东惠州，男子小区遛狗不牵绳，狗去咬女子牵绳的狗被反咬。男子反骂女子没管住自己的狗……费解费解
1691375285# #正常来说让速不让道，视频车这种行为大家怎么看？
1702106122# #国外极端环保组织到高速上拦车，被宝马小哥直接碾压而过！
1693538429# #追尾全责，怪不得下来气势汹汹的～
1702631753# #破坏环卫工人劳动成果！这娘们不像个好人呀……
1697012160# #婚礼现场，这会就开始较真了，以后婆媳关系有点不好相处呀……
1687406375# #第一个发型女孩子们可以试试，忒显脸小！
1693699604# #不牵绳子遛狗，就该预想到这种情况！事后人工呼吸心肺复苏太晚了吧！doge
1688720409# #修电脑之前谈好的价格500块，修好后男子反悔砍价给400，女的更厉害只愿意给300！一点契约精神都没有吗？？？。隔着屏幕快被这胖女人气死了。。。怒怒
1691336158# #嚣张女子酒驾被抓，不仅态度恶劣抗拒执法，还口出狂言威胁交警！
1690084192# #海边游玩一定要有安全意识，存在敬畏之心！衰
1687740479# #6月24日凌晨4点左右，江西赣州，一轿车失控撞向夜宵摊，几位正在用餐食客被撞翻……
1688563043# #一男子在车厢后排位置抽烟，女子要求把烟灭掉反遭其威胁：你过来到这说话。。。全程车厢内无其他人员制止！
1698816390# #演技有待提高！还有记得给销售塞红包……
1689818606# #小区火灾孩子，众人齐心争分夺秒就下小朋友……
1699921124# #不看后半段，你都不知道怎么她上去的！费解费解
1698656152# #据英媒报道诺丁汉黑豹冰球队球员亚当约翰逊在比赛中被冰刀割喉，不幸伤重去世，年仅29岁！
1690163550# #成都天府国际机场，这男的被PUA了嘛…
1702029649# #几位大爷大妈干啥呢？？？
1692671925# #网友：帽子哥到店里偷香烟被抓，被老板扇了一耳光教训，然后放他走了，告诉帽子哥别再偷东西了！。。第二天帽子哥心里不服跑来找找老板切磋，结果再次被揍。。费解
1702797944# #某技师学校，保安可以肆无忌惮查看每个学生的书包，学校保安还有这种权利呢？？？晕
1702209516# #这位美女不会认为夹子音很可爱吧！！doge
1689750469# #殴打出租车司机，一个踹下面，一个踩头！夫妻二人可真有默契…
1703560236# #宝马承担本次事故的次责！
1691039619# #有人管这个叫作：路障……晕
1694648793# #看大哥这生无可恋的眼神。。允悲
1702000938# #她为什么要录视频呢？？
1700464266# #这个男人一定很爱他的老婆！
1697082943# #网络化作战---直播打PK！
1691241033# #8月4日，湖北武汉，女子出门遛狗不牵绳被工作人员抓捕，苦苦哀求：它从来没有离开过我，晚上会睡不好的…
1703553148# #上海，遛狗不牵绳子！大狗冲出来撕咬小狗……
1694488303# #两人忍耐程度是真的强，这都能忍住没动手……允悲
1696164712# #都是华语乐坛门下子弟吗？？晕
1695520824# #骗子下乡搞活动，面对淳朴的农村大爷大妈们.....。第一天给他们发免费的挂面，然后洗脑！。第二天给发个塑料脸盆，接着洗脑！。第三天就要割你们的韭菜了。。善良淳朴的乡亲们，千万不要贪占小便宜，天下没有白吃的午餐。。
1703398650# #2021年真实录像，邓海燕枪杀华裔富二代，在美国被捕全过程！
1693978082# #这样碰瓷显得很不专业啊！
1689750776# #无烟烤玉米可还行……
1699929663# #路口直行一定要警惕转弯的大货车！衰
1693307273# #这么大的南瓜，赛裤裆里面就给偷走了！厉害呀～。女子将菜市场的南瓜塞入裤裆偷走
1691717696# #他以后肯定不会在酒吧接吻了！🤮
1697009591# #什么事情讲究适可而止！这种人真讨厌。。费解
1699009803# #拦婚车两条烟！没有两条不给走……。一个村里的搞别人难堪，以后怎么相处呢？？晕
1703996244# #看这一家人吃饭，老饿了！！二哈
1690811535# #7月30日，广东中山，轿车涉水路段不减速，货拉拉车主为路人鸣不平，追上要求其擦车...…
1698494602# #推荐他家，品质好，质量保证，支持huo到fu款
1702614601# #屁股直接磨开花，看起来就很疼！
1691546450# #平均一天10个钟，挣得也是辛苦钱～
1697791465# #大妈这手速堪比咏春叶问！
1687753339# #不好好教育就不要生，这算是什么家长！！衰
1687601293# #最后一批只知道埋头苦干的人正在老去…
1693037098# #侄媳妇和跟姑父家里偷情被抓，这是咋勾搭上的呢？费解。侄媳妇和姑父偷情被抓
1698638153# #万圣节cos李佳琦！
1695906933# #对呀！既然这样了到底谁是小三呢？？晕晕
1696900801# #长达13分钟！感觉小三还没原配漂亮呢～
1688086676# #被带绿帽子的当事人回应！！原来长得帅也会被绿……。。事件：我和视频中女主是2022年9月21号拿的结婚证，2023年6月27号中午11点左右，通过iPhone查找发现她在雷峰塔，我本以为她和她父母在游玩，我过去一看并不是，一顶绿帽子直接扣头上了……。男子通过手机定位发现老婆出轨
1691416923# #烧烤摊前一言不合就开打，黄毛以后肯定不留长发了……
1701735762# #想不通为什么有人喜欢吃槟榔！
1702037760# #男子随意停车堵住女子上班，来的时候道了歉，准备把车开走。女子对他堵车的行为极其不满，一顿数落，男子一生气车也不挪了，转身就走！最终导致女子上班迟到…费解
1703550754# #突如其来的加速！这司机以后别开车了……衰
1690432933# #婚礼上的社牛朋友……
1701472240# #把别人的狗咬死了就这么一扔走了？动物凶猛
1688961133# #这样的水上项目对胖胖的游客不太友好嘛。允悲
1697353579# #低俗婚闹，新郎还未登场，腿先摔折了…费解
1702369987# #也不知道在和谁聊天，让大姐这么开心！二哈
1698745452# #墓志铭：汽车全责！
1690532355# #妈妈辅导孩子作业逐渐崩溃，打完孩子，拍自己！
1691027924# #公园暴走团，气势汹汹，路人纷纷避让！
1697335945# #应该是在等秋收过后捡玉米吧，抢玉米不太可能……！。。周口一玉米种植地被五百余人哄抢
1687701451# #三个女的殴打一名男子，感觉还互相认识，有点复杂！
1695796520# #离婚率越来越高的原因是什么？
1700128805# #这是得了什么病？？费解费解
1687686289# #饭店客满，宝妈与年轻女子拼桌被拒（店家安排），宝妈拿起佐料碗砸伤女子…晕
1694942109# #重庆摩博会期间，一位来自河南信阳的女骑士，在某隧道中因车速过快发生意外！据说有人不幸身亡…
1695615654# #倒地碰瓷遇到了狠人，瞬间治好了瘫痪。
1687753267# #广东肇庆，四会吾悦广场，又见闻臭鞋的变态男子，真的那么好闻吗？？疑问
1691597384# #近日长春红旗4S店骂人事件，当时人发视频进行道歉澄清…大家对于她的说法怎么看呢？晕
1698888624# #芝麻大点的事也能切磋一下，想不到也想不通……晕
1701439894# #不管谁对谁错，这个声音听着就很烦人。
1691371174# #参加综合文化站的马保国，70多岁有这身板也算不错了～
1692154279# #乡村公路施工，刚铺好的水泥路，碰到这种老人…怒
1693735908# #路口骑车突然失控，这个速度人还好吗？？
1701329835# #认为男子出电梯占自己便宜，民警调取监控判为正常碰撞！大家怎么看呢？？
1701159303# #和气生财！这么简单的道理都不懂～
1696985068# #在一片废墟中，巴勒斯坦男孩用说唱，控诉以色列的残酷侵略！
1701263942# #这得是喝多少酒你才做这样的梦啊
1694190313# #当你没文化又想装比，这不找尴尬嘛～
1691669275# #现在有动力挣钱了吧～
1695431930# #多才多艺且社牛的大学生。。春游家族春游家族
1688041966# #女子人肉占车位，不让别人停车！报警后仍撒泼耍横，民警果断辣椒水伺候…👍
1697347291# #老婆几年不回家，离婚证也没签字，老公带着别人女的逛街被抓！晕晕
1688604095# #印度男子抽着烟对着街边少年撒尿……少年毫无反抗意识！裂开
1687937011# #为什么男朋友不能找肚子大的？
1694736511# #大妈聊天影响女孩休息，女生孩拍照惹怒大妈！然后……费解
1688303723# #老板：有文化差异服务员不懂。7月1日，广东广州。网友发视频称，一女子因上菜时被服务员称呼阿姨，拒绝买单还要求一声阿姨赔偿1000元。。2日，该烧烤店老板表示，广东这边不喜欢被叫阿姨，有文化差异，服务员不懂，惹顾客不高兴了，警察来了后，和平解决了，给顾客打了八折。。
1690947914# #网红摆拍被醉酒男骚扰的视频被行拘，300多万的账号被封禁！演技这么好拍点什么不好，这下爽了吧～收到。网红摆拍遭陌生人要求陪酒被行拘
1697074831# #手不受脑子控制了吗？允悲
1691303454# #孩子们好像对于一个亿还没有明确的概念！允悲
1700979958# #想知道这一巴掌在国外会怎么处理！！衰
1688345038# #网友：四川成都，小伙子们看老人乞讨好心给他们零钱，结果两人看到小伙手机下面还有钱就赖着不走，看小伙不给就伸手去拿，结果把小伙手机摔地上了，小伙生气把钱抢了回来，老人说小伙拿了他盆里的钱，争执中一拳打在小伙肩上，还拿起了酒瓶挥舞。众人的劝了半天，老人才骂骂咧咧的走了……
1697592722# #男子醉酒后同情巴勒斯坦现状，看到老外不爽发生冲突！老外高举双手满是委屈～费解费解
1693792232# #校园足球感觉踢的还不错呀，为什么呢？
1699149341# #机动车道骑车，碰到暴躁的大姐！衰
1695863868# #任性随意的转弯！可怜了后面的孩子～
1687608006# #你是机动车司机，不是船长！衰
1702797807# #网友投稿，河北石家庄，带孩子辛辛苦苦耗费三个小时堆的雪人，转眼夜里就被女子踹坏，还拍了视频发布炫耀，真是无语…
1700267973# #熟练的游戏充值，熟练的删除充值记录！也不知道孩子父母什么时候能发现…
1690762147# #公主嫁的不都是王子，还有可能是王总～
1699266838# #网友投稿：大声的打着电话和不安份的臭脚！
1704007520# #大学食堂这么吃，感觉我能饿死！
1702533022# #员工离岗监视器！谁会在这种公司上班？
1689573389# #德国环保主义者又一次阻塞交通，围观群众把他们拖起来扔到了灌木丛，男的拖男的，女的拽女的头发，最后终于清理干净了……允悲
1689664175# #和自己狗狗合拍被咬伤，这不活该嘛…
1693019434# #这种行为大家怎么看？晕
1700034962# #这种到底算不算偷拍呢？？？晕晕
1693395679# #近日一则东营市爱心救助中心给贫困家庭送爱心的视频引争议，许多网友质疑这家庭装修情况不像是贫困家庭呀。。视频中可以看出，女孩开始并不想接收这爱心捐款，奈何穿红马甲的硬给呀～
1698849160# #这救护车也太牛了吧……晕晕
1694749614# #这是啥？残疾人专用车牌？？
1703383172# #这大姨干啥呢？？？晕晕
1696396582# #男子想自杀，警员竟开枪阻止！这操作可还行……
1701184183# #狗头萝莉是对粉丝最好的人了吧！
1694501797# #一种奇怪的吃饭方式，这还有食欲吗？
1687400446# #学校放学，校门口学生和家长打起来了…疑问
1703216017# #清水健也算得上是人生赢家了吧！！收到
1689152354# #路边被老头搭讪说些轻薄的话，美女好像一点也不害怕甚至还在调侃，也是个高手…衰
1691321899# #和原来的团队分道扬镳后，这是走的什么吃播路线？裂开
1700369897# #撞坏别人的好事，小朋友摊上事了！
1698464306# #安全的时候爸爸最危险！
1689999399# #原配骑在小三身上，这位男士喜欢的类型还挺专一！
1690187163# #女司机上路不让直行，为什么发生事故还要骂视频车呢？？晕
1691484601# #妈妈镜头下的父与子……
1690987040# #奶嘴搭配尿不湿，这是什么时尚穿搭～
1694165792# #网友：山东临沂，女子理发店做头发，因头发发质问题，理发师说做不了美女想要的效果，结果女子竟然凉证件恐吓理发店：“一会我换身衣服让我们大队的人来！”。理发店把视频发到了网上，然后有两个女子的同事找上门要求理发店删除视频，并要求理发店负责人去局里谈…。女子做头发被拒扬言要带人查理发
1691716513# #8月9日，内蒙古赤峰，自驾游的游客将车上垃圾随地乱扔，被附近居民批评教育……。村民制止游客扔垃圾遭对方持砖头威胁
1695954773# #军训场上从不缺舞者…
1697509639# #目前狗主人找到了吗？？这个必须的判刑！怒怒
1701164584# #这么火的男明星居然不认识……费解
1698903021# #这年代没点才艺真不敢结婚我想静静
1690350607# #不得不说这人真能吃……
1695986994# #大爷要报警：我仅仅偷几个钢筋，不知道谁把我自行车给偷了！
1691370360# #如果这是国产车的车机系统，估计要被喷死～
1697246507# #应该是在结婚吧。。
1702551630# #直播带货，潘子终究是没把握住呀！
1693112884# #三上悠亚理想的老公是什么样子！你们满足条件吗？
1690116880# #到了缅北那帮人手里，什么人都折磨的服服帖帖…衰
1691337394# #山东泰安，这奔驰女司机是真牛呀！。从监控视频可以看出，一直鸣笛催促与保安发生口角，然后顶着保安开走了。。。这要是不谅解够她喝一壶的了！
1687330159# #广州番禺区华南碧桂园，广场舞大妈嫌商家灯光晃眼，强行进店关灯，第二天用铁链锁门，目前商家已报警。。。。大妈：就连你租的这个地方都是我们村的。。广场舞大妈嫌店铺招牌晃眼强行关灯
1696577150# #这是个收藏高手。👍
1696743890# #男子把包放在座椅上，因为座位问题惹争执。费解
1687080278# #这对夫妻是真喜欢孩子。。。哆啦A梦吃惊
1701660353# #56岁日本游客在澳门塔蹦极身亡，因落地后身体不适，送医救治无效！。视频记录下了人生最后一跳～
1687354259# #这两条狗能看到明天的太阳，这父亲都有责任
1695456904# #这位老太太的拍照地点，选的让人心惊胆战！
1692229952# #月薪三万买三百多万的房子，没考虑突发情况这么多吧～摊手
1702734627# #异地恋刚见面是不是都客客气气的……二哈
1695946779# #这反差谁受的了……
1691068398# #这些每天放生的小阿姨，养活了几个鱼贩子，也算是功德一件！
1701352561# #希望我下次结婚的时候也能唱的这么好！
1691645335# #梁好的沟通方式是解决问题的重要因素！这样只能使矛盾激化…
1695135544# #网友：因停车空间问题，蔚来车主往旁边特斯拉吐口水，并在临走时拿钥匙划伤特斯拉车门…。整个过程全部被记录下来，目前特斯拉车主已报警！。因停车空间问题蔚来车主划伤旁边特斯拉
1696828363# #头盔装上蝴蝶结，宛如催命的符咒。。。
1697777727# #现在狗泛滥成灾，到处都是被弃养的流浪狗。。汗
1694597184# #家里有人就敢进去抢，这么恐怖嘛。。衰
1690890751# #脚放在桌上没人管，乘客怎么就跟婴幼儿杠上了？
1689864425# #怎么才能娶到这种老婆…
1702168388# #一段拍摄于大约70年前的北京街头！谁能想到现在能变得如此繁华～
1693095044# #26日，湖南株洲，大巴车疑似车内物品起火事件。。有知情者说：当时车是停在一个小饭店吃饭，别人都下去吃饭了，只有这个小姑娘一个人在上面睡觉，车子着火后，小女孩烧伤严重。汗
1693363817# #这是正经的按摩店吗？费解
1699067175# #33岁女生相亲多年均以失败告终，听完择偶标准瞬间明白了原因！
1692877551# #把马路当自己家客厅了吧，这次教训希望她能铭记！
1698912770# #网友投稿：经常刷到这样的视频，今天是看到现场了！
1690770446# #7月30日，某趟列车上一黑人打电话4小时扰民，乘务员制止无效后一小伙拿着啤酒劝说：遵守中国的制度听见了没有，这样才能做朋友！。外国游客打电话扰民小伙拿啤酒劝说
1694263545# #菜卖给这位大妈，赚不到一分钱！
1689936981# #男子嫌女子看视频声音过大，接下来……
1696431009# #深圳，工人师傅因衣服脏，地铁里有很多空位不坐。问他为什么有位置不坐，他说自己脏，不想影响他人，给他点赞，他来了个一字马。。网友：最美建筑工师傅，最淳朴的笑容！
1702771534# #男人是不是都喜欢这种骨感美？
1690852991# #7月31日，苏州绿地世纪雅苑小区，小伙子把车停在小区楼道出入口两个多小时，车上也没留电话号码，一个残疾人坐着轮椅硬是等了两个多的小事，车主来了态度还很恶劣，最后警察来后调节，小伙子道歉后，大爷才让行。。。
1695352091# #现在的网红排场大的很呀～
1690346308# #这么多人看戏，也没人去劝一下…
1691550044# #8月8日，新加坡，网友觉得女服务员没有招呼他，感觉受到了歧视发视频曝光……
1691546465# #还好妹妹跑得快，这些黑人留学生满脑子坏心思……
1691289510# #网友：海西银河谷紫罗驿站，按人头收停车费，十分钟收50元，看对方拍照老板威胁：“你还想不想出去了”
1703230031# #镜头感非常棒，希望明年还能看到更性感的视频！
1691887453# #男子等红灯的间隙，下车整理后备箱，把垃圾扔在马路上！这男的素质真差……
1695953009# #都是打工人，何必相互为难呢。。
1696907453# #高速停车什么行为？
1687357725# #卑微的北漂生活！退房被各种刁难，就是不给退房租……碰到这种情况应该怎么办？泪
1703138661# #两位美女真能吵，嫌挤就不要坐地铁嘛。。费解
1696552028# #新郎弟弟太社牛了，非要给哥哥嫂子表演科目三！
1702200407# #从天亮灭到天黑！新能源的火不好灭呀……衰
1702873956# #广州五号线，抢不到位置就打人，出门都要让着你吗？？晕
1691109008# #源哥快不快乐不知道，但是源哥好像挺讨厌你的。
1691799186# #什么样的家长教育什么样的孩子，摔手机好像也没用吧……
1691110273# #敢翻到护栏外让女婿拍照！这老头没看过《隐秘的角落》吧。
1695875806# #网友投稿：都是交了停车费进来的，她偏偏停在主干道！警察来了后也只是劝她挪车！对于这种人太无语了！
1700788087# #高铁上座椅到底能不能往后靠？？？doge
1689835064# #自己教育的孩子，一点怪不得别人…
1700659180# #小区门口开了寿衣店，遭小区业主围堵！
1696666462# #新郎和新娘好像不太熟的样子…
1692083896# #8月14日，广东深圳。未拴绳大狗将女子扑倒，撕咬女子怀中的小狗！怒。没拴绳的金毛扑倒女子撕咬小狗
1694507358# #天津某区域车位外包收费，车主们也是脑洞大开…
1697291727# #苏州某街边，巴勒斯坦支持者与以色列支持者吵了起来！doge
1691416100# #互喷口水的两个年轻人，最终还是打起来了。费解
1701738770# #妻子被升降杆砸头被砸，没有反思自己，反而迁怒于升降杆…
1699162137# #俗话说，在大学谈对象就是帮别人养老婆！笑cry
1703686531# #令人窒息的爱！真有父母会这样说话吗？？
1688046060# #某新能源汽车，开在路上电池掉下来了！哆啦A梦吃惊
1691114312# #碰到这种不文明的行为，你会站出来制止嘛？
1698452196# #公园里的大爷连象棋也不下了！
1687575431# #摆摊抢地盘发生争执，年轻女子优先躺倒占据主动权。👍
1692933355# #或许只有这样，才能体会越野的刺激。。
1704030533# #新时代的精神小妹正在培养中！
1694510227# #邻里矛盾你烧车！纵火可是重罪！
1693047918# #日本核污水排海后，天津一家寿司店员工用广告纸，遮挡店内装饰语的日本二字！
